ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002613.SZ,20250512,3.98,4.0,3.92,3.95,3.95,0.0,0.0,83720.5,33050.545
002613.SZ,20250509,3.95,3.99,3.92,3.95,3.97,-0.02,-0.5038,72352.9,28547.034
002613.SZ,20250508,3.96,4.0,3.92,3.97,3.95,0.02,0.5063,74547.7,29596.949
002613.SZ,20250507,4.0,4.02,3.92,3.95,3.93,0.02,0.5089,126932.5,50346.451
002613.SZ,20250506,3.8,3.94,3.75,3.93,3.73,0.2,5.3619,155511.6,60324.078
002613.SZ,20250430,3.75,3.78,3.72,3.73,3.73,0.0,0.0,90231.7,33805.754
002613.SZ,20250429,3.7,3.75,3.66,3.73,3.69,0.04,1.084,119685.33,44560.257
002613.SZ,20250428,3.92,3.93,3.68,3.69,3.93,-0.24,-6.1069,195441.95,73043.277
002613.SZ,20250425,3.9,3.97,3.89,3.93,3.9,0.03,0.7692,88565.2,34851.798
002613.SZ,20250424,3.91,3.97,3.86,3.9,3.93,-0.03,-0.7634,91009.91,35597.028
002613.SZ,20250423,3.91,3.95,3.89,3.93,3.9,0.03,0.7692,82504.15,32369.169
002613.SZ,20250422,3.84,3.95,3.84,3.9,3.85,0.05,1.2987,107031.45,41607.624
002613.SZ,20250421,3.85,3.86,3.8,3.85,3.84,0.01,0.2604,73972.0,28410.852
002613.SZ,20250418,3.83,3.86,3.77,3.84,3.81,0.03,0.7874,88054.2,33586.855
002613.SZ,20250417,3.75,3.86,3.71,3.81,3.77,0.04,1.061,97300.38,37226.445
002613.SZ,20250416,3.86,3.88,3.7,3.77,3.87,-0.1,-2.584,104885.01,39642.188
002613.SZ,20250415,3.86,3.91,3.81,3.87,3.87,0.0,0.0,81389.8,31334.265
002613.SZ,20250414,3.81,3.92,3.81,3.87,3.79,0.08,2.1108,104772.9,40631.256
002613.SZ,20250411,3.72,3.82,3.71,3.79,3.75,0.04,1.0667,111446.9,42186.339
002613.SZ,20250410,3.75,3.82,3.74,3.75,3.69,0.06,1.626,134970.3,50927.839
002613.SZ,20250409,3.52,3.71,3.28,3.69,3.58,0.11,3.0726,227173.02,79696.733
002613.SZ,20250408,3.79,3.83,3.5,3.58,3.83,-0.25,-6.5274,317116.6,114800.243
002613.SZ,20250407,3.95,4.1,3.83,3.83,4.26,-0.43,-10.0939,121044.3,46944.111
002613.SZ,20250403,4.2,4.31,4.18,4.26,4.25,0.01,0.2353,91682.5,38946.59
002613.SZ,20250402,4.21,4.29,4.17,4.25,4.21,0.04,0.9501,100279.2,42590.16
002613.SZ,20250401,4.17,4.26,4.15,4.21,4.14,0.07,1.6908,103190.6,43494.14
002613.SZ,20250331,4.21,4.21,4.07,4.14,4.21,-0.07,-1.6627,131469.5,54335.987
002613.SZ,20250328,4.39,4.4,4.19,4.21,4.37,-0.16,-3.6613,162367.74,69037.056
002613.SZ,20250327,4.44,4.46,4.33,4.37,4.45,-0.08,-1.7978,128771.0,56537.836
002613.SZ,20250326,4.3,4.47,4.3,4.45,4.32,0.13,3.0093,187806.52,83154.39
