ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600576.SH,20250512,9.7,10.16,9.65,10.09,9.68,0.41,4.2355,136409.33,135484.002
600576.SH,20250509,9.63,9.78,9.55,9.68,9.68,0.0,0.0,71204.99,68779.235
600576.SH,20250508,9.55,9.8,9.36,9.68,9.61,0.07,0.7284,156402.73,150010.791
600576.SH,20250507,9.58,9.75,9.51,9.61,9.51,0.1,1.0515,94652.38,91091.724
600576.SH,20250506,9.67,9.84,9.36,9.51,9.64,-0.13,-1.3485,159357.94,151708.082
600576.SH,20250430,9.98,9.98,9.55,9.64,9.97,-0.33,-3.3099,129005.91,124737.948
600576.SH,20250429,9.81,10.1,9.65,9.97,9.86,0.11,1.1156,108468.99,107847.15
600576.SH,20250428,10.02,10.08,9.7,9.86,10.0,-0.14,-1.4,104667.8,103198.866
600576.SH,20250425,9.83,10.12,9.81,10.0,9.89,0.11,1.1122,106036.24,105925.302
600576.SH,20250424,9.7,10.08,9.7,9.89,9.72,0.17,1.749,175286.12,173846.106
600576.SH,20250423,9.52,9.98,9.52,9.72,9.5,0.22,2.3158,135372.93,132488.338
600576.SH,20250422,10.1,10.15,9.5,9.5,9.98,-0.48,-4.8096,167889.95,162754.138
600576.SH,20250421,9.95,10.14,9.81,9.98,9.98,0.0,0.0,104016.94,104018.293
600576.SH,20250418,10.35,10.46,9.78,9.98,10.13,-0.15,-1.4808,150574.48,151395.79
600576.SH,20250417,9.68,10.35,9.66,10.13,9.78,0.35,3.5787,174551.24,176216.51
600576.SH,20250416,9.82,9.92,9.58,9.78,9.81,-0.03,-0.3058,96738.93,94223.028
600576.SH,20250415,9.97,9.97,9.59,9.81,9.82,-0.01,-0.1018,94767.0,92535.161
600576.SH,20250414,9.8,9.95,9.56,9.82,9.64,0.18,1.8672,124137.16,121843.22
600576.SH,20250411,9.58,9.7,9.49,9.64,9.62,0.02,0.2079,91448.33,88095.052
600576.SH,20250410,9.25,9.7,9.1,9.62,9.26,0.36,3.8877,182991.06,174755.232
600576.SH,20250409,8.7,9.26,8.25,9.26,8.88,0.38,4.2793,164131.1,145712.974
600576.SH,20250408,8.8,9.12,8.62,8.88,8.69,0.19,2.1864,135871.99,120143.045
600576.SH,20250407,8.69,9.23,8.18,8.69,9.06,-0.37,-4.0839,198249.05,172261.261
600576.SH,20250403,8.92,9.34,8.92,9.06,9.17,-0.11,-1.1996,94179.92,86319.276
600576.SH,20250402,9.05,9.26,8.95,9.17,9.18,-0.01,-0.1089,97977.37,89505.14
600576.SH,20250401,9.0,9.39,8.9,9.18,9.15,0.03,0.3279,135053.95,123691.357
600576.SH,20250331,9.32,9.46,8.79,9.15,9.1,0.05,0.5495,191783.28,175039.391
600576.SH,20250328,9.14,9.33,9.07,9.1,9.18,-0.08,-0.8715,71128.61,65330.004
600576.SH,20250327,9.2,9.35,9.13,9.18,9.18,0.0,0.0,80116.96,74048.852
600576.SH,20250326,8.8,9.32,8.68,9.18,9.13,0.05,0.5476,161334.82,146271.759
600576.SH,20250325,9.41,9.58,8.92,9.13,9.7,-0.57,-5.8763,244156.4,227278.603
600576.SH,20250324,9.3,10.12,9.22,9.7,9.2,0.5,5.4348,353699.44,344519.727
600576.SH,20250321,9.18,9.42,9.1,9.2,9.19,0.01,0.1088,88674.98,82275.071
600576.SH,20250320,8.99,9.35,8.96,9.19,9.02,0.17,1.8847,108795.08,100080.986
600576.SH,20250319,9.22,9.35,8.9,9.02,9.29,-0.27,-2.9064,114343.34,103643.207
600576.SH,20250318,9.19,9.35,9.11,9.29,9.2,0.09,0.9783,128946.96,119144.326
600576.SH,20250317,9.53,9.7,9.15,9.2,9.48,-0.28,-2.9536,124647.55,116788.499
600576.SH,20250314,9.53,9.59,9.26,9.48,9.49,-0.01,-0.1054,109965.71,103756.005
600576.SH,20250313,9.46,9.54,9.3,9.49,9.46,0.03,0.3171,95783.35,90309.029
600576.SH,20250312,9.75,9.95,9.46,9.46,9.75,-0.29,-2.9744,135047.96,130191.498
600576.SH,20250311,9.22,9.85,9.13,9.75,9.31,0.44,4.7261,172276.16,164906.888
600576.SH,20250310,9.21,9.35,9.03,9.31,9.27,0.04,0.4315,101179.17,92824.721
600576.SH,20250307,9.2,9.4,9.09,9.27,9.28,-0.01,-0.1078,106267.48,98340.791
600576.SH,20250306,9.04,9.32,8.94,9.28,9.07,0.21,2.3153,126999.14,116268.357
600576.SH,20250305,9.2,9.29,8.82,9.07,9.28,-0.21,-2.2629,170170.84,153716.013
600576.SH,20250304,9.28,9.33,8.92,9.28,9.34,-0.06,-0.6424,152199.43,139378.448
600576.SH,20250303,8.78,9.65,8.71,9.34,8.81,0.53,6.0159,275502.05,253426.639
600576.SH,20250228,8.95,9.15,8.8,8.81,8.96,-0.15,-1.6741,202343.79,181289.283
600576.SH,20250227,8.5,9.09,8.4,8.96,8.42,0.54,6.4133,282819.62,252036.225
600576.SH,20250226,8.4,8.55,8.28,8.42,8.36,0.06,0.7177,114406.57,95940.48
600576.SH,20250225,8.45,8.63,8.28,8.36,8.49,-0.13,-1.5312,165020.86,139342.16
600576.SH,20250224,8.02,8.68,7.89,8.49,8.05,0.44,5.4658,287715.08,240282.203
600576.SH,20250221,8.22,8.29,8.0,8.05,8.31,-0.26,-3.1288,163157.36,131647.523
600576.SH,20250220,8.03,8.38,7.97,8.31,8.04,0.27,3.3582,204330.73,167820.32
600576.SH,20250219,8.03,8.18,7.96,8.04,8.0,0.04,0.5,157865.1,126842.34
600576.SH,20250218,8.03,8.12,7.92,8.0,8.09,-0.09,-1.1125,144968.89,116223.826
600576.SH,20250217,7.91,8.13,7.61,8.09,7.98,0.11,1.3784,198235.53,157741.893
600576.SH,20250214,7.94,8.05,7.76,7.98,7.95,0.03,0.3774,167193.33,132169.854
600576.SH,20250213,8.09,8.18,7.79,7.95,7.9,0.05,0.6329,162142.13,129320.738
600576.SH,20250212,7.66,8.04,7.64,7.9,7.7,0.2,2.5974,187197.09,147766.36
600576.SH,20250211,7.6,7.98,7.6,7.7,7.64,0.06,0.7853,187233.97,146000.69
600576.SH,20250210,7.45,7.7,7.38,7.64,7.44,0.2,2.6882,135139.01,101897.97
600576.SH,20250207,7.51,7.65,7.24,7.44,7.52,-0.08,-1.0638,154775.97,115265.831
600576.SH,20250206,7.37,7.75,7.35,7.52,7.4,0.12,1.6216,129301.4,97946.766
600576.SH,20250205,7.78,7.82,7.32,7.4,7.76,-0.36,-4.6392,149157.98,111234.534
600576.SH,20250127,7.82,7.92,7.71,7.76,7.82,-0.06,-0.7673,75467.6,59062.361
600576.SH,20250124,7.76,7.83,7.59,7.82,7.76,0.06,0.7732,123259.31,94835.291
600576.SH,20250123,7.82,7.98,7.74,7.76,7.78,-0.02,-0.2571,113357.99,88657.321
600576.SH,20250122,7.82,7.92,7.73,7.78,7.87,-0.09,-1.1436,97448.0,76066.57
600576.SH,20250121,8.0,8.07,7.78,7.87,8.06,-0.19,-2.3573,198788.15,156980.809
600576.SH,20250120,8.13,8.47,7.94,8.06,8.18,-0.12,-1.467,239693.45,194917.299
600576.SH,20250117,7.88,8.19,7.8,8.18,7.92,0.26,3.2828,250161.78,201170.093
600576.SH,20250116,7.75,8.15,7.75,7.92,7.77,0.15,1.9305,214313.66,169990.89
600576.SH,20250115,7.8,8.09,7.7,7.77,7.92,-0.15,-1.8939,232706.96,183664.479
600576.SH,20250114,8.0,8.09,7.7,7.92,7.5,0.42,5.6,321974.56,253784.604
600576.SH,20250113,7.16,7.59,7.02,7.5,7.2,0.3,4.1667,192493.76,142897.004
600576.SH,20250110,7.12,7.28,7.0,7.2,7.15,0.05,0.6993,149463.36,106952.128
600576.SH,20250109,7.17,7.34,7.06,7.15,7.26,-0.11,-1.5152,148604.2,107205.357
600576.SH,20250108,6.94,7.3,6.87,7.26,7.03,0.23,3.2717,208223.26,147992.567
600576.SH,20250107,7.03,7.55,6.96,7.03,7.0,0.03,0.4286,343290.85,246702.248
600576.SH,20250106,6.65,7.05,6.6,7.0,6.72,0.28,4.1667,159034.16,109670.716
600576.SH,20250103,7.02,7.02,6.62,6.72,7.03,-0.31,-4.4097,197036.04,134166.747
600576.SH,20250102,6.91,7.43,6.78,7.03,6.89,0.14,2.0319,279845.1,198989.125
600576.SH,20241231,6.75,7.03,6.73,6.89,6.74,0.15,2.2255,164855.99,113723.459
600576.SH,20241230,7.18,7.19,6.69,6.74,7.08,-0.34,-4.8023,179854.09,122282.909
600576.SH,20241227,6.94,7.19,6.9,7.08,6.92,0.16,2.3121,97871.1,69373.104
600576.SH,20241226,6.93,7.15,6.85,6.92,6.94,-0.02,-0.2882,107551.9,75174.26
600576.SH,20241225,7.23,7.25,6.83,6.94,7.24,-0.3,-4.1436,148253.41,103392.995
600576.SH,20241224,7.21,7.32,7.1,7.24,7.21,0.03,0.4161,127075.42,91447.226
600576.SH,20241223,7.64,7.7,7.13,7.21,7.42,-0.21,-2.8302,187551.08,139231.166
600576.SH,20241220,7.38,7.55,7.32,7.42,7.4,0.02,0.2703,125089.16,92816.492
600576.SH,20241219,7.55,7.63,7.18,7.4,7.63,-0.23,-3.0144,214554.47,157714.158
600576.SH,20241218,7.59,7.7,7.4,7.63,7.64,-0.01,-0.1309,164425.45,124382.016
600576.SH,20241217,7.96,7.96,7.6,7.64,8.21,-0.57,-6.9428,310986.19,240896.959
600576.SH,20241216,8.05,8.83,7.79,8.21,8.03,0.18,2.2416,553619.67,460248.186
600576.SH,20241213,7.89,8.16,7.72,8.03,8.01,0.02,0.2497,343035.0,273427.035
600576.SH,20241212,7.92,8.09,7.81,8.01,7.95,0.06,0.7547,323445.29,258339.514
600576.SH,20241211,7.83,8.05,7.78,7.95,7.95,0.0,0.0,329514.82,261342.681
600576.SH,20241210,7.61,7.98,7.58,7.95,7.39,0.56,7.5778,460869.43,361183.575
600576.SH,20241209,7.72,7.73,7.26,7.39,7.71,-0.32,-4.1505,271924.02,201431.678
600576.SH,20241206,7.61,7.83,7.56,7.71,7.74,-0.03,-0.3876,196291.81,151009.032
600576.SH,20241205,7.51,8.08,7.51,7.74,7.5,0.24,3.2,310990.82,242782.09
600576.SH,20241204,7.68,7.86,7.41,7.5,7.77,-0.27,-3.4749,277828.6,211066.301
600576.SH,20241203,7.46,7.9,7.46,7.77,7.57,0.2,2.642,387063.47,299465.175
600576.SH,20241202,7.46,7.7,7.25,7.57,7.63,-0.06,-0.7864,501301.3,376416.309
600576.SH,20241129,7.33,7.78,7.07,7.63,7.33,0.3,4.0928,634748.54,471238.067
600576.SH,20241128,7.2,7.85,6.95,7.33,7.24,0.09,1.2431,957220.71,708069.353
600576.SH,20241127,6.6,7.24,6.53,7.24,6.58,0.66,10.0304,821197.18,580874.451
600576.SH,20241126,6.73,6.82,6.55,6.58,6.84,-0.26,-3.8012,412048.93,274616.869
600576.SH,20241125,6.35,6.9,6.35,6.84,6.27,0.57,9.0909,622411.49,420013.49
600576.SH,20241122,6.3,6.64,6.25,6.27,6.33,-0.06,-0.9479,355210.02,230144.465
600576.SH,20241121,6.19,6.48,6.12,6.33,6.21,0.12,1.9324,257639.0,162072.917
600576.SH,20241120,6.02,6.3,5.96,6.21,6.08,0.13,2.1382,160983.18,99046.882
600576.SH,20241119,5.98,6.08,5.83,6.08,5.94,0.14,2.3569,145226.0,86378.932
600576.SH,20241118,6.19,6.24,5.86,5.94,6.15,-0.21,-3.4146,194827.0,116149.005
600576.SH,20241115,6.2,6.43,6.13,6.15,6.2,-0.05,-0.8065,176407.3,110845.897
600576.SH,20241114,6.46,6.48,6.18,6.2,6.5,-0.3,-4.6154,216749.0,136862.606
600576.SH,20241113,6.52,6.8,6.3,6.5,6.45,0.05,0.7752,421508.9,273850.357
600576.SH,20241112,7.1,7.1,6.39,6.45,7.1,-0.65,-9.1549,637321.31,419191.409
600576.SH,20241111,6.4,7.1,6.4,7.1,6.45,0.65,10.0775,675339.86,470737.03
600576.SH,20241108,6.62,6.72,6.37,6.45,6.5,-0.05,-0.7692,303681.5,197080.486
600576.SH,20241107,6.47,6.65,6.22,6.5,6.55,-0.05,-0.7634,371068.91,238387.378
600576.SH,20241106,6.11,6.68,6.06,6.55,6.08,0.47,7.7303,556342.03,355540.848
600576.SH,20241105,5.68,6.22,5.59,6.08,5.65,0.43,7.6106,522138.47,313341.386
600576.SH,20241104,5.28,5.67,5.2,5.65,5.23,0.42,8.0306,345498.34,190757.299
600576.SH,20241101,5.37,5.37,5.17,5.23,5.39,-0.16,-2.9685,172242.0,90508.286
600576.SH,20241031,5.36,5.45,5.25,5.39,5.36,0.03,0.5597,156301.4,83521.923
600576.SH,20241030,5.46,5.46,5.27,5.36,5.54,-0.18,-3.2491,225753.0,120864.446
600576.SH,20241029,5.78,5.88,5.53,5.54,5.72,-0.18,-3.1469,249972.17,141853.216
600576.SH,20241028,5.58,5.75,5.55,5.72,5.52,0.2,3.6232,234620.8,133062.1
