date,open,close
2020-05-11,10.02,9.71
2020-05-12,9.77,9.28
2020-05-13,9.21,8.7
2020-05-14,8.5,8.5
2020-05-15,8.31,8.15
2020-05-18,8.45,8.35
2020-05-19,8.37,8.44
2020-05-20,8.59,8.61
2020-05-21,8.64,8.66
2020-05-22,8.68,8.61
2020-05-26,8.82,8.96
2020-05-27,9.06,9.05
2020-05-28,9.0,8.9
2020-05-29,8.82,8.83
2020-06-01,8.82,9.15
2020-06-02,9.19,9.05
2020-06-03,9.11,9.54
2020-06-04,9.45,9.81
2020-06-05,10.0,9.98
2020-06-08,10.05,10.24
2020-06-09,10.07,9.695
2020-06-10,9.72,9.39
2020-06-11,9.0,8.65
2020-06-12,9.02,8.81
2020-06-15,8.56,9.03
2020-06-16,9.3,9.19
2020-06-17,9.4,10.18
2020-06-18,10.09,9.9
2020-06-19,9.98,9.8
2020-06-22,9.76,9.94
2020-06-23,10.01,9.8
2020-06-24,9.69,9.34
2020-06-25,9.32,9.38
2020-06-26,9.35,9.31
2020-06-29,9.39,9.41
2020-06-30,9.35,10.87
2020-07-01,10.67,10.19
2020-07-02,10.48,10.79
2020-07-06,11.05,11.58
2020-07-07,11.47,11.15
2020-07-08,11.16,11.29
2020-07-09,11.29,12.0
2020-07-10,12.0,11.51
2020-07-13,11.68,10.8
2020-07-14,10.8,10.71
2020-07-15,10.89,11.12
2020-07-16,10.98,10.665
2020-07-17,10.65,11.24
2020-07-20,11.22,12.015
2020-07-21,13.02,13.925
2020-07-22,13.93,14.39
2020-07-23,14.43,14.23
2020-07-24,13.95,13.62
2020-07-27,13.78,13.97
2020-07-28,13.92,13.24
2020-07-29,13.29,13.53
2020-07-30,13.25,13.87
2020-07-31,14.07,14.21
2020-08-03,14.4,16.06
2020-08-04,15.96,16.36
2020-08-05,16.48,16.11
2020-08-06,16.04,15.05
2020-08-07,17.41,15.8
2020-08-10,15.89,13.82
2020-08-11,14.0,13.57
2020-08-12,13.69,13.38
2020-08-13,13.29,13.46
2020-08-14,13.44,13.28
2020-08-17,13.36,13.35
2020-08-18,13.24,13.02
2020-08-19,12.97,13.09
2020-08-20,13.03,12.57
2020-08-21,12.34,11.65
2020-08-24,11.74,11.65
2020-08-25,11.66,12.0
2020-08-26,12.04,11.79
2020-08-27,11.64,11.55
2020-08-28,11.46,11.65
2020-08-31,11.68,11.63
2020-09-01,11.63,11.675
2020-09-02,11.74,12.63
2020-09-03,12.38,10.95
2020-09-04,11.0,10.52
2020-09-08,10.19,9.94
2020-09-09,10.11,10.24
2020-09-10,10.39,9.86
2020-09-11,9.88,9.7
2020-09-14,9.84,10.21
2020-09-15,10.37,10.41
2020-09-16,10.47,10.44
2020-09-17,10.19,10.43
2020-09-18,10.52,10.29
2020-09-21,10.21,11.04
2020-09-22,11.19,11.11
2020-09-23,11.1,10.46
2020-09-24,10.35,10.42
2020-09-25,10.38,10.73
2020-09-28,10.95,10.95
2020-09-29,10.95,11.24
2020-09-30,11.23,11.25
2020-10-01,11.4,11.22
2020-10-02,10.77,11.33
2020-10-05,11.49,11.49
2020-10-06,11.49,11.2
2020-10-07,11.28,11.48
2020-10-08,11.51,11.59
2020-10-09,11.79,11.83
2020-10-12,11.79,11.4
2020-10-13,11.37,11.5
2020-10-14,11.5,11.18
2020-10-15,11.0,11.22
2020-10-16,11.25,10.98
2020-10-19,11.06,10.89
2020-10-20,11.0,10.86
2020-10-21,10.85,10.645
2020-10-22,10.63,10.39
2020-10-23,10.44,10.17
