date,open,close
2022-08-09,25.28,25.02
2022-08-10,24.6,24.37
2022-08-11,24.29,24.48
2022-08-12,24.29,23.96
2022-08-15,24.0,23.8
2022-08-16,23.88,23.84
2022-08-17,23.91,23.62
2022-08-18,23.75,23.68
2022-08-19,23.87,24.04
2022-08-22,24.32,24.6
2022-08-23,24.62,24.65
2022-08-24,24.6,24.59
2022-08-25,24.31,24.21
2022-08-26,24.1,25.1
2022-08-29,25.55,25.46
2022-08-30,25.4,25.84
2022-08-31,25.77,26.09
2022-09-01,26.28,26.01
2022-09-02,25.76,26.41
2022-09-06,26.29,26.64
2022-09-07,26.59,26.37
2022-09-08,26.56,26.66
2022-09-09,26.4,26.09
2022-09-12,25.77,25.12
2022-09-13,25.58,26.55
2022-09-14,26.45,26.32
2022-09-15,26.41,26.82
2022-09-16,27.09,27.08
2022-09-19,27.43,26.45
2022-09-20,26.55,26.0
2022-09-21,25.85,26.53
2022-09-22,26.81,26.66
2022-09-23,27.04,27.18
2022-09-26,27.25,27.07
2022-09-27,26.69,26.89
2022-09-28,27.62,27.2
2022-09-29,27.93,28.59
2022-09-30,28.86,29.49
2022-10-03,29.34,28.62
2022-10-04,28.0,27.83
2022-10-05,28.19,27.75
2022-10-06,27.82,27.98
2022-10-07,28.54,28.98
2022-10-10,28.94,28.89
2022-10-11,29.01,29.22
2022-10-12,29.2,29.36
2022-10-13,30.06,28.39
2022-10-14,28.1,29.28
2022-10-17,28.71,28.42
2022-10-18,27.76,28.18
2022-10-19,28.58,28.17
2022-10-20,28.09,28.26
2022-10-21,28.25,27.49
2022-10-24,27.47,27.05
2022-10-25,26.94,26.62
2022-10-26,26.8,27.07
2022-10-27,27.16,27.89
2022-10-28,27.27,25.83
2022-10-31,26.22,26.2
2022-11-01,25.87,26.66
2022-11-02,26.9,27.69
2022-11-03,28.26,28.83
2022-11-04,28.14,28.96
2022-11-07,29.18,28.79
2022-11-08,28.54,28.7
2022-11-09,28.9,29.65
2022-11-10,28.22,27.05
2022-11-11,27.21,26.53
2022-11-14,26.59,26.76
2022-11-15,26.05,26.46
2022-11-16,26.54,26.64
2022-11-17,27.12,26.36
2022-11-18,26.0,26.28
2022-11-21,26.47,26.8
2022-11-22,26.78,26.41
2022-11-23,26.57,26.29
2022-11-25,26.75,26.8
2022-11-28,27.31,27.52
2022-11-29,27.51,28.1
2022-11-30,28.09,26.72
2022-12-01,26.67,26.68
2022-12-02,27.09,26.77
2022-12-05,26.79,26.99
2022-12-06,26.89,27.66
2022-12-07,27.79,28.08
2022-12-08,27.78,27.71
2022-12-09,27.78,27.84
2022-12-12,27.68,27.35
2022-12-13,26.41,27.21
2022-12-14,27.23,27.62
2022-12-15,28.03,28.94
2022-12-16,28.89,29.32
2022-12-19,29.26,29.82
2022-12-20,29.91,29.73
2022-12-21,29.62,29.03
2022-12-22,29.29,29.71
2022-12-23,30.0,29.89
2022-12-27,29.94,30.26
2022-12-28,30.33,31.17
2022-12-29,30.71,30.3
2022-12-30,30.65,30.23
2023-01-03,30.11,31.4
2023-01-04,30.93,31.09
2023-01-05,30.9,31.39
2023-01-06,31.15,30.3
2023-01-09,30.03,30.12
2023-01-10,30.16,30.03
2023-01-11,29.82,29.34
2023-01-12,29.28,29.42
2023-01-13,29.77,29.11
2023-01-17,29.05,28.89
2023-01-18,28.64,29.02
2023-01-19,29.32,29.02
2023-01-20,29.09,28.46
2023-01-23,28.39,27.81
2023-01-24,27.99,27.52
2023-01-25,27.92,27.73
2023-01-26,27.42,27.28
2023-01-27,27.42,26.9
2023-01-30,27.13,27.47
2023-01-31,27.57,27.23
2023-02-01,27.27,27.02
2023-02-02,26.37,25.98
2023-02-03,26.53,25.37
2023-02-06,25.69,25.86
2023-02-07,26.0,25.37
2023-02-08,25.49,25.82
2023-02-09,25.49,26.0
2023-02-10,26.26,25.94
2023-02-13,25.97,25.47
2023-02-14,25.73,25.61
2023-02-15,25.6,25.23
2023-02-16,25.51,25.5
2023-02-17,25.74,25.71
2023-02-21,26.09,26.4
2023-02-22,26.35,26.3
2023-02-23,26.08,26.24
2023-02-24,26.68,26.71
2023-02-27,26.55,26.52
2023-02-28,26.68,26.59
2023-03-01,26.78,27.0
2023-03-02,27.22,26.89
2023-03-03,26.47,25.92
2023-03-06,25.45,25.48
2023-03-07,25.5,25.86
2023-03-08,25.66,25.62
2023-03-09,25.52,26.02
2023-03-10,26.1,26.38
2023-03-13,26.55,26.05
2023-03-14,25.92,25.71
2023-03-15,25.92,25.6
2023-03-16,25.74,25.16
2023-03-17,25.14,25.3
2023-03-20,25.27,24.9
2023-03-21,24.74,24.46
2023-03-22,24.43,24.58
2023-03-23,24.51,24.52
2023-03-24,24.55,24.3
2023-03-27,24.34,24.63
2023-03-28,24.68,24.72
2023-03-29,24.47,24.25
2023-03-30,24.1,24.0
2023-03-31,24.0,23.66
2023-04-03,23.74,23.45
2023-04-04,23.39,23.56
2023-04-05,23.7,23.83
2023-04-06,24.06,23.7
2023-04-10,24.16,24.1
2023-04-11,24.06,24.29
2023-04-12,24.14,24.36
2023-04-13,24.21,23.57
2023-04-14,23.7,23.64
2023-04-17,23.67,23.63
2023-04-18,23.48,23.43
2023-04-19,23.58,23.29
2023-04-20,23.53,23.43
2023-04-21,23.68,23.7
2023-04-24,23.73,23.65
2023-04-25,23.68,23.87
2023-04-26,23.99,23.89
2023-04-27,23.67,23.21
2023-04-28,23.2,23.05
2023-05-01,23.09,23.07
2023-05-02,23.01,23.21
2023-05-03,23.08,23.34
2023-05-04,23.76,23.61
2023-05-05,22.86,22.5
2023-05-08,22.66,22.5
2023-05-09,22.58,22.72
2023-05-10,22.58,22.52
2023-05-11,22.45,22.46
2023-05-12,22.49,22.64
2023-05-15,22.57,22.68
2023-05-16,22.69,22.68
2023-05-17,22.77,22.64
2023-05-18,22.57,22.3
2023-05-19,22.2,22.31
2023-05-22,22.46,22.45
2023-05-23,22.6,22.78
2023-05-24,22.86,22.74
2023-05-25,22.65,22.62
2023-05-26,22.56,22.32
2023-05-30,22.13,22.06
2023-05-31,22.05,22.05
2023-06-01,22.03,21.73
2023-06-02,21.63,21.64
2023-06-05,21.47,21.83
2023-06-06,21.78,21.88
2023-06-07,21.94,22.06
2023-06-08,22.01,21.71
2023-06-09,21.62,21.67
2023-06-12,21.59,21.34
2023-06-13,21.44,21.41
2023-06-14,21.42,21.35
2023-06-15,21.35,21.08
2023-06-16,21.03,21.24
2023-06-20,21.32,21.23
2023-06-21,21.01,21.1
2023-06-22,21.16,20.79
2023-06-23,20.95,20.82
2023-06-26,20.83,20.99
2023-06-27,20.9,20.68
2023-06-28,20.68,20.54
2023-06-29,20.56,20.52
2023-06-30,20.3,20.05
2023-07-03,20.08,20.23
2023-07-05,20.29,20.35
2023-07-06,20.52,20.31
2023-07-07,20.32,20.43
2023-07-10,20.55,20.66
2023-07-11,20.62,20.73
2023-07-12,20.54,20.54
2023-07-13,20.44,20.47
2023-07-14,20.51,20.46
2023-07-17,20.3,20.09
2023-07-18,20.15,20.14
2023-07-19,20.17,20.0
2023-07-20,20.01,20.19
2023-07-21,20.11,20.35
2023-07-24,20.15,20.26
2023-07-25,20.18,20.17
2023-07-26,20.13,20.09
2023-07-27,19.88,20.22
2023-07-28,20.07,19.97
2023-07-31,19.92,19.9
2023-08-01,19.93,19.99
2023-08-02,20.06,20.29
2023-08-03,20.43,20.48
2023-08-04,21.1,21.46
2023-08-07,21.4,21.84
2023-08-08,21.74,21.7
2023-08-09,21.58,21.92
2023-08-10,21.78,21.94
2023-08-11,22.03,21.93
2023-08-14,21.96,21.77
2023-08-15,21.8,22.0
2023-08-16,22.01,22.11
2023-08-17,22.07,22.46
2023-08-18,22.72,22.4
2023-08-21,22.32,22.22
2023-08-22,22.07,22.06
2023-08-23,21.91,21.56
2023-08-24,21.61,22.17
2023-08-25,22.03,21.87
2023-08-28,21.67,21.7
2023-08-29,21.72,21.21
2023-08-30,21.14,20.81
2023-08-31,20.82,20.82
2023-09-01,20.65,20.65
2023-09-05,20.8,20.62
2023-09-06,20.78,21.39
2023-09-07,22.28,22.0
2023-09-08,21.93,21.95
2023-09-11,21.65,21.8
2023-09-12,21.79,22.16
2023-09-13,22.07,22.45
2023-09-14,22.49,22.26
2023-09-15,22.19,22.37
2023-09-18,22.2,21.97
2023-09-19,21.85,21.64
2023-09-20,21.64,22.1
2023-09-21,22.22,22.29
2023-09-22,22.23,22.22
2023-09-25,22.29,22.04
2023-09-26,22.2,22.58
2023-09-27,22.5,22.78
2023-09-28,22.9,22.73
2023-09-29,22.57,22.67
2023-10-02,22.68,22.33
2023-10-03,22.55,22.54
2023-10-04,22.72,22.36
2023-10-05,22.38,22.21
2023-10-06,22.37,21.92
2023-10-09,22.0,21.73
2023-10-10,21.82,21.81
2023-10-11,21.8,21.66
2023-10-12,21.66,21.54
