date,open,close
2020-05-11,7.44,6.97
2020-05-12,7.01,6.58
2020-05-13,6.51,6.29
2020-05-14,5.93,6.43
2020-05-15,6.33,6.46
2020-05-18,6.65,7.2
2020-05-19,7.14,7.32
2020-05-20,7.43,7.61
2020-05-21,7.61,7.6
2020-05-22,7.6,7.89
2020-05-26,8.29,8.37
2020-05-27,8.69,8.51
2020-05-28,8.69,8.56
2020-05-29,8.37,8.42
2020-06-01,8.31,8.62
2020-06-02,8.74,8.75
2020-06-03,8.95,9.24
2020-06-04,9.43,9.33
2020-06-05,10.05,9.73
2020-06-08,10.35,11.0
2020-06-09,10.55,10.45
2020-06-10,10.41,9.96
2020-06-11,9.05,9.05
2020-06-12,9.6,9.86
2020-06-15,9.29,9.64
2020-06-16,10.19,9.78
2020-06-17,9.87,9.69
2020-06-18,9.52,9.66
2020-06-19,9.79,9.67
2020-06-22,9.6,9.61
2020-06-23,9.69,9.97
2020-06-24,9.8,9.51
2020-06-25,9.37,10.08
2020-06-26,10.0,9.26
2020-06-29,9.06,9.14
2020-06-30,9.09,9.24
2020-07-01,9.22,9.03
2020-07-02,9.22,8.86
2020-07-06,9.09,8.66
2020-07-07,8.56,8.14
2020-07-08,8.1,8.09
2020-07-09,8.04,7.55
2020-07-10,7.54,7.94
2020-07-13,8.06,7.97
2020-07-14,7.95,8.0
2020-07-15,8.39,8.74
2020-07-16,8.65,8.66
2020-07-17,8.66,8.64
2020-07-20,8.61,8.56
2020-07-21,8.64,8.65
2020-07-22,8.58,9.12
2020-07-23,9.0,8.84
2020-07-24,8.88,8.86
2020-07-27,8.8,8.87
2020-07-28,9.18,9.37
2020-07-29,9.37,9.36
2020-07-30,9.22,9.58
2020-07-31,9.96,10.19
2020-08-03,10.25,10.75
2020-08-04,10.81,10.72
2020-08-05,10.81,10.71
2020-08-06,10.65,10.68
2020-08-07,10.74,11.4
2020-08-10,11.55,11.77
2020-08-11,12.0,11.66
2020-08-12,11.84,11.83
2020-08-13,11.85,11.46
2020-08-14,11.15,11.33
2020-08-17,11.33,11.09
2020-08-18,11.12,10.92
2020-08-19,10.89,11.16
2020-08-20,11.08,11.13
2020-08-21,11.13,11.1
2020-08-24,11.17,11.49
2020-08-25,11.58,11.45
