date,open,close
2020-05-11,50.14,50.89
2020-05-12,51.27,49.37
2020-05-13,49.89,46.02
2020-05-14,45.33,47.36
2020-05-15,47.45,50.83
2020-05-18,51.45,52.06
2020-05-19,51.93,51.04
2020-05-20,51.45,52.55
2020-05-21,52.58,51.57
2020-05-22,51.59,51.24
2020-05-26,51.94,51.17
2020-05-27,51.58,50.63
2020-05-28,51.1,50.69
2020-05-29,51.01,49.68
2020-06-01,49.47,48.89
2020-06-02,49.01,48.02
2020-06-03,48.22,46.9
2020-06-04,46.56,45.75
2020-06-05,45.78,45.61
2020-06-08,45.45,46.81
2020-06-09,46.82,47.49
2020-06-10,47.92,47.02
2020-06-11,46.26,45.19
2020-06-12,46.1,45.85
2020-06-15,44.9,46.49
2020-06-16,47.44,47.34
2020-06-17,47.84,47.12
2020-06-18,46.93,49.32
2020-06-19,49.91,52.03
2020-06-22,51.79,52.32
2020-06-23,52.57,52.73
2020-06-24,52.77,52.02
2020-06-25,51.42,50.19
2020-06-26,51.47,47.93
2020-06-29,48.94,48.16
2020-06-30,48.5,48.47
2020-07-01,48.77,50.29
2020-07-02,50.91,51.61
2020-07-06,52.68,53.69
2020-07-07,55.55,57.0
2020-07-08,57.34,56.4
2020-07-09,56.5,56.07
2020-07-10,56.02,55.45
2020-07-13,56.03,52.32
2020-07-14,52.4,53.72
2020-07-15,54.5,55.13
2020-07-16,54.85,54.58
2020-07-17,54.93,54.97
2020-07-20,55.3,55.42
2020-07-21,47.65,44.69
2020-07-22,44.88,42.92
2020-07-23,42.95,43.75
2020-07-24,43.1,43.46
2020-07-27,43.67,44.33
2020-07-28,44.24,43.15
2020-07-29,43.53,42.53
2020-07-30,42.27,42.49
2020-07-31,42.43,41.57
2020-08-03,42.08,43.27
2020-08-04,43.06,43.52
2020-08-05,43.62,42.87
2020-08-06,43.0,43.63
2020-08-07,43.99,42.73
2020-08-10,42.8,41.29
2020-08-11,41.12,40.23
2020-08-12,40.62,39.86
2020-08-13,39.55,39.91
2020-08-14,39.85,39.35
2020-08-17,39.67,39.46
2020-08-18,39.75,39.66
2020-08-19,39.48,38.91
2020-08-20,39.43,39.27
2020-08-21,39.03,38.32
2020-08-24,39.03,38.0
2020-08-25,38.29,38.37
2020-08-26,38.38,37.67
2020-08-27,37.84,37.98
2020-08-28,37.99,37.98
2020-08-31,38.57,39.59
2020-09-01,39.53,38.08
2020-09-02,38.39,39.22
2020-09-03,39.07,38.39
2020-09-04,38.21,38.27
2020-09-08,37.86,38.2
2020-09-09,38.51,37.9
2020-09-10,37.9,36.42
2020-09-11,36.58,36.62
2020-09-14,37.25,38.61
2020-09-15,39.0,38.79
2020-09-16,38.96,39.2
2020-09-17,38.75,40.76
2020-09-18,41.14,42.42
2020-09-21,41.79,41.32
2020-09-22,41.45,40.97
2020-09-23,41.0,40.45
2020-09-24,40.02,38.61
2020-09-25,38.73,40.18
2020-09-28,40.58,40.23
2020-09-29,40.1,40.41
2020-09-30,41.11,41.25
2020-10-01,41.36,42.14
2020-10-02,41.39,41.36
2020-10-05,41.82,42.14
2020-10-06,42.25,41.68
2020-10-07,41.95,42.89
2020-10-08,43.21,43.18
2020-10-09,43.17,42.73
2020-10-12,43.19,43.12
2020-10-13,43.25,43.26
2020-10-14,43.79,42.92
2020-10-15,42.41,42.71
2020-10-16,42.65,42.61
2020-10-19,42.93,41.49
2020-10-20,41.5,41.21
2020-10-21,41.34,41.04
2020-10-22,41.1,42.23
2020-10-23,42.37,43.17
2020-10-26,42.9,44.87
2020-10-27,45.0,46.36
2020-10-28,45.9,46.42
2020-10-29,46.72,47.35
2020-10-30,46.8,46.45
2020-11-02,46.51,45.64
2020-11-03,45.36,46.6
2020-11-04,46.91,49.13
2020-11-05,46.41,48.56
2020-11-06,48.09,50.19
2020-11-09,51.0,50.03
2020-11-10,50.15,49.01
2020-11-11,49.47,49.07
2020-11-12,49.28,50.61
2020-11-13,51.0,51.57
2020-11-16,53.54,54.63
2020-11-17,54.17,55.29
2020-11-18,55.54,53.82
2020-11-19,53.84,53.61
2020-11-20,53.5,53.57
2020-11-23,54.01,53.84
2020-11-24,54.07,54.72
2020-11-25,54.63,55.86
2020-11-27,56.19,56.0
2020-11-30,56.7,56.66
2020-12-01,57.25,56.79
2020-12-02,56.5,54.73
2020-12-03,54.88,53.28
2020-12-04,53.49,54.24
2020-12-07,54.69,53.38
2020-12-08,53.37,54.06
2020-12-09,53.95,52.33
2020-12-10,52.21,52.57
