date,open,close
2020-05-11,15.61,17.95
2020-05-12,18.33,18.68
2020-05-13,18.77,16.76
2020-05-14,16.08,20.01
2020-05-15,19.0,19.57
2020-05-18,20.4,21.2
2020-05-19,21.27,21.9
2020-05-20,21.9,18.36
2020-05-21,19.32,18.17
2020-05-22,18.41,17.62
2020-05-26,18.99,19.73
2020-05-27,20.15,19.72
2020-05-28,19.63,19.55
2020-05-29,19.77,19.93
2020-06-01,20.0,21.3
2020-06-02,21.31,20.3
2020-06-03,20.43,21.69
2020-06-04,21.7,21.7
2020-06-05,21.92,20.81
2020-06-08,20.66,18.94
2020-06-09,18.75,19.15
2020-06-10,19.46,19.45
2020-06-11,18.67,18.45
2020-06-12,18.87,18.78
2020-06-15,17.95,19.5
2020-06-16,19.94,19.78
2020-06-17,19.78,20.46
2020-06-18,20.4,20.39
2020-06-19,20.76,20.14
2020-06-22,19.7,19.2
2020-06-23,19.73,20.61
2020-06-24,20.53,21.19
2020-06-25,21.18,21.07
2020-06-26,21.13,20.22
2020-06-29,20.41,19.33
2020-06-30,19.5,20.79
2020-07-01,20.92,20.22
2020-07-02,21.32,21.96
2020-07-06,23.62,26.95
2020-07-07,26.34,24.52
2020-07-08,26.72,27.33
2020-07-09,27.7,28.7
2020-07-10,28.65,27.21
2020-07-13,27.71,27.84
2020-07-14,27.84,30.25
2020-07-15,29.75,27.96
2020-07-16,25.07,25.54
2020-07-17,26.35,26.34
2020-07-20,26.38,28.77
2020-07-21,29.06,29.25
2020-07-22,28.99,29.64
2020-07-23,29.74,29.25
2020-07-24,28.38,28.34
2020-07-27,29.1,28.1
2020-07-28,28.0,28.42
2020-07-29,28.23,29.76
2020-07-30,29.64,30.76
2020-07-31,31.0,31.98
2020-08-03,32.95,35.85
2020-08-04,35.76,35.88
2020-08-05,36.35,35.98
2020-08-06,34.93,37.43
2020-08-07,36.33,33.97
2020-08-10,34.53,33.4
2020-08-11,32.53,32.76
2020-08-12,32.96,35.13
2020-08-13,35.37,34.92
2020-08-14,35.09,34.87
2020-08-17,35.48,35.55
