date,open,close
2020-10-29,19.4,17.7
2020-10-30,17.49,18.3
2020-11-02,18.3,19.75
2020-11-03,19.75,21.0
2020-11-04,21.11,21.0
2020-11-05,21.0,22.75
2020-11-06,22.92,24.0
2020-11-09,25.25,26.22
2020-11-10,26.06,21.84
2020-11-11,22.18,21.98
2020-11-12,22.0,21.95
2020-11-13,22.13,20.82
2020-11-16,21.5,21.02
2020-11-17,21.01,21.96
2020-11-18,22.2,21.6
2020-11-19,21.67,22.53
2020-11-20,22.73,22.79
2020-11-23,23.5,21.86
2020-11-24,22.31,23.63
2020-11-25,24.2,24.0
2020-11-27,25.6,25.41
2020-11-30,26.0,23.95
2020-12-01,23.51,24.73
2020-12-02,24.18,25.71
2020-12-03,25.94,27.12
2020-12-04,28.0,28.0
2020-12-07,28.42,27.74
2020-12-08,28.11,26.6
2020-12-09,26.51,25.37
2020-12-10,25.46,26.52
2020-12-11,27.5,26.08
2020-12-14,26.65,26.8
2020-12-15,27.77,27.37
2020-12-16,28.0,26.52
2020-12-17,26.99,26.25
2020-12-18,26.42,25.36
2020-12-21,25.76,26.14
2020-12-22,26.5,27.34
2020-12-23,27.77,24.81
2020-12-24,25.8,24.79
2020-12-28,25.06,26.03
2020-12-29,26.4,26.58
2020-12-30,26.68,25.58
2020-12-31,25.72,26.66
2021-01-04,26.98,25.52
2021-01-05,25.77,26.16
2021-01-06,25.82,28.07
2021-01-07,28.25,29.94
2021-01-08,30.0,29.19
2021-01-11,28.9,30.2
2021-01-12,30.28,31.35
2021-01-13,31.98,32.95
2021-01-14,33.0,33.37
2021-01-15,33.3,32.72
2021-01-19,33.08,32.29
2021-01-20,32.49,32.82
2021-01-21,33.08,34.1
2021-01-22,34.08,33.5
2021-01-25,34.2,31.85
2021-01-26,33.0,30.82
2021-01-27,30.98,29.35
2021-01-28,29.99,29.49
2021-01-29,29.99,27.92
2021-02-01,29.28,30.36
2021-02-02,30.87,32.01
2021-02-03,31.98,29.02
2021-02-04,30.11,31.66
2021-02-05,30.74,30.19
2021-02-08,30.5,30.84
2021-02-09,31.22,30.46
2021-02-10,30.99,30.46
2021-02-11,30.56,30.54
2021-02-12,30.97,30.4
2021-02-16,30.71,30.49
2021-02-17,30.44,30.3
2021-02-18,30.07,30.29
2021-02-19,30.58,30.14
2021-02-22,29.75,29.46
2021-02-23,29.43,28.94
2021-02-24,28.61,28.29
2021-02-25,27.9,26.72
2021-02-26,27.07,26.14
2021-03-01,26.61,27.17
2021-03-02,26.97,26.94
2021-03-03,27.0,26.65
2021-03-04,26.36,25.45
2021-03-05,25.92,25.63
2021-03-08,25.39,25.14
2021-03-09,25.79,25.83
2021-03-10,25.6,25.29
2021-03-11,25.83,26.96
2021-03-12,26.6,26.79
2021-03-15,26.86,26.88
2021-03-16,26.94,26.83
2021-03-17,26.44,26.92
2021-03-18,26.44,26.07
2021-03-19,25.9,26.04
2021-03-22,26.17,26.85
2021-03-23,26.68,25.78
2021-03-24,25.7,23.91
2021-03-25,23.58,24.43
2021-03-26,24.38,25.27
2021-03-29,25.14,24.68
2021-03-30,24.44,24.92
2021-03-31,25.44,25.35
2021-04-01,25.57,27.26
2021-04-05,27.52,28.0
2021-04-06,27.87,27.64
2021-04-07,27.15,27.42
2021-04-08,27.75,27.88
2021-04-09,27.61,27.4
2021-04-12,27.3,26.25
