date,open,close
2020-07-17,10.7,10.4
2020-07-20,10.75,10.41
2020-07-21,10.49,10.45
2020-07-22,10.43,10.45
2020-07-23,10.45,10.52
2020-07-24,10.35,10.55
2020-07-27,10.55,10.45
2020-07-28,10.38,10.35
2020-07-29,10.55,10.35
2020-07-30,10.53,10.25
2020-07-31,10.43,10.28
2020-08-03,10.36,10.25
2020-08-04,10.47,10.25
2020-08-05,10.5,10.16
2020-08-06,10.22,10.22
2020-08-07,10.19,10.37
2020-08-10,10.5,10.25
2020-08-11,10.4,10.33
2020-08-12,10.33,10.25
2020-08-13,10.4,10.25
2020-08-14,10.4,10.24
2020-08-17,10.3,10.23
2020-08-18,10.22,10.12
2020-08-19,10.18,10.09
2020-08-20,10.13,10.1
2020-08-21,10.07,10.09
2020-08-24,10.1,10.13
2020-08-25,10.09,10.15
2020-08-26,10.2,10.28
2020-08-27,10.22,10.18
2020-08-28,10.15,10.15
2020-08-31,10.25,10.1
2020-09-01,10.11,10.23
2020-09-02,10.15,10.28
2020-09-03,10.18,10.16
2020-09-04,10.16,10.35
2020-09-08,10.28,10.5
2020-09-09,10.57,10.57
2020-09-10,10.57,10.35
2020-09-11,10.43,10.41
2020-09-14,10.57,10.34
2020-09-15,10.36,10.3
2020-09-16,10.3,10.4
2020-09-17,10.35,10.39
2020-09-18,10.44,10.49
2020-09-21,10.45,10.46
2020-09-22,10.53,10.4
2020-09-23,10.4,10.26
2020-09-24,10.32,10.26
2020-09-25,10.32,10.29
2020-09-28,10.29,10.3
2020-09-29,10.35,10.43
2020-09-30,10.59,10.36
2020-10-01,10.48,10.4
2020-10-02,10.3,10.35
2020-10-05,10.45,10.33
2020-10-06,10.35,10.26
2020-10-07,10.27,10.27
2020-10-08,10.24,10.24
2020-10-09,10.37,10.38
2020-10-12,10.31,10.3
2020-10-13,10.18,10.23
2020-10-14,10.21,10.14
2020-10-15,10.1,10.15
2020-10-16,10.15,10.11
2020-10-19,10.08,10.13
2020-10-20,10.09,10.06
2020-10-21,10.06,10.12
2020-10-22,10.15,10.1
2020-10-23,10.1,10.09
2020-10-26,10.09,10.02
2020-10-27,9.99,10.02
2020-10-28,9.98,9.97
2020-10-29,9.97,9.9
2020-10-30,9.9,10.05
2020-11-02,10.05,9.98
2020-11-03,10.17,10.0
2020-11-04,9.98,10.0
2020-11-05,9.99,10.0
2020-11-06,10.0,10.04
2020-11-09,10.15,10.15
2020-11-10,10.05,10.0
2020-11-11,10.06,10.05
2020-11-12,10.06,10.0
2020-11-13,10.05,10.05
2020-11-16,10.05,10.06
2020-11-17,10.04,10.01
2020-11-18,10.01,10.01
2020-11-19,10.03,10.0
2020-11-20,10.11,10.04
2020-11-23,10.02,10.06
2020-11-24,10.1,10.19
2020-11-25,10.19,10.2
2020-11-27,10.19,10.17
2020-11-30,10.26,10.2
2020-12-01,10.31,10.3
2020-12-02,10.32,10.31
2020-12-03,10.33,10.31
2020-12-04,10.32,10.32
2020-12-07,11.03,10.58
2020-12-08,10.68,10.73
2020-12-09,10.74,10.72
2020-12-10,10.71,10.8
2020-12-11,11.11,10.95
2020-12-14,11.16,11.4
2020-12-15,11.01,11.06
2020-12-16,11.02,11.06
2020-12-17,11.09,11.07
2020-12-18,11.19,11.05
2020-12-21,11.4,11.16
2020-12-22,11.3,11.2
2020-12-23,11.19,11.31
2020-12-24,11.58,11.35
2020-12-28,11.6,11.5
2020-12-29,11.55,11.25
2020-12-30,11.3,11.29
2020-12-31,11.28,11.18
2021-01-04,11.13,11.14
2021-01-05,10.91,11.1
2021-01-06,11.0,10.95
2021-01-07,11.1,11.26
2021-01-08,11.26,11.4
2021-01-11,11.29,11.22
2021-01-12,11.22,11.25
2021-01-13,11.26,11.4
2021-01-14,11.75,11.87
2021-01-15,11.81,11.47
2021-01-19,11.63,11.7
2021-01-20,11.61,11.67
2021-01-21,11.7,11.94
2021-01-22,11.89,12.79
2021-01-25,14.2,12.88
2021-01-26,12.9,11.91
2021-01-27,11.34,10.94
2021-01-28,11.07,11.6
2021-01-29,11.49,11.21
2021-02-01,11.48,11.13
2021-02-02,11.2,11.44
2021-02-03,11.49,11.24
2021-02-04,11.27,11.24
2021-02-05,11.23,11.1
2021-02-08,11.14,10.97
2021-02-09,10.98,10.75
2021-02-10,10.87,10.67
2021-02-11,10.7,10.5
2021-02-12,10.55,10.77
2021-02-16,10.75,10.83
2021-02-17,11.24,10.95
2021-02-18,11.04,10.98
2021-02-19,11.01,10.92
2021-02-22,10.99,10.81
2021-02-23,10.6,10.6
2021-02-24,10.55,10.64
2021-02-25,10.6,10.4
2021-02-26,10.4,10.4
2021-03-01,10.6,10.43
2021-03-02,10.45,10.23
2021-03-03,10.21,9.96
2021-03-04,10.02,10.01
2021-03-05,10.04,10.21
2021-03-08,10.25,10.14
2021-03-09,10.24,10.22
2021-03-10,10.26,10.2
2021-03-11,10.18,10.38
2021-03-12,10.21,10.33
2021-03-15,10.5,10.61
2021-03-16,10.69,10.48
2021-03-17,10.35,10.29
2021-03-18,10.35,10.32
2021-03-19,10.3,10.3
2021-03-22,10.42,10.25
2021-03-23,10.24,10.13
2021-03-24,10.1,9.97
2021-03-25,9.84,10.04
2021-03-26,10.08,10.17
2021-03-29,10.1,10.15
2021-03-30,10.24,10.02
2021-03-31,10.02,10.04
2021-04-01,10.06,10.14
2021-04-05,10.21,10.16
2021-04-06,10.11,10.11
2021-04-07,10.08,10.05
2021-04-08,10.1,10.09
2021-04-09,10.11,10.01
2021-04-12,10.05,10.09
2021-04-13,10.03,10.01
2021-04-14,10.04,10.04
2021-04-15,10.03,10.0
2021-04-16,10.02,10.0
2021-04-19,9.98,9.96
2021-04-20,9.9,9.97
2021-04-21,9.91,9.95
2021-04-22,9.94,9.94
2021-04-23,9.91,10.0
2021-04-26,10.0,10.02
2021-04-27,10.03,10.0
2021-04-28,9.98,10.02
2021-04-29,10.0,10.04
2021-04-30,10.04,10.05
2021-05-03,10.03,10.09
2021-05-04,10.04,10.11
2021-05-05,10.07,10.04
2021-05-06,10.01,9.94
2021-05-07,9.96,10.06
2021-05-10,10.02,10.03
2021-05-11,9.92,10.0
2021-05-12,9.95,10.03
2021-05-13,10.0,10.02
2021-05-14,10.0,10.08
2021-05-17,10.06,10.19
2021-05-18,10.23,10.23
2021-05-19,10.13,10.39
2021-05-20,10.36,10.45
2021-05-21,10.43,10.39
2021-05-24,10.42,10.45
2021-05-25,10.45,10.5
2021-05-26,10.58,10.45
2021-05-27,10.43,10.43
2021-05-28,10.4,10.4
2021-06-01,10.45,10.38
2021-06-02,10.34,10.37
2021-06-03,10.33,10.31
2021-06-04,10.34,10.42
2021-06-07,10.46,10.45
2021-06-08,10.45,10.51
2021-06-09,10.55,10.63
2021-06-10,10.61,10.61
2021-06-11,10.59,10.65
2021-06-14,10.62,10.46
2021-06-15,10.4,10.25
2021-06-16,10.34,10.1
2021-06-17,10.09,10.14
2021-06-18,10.14,10.16
2021-06-21,10.16,10.08
2021-06-22,10.13,10.0
2021-06-23,10.0,10.01
2021-06-24,9.99,9.98
2021-06-25,10.0,9.96
2021-06-28,9.97,9.99
2021-06-29,10.18,9.94
2021-06-30,10.02,9.77
2021-07-01,9.87,9.63
2021-07-02,9.75,9.63
2021-07-06,10.0,9.03
2021-07-07,8.9,9.15
2021-07-08,9.0,9.0
2021-07-09,8.95,9.22
2021-07-12,9.11,9.64
2021-07-13,9.71,9.68
2021-07-14,9.69,9.21
2021-07-15,9.25,8.91
2021-07-16,8.93,8.76
2021-07-19,8.52,8.54
2021-07-20,8.59,8.93
2021-07-21,8.87,9.0
2021-07-22,9.0,9.22
2021-07-23,9.21,9.42
2021-07-26,9.4,9.11
2021-07-27,9.12,9.04
2021-07-28,9.0,9.1
2021-07-29,9.13,9.02
2021-07-30,8.93,9.41
2021-08-02,9.42,9.66
2021-08-03,9.56,9.71
2021-08-04,9.58,9.85
2021-08-05,9.8,9.91
2021-08-06,9.93,10.35
2021-08-09,10.36,10.45
2021-08-10,10.49,10.5
2021-08-11,10.88,10.41
2021-08-12,10.6,11.01
2021-08-13,11.08,11.15
2021-08-16,11.21,11.19
2021-08-17,11.1,10.58
2021-08-18,10.58,10.04
2021-08-19,10.0,9.91
2021-08-20,9.87,10.0
2021-08-23,10.14,10.69
2021-08-24,10.51,10.5
2021-08-25,10.36,10.04
2021-08-26,10.04,10.6
2021-08-27,10.6,10.81
2021-08-30,10.7,10.75
2021-08-31,10.72,10.99
2021-09-01,10.98,11.02
2021-09-02,11.01,11.82
2021-09-03,11.66,11.79
2021-09-07,12.0,11.81
2021-09-08,11.81,12.22
2021-09-09,12.07,12.25
2021-09-10,12.26,13.01
2021-09-13,13.0,12.25
2021-09-14,12.3,12.52
2021-09-15,12.5,12.5
2021-09-16,12.53,12.48
2021-09-17,12.39,12.36
2021-09-20,12.09,12.11
2021-09-21,12.21,11.87
2021-09-22,11.88,11.52
2021-09-23,11.64,11.58
2021-09-24,11.47,11.71
2021-09-27,11.62,11.67
2021-09-28,11.57,11.55
2021-09-29,11.56,11.49
2021-09-30,11.61,11.48
2021-10-01,11.47,11.32
2021-10-04,11.32,10.95
2021-10-05,10.91,10.87
2021-10-06,10.75,11.09
2021-10-07,11.14,11.19
2021-10-08,11.21,11.26
2021-10-11,11.26,11.25
2021-10-12,11.23,11.56
2021-10-13,11.62,11.6
2021-10-14,11.7,11.48
2021-10-15,11.5,11.45
2021-10-18,11.45,10.85
2021-10-19,10.88,11.02
2021-10-20,11.06,11.0
2021-10-21,10.95,10.93
2021-10-22,11.03,11.0
2021-10-25,11.01,11.21
2021-10-26,11.33,11.21
2021-10-27,11.17,11.01
2021-10-28,11.0,11.1
2021-10-29,11.04,10.88
2021-11-01,10.88,11.09
2021-11-02,11.09,11.03
2021-11-03,10.95,11.17
2021-11-04,11.17,11.35
2021-11-05,11.34,11.13
2021-11-08,11.16,11.19
2021-11-09,11.21,11.98
2021-11-10,11.87,11.87
2021-11-11,11.95,11.4
2021-11-12,11.42,11.15
2021-11-15,11.15,11.0
2021-11-16,11.09,11.08
2021-11-17,11.16,11.03
2021-11-18,11.1,10.52
2021-11-19,10.53,10.45
2021-11-22,10.41,10.21
2021-11-23,10.17,10.29
2021-11-24,10.29,10.48
2021-11-26,10.4,10.39
2021-11-29,10.52,10.72
2021-11-30,10.63,10.4
2021-12-01,10.47,10.0
2021-12-02,10.0,10.32
2021-12-03,10.34,9.97
2021-12-06,9.92,10.1
2021-12-07,10.21,10.55
2021-12-08,10.53,10.6
2021-12-09,10.5,10.46
2021-12-10,10.51,10.43
2021-12-13,10.71,10.41
2021-12-14,10.33,10.36
2021-12-15,10.34,10.45
2021-12-16,10.52,10.53
2021-12-17,10.42,10.16
2021-12-20,10.15,9.95
2021-12-21,10.0,10.45
2021-12-22,10.47,10.48
2021-12-23,10.48,10.75
2021-12-27,10.74,10.88
2021-12-28,10.86,10.92
2021-12-29,10.94,10.81
2021-12-30,10.84,10.96
2021-12-31,10.89,10.81
2022-01-03,10.81,10.95
2022-01-04,11.0,10.88
2022-01-05,10.82,10.33
2022-01-06,10.24,10.0
2022-01-07,10.12,9.79
2022-01-10,9.58,9.62
2022-01-11,9.61,10.0
2022-01-12,10.02,10.01
2022-01-13,10.0,9.79
2022-01-14,9.66,9.54
2022-01-18,9.41,9.16
2022-01-19,9.17,9.51
2022-01-20,9.59,9.7
2022-01-21,9.6,9.25
2022-01-24,9.1,9.54
2022-01-25,9.36,9.29
2022-01-26,9.54,9.4
2022-01-27,9.5,9.1
2022-01-28,9.03,9.21
2022-01-31,9.21,9.66
2022-02-01,9.65,9.59
2022-02-02,9.63,9.59
2022-02-03,9.48,9.44
2022-02-04,9.44,9.55
2022-02-07,9.6,9.82
2022-02-08,9.97,10.38
2022-02-09,10.51,10.76
2022-02-10,10.57,10.75
2022-02-11,10.72,10.61
2022-02-14,10.56,10.66
2022-02-15,10.83,11.04
2022-02-16,10.96,10.86
2022-02-17,10.67,10.78
2022-02-18,10.75,10.55
2022-02-22,10.5,10.1
2022-02-23,10.37,10.11
2022-02-24,9.81,10.13
2022-02-25,10.24,10.24
2022-02-28,10.12,10.44
2022-03-01,10.4,9.95
2022-03-02,9.97,10.13
2022-03-03,10.17,9.83
2022-03-04,9.71,9.41
2022-03-07,9.41,9.07
2022-03-08,9.05,9.01
2022-03-09,9.18,9.27
2022-03-10,9.09,9.11
2022-03-11,9.19,8.75
2022-03-14,8.81,8.46
2022-03-15,8.51,8.68
2022-03-16,8.91,9.35
2022-03-17,9.22,9.45
2022-03-18,9.36,9.74
2022-03-21,9.69,9.37
2022-03-22,9.41,9.75
2022-03-23,9.67,9.92
2022-03-24,9.97,10.02
2022-03-25,10.01,10.04
2022-03-28,10.06,10.14
2022-03-29,10.23,10.5
2022-03-30,10.42,10.05
2022-03-31,10.0,9.95
2022-04-01,9.93,9.39
2022-04-04,9.46,9.59
2022-04-05,9.64,9.15
2022-04-06,8.98,8.83
2022-04-07,8.87,8.72
2022-04-08,8.64,8.55
2022-04-11,8.47,8.64
2022-04-12,8.73,8.96
2022-04-13,8.94,9.14
2022-04-14,9.07,9.24
2022-04-18,9.26,9.23
2022-04-19,9.25,9.55
2022-04-20,9.6,9.6
2022-04-21,9.68,9.17
2022-04-22,9.08,8.82
2022-04-25,8.68,9.16
2022-04-26,9.08,8.77
2022-04-27,8.75,8.95
2022-04-28,9.0,8.93
2022-04-29,8.82,8.59
2022-05-02,8.64,8.62
2022-05-03,8.62,8.34
2022-05-04,8.38,8.8
2022-05-05,8.63,8.54
2022-05-06,8.5,8.13
2022-05-09,7.94,7.92
2022-05-10,8.1,7.41
2022-05-11,7.31,7.11
2022-05-12,6.94,7.53
2022-05-13,7.76,8.08
2022-05-16,8.0,8.16
2022-05-17,8.36,8.61
2022-05-18,8.47,8.1
2022-05-19,7.98,8.1
2022-05-20,8.17,7.88
2022-05-23,7.87,7.71
2022-05-24,7.66,7.53
2022-05-25,7.53,7.74
2022-05-26,7.74,7.98
2022-05-27,7.98,7.99
2022-05-31,7.96,8.16
2022-06-01,8.14,8.37
2022-06-02,8.31,8.99
2022-06-03,8.79,8.81
2022-06-06,9.06,9.15
2022-06-07,9.03,8.51
2022-06-08,8.49,8.48
2022-06-09,8.46,7.91
2022-06-10,7.81,7.53
2022-06-13,7.23,6.94
2022-06-14,6.98,6.94
2022-06-15,7.03,7.24
2022-06-16,7.07,6.79
2022-06-17,6.76,6.86
2022-06-21,7.01,6.87
2022-06-22,6.76,6.95
2022-06-23,6.97,7.33
2022-06-24,7.35,7.48
2022-06-27,7.5,7.25
2022-06-28,7.24,6.84
2022-06-29,6.74,6.72
2022-06-30,6.55,6.75
2022-07-01,6.77,6.88
2022-07-05,6.67,7.02
2022-07-06,7.14,7.26
2022-07-07,7.31,7.43
2022-07-08,7.39,7.41
2022-07-11,7.31,7.13
2022-07-12,7.21,7.09
2022-07-13,6.91,7.06
2022-07-14,6.93,6.93
2022-07-15,7.04,7.08
2022-07-18,7.2,7.17
2022-07-19,7.32,7.47
2022-07-20,7.49,7.55
2022-07-21,7.45,7.62
2022-07-22,7.65,7.34
2022-07-25,7.28,7.3
2022-07-26,7.24,7.1
2022-07-27,7.21,7.44
2022-07-28,7.42,7.52
2022-07-29,7.48,7.54
2022-08-01,7.43,7.42
2022-08-02,7.47,7.5
2022-08-03,7.74,8.26
2022-08-04,8.23,7.83
2022-08-05,7.71,8.02
2022-08-08,8.1,8.17
2022-08-09,8.13,8.17
2022-08-10,8.45,8.41
2022-08-11,8.53,8.49
2022-08-12,8.56,8.81
2022-08-15,8.7,8.7
2022-08-16,8.71,8.75
2022-08-17,8.62,8.46
2022-08-18,8.41,8.45
2022-08-19,8.37,8.04
2022-08-22,7.89,7.89
2022-08-23,7.97,8.0
2022-08-24,7.97,8.06
2022-08-25,8.12,8.29
2022-08-26,8.32,8.24
2022-08-29,8.08,7.93
2022-08-30,7.99,7.9
2022-08-31,7.96,7.88
2022-09-01,7.73,7.63
2022-09-02,7.73,7.62
2022-09-06,7.71,7.75
2022-09-07,7.67,7.9
2022-09-08,7.76,7.95
2022-09-09,8.0,8.15
2022-09-12,8.25,8.35
2022-09-13,8.02,8.03
2022-09-14,7.98,7.89
2022-09-15,7.77,7.79
2022-09-16,7.73,7.61
2022-09-19,7.48,7.73
2022-09-20,7.61,7.86
2022-09-21,7.94,7.87
2022-09-22,7.81,7.25
2022-09-23,7.11,7.09
2022-09-26,7.01,7.14
2022-09-27,7.31,7.16
2022-09-28,7.22,7.51
2022-09-29,7.34,7.41
2022-09-30,7.41,7.33
2022-10-03,7.42,7.68
2022-10-04,7.84,8.12
2022-10-05,7.97,8.21
2022-10-06,8.13,8.21
2022-10-07,8.1,7.99
2022-10-10,8.05,7.78
2022-10-11,7.74,7.52
2022-10-12,7.57,7.47
2022-10-13,7.27,7.75
2022-10-14,7.86,7.53
2022-10-17,7.75,7.73
2022-10-18,8.01,7.91
2022-10-19,7.81,7.48
2022-10-20,7.49,7.41
2022-10-21,7.43,7.77
2022-10-24,7.82,7.59
2022-10-25,7.65,8.15
2022-10-26,8.19,8.0
2022-10-27,8.09,8.09
2022-10-28,8.13,8.3
2022-10-31,8.31,8.29
2022-11-01,8.45,8.19
2022-11-02,8.18,7.79
2022-11-03,7.81,8.31
2022-11-04,8.47,8.72
2022-11-07,8.74,9.15
2022-11-08,9.28,9.39
2022-11-09,9.27,9.29
2022-11-10,9.86,9.89
2022-11-11,9.81,9.85
2022-11-14,9.0,8.06
2022-11-15,8.26,8.76
2022-11-16,8.6,8.5
2022-11-17,8.58,8.75
2022-11-18,8.89,8.32
2022-11-21,8.22,8.55
2022-11-22,8.61,8.43
2022-11-23,8.38,8.52
2022-11-25,8.57,8.59
2022-11-28,8.5,8.41
2022-11-29,8.43,8.31
2022-11-30,8.33,8.63
2022-12-01,8.69,8.64
2022-12-02,8.47,8.94
2022-12-05,8.84,8.59
2022-12-06,8.71,8.66
2022-12-07,8.69,8.6
2022-12-08,8.67,8.57
2022-12-09,8.61,8.58
2022-12-12,8.62,8.53
2022-12-13,8.7,9.0
2022-12-14,8.96,8.98
2022-12-15,8.17,8.24
2022-12-16,8.14,8.19
2022-12-19,8.28,8.26
2022-12-20,8.23,8.27
2022-12-21,8.41,8.37
2022-12-22,8.27,8.18
2022-12-23,8.12,8.21
2022-12-27,8.2,8.16
2022-12-28,8.14,8.07
2022-12-29,8.2,8.31
2022-12-30,8.2,8.36
2023-01-03,8.51,8.37
2023-01-04,8.5,8.59
2023-01-05,8.53,8.49
2023-01-06,8.55,8.73
2023-01-09,8.9,8.75
2023-01-10,8.77,8.82
2023-01-11,8.85,8.95
2023-01-12,8.95,8.93
2023-01-13,8.8,8.93
2023-01-17,8.94,9.01
2023-01-18,9.04,8.84
2023-01-19,8.28,8.86
2023-01-20,8.9,9.05
2023-01-23,9.03,9.26
2023-01-24,9.22,9.16
2023-01-25,9.03,9.27
2023-01-26,9.37,9.45
2023-01-27,9.42,9.47
2023-01-30,9.41,9.34
2023-01-31,9.36,9.39
2023-02-01,9.4,9.52
2023-02-02,9.6,9.78
2023-02-03,9.66,9.51
2023-02-06,9.44,9.34
2023-02-07,9.25,9.34
2023-02-08,9.24,9.52
2023-02-09,9.62,9.35
2023-02-10,9.3,9.29
2023-02-13,9.3,9.38
2023-02-14,9.29,9.36
2023-02-15,9.28,9.62
2023-02-16,9.56,9.51
2023-02-17,9.53,9.58
2023-02-21,9.44,9.2
2023-02-22,9.76,10.01
2023-02-23,10.0,9.89
2023-02-24,9.7,9.84
2023-02-27,9.85,9.72
2023-02-28,9.71,9.6
2023-03-01,9.6,9.34
2023-03-02,9.26,9.57
2023-03-03,9.69,9.99
2023-03-06,9.89,9.81
2023-03-07,9.73,9.63
2023-03-08,9.62,9.69
2023-03-09,9.6,9.02
2023-03-10,9.05,8.86
2023-03-13,8.65,8.68
2023-03-14,8.91,8.93
2023-03-15,8.7,8.72
2023-03-16,8.6,8.74
2023-03-17,8.77,8.66
2023-03-20,8.7,8.65
2023-03-21,8.82,8.98
2023-03-22,8.93,8.78
2023-03-23,8.85,8.7
2023-03-24,8.6,8.83
2023-03-27,8.96,8.72
2023-03-28,8.67,8.73
2023-03-29,8.86,8.93
2023-03-30,9.06,8.92
2023-03-31,8.98,9.21
2023-04-03,9.18,9.05
2023-04-04,9.04,8.87
2023-04-05,8.82,8.55
2023-04-06,8.49,8.62
2023-04-10,8.59,8.86
2023-04-11,8.91,9.16
2023-04-12,9.29,9.01
2023-04-13,9.07,9.18
2023-04-14,9.11,9.13
2023-04-17,9.09,9.32
2023-04-18,9.39,9.31
2023-04-19,9.21,9.34
2023-04-20,9.29,9.38
2023-04-21,9.4,9.41
2023-04-24,9.44,9.39
2023-04-25,9.25,9.04
2023-04-26,8.94,9.06
2023-04-27,9.14,9.21
2023-04-28,9.14,9.25
2023-05-01,9.21,9.26
2023-05-02,9.18,9.02
2023-05-03,9.09,9.0
2023-05-04,8.98,8.85
2023-05-05,9.01,8.82
2023-05-08,8.77,9.04
2023-05-09,8.75,8.51
2023-05-10,8.61,8.53
2023-05-11,8.43,8.29
2023-05-12,8.26,8.26
2023-05-15,8.27,8.44
2023-05-16,8.5,8.33
2023-05-17,8.38,8.52
2023-05-18,8.46,8.59
2023-05-19,8.6,8.41
2023-05-22,8.47,8.66
2023-05-23,8.57,8.51
2023-05-24,8.42,8.33
2023-05-25,8.27,8.18
2023-05-26,8.19,8.22
2023-05-30,8.27,8.27
2023-05-31,8.27,8.46
2023-06-01,8.46,8.57
2023-06-02,8.73,8.87
2023-06-05,8.82,8.77
2023-06-06,8.75,8.98
2023-06-07,9.05,8.87
2023-06-08,8.95,8.99
2023-06-09,8.92,8.81
2023-06-12,8.84,8.96
2023-06-13,9.25,9.07
2023-06-14,9.04,8.93
2023-06-15,8.88,9.13
2023-06-16,9.29,9.0
2023-06-20,8.96,9.06
2023-06-21,9.06,9.04
2023-06-22,9.02,9.01
2023-06-23,8.81,8.83
2023-06-26,8.78,9.09
2023-06-27,9.04,9.07
2023-06-28,9.1,9.08
2023-06-29,9.15,9.11
2023-06-30,9.21,9.24
2023-07-03,9.2,9.28
2023-07-05,9.2,9.18
2023-07-06,9.05,9.1
2023-07-07,9.1,9.25
2023-07-10,9.15,9.46
2023-07-11,9.5,9.7
2023-07-12,9.84,9.75
2023-07-13,9.79,9.71
2023-07-14,9.7,9.67
2023-07-17,9.62,9.74
2023-07-18,9.8,10.05
2023-07-19,10.07,9.98
2023-07-20,9.98,9.9
2023-07-21,9.98,9.78
2023-07-24,9.73,9.76
2023-07-25,9.72,9.85
2023-07-26,9.85,9.83
2023-07-27,9.91,9.64
2023-07-28,9.75,9.81
2023-07-31,9.79,9.78
2023-08-01,9.66,9.68
2023-08-02,9.0,8.55
2023-08-03,8.49,8.54
2023-08-04,8.55,8.48
2023-08-07,8.44,8.36
2023-08-08,8.25,8.5
2023-08-09,8.44,8.64
2023-08-10,8.77,8.5
2023-08-11,8.47,8.5
2023-08-14,8.4,8.46
2023-08-15,8.39,8.36
2023-08-16,8.31,8.29
2023-08-17,7.82,7.86
2023-08-18,7.73,7.67
2023-08-21,7.72,7.65
2023-08-22,7.71,7.6
2023-08-23,7.71,7.6
2023-08-24,7.63,7.58
2023-08-25,7.58,7.63
2023-08-28,7.67,7.66
2023-08-29,7.69,7.84
2023-08-30,7.76,7.79
2023-08-31,7.79,7.64
2023-09-01,7.71,7.58
2023-09-05,7.56,7.51
2023-09-06,7.52,7.46
2023-09-07,7.4,7.37
2023-09-08,7.35,7.21
2023-09-11,7.25,7.38
2023-09-12,7.39,7.55
2023-09-13,7.55,7.56
2023-09-14,7.65,7.58
2023-09-15,7.56,7.59
2023-09-18,7.55,7.53
2023-09-19,7.55,7.55
2023-09-20,7.6,7.55
2023-09-21,7.48,7.49
2023-09-22,7.48,7.37
2023-09-25,7.32,7.3
2023-09-26,7.25,7.27
2023-09-27,7.29,7.34
2023-09-28,7.32,7.14
2023-09-29,7.2,7.09
2023-10-02,7.08,6.88
2023-10-03,6.82,6.76
2023-10-04,6.81,6.54
2023-10-05,6.58,6.48
2023-10-06,6.43,6.59
2023-10-09,6.53,6.6
2023-10-10,6.79,6.84
2023-10-11,6.86,7.03
2023-10-12,7.0,6.79
2023-10-13,6.8,6.72
2023-10-16,6.78,6.95
2023-10-17,6.89,6.91
2023-10-18,6.88,6.9
2023-10-19,6.88,6.82
2023-10-20,6.8,6.78
2023-10-23,6.73,6.79
2023-10-24,6.81,6.83
2023-10-25,6.76,6.63
2023-10-26,6.67,6.72
2023-10-27,6.71,6.54
2023-10-30,6.67,6.58
2023-10-31,6.58,6.64
2023-11-01,7.11,7.34
2023-11-02,7.42,7.35
2023-11-03,7.53,7.21
2023-11-06,7.18,7.16
2023-11-07,7.17,7.12
2023-11-08,7.1,7.05
2023-11-09,7.07,6.87
2023-11-10,6.85,6.89
2023-11-13,6.83,6.99
2023-11-14,7.18,7.43
2023-11-15,7.41,7.43
2023-11-16,7.4,7.29
2023-11-17,7.35,7.32
2023-11-20,7.35,7.49
2023-11-21,7.44,7.48
2023-11-22,7.56,7.58
2023-11-24,7.58,7.66
2023-11-27,7.58,7.61
2023-11-28,7.61,7.55
2023-11-29,7.61,7.62
2023-11-30,7.61,7.65
