date,open,close
2020-05-11,8.75,8.83
2020-05-12,9.0,9.11
2020-05-13,9.25,9.11
2020-05-14,9.04,9.09
2020-05-15,9.06,9.1
2020-05-18,9.46,9.64
2020-05-19,9.54,9.4
2020-05-20,9.39,9.45
2020-05-21,9.41,9.48
2020-05-22,9.49,9.6
2020-05-26,9.81,10.0
2020-05-27,9.9,9.86
2020-05-28,10.03,10.0
2020-05-29,9.93,10.21
2020-06-01,10.15,10.18
2020-06-02,10.29,10.33
2020-06-03,10.44,10.5
2020-06-04,10.45,10.53
2020-06-05,10.77,10.88
2020-06-08,10.86,10.5
2020-06-09,10.35,10.2
2020-06-10,9.98,9.82
2020-06-11,9.57,9.19
2020-06-12,10.0,9.81
2020-06-15,9.57,10.2
2020-06-16,10.4,10.26
2020-06-17,10.33,10.27
2020-06-18,10.21,10.28
2020-06-19,10.28,10.31
2020-06-22,10.27,10.27
2020-06-23,10.33,10.24
2020-06-24,10.12,9.96
2020-06-25,10.04,10.01
2020-06-26,10.01,9.67
2020-06-29,9.78,9.95
2020-06-30,9.92,10.21
2020-07-01,10.19,10.33
2020-07-02,10.46,10.6
2020-07-06,10.73,10.75
2020-07-07,10.62,10.62
2020-07-08,10.54,10.45
2020-07-09,10.46,10.37
2020-07-10,10.43,10.51
2020-07-13,10.58,10.41
2020-07-14,10.4,10.61
2020-07-15,10.76,10.7
2020-07-16,10.69,10.75
2020-07-17,10.84,10.77
2020-07-20,10.76,10.73
2020-07-21,10.81,10.85
2020-07-22,10.85,10.9
2020-07-23,10.88,10.74
2020-07-24,10.77,10.67
2020-07-27,10.78,10.82
2020-07-28,10.77,10.71
2020-07-29,10.7,10.62
2020-07-30,10.48,10.36
2020-07-31,10.32,10.3
2020-08-03,10.4,10.44
2020-08-04,10.45,10.7
2020-08-05,10.8,10.69
2020-08-06,10.73,10.8
2020-08-07,10.71,10.81
2020-08-10,10.91,11.1
2020-08-11,11.2,11.08
2020-08-12,11.19,11.19
2020-08-13,11.09,11.2
2020-08-14,11.18,11.2
2020-08-17,11.28,11.31
2020-08-18,11.4,11.08
2020-08-19,11.35,11.29
2020-08-20,11.17,11.28
2020-08-21,11.23,11.11
2020-08-24,11.17,10.87
2020-08-25,10.9,10.87
2020-08-26,10.85,10.95
2020-08-27,11.06,11.07
2020-08-28,11.08,11.25
2020-08-31,11.19,11.06
2020-09-01,10.98,11.24
