date,open,close
2024-03-18,25.51,25.51
2024-03-19,24.8,22.54
2024-03-20,23.0,22.16
2024-03-21,24.0,21.8
2024-03-22,21.42,22.03
2024-03-25,20.32,21.75
2024-03-26,22.15,21.61
2024-03-27,22.2,21.9
2024-03-28,21.98,22.15
2024-04-01,22.08,22.89
2024-04-02,21.88,21.76
2024-04-03,21.28,22.14
2024-04-04,22.71,18.58
2024-04-05,19.2,19.58
2024-04-08,19.03,19.42
2024-04-09,19.23,19.49
2024-04-10,19.03,18.74
2024-04-11,18.79,19.48
2024-04-12,18.19,17.84
2024-04-15,17.94,17.19
2024-04-16,17.38,17.86
2024-04-17,17.87,15.8
2024-04-18,15.87,15.99
2024-04-19,15.29,14.23
2024-04-22,14.44,14.56
2024-04-23,15.22,15.33
2024-04-24,16.18,15.2
2024-04-25,14.6,15.6
2024-04-26,15.68,16.28
2024-04-29,16.72,16.9
2024-04-30,16.97,16.6
2024-05-01,14.33,13.53
2024-05-02,13.69,13.85
2024-05-03,14.3,14.68
2024-05-06,15.18,15.71
2024-05-07,15.73,15.4
2024-05-08,15.2,15.27
2024-05-09,15.16,14.99
2024-05-10,15.42,14.89
2024-05-13,14.82,14.6
2024-05-14,14.52,15.09
2024-05-15,15.6,16.36
2024-05-16,16.64,17.01
2024-05-17,18.24,17.38
2024-05-20,17.61,17.76
2024-05-21,17.29,17.39
2024-05-22,17.93,17.5
2024-05-23,18.58,16.45
2024-05-24,16.62,17.66
2024-05-28,18.27,18.73
2024-05-29,17.83,17.34
2024-05-30,17.85,17.62
2024-05-31,17.69,17.73
2024-06-03,18.45,16.97
2024-06-04,16.9,16.23
2024-06-05,16.65,17.5
2024-06-06,17.34,17.62
2024-06-07,17.51,17.8
2024-06-10,16.7,16.25
2024-06-11,16.25,15.95
2024-06-12,16.21,16.19
2024-06-13,16.19,16.11
2024-06-14,15.79,16.0
2024-06-17,15.73,15.79
2024-06-18,15.51,15.02
2024-06-20,15.23,16.4
2024-06-21,16.37,16.31
2024-06-24,16.0,16.09
2024-06-25,16.16,16.07
2024-06-26,16.16,15.52
2024-06-27,15.38,15.92
2024-06-28,16.06,16.44
2024-07-01,16.22,15.53
2024-07-02,15.39,16.8
2024-07-03,16.74,16.69
2024-07-05,17.12,18.32
2024-07-08,18.98,19.8
2024-07-09,19.63,19.39
2024-07-10,20.04,20.93
2024-07-11,21.0,20.47
2024-07-12,20.41,20.35
2024-07-15,20.96,19.94
2024-07-16,19.89,19.43
