date,open,close
2020-05-12,12.2,11.79
2020-05-13,11.68,10.73
2020-05-14,10.33,10.36
2020-05-15,10.22,10.61
2020-05-18,11.6,11.92
2020-05-19,11.89,11.36
2020-05-20,11.67,11.95
2020-05-21,12.01,12.05
2020-05-22,12.0,12.17
2020-05-26,12.7,12.71
2020-05-27,12.97,12.58
2020-05-28,12.63,11.87
2020-05-29,11.69,10.79
2020-06-01,10.79,11.73
2020-06-02,11.93,12.23
2020-06-03,12.49,12.53
2020-06-04,12.43,13.0
2020-06-05,14.34,16.07
2020-06-08,17.65,17.73
2020-06-09,16.45,16.53
2020-06-10,15.93,14.83
2020-06-11,12.73,12.79
2020-06-12,14.01,13.77
2020-06-15,13.11,14.08
2020-06-16,15.5,14.57
2020-06-17,14.2,13.89
2020-06-18,13.71,14.22
2020-06-19,14.91,13.98
2020-06-22,13.9,14.28
2020-06-23,14.62,14.13
2020-06-24,13.78,13.07
2020-06-25,12.87,13.66
2020-06-26,13.49,13.25
2020-06-29,13.15,13.33
2020-06-30,13.08,13.5
2020-07-01,13.63,13.0
2020-07-02,13.5,13.26
2020-07-06,13.56,13.53
2020-07-07,13.2,12.77
2020-07-08,12.79,13.07
2020-07-09,12.95,12.08
2020-07-10,11.95,12.71
2020-07-13,12.8,12.52
2020-07-14,12.49,13.51
2020-07-15,13.91,13.82
2020-07-16,13.41,13.87
2020-07-17,14.01,13.29
2020-07-20,13.43,13.6
2020-07-21,14.01,14.9
2020-07-22,14.48,14.51
2020-07-23,14.46,14.39
2020-07-24,14.46,14.2
2020-07-27,14.18,13.69
2020-07-28,13.56,13.32
2020-07-29,13.47,13.65
2020-07-30,15.68,16.01
2020-07-31,15.94,15.35
2020-08-03,15.32,15.72
2020-08-04,15.6,15.88
2020-08-05,16.58,16.24
2020-08-06,16.06,15.6
2020-08-07,15.43,15.54
2020-08-10,15.69,16.28
2020-08-11,16.75,15.59
2020-08-12,15.99,15.75
2020-08-13,15.52,15.42
2020-08-14,15.26,15.62
2020-08-17,15.55,15.34
2020-08-18,15.14,15.25
2020-08-19,15.35,15.34
2020-08-20,15.06,14.74
2020-08-21,14.66,14.26
2020-08-24,14.38,14.46
2020-08-25,14.61,14.65
2020-08-26,14.64,14.08
2020-08-27,14.53,14.6
