date,open,close
2020-05-11,13.56,13.83
2020-05-12,13.89,13.46
2020-05-13,13.41,13.19
2020-05-14,13.01,13.29
2020-05-15,13.22,13.31
2020-05-18,13.69,13.73
2020-05-19,13.81,13.76
2020-05-20,14.0,13.45
2020-05-21,13.42,13.29
2020-05-22,13.26,13.43
2020-05-26,13.64,13.75
2020-05-27,13.88,13.77
2020-05-28,13.84,14.08
2020-05-29,14.03,14.0
2020-06-01,14.05,14.22
2020-06-02,14.31,14.21
2020-06-03,14.3,14.64
2020-06-04,14.62,14.42
2020-06-05,14.7,14.42
2020-06-08,14.48,14.5
2020-06-09,14.47,14.32
2020-06-10,14.36,14.19
2020-06-11,13.87,13.34
2020-06-12,13.75,13.81
2020-06-15,13.56,14.15
2020-06-16,14.51,14.01
2020-06-17,14.07,13.87
2020-06-18,13.8,13.86
2020-06-19,13.94,13.43
2020-06-22,13.46,13.46
2020-06-23,13.53,13.4
2020-06-24,13.35,13.19
2020-06-25,13.11,13.06
2020-06-26,13.12,12.68
2020-06-29,12.57,12.83
2020-06-30,12.83,12.94
2020-07-01,12.97,13.07
2020-07-02,13.27,13.05
2020-07-06,13.17,13.22
2020-07-07,13.12,13.01
2020-07-08,13.03,12.97
2020-07-09,12.6,12.55
2020-07-10,12.55,12.96
2020-07-13,13.05,13.33
2020-07-14,13.31,13.6
2020-07-15,13.72,13.59
2020-07-16,13.56,13.67
2020-07-17,13.75,13.8
2020-07-20,13.68,13.5
2020-07-21,13.63,13.37
2020-07-22,13.38,13.48
2020-07-23,13.5,13.42
2020-07-24,13.42,13.25
2020-07-27,13.25,13.42
2020-07-28,13.41,13.46
2020-07-29,13.56,13.6
2020-07-30,13.5,13.79
2020-07-31,13.8,13.79
2020-08-03,13.93,13.75
2020-08-04,13.82,13.79
2020-08-05,13.88,13.69
2020-08-06,13.63,13.59
2020-08-07,13.54,13.73
2020-08-10,13.84,13.74
2020-08-11,13.77,13.59
2020-08-12,13.68,13.69
2020-08-13,13.68,13.79
2020-08-14,13.68,13.63
2020-08-17,13.56,13.64
2020-08-18,13.64,13.8
2020-08-19,13.86,13.9
2020-08-20,13.87,13.88
2020-08-21,13.84,13.98
2020-08-24,14.07,13.97
2020-08-25,13.98,13.88
2020-08-26,13.9,13.81
2020-08-27,13.9,13.84
2020-08-28,13.88,13.74
2020-08-31,13.81,13.83
2020-09-01,13.92,13.93
2020-09-02,13.92,14.19
2020-09-03,14.2,13.81
2020-09-04,13.82,13.72
2020-09-08,13.62,13.74
2020-09-09,13.86,14.03
2020-09-10,14.02,13.79
2020-09-11,13.89,13.92
2020-09-14,14.04,14.05
2020-09-15,14.17,14.23
2020-09-16,14.3,14.14
2020-09-17,14.09,14.2
2020-09-18,14.22,14.05
2020-09-21,13.87,13.99
2020-09-22,14.06,14.28
2020-09-23,14.36,13.95
2020-09-24,13.97,13.99
2020-09-25,14.0,14.2
2020-09-28,14.27,14.36
2020-09-29,14.26,14.29
2020-09-30,14.36,14.54
