date,open,close
2020-09-30,27.0,28.8
2020-10-01,27.26,26.13
2020-10-02,24.94,25.91
2020-10-05,25.72,25.19
2020-10-06,25.11,26.0
2020-10-07,25.75,26.48
2020-10-08,26.25,26.53
2020-10-09,26.03,25.7
2020-10-12,25.71,24.88
2020-10-13,24.52,24.38
2020-10-14,24.05,23.35
2020-10-15,22.9,23.97
2020-10-16,23.88,23.98
2020-10-19,24.25,23.9
2020-10-20,24.04,24.1
2020-10-21,24.25,24.19
2020-10-22,24.03,24.0
2020-10-23,24.32,23.51
2020-10-26,23.51,23.63
2020-10-27,24.01,23.51
2020-10-28,23.4,23.48
2020-10-29,23.6,23.18
2020-10-30,22.93,22.11
2020-11-02,21.95,21.95
2020-11-03,21.9,22.2
2020-11-04,22.47,22.16
2020-11-05,22.16,22.97
2020-11-06,22.94,23.39
2020-11-09,23.46,22.95
2020-11-10,22.85,21.37
2020-11-11,21.56,21.55
2020-11-12,21.68,21.31
2020-11-13,21.31,22.4
2020-11-16,22.56,22.86
2020-11-17,23.08,23.35
2020-11-18,23.51,22.72
2020-11-19,22.59,22.0
2020-11-20,21.94,22.14
2020-11-23,22.3,22.02
2020-11-24,22.02,22.88
2020-11-25,23.16,25.82
2020-11-27,27.0,27.88
2020-11-30,27.98,27.95
2020-12-01,28.0,27.12
2020-12-02,27.95,26.71
2020-12-03,26.71,27.17
2020-12-04,27.35,26.5
2020-12-07,27.95,29.7
2020-12-08,29.7,29.02
2020-12-09,29.2,28.34
2020-12-10,31.45,29.1
2020-12-11,28.0,28.4
2020-12-14,28.85,28.1
2020-12-15,28.0,28.67
2020-12-16,28.78,29.12
2020-12-17,28.94,30.27
2020-12-18,30.73,30.34
2020-12-21,30.0,31.12
2020-12-22,31.28,30.36
2020-12-23,30.5,30.01
2020-12-24,30.0,30.05
2020-12-28,30.11,28.81
2020-12-29,28.93,28.62
2020-12-30,28.91,29.12
2020-12-31,28.96,29.55
2021-01-04,30.0,29.0
2021-01-05,28.71,28.55
2021-01-06,28.25,28.03
2021-01-07,28.11,28.9
2021-01-08,29.36,31.58
2021-01-11,31.0,32.08
2021-01-12,32.95,34.98
2021-01-13,35.0,36.48
2021-01-14,37.05,37.14
2021-01-15,37.08,38.63
2021-01-19,39.75,39.7
2021-01-20,39.58,39.57
2021-01-21,39.88,39.68
2021-01-22,39.31,38.97
2021-01-25,39.0,38.35
2021-01-26,38.72,38.31
2021-01-27,38.0,35.0
2021-01-28,35.46,35.32
2021-01-29,34.86,35.37
2021-02-01,35.61,35.46
2021-02-02,36.21,36.7
