date,open,close
2020-05-11,4.61,4.58
2020-05-12,4.6,4.42
2020-05-13,4.49,4.39
2020-05-14,4.35,4.44
2020-05-15,4.43,4.35
2020-05-18,4.26,4.27
2020-05-19,4.18,4.06
2020-05-20,4.1,4.07
2020-05-21,4.13,4.15
2020-05-22,4.1,4.06
2020-05-26,4.12,4.02
2020-05-27,4.06,4.06
2020-05-28,4.09,4.03
2020-05-29,4.03,4.08
2020-06-01,4.16,4.15
2020-06-02,4.24,4.24
2020-06-03,4.34,4.41
2020-06-04,4.45,4.35
2020-06-05,4.49,4.49
2020-06-08,4.5,4.45
2020-06-09,4.34,4.36
2020-06-10,4.49,4.54
2020-06-11,4.35,4.31
2020-06-12,4.43,4.44
2020-06-15,4.33,4.45
2020-06-16,4.46,4.48
2020-06-17,4.53,4.54
2020-06-18,4.48,4.46
2020-06-19,4.52,4.45
2020-06-22,4.41,4.56
2020-06-23,4.45,4.5
2020-06-24,4.48,4.4
2020-06-25,4.41,4.48
2020-06-26,4.42,4.42
2020-06-29,4.46,4.52
2020-06-30,4.5,4.54
2020-07-01,4.57,4.54
2020-07-02,4.76,4.88
2020-07-06,4.9,4.83
2020-07-07,4.73,4.65
2020-07-08,4.67,4.67
2020-07-09,4.72,4.74
2020-07-10,4.79,4.81
2020-07-13,4.87,4.76
2020-07-14,4.7,4.76
2020-07-15,4.75,4.72
2020-07-16,4.66,4.68
2020-07-17,4.68,4.62
2020-07-20,4.66,4.71
2020-07-21,4.78,4.79
2020-07-22,4.79,4.81
2020-07-23,4.82,4.72
2020-07-24,4.64,4.69
2020-07-27,4.87,4.97
2020-07-28,4.83,4.72
2020-07-29,4.85,4.97
2020-07-30,5.0,5.12
2020-07-31,5.21,5.01
2020-08-03,4.81,4.81
2020-08-04,4.77,4.76
2020-08-05,4.75,4.76
2020-08-06,4.76,4.79
2020-08-07,4.76,4.73
2020-08-10,4.72,4.73
2020-08-11,4.73,4.69
2020-08-12,4.68,4.77
2020-08-13,4.62,4.58
2020-08-14,4.53,4.53
2020-08-17,4.59,4.59
2020-08-18,4.59,4.55
2020-08-19,4.45,4.32
2020-08-20,4.2,4.1
2020-08-21,4.12,4.14
2020-08-24,4.15,4.14
2020-08-25,4.16,4.18
2020-08-26,4.19,4.23
2020-08-27,4.2,4.11
2020-08-28,4.13,4.17
2020-08-31,4.13,4.11
2020-09-01,4.1,4.17
2020-09-02,4.12,4.13
2020-09-03,4.07,3.95
2020-09-04,3.98,3.97
2020-09-08,4.06,4.06
2020-09-09,4.12,4.2
2020-09-10,4.19,4.11
2020-09-11,4.14,4.15
2020-09-14,4.16,4.13
2020-09-15,4.19,4.26
2020-09-16,4.28,4.24
2020-09-17,4.17,4.25
2020-09-18,4.29,4.22
2020-09-21,4.18,4.21
2020-09-22,4.16,4.15
2020-09-23,4.11,4.02
2020-09-24,3.95,4.01
2020-09-25,4.04,4.04
2020-09-28,4.1,4.16
2020-09-29,4.04,4.02
2020-09-30,4.07,4.08
2020-10-01,4.15,4.15
2020-10-02,4.12,4.03
2020-10-05,4.12,4.14
2020-10-06,4.16,4.09
2020-10-07,4.18,4.19
2020-10-08,4.27,4.33
2020-10-09,4.36,4.33
2020-10-12,4.32,4.33
2020-10-13,4.3,4.28
2020-10-14,4.24,4.21
2020-10-15,4.22,4.24
2020-10-16,4.27,4.24
2020-10-19,4.28,4.22
2020-10-20,4.27,4.28
2020-10-21,4.38,4.41
2020-10-22,4.43,4.45
2020-10-23,4.5,4.48
2020-10-26,4.5,4.52
2020-10-27,4.46,4.42
2020-10-28,4.32,4.27
2020-10-29,4.29,4.38
2020-10-30,4.37,4.57
2020-11-02,4.62,4.63
2020-11-03,4.63,4.68
2020-11-04,4.71,4.79
2020-11-05,4.76,4.85
2020-11-06,4.83,4.81
2020-11-09,4.95,4.94
2020-11-10,4.92,4.96
2020-11-11,4.97,5.06
2020-11-12,5.06,4.96
2020-11-13,4.93,4.88
2020-11-16,4.98,5.09
2020-11-17,5.03,5.03
2020-11-18,5.11,5.12
2020-11-19,5.12,5.17
2020-11-20,5.19,5.15
2020-11-23,5.24,5.31
2020-11-24,5.33,5.23
2020-11-25,5.13,5.13
2020-11-27,5.2,5.26
2020-11-30,5.35,5.32
2020-12-01,5.39,5.45
2020-12-02,5.47,5.45
2020-12-03,5.51,5.55
2020-12-04,5.64,5.74
2020-12-07,5.84,5.67
2020-12-08,5.68,5.66
2020-12-09,5.72,5.61
2020-12-10,5.67,5.78
2020-12-11,5.68,5.58
2020-12-14,5.54,5.55
2020-12-15,5.62,5.63
2020-12-16,5.66,5.69
2020-12-17,5.71,5.74
2020-12-18,5.72,5.66
2020-12-21,5.62,5.64
2020-12-22,5.61,5.53
2020-12-23,5.5,5.5
2020-12-24,5.72,5.74
2020-12-28,5.82,5.91
2020-12-29,5.83,5.74
2020-12-30,5.84,5.89
2020-12-31,5.89,5.84
2021-01-04,6.0,5.97
2021-01-05,6.17,6.32
2021-01-06,6.41,6.43
2021-01-07,6.53,6.57
2021-01-08,6.54,6.48
2021-01-11,6.5,6.72
2021-01-12,6.79,6.75
2021-01-13,7.28,7.13
2021-01-14,7.26,7.46
2021-01-15,7.24,7.11
2021-01-19,7.64,7.67
2021-01-20,7.7,7.5
2021-01-21,7.67,7.66
2021-01-22,7.57,7.52
