date,open,close
2020-05-11,4.77,4.58
2020-05-12,4.64,4.49
2020-05-13,4.5,4.06
2020-05-14,4.01,4.03
2020-05-15,4.03,4.2
2020-05-18,4.36,4.56
2020-05-19,4.54,4.2
2020-05-20,4.34,4.39
2020-05-21,4.39,4.47
2020-05-22,4.48,4.56
2020-05-26,4.76,4.6
2020-05-27,4.65,4.68
2020-05-28,4.72,4.4
2020-05-29,4.37,4.45
2020-06-01,4.46,4.57
2020-06-02,4.62,4.65
2020-06-03,4.75,4.94
2020-06-04,5.08,5.47
2020-06-05,5.65,5.59
2020-06-08,5.67,5.41
2020-06-09,5.31,5.33
2020-06-10,5.33,5.16
2020-06-11,4.91,4.72
2020-06-12,4.96,4.96
2020-06-15,4.92,5.23
2020-06-16,5.4,5.02
2020-06-17,5.05,4.88
2020-06-18,5.24,4.78
2020-06-19,4.9,5.15
2020-06-22,5.14,5.16
2020-06-23,5.25,5.18
2020-06-24,5.07,4.87
2020-06-25,4.85,4.6
2020-06-26,4.6,4.4
2020-06-29,4.46,4.65
2020-06-30,4.62,4.7
2020-07-01,4.68,4.695
2020-07-02,4.8,4.96
2020-07-06,4.99,4.68
2020-07-07,4.68,4.545
2020-07-08,4.55,4.48
2020-07-09,4.5,4.43
2020-07-10,4.42,4.45
2020-07-13,4.5,4.5
2020-07-14,4.56,4.86
2020-07-15,5.02,5.11
2020-07-16,5.06,4.93
2020-07-17,4.93,5.12
2020-07-20,5.1,5.06
2020-07-21,5.11,5.17
2020-07-22,5.14,4.93
2020-07-23,4.94,5.05
2020-07-24,4.95,5.1
2020-07-27,5.15,5.12
2020-07-28,5.15,4.88
2020-07-29,4.88,5.08
2020-07-30,4.99,5.14
2020-07-31,5.08,4.97
2020-08-03,4.99,5.04
2020-08-04,5.04,5.16
2020-08-05,5.2,5.55
2020-08-06,5.51,6.11
2020-08-07,6.05,6.76
2020-08-10,6.68,6.43
2020-08-11,6.42,5.86
2020-08-12,5.93,5.89
2020-08-13,5.85,6.03
2020-08-14,5.95,5.89
2020-08-17,5.9,5.78
2020-08-18,5.8,5.76
2020-08-19,5.75,5.87
2020-08-20,5.82,5.83
2020-08-21,5.78,5.65
2020-08-24,5.73,5.77
2020-08-25,5.79,5.66
2020-08-26,5.7,5.82
2020-08-27,5.79,5.84
2020-08-28,5.92,5.99
2020-08-31,5.98,5.99
2020-09-01,5.98,6.5
2020-09-02,6.49,6.09
2020-09-03,6.29,5.825
2020-09-04,5.76,5.715
2020-09-08,5.67,5.71
2020-09-09,5.76,6.04
2020-09-10,6.1,6.135
2020-09-11,6.14,6.0
2020-09-14,6.05,6.28
2020-09-15,6.31,6.08
2020-09-16,6.14,6.1
2020-09-17,6.02,5.99
2020-09-18,6.08,6.17
2020-09-21,6.0,6.0
2020-09-22,6.03,6.15
2020-09-23,6.13,6.19
2020-09-24,6.16,6.55
2020-09-25,6.5,6.94
2020-09-28,6.83,6.94
2020-09-29,6.95,6.87
2020-09-30,6.88,6.64
2020-10-01,6.76,6.37
2020-10-02,6.2,6.51
2020-10-05,6.53,6.7
2020-10-06,6.77,6.75
2020-10-07,6.85,6.88
2020-10-08,8.06,9.42
2020-10-09,9.2,9.68
2020-10-12,9.64,9.75
2020-10-13,9.58,10.25
2020-10-14,10.38,9.97
2020-10-15,9.96,10.28
2020-10-16,10.26,10.105
2020-10-19,10.16,9.88
2020-10-20,10.33,10.0
2020-10-21,9.98,9.75
2020-10-22,9.86,9.35
2020-10-23,9.5,9.54
2020-10-26,9.44,8.89
2020-10-27,9.0,8.67
2020-10-28,8.28,8.46
2020-10-29,8.46,8.97
2020-10-30,8.87,8.54
2020-11-02,8.69,8.49
2020-11-03,8.63,9.34
2020-11-04,9.29,9.29
2020-11-05,9.41,9.38
2020-11-06,9.85,10.16
2020-11-09,10.56,9.82
2020-11-10,9.83,9.73
2020-11-11,9.74,9.63
2020-11-12,9.51,9.91
2020-11-13,10.03,10.27
2020-11-16,10.44,9.97
2020-11-17,9.95,10.22
2020-11-18,10.23,10.57
2020-11-19,10.61,10.31
2020-11-20,10.23,10.8
2020-11-23,10.97,10.55
2020-11-24,10.69,10.57
2020-11-25,10.57,10.95
2020-11-27,11.1,10.6
2020-11-30,10.57,10.5
2020-12-01,10.68,10.23
2020-12-02,10.25,10.46
2020-12-03,10.44,10.935
2020-12-04,10.96,11.34
2020-12-07,11.59,11.89
2020-12-08,11.93,12.12
2020-12-09,12.14,11.62
2020-12-10,11.55,12.05
2020-12-11,12.04,11.59
2020-12-14,11.61,11.68
2020-12-15,11.85,12.34
2020-12-16,12.43,12.52
2020-12-17,12.67,13.48
2020-12-18,13.79,13.91
2020-12-21,13.77,13.72
2020-12-22,13.75,14.48
2020-12-23,14.5,14.105
2020-12-24,14.13,14.1
2020-12-28,14.39,14.34
2020-12-29,14.35,14.18
2020-12-30,14.16,14.47
2020-12-31,14.55,14.52
2021-01-04,14.41,14.04
2021-01-05,13.94,14.1
2021-01-06,14.05,13.9
2021-01-07,13.9,13.355
2021-01-08,13.42,13.375
2021-01-11,13.15,13.13
2021-01-12,13.1,13.725
2021-01-13,13.78,13.99
2021-01-14,14.0,14.63
2021-01-15,14.45,14.25
2021-01-19,14.44,14.34
2021-01-20,14.5,14.87
2021-01-21,14.87,14.56
2021-01-22,14.4,14.81
2021-01-25,14.86,14.92
2021-01-26,15.0,14.6
2021-01-27,14.26,14.15
2021-01-28,14.3,14.89
2021-01-29,15.14,14.88
2021-02-01,15.12,15.1
2021-02-02,15.25,15.6
2021-02-03,15.8,14.9
2021-02-04,14.95,15.21
2021-02-05,15.47,15.97
2021-02-08,16.08,15.73
2021-02-09,15.81,15.81
2021-02-10,15.99,16.01
2021-02-11,16.0,16.205
2021-02-12,16.17,16.41
2021-02-16,16.5,16.67
2021-02-17,16.56,16.43
2021-02-18,16.29,16.52
2021-02-19,16.59,16.48
2021-02-22,16.27,16.59
2021-02-23,16.4,16.09
2021-02-24,16.23,16.46
2021-02-25,16.43,15.83
2021-02-26,15.83,16.05
2021-03-01,16.96,16.54
2021-03-02,16.59,16.81
2021-03-03,16.95,16.5
2021-03-04,17.07,15.92
2021-03-05,15.51,15.24
2021-03-08,15.51,15.92
2021-03-09,16.12,16.62
2021-03-10,16.99,16.59
2021-03-11,16.72,16.99
2021-03-12,16.86,16.76
2021-03-15,16.97,17.1
2021-03-16,17.54,17.36
2021-03-17,17.255,18.17
2021-03-18,18.19,17.735
2021-03-19,17.9,18.29
2021-03-22,19.02,18.78
2021-03-23,18.81,17.93
2021-03-24,18.32,16.68
2021-03-25,16.5,17.05
2021-03-26,17.13,16.33
2021-03-29,16.19,15.1
2021-03-30,15.05,15.31
2021-03-31,15.32,15.79
2021-04-01,15.69,15.59
2021-04-05,15.88,15.34
2021-04-06,15.41,16.03
2021-04-07,15.95,15.6
2021-04-08,16.12,17.38
2021-04-09,17.53,17.6
2021-04-12,17.49,17.1
2021-04-13,17.06,17.13
2021-04-14,17.09,17.22
2021-04-15,17.43,17.23
2021-04-16,17.34,16.77
2021-04-19,16.55,16.23
2021-04-20,16.14,15.92
2021-04-21,15.85,16.4
2021-04-22,16.43,16.3
2021-04-23,16.49,16.71
2021-04-26,16.71,16.61
2021-04-27,16.68,16.4
2021-04-28,16.26,16.325
2021-04-29,16.37,16.22
2021-04-30,16.0,15.99
2021-05-03,16.01,15.92
2021-05-04,15.82,15.5
2021-05-05,15.55,15.42
2021-05-06,15.42,15.28
2021-05-07,15.0,15.11
2021-05-10,15.2,14.02
2021-05-11,13.62,14.02
2021-05-12,14.0,13.75
2021-05-13,14.23,14.81
2021-05-14,14.81,14.81
2021-05-17,14.71,14.86
2021-05-18,14.84,15.0
2021-05-19,14.7,14.94
2021-05-20,14.97,15.13
2021-05-21,15.29,15.16
2021-05-24,15.18,15.25
2021-05-25,15.39,15.04
2021-05-26,15.08,14.91
2021-05-27,14.93,14.54
2021-05-28,14.53,14.5
2021-06-01,14.51,14.53
2021-06-02,14.51,14.16
2021-06-03,14.03,14.02
2021-06-04,14.04,14.14
2021-06-07,14.18,14.16
2021-06-08,14.19,14.18
2021-06-09,14.2,14.37
2021-06-10,14.41,14.16
2021-06-11,14.16,14.36
2021-06-14,14.36,14.67
2021-06-15,14.75,15.12
2021-06-16,14.9,14.88
2021-06-17,14.76,15.28
2021-06-18,15.11,14.83
2021-06-21,14.8,15.99
2021-06-22,15.87,15.51
2021-06-23,15.56,15.94
2021-06-24,16.03,15.67
2021-06-25,15.63,15.79
2021-06-28,15.76,15.45
2021-06-29,15.53,15.2
2021-06-30,15.1,15.32
2021-07-01,15.41,15.22
2021-07-02,15.33,15.06
2021-07-06,15.06,15.05
2021-07-07,15.01,14.51
2021-07-08,14.21,14.08
2021-07-09,14.12,14.15
2021-07-12,16.0,15.79
2021-07-13,15.68,15.08
2021-07-14,15.01,14.19
2021-07-15,14.04,14.04
2021-07-16,13.935,14.14
2021-07-19,13.7,13.45
2021-07-20,13.48,14.06
2021-07-21,14.06,14.52
2021-07-22,14.49,14.29
2021-07-23,14.37,14.11
2021-07-26,14.02,14.11
2021-07-27,14.02,14.49
2021-07-28,14.59,14.61
2021-07-29,14.67,14.65
2021-07-30,14.59,14.74
2021-08-02,14.75,14.88
2021-08-03,14.84,14.27
2021-08-04,14.76,15.23
2021-08-05,13.93,13.84
2021-08-06,13.84,14.01
2021-08-09,14.08,14.6
2021-08-10,14.5,13.74
2021-08-11,13.7,12.54
2021-08-12,12.75,13.1
2021-08-13,13.02,12.92
2021-08-16,12.9,12.81
2021-08-17,12.69,12.69
2021-08-18,12.78,12.36
2021-08-19,12.19,11.83
2021-08-20,11.76,12.35
2021-08-23,12.35,12.87
2021-08-24,12.87,13.08
2021-08-25,13.41,13.43
2021-08-26,13.39,12.76
2021-08-27,12.72,13.1
2021-08-30,13.21,13.47
2021-08-31,13.39,14.48
2021-09-01,14.14,14.86
2021-09-02,14.88,14.85
2021-09-03,14.95,15.11
2021-09-07,15.03,14.69
2021-09-08,14.58,14.48
2021-09-09,14.44,14.45
2021-09-10,14.54,14.05
2021-09-13,14.09,14.04
2021-09-14,14.06,13.95
2021-09-15,13.95,14.1
2021-09-16,14.06,14.12
2021-09-17,14.19,14.3
2021-09-20,13.83,13.87
2021-09-21,13.97,14.04
2021-09-22,14.07,14.36
2021-09-23,14.43,14.14
2021-09-24,13.97,13.74
2021-09-27,13.73,13.67
2021-09-28,13.35,12.5
2021-09-29,12.54,12.37
2021-09-30,12.73,12.19
2021-10-01,12.25,12.59
2021-10-04,12.52,11.87
2021-10-05,11.9,12.02
2021-10-06,11.8,12.25
2021-10-07,12.27,12.36
2021-10-08,12.37,11.93
2021-10-11,11.87,11.92
2021-10-12,11.93,12.18
2021-10-13,12.11,12.2
2021-10-14,12.33,12.17
2021-10-15,12.33,12.19
2021-10-18,12.06,11.9
2021-10-19,12.0099,12.35
2021-10-20,12.42,12.26
2021-10-21,12.32,12.09
2021-10-22,11.86,12.16
2021-10-25,12.02,11.8
2021-10-26,11.83,11.79
2021-10-27,11.72,11.76
2021-10-28,11.87,11.79
2021-10-29,11.89,11.73
2021-11-01,11.7,12.25
2021-11-02,12.17,12.53
2021-11-03,12.58,13.23
2021-11-04,13.37,12.69
2021-11-05,12.96,12.94
2021-11-08,12.94,12.42
2021-11-09,12.42,12.15
2021-11-10,11.98,11.46
2021-11-11,11.42,11.68
2021-11-12,11.73,11.6
2021-11-15,11.62,11.6
2021-11-16,12.11,12.29
2021-11-17,12.17,12.18
2021-11-18,12.14,11.35
2021-11-19,11.2,11.27
2021-11-22,11.28,11.22
2021-11-23,11.26,11.06
2021-11-24,10.96,11.26
2021-11-26,11.05,10.57
2021-11-29,11.07,10.82
2021-11-30,10.71,11.1
2021-12-01,11.3,10.7
2021-12-02,10.63,11.05
2021-12-03,10.95,10.75
2021-12-06,10.79,11.41
2021-12-07,11.57,11.84
2021-12-08,11.85,12.19
2021-12-09,12.01,11.71
2021-12-10,11.74,11.66
2021-12-13,11.59,11.56
2021-12-14,11.45,11.26
2021-12-15,11.26,11.2
2021-12-16,11.28,10.9
2021-12-17,10.99,11.49
2021-12-20,11.24,11.24
2021-12-21,11.46,11.78
2021-12-22,11.72,12.1
2021-12-23,12.11,12.38
2021-12-27,12.37,12.48
2021-12-28,12.46,11.92
2021-12-29,11.9,11.97
2021-12-30,11.92,11.62
2021-12-31,11.6,11.43
2022-01-03,11.5,11.82
2022-01-04,11.87,12.1
2022-01-05,12.05,11.65
2022-01-06,11.64,11.72
2022-01-07,11.64,11.3
2022-01-10,12.24,12.75
2022-01-11,12.69,12.85
2022-01-12,12.84,12.27
2022-01-13,12.27,12.14
2022-01-14,11.98,12.21
2022-01-18,12.13,11.86
2022-01-19,11.85,11.25
2022-01-20,11.34,10.61
2022-01-21,10.5,10.24
2022-01-24,10.03,10.59
2022-01-25,10.4,10.03
2022-01-26,10.13,9.97
2022-01-27,10.18,9.45
2022-01-28,9.42,9.63
2022-01-31,9.62,10.34
2022-02-01,10.41,10.33
2022-02-02,10.37,10.1
2022-02-03,9.98,9.76
2022-02-04,9.71,9.96
2022-02-07,9.94,9.91
2022-02-08,9.88,10.57
2022-02-09,10.65,10.59
2022-02-10,10.34,10.43
2022-02-11,10.43,10.19
2022-02-14,10.3,10.13
2022-02-15,10.29,10.64
2022-02-16,10.55,10.76
2022-02-17,10.62,10.2
2022-02-18,10.13,9.8
2022-02-22,9.67,9.59
2022-02-23,9.72,9.53
2022-02-24,9.16,10.33
2022-02-25,10.38,10.77
2022-02-28,10.59,11.02
2022-03-01,10.92,11.07
2022-03-02,11.0,11.36
2022-03-03,11.38,11.31
2022-03-04,11.19,11.39
2022-03-07,11.44,11.3
2022-03-08,11.32,11.27
2022-03-09,11.5,11.28
2022-03-10,11.08,10.9
2022-03-11,11.07,10.61
2022-03-14,10.65,9.71
2022-03-15,9.76,10.13
2022-03-16,10.36,10.58
2022-03-17,10.47,10.94
2022-03-18,10.91,11.18
2022-03-21,11.18,10.79
2022-03-22,10.77,10.82
2022-03-23,10.74,10.45
2022-03-24,10.45,10.76
2022-03-25,10.74,10.53
2022-03-28,10.51,10.63
2022-03-29,10.73,11.1
2022-03-30,11.07,11.46
2022-03-31,11.42,11.5
2022-04-01,11.49,12.89
2022-04-04,12.77,12.83
2022-04-05,12.9,12.66
2022-04-06,12.35,12.85
2022-04-07,12.85,12.51
2022-04-08,12.45,12.42
2022-04-11,12.26,12.13
2022-04-12,12.15,12.06
2022-04-13,12.22,12.34
2022-04-14,12.31,12.11
2022-04-18,12.09,12.08
2022-04-19,12.13,12.72
2022-04-20,12.88,13.08
2022-04-21,13.21,12.78
2022-04-22,12.61,12.14
2022-04-25,12.07,12.28
2022-04-26,12.12,11.77
2022-04-27,11.77,11.39
2022-04-28,11.54,11.4
2022-04-29,11.32,10.85
2022-05-02,10.79,11.01
2022-05-03,11.01,11.09
2022-05-04,11.17,11.21
2022-05-05,11.01,10.79
2022-05-06,12.18,9.41
2022-05-09,9.15,8.15
2022-05-10,8.32,8.1
2022-05-11,8.07,7.43
2022-05-12,7.4,7.62
2022-05-13,7.85,8.14
2022-05-16,8.09,8.03
2022-05-17,8.26,8.5
2022-05-18,8.43,8.25
2022-05-19,8.15,8.21
2022-05-20,8.38,7.76
2022-05-23,7.76,7.65
2022-05-24,7.58,7.24
2022-05-25,7.17,7.41
2022-05-26,7.45,7.86
2022-05-27,7.93,8.13
2022-05-31,8.04,7.68
2022-06-01,7.7,7.07
2022-06-02,7.01,7.55
2022-06-03,7.46,7.4
2022-06-06,7.53,7.31
2022-06-07,7.22,7.34
2022-06-08,7.28,7.5
2022-06-09,7.45,7.2
2022-06-10,7.03,7.39
