date,open,close
2021-05-07,10.0,10.0
2021-05-10,10.0,10.0
2021-05-11,10.0,9.91
2021-05-12,9.9,9.93
2021-05-13,9.9,9.9
2021-05-14,9.9,9.89
2021-05-17,9.87,9.85
2021-05-18,9.85,9.81
2021-05-19,9.9,9.83
2021-05-20,9.9,9.85
2021-05-21,9.84,9.83
2021-05-24,9.81,9.83
2021-05-25,9.83,9.83
2021-05-26,9.93,9.78
2021-05-27,9.78,9.79
2021-05-28,9.75,9.79
2021-06-01,9.91,9.79
2021-06-02,9.79,9.81
2021-06-03,9.83,9.81
2021-06-04,9.79,9.88
2021-06-07,10.05,9.97
2021-06-08,10.0,9.99
2021-06-09,10.1,9.9
2021-06-10,9.95,9.92
2021-06-11,9.99,9.97
2021-06-14,10.0,10.0
2021-06-15,10.02,10.0
2021-06-16,10.01,10.0
2021-06-17,10.0,10.01
2021-06-18,10.05,10.01
2021-06-21,10.05,9.97
2021-06-22,9.98,10.01
2021-06-23,10.04,10.0
2021-06-24,9.99,9.96
2021-06-25,9.95,9.93
2021-06-28,9.93,9.92
2021-06-29,9.89,9.89
2021-06-30,9.89,9.89
2021-07-01,9.87,9.89
2021-07-02,9.89,9.85
2021-07-06,9.88,9.81
2021-07-07,9.82,9.8
2021-07-08,9.81,9.86
2021-07-09,9.84,9.85
2021-07-12,9.9,9.85
2021-07-13,9.85,9.85
2021-07-14,9.88,9.85
2021-07-15,9.98,10.0
2021-07-16,10.05,9.98
2021-07-19,9.98,9.97
2021-07-20,9.98,9.96
2021-07-21,9.98,9.93
2021-07-22,9.97,9.94
2021-07-23,9.96,9.96
2021-07-26,9.95,9.93
2021-07-27,9.92,9.9
2021-07-28,9.93,9.91
2021-07-29,9.95,9.88
2021-07-30,9.86,9.91
2021-08-02,9.94,9.84
2021-08-03,9.85,9.83
2021-08-04,9.83,9.84
2021-08-05,9.83,9.84
2021-08-06,9.88,9.83
2021-08-09,9.84,9.84
2021-08-10,9.86,9.83
2021-08-11,9.84,9.84
2021-08-12,9.83,9.84
2021-08-13,9.85,9.84
2021-08-16,9.85,9.83
2021-08-17,9.83,9.84
2021-08-18,9.81,9.85
2021-08-19,9.84,9.85
2021-08-20,9.83,9.84
2021-08-23,9.88,9.85
2021-08-24,9.85,9.85
2021-08-25,9.85,9.86
