date,open,close
2020-05-11,2.86,2.87
2020-05-12,2.89,2.82
2020-05-13,2.8,2.75
2020-05-14,2.7,2.81
2020-05-15,2.81,2.79
2020-05-18,2.9,3.02
2020-05-19,2.82,2.79
2020-05-20,2.76,2.8
2020-05-21,2.82,2.8
2020-05-22,2.86,2.82
2020-05-26,3.0,3.09
2020-05-27,3.23,3.22
2020-05-28,3.27,3.2
2020-05-29,3.13,3.11
2020-06-01,3.1,3.19
2020-06-02,3.35,3.34
2020-06-03,3.47,3.54
2020-06-04,3.59,3.63
2020-06-05,3.92,3.9
2020-06-08,4.06,3.98
2020-06-09,3.85,3.83
2020-06-10,3.82,3.68
2020-06-11,3.48,3.37
2020-06-12,3.53,3.51
2020-06-15,3.34,3.45
2020-06-16,3.57,3.49
2020-06-17,3.53,3.47
2020-06-18,3.41,3.41
2020-06-19,3.52,3.38
2020-06-22,3.38,3.42
2020-06-23,3.56,3.52
2020-06-24,3.44,3.35
2020-06-25,3.33,3.48
2020-06-26,3.42,3.3
2020-06-29,3.38,3.42
2020-06-30,3.33,3.4
2020-07-01,3.36,3.35
2020-07-02,3.57,3.53
2020-07-06,3.71,3.68
2020-07-07,3.64,3.54
2020-07-08,3.49,3.53
2020-07-09,3.52,3.42
2020-07-10,3.43,3.55
2020-07-13,3.61,3.53
2020-07-14,3.5,3.59
2020-07-15,3.67,3.67
2020-07-16,3.65,3.66
2020-07-17,3.64,3.63
2020-07-20,3.58,3.61
2020-07-21,3.64,3.58
2020-07-22,3.62,3.63
2020-07-23,3.59,3.59
2020-07-24,3.6,3.56
2020-07-27,3.48,3.49
2020-07-28,3.5,3.52
2020-07-29,3.37,3.45
2020-07-30,3.09,3.19
2020-07-31,3.15,3.07
2020-08-03,3.13,3.15
2020-08-04,3.18,3.26
2020-08-05,3.18,3.13
2020-08-06,3.06,3.09
2020-08-07,2.92,3.0
2020-08-10,2.99,3.03
2020-08-11,3.14,3.13
2020-08-12,3.19,3.08
2020-08-13,3.04,3.02
2020-08-14,2.94,2.97
2020-08-17,3.01,2.97
2020-08-18,2.99,2.93
2020-08-19,2.95,2.93
2020-08-20,2.89,2.88
2020-08-21,2.8,2.83
2020-08-24,2.86,2.88
2020-08-25,3.0,2.93
2020-08-26,2.96,2.95
2020-08-27,2.95,2.96
2020-08-28,3.05,3.06
2020-08-31,2.97,2.89
2020-09-01,2.89,2.88
2020-09-02,2.82,2.8
2020-09-03,2.89,2.84
2020-09-04,3.01,3.04
2020-09-08,2.94,2.91
2020-09-09,2.91,2.94
2020-09-10,2.97,2.91
2020-09-11,2.88,2.86
2020-09-14,2.91,2.91
2020-09-15,2.87,2.82
2020-09-16,2.76,2.82
2020-09-17,2.79,2.83
2020-09-18,2.75,2.73
2020-09-21,2.58,2.56
2020-09-22,2.58,2.53
2020-09-23,2.61,2.49
2020-09-24,2.61,2.66
2020-09-25,2.67,2.68
2020-09-28,2.7,2.76
2020-09-29,2.73,2.7
2020-09-30,2.75,2.74
2020-10-01,2.78,2.76
2020-10-02,2.69,2.78
2020-10-05,2.77,2.81
2020-10-06,2.91,2.83
2020-10-07,2.84,2.81
2020-10-08,2.86,2.84
2020-10-09,2.84,2.8
2020-10-12,2.76,2.76
2020-10-13,2.69,2.63
2020-10-14,2.68,2.62
2020-10-15,2.58,2.65
2020-10-16,2.67,2.72
2020-10-19,2.74,2.74
2020-10-20,2.85,2.87
2020-10-21,2.84,2.84
2020-10-22,2.83,2.89
2020-10-23,2.96,2.92
2020-10-26,2.89,2.88
2020-10-27,2.92,2.82
2020-10-28,2.78,2.74
2020-10-29,2.71,2.75
2020-10-30,2.83,2.89
2020-11-02,2.88,2.91
2020-11-03,3.0,3.07
2020-11-04,2.89,2.84
2020-11-05,2.97,3.01
2020-11-06,2.97,2.92
2020-11-09,3.42,3.43
2020-11-10,3.57,3.62
2020-11-11,3.65,3.64
2020-11-12,3.54,3.57
2020-11-13,3.68,3.74
2020-11-16,4.44,4.21
2020-11-17,4.03,4.11
2020-11-18,4.16,4.03
