symbol,date,volume,close,open,high,low
BCRX,1994-03-04,415500,6.5,6.25,6.5,6.0
BCRX,1994-03-07,218400,6.25,6.625,6.625,6.25
BCRX,1994-03-08,155300,6.5,6.5,6.625,6.25
BCRX,1994-03-09,54300,6.625,6.5625,6.625,6.5
BCRX,1994-03-10,36900,6.625,6.75,6.75,6.5
BCRX,1994-03-11,20000,6.4375,6.5,6.625,6.375
BCRX,1994-03-14,19300,6.375,6.625,6.625,6.375
BCRX,1994-03-15,10400,6.375,6.375,6.625,6.375
BCRX,1994-03-16,21200,6.25,6.5,6.5,6.125
BCRX,1994-03-17,2700,6.125,6.375,6.375,6.125
BCRX,1994-03-18,26000,6.25,6.1875,6.375,6.125
BCRX,1994-03-21,30000,6.0,6.25,6.375,6.0
BCRX,1994-03-22,39700,6.25,6.0,6.25,6.0
BCRX,1994-03-23,17600,6.25,6.25,6.25,6.0
BCRX,1994-03-24,9900,6.375,6.25,6.375,6.0
BCRX,1994-03-25,16100,6.375,6.25,6.375,6.125
BCRX,1994-03-28,3300,6.125,6.375,6.375,6.125
BCRX,1994-03-29,48100,6.125,6.125,6.375,6.125
BCRX,1994-03-30,45700,6.0,6.0,6.25,5.75
BCRX,1994-03-31,15200,5.5,5.75,5.875,5.5
BCRX,1994-04-04,33600,5.0,5.5,5.75,5.0
BCRX,1994-04-05,23300,5.25,5.25,5.375,5.125
BCRX,1994-04-06,1200,5.0,5.25,5.25,5.0
BCRX,1994-04-07,38600,5.0,5.0,5.0,4.75
BCRX,1994-04-08,46600,5.25,4.875,5.25,4.875
BCRX,1994-04-11,13400,5.1875,5.25,5.25,5.125
BCRX,1994-04-12,63300,5.125,5.375,5.375,5.125
BCRX,1994-04-13,27900,5.375,5.375,5.375,5.0
BCRX,1994-04-14,31000,5.0,5.125,5.375,4.75
BCRX,1994-04-15,33400,5.0,5.0,5.0,4.75
BCRX,1994-04-18,14500,4.875,4.875,5.0,4.75
BCRX,1994-04-19,23300,4.5,4.625,4.75,4.375
BCRX,1994-04-20,81200,3.5,4.5,4.5,3.375
BCRX,1994-04-21,195400,4.0,3.625,4.625,3.375
BCRX,1994-04-22,42100,4.0,4.0,4.125,3.875
BCRX,1994-04-25,21600,4.25,4.125,4.25,4.0
BCRX,1994-04-26,18900,4.5,4.125,4.5,4.125
BCRX,1994-04-28,80300,5.375,4.625,5.5,4.5
BCRX,1994-04-29,50100,5.625,5.375,5.75,5.125
BCRX,1994-05-02,41600,5.625,5.625,5.75,5.375
BCRX,1994-05-03,26900,5.5,5.75,5.75,5.5
BCRX,1994-05-04,13500,5.625,5.625,5.625,5.375
BCRX,1994-05-05,10600,5.625,5.625,5.625,5.375
BCRX,1994-05-06,13500,5.75,5.5,5.75,5.5
BCRX,1994-05-09,20800,5.625,5.75,5.75,5.5
BCRX,1994-05-10,8100,5.875,5.5,5.875,5.5
BCRX,1994-05-11,7400,5.75,5.875,5.875,5.5
BCRX,1994-05-12,4800,5.625,5.75,5.75,5.625
BCRX,1994-05-13,5000,5.875,5.875,5.875,5.625
BCRX,1994-05-16,7700,5.5625,5.625,5.875,5.5625
BCRX,1994-05-17,8500,5.375,5.75,5.75,5.375
BCRX,1994-05-18,10900,5.625,5.375,5.625,5.375
BCRX,1994-05-19,4100,5.625,5.625,5.625,5.375
BCRX,1994-05-20,15500,5.375,5.375,5.5,5.125
BCRX,1994-05-23,1400,5.5,5.125,5.5,5.125
BCRX,1994-05-24,3000,5.375,5.1875,5.375,5.1875
BCRX,1994-05-25,5000,5.0,5.125,5.125,5.0
BCRX,1994-05-26,16900,4.875,5.0,5.0,4.625
BCRX,1994-05-27,12600,5.0,4.625,5.0,4.625
BCRX,1994-05-31,15400,5.25,4.875,5.25,4.875
BCRX,1994-06-01,14500,5.125,5.125,5.25,5.0
BCRX,1994-06-02,11300,5.25,5.25,5.25,5.125
BCRX,1994-06-03,51500,5.0,5.0,5.125,4.875
BCRX,1994-06-06,12500,5.125,5.0,5.125,5.0
BCRX,1994-06-07,60000,5.0,4.875,5.0625,4.875
BCRX,1994-06-08,8900,5.0,5.125,5.125,5.0
BCRX,1994-06-09,21000,4.625,4.875,5.0,4.5
BCRX,1994-06-10,13100,4.75,4.75,4.75,4.375
BCRX,1994-06-13,12000,4.75,4.75,4.75,4.75
BCRX,1994-06-14,11600,4.625,4.5,4.75,4.5
BCRX,1994-06-15,29800,5.375,4.75,5.375,4.75
BCRX,1994-06-16,21200,4.875,5.375,5.375,4.875
BCRX,1994-06-17,5000,5.0,5.125,5.125,5.0
BCRX,1994-06-20,3100,5.0,5.125,5.125,5.0
BCRX,1994-06-21,13300,4.875,5.125,5.125,4.875
BCRX,1994-06-22,2200,5.125,4.875,5.125,4.875
BCRX,1994-06-23,6600,4.875,4.75,5.0,4.75
BCRX,1994-06-24,4500,4.625,4.625,4.625,4.625
BCRX,1994-06-27,6200,4.5,4.5625,4.75,4.5
BCRX,1994-06-28,12600,4.375,4.5,4.5,4.375
BCRX,1994-06-29,1000,4.375,4.375,4.375,4.375
BCRX,1994-06-30,76700,5.0,4.5,5.0,4.125
BCRX,1994-07-01,12900,4.875,5.0,5.0,4.625
BCRX,1994-07-05,24200,4.875,4.625,5.125,4.625
BCRX,1994-07-06,15700,4.875,5.25,5.25,4.875
BCRX,1994-07-07,24000,5.0,5.125,5.25,4.875
BCRX,1994-07-08,21700,5.0625,5.0,5.125,4.875
BCRX,1994-07-11,15200,5.0,5.0,5.125,5.0
BCRX,1994-07-12,16400,5.25,5.125,5.25,4.9375
BCRX,1994-07-13,11600,5.25,5.125,5.25,5.125
BCRX,1994-07-14,5400,5.0,5.25,5.25,5.0
BCRX,1994-07-15,2300,5.25,5.0,5.25,5.0
BCRX,1994-07-18,2500,5.25,5.0,5.25,5.0
BCRX,1994-07-19,8400,5.0,5.125,5.25,5.0
BCRX,1994-07-20,4100,5.125,5.25,5.25,5.125
BCRX,1994-07-21,10700,5.0,5.0,5.25,5.0
BCRX,1994-07-22,20200,4.75,5.125,5.125,4.75
BCRX,1994-07-25,3400,4.8125,5.0,5.0,4.8125
BCRX,1994-07-26,5100,5.0,5.0,5.0,4.875
BCRX,1994-07-27,4200,4.875,5.0,5.0,4.875
BCRX,1994-07-28,4300,4.75,4.875,4.9375,4.75
BCRX,1994-07-29,300,4.875,4.875,5.0,4.875
BCRX,1994-08-01,1400,4.875,5.0,5.0,4.75
BCRX,1994-08-02,6200,4.75,4.75,4.75,4.5
BCRX,1994-08-03,1800,4.75,4.75,4.75,4.75
BCRX,1994-08-04,40000,4.625,4.75,4.8125,4.5
BCRX,1994-08-05,3000,4.6875,4.75,4.75,4.6875
BCRX,1994-08-08,1500,4.75,4.5,4.75,4.5
BCRX,1994-08-09,15300,4.5,4.75,4.75,4.375
BCRX,1994-08-10,8800,4.5,4.5,4.5,4.25
BCRX,1994-08-11,0,4.5,4.5,4.5,4.5
BCRX,1994-08-12,66200,4.5,4.375,4.625,4.375
BCRX,1994-08-15,1000,4.5625,4.5625,4.5625,4.5625
BCRX,1994-08-16,17500,4.5,4.5,4.625,4.375
BCRX,1994-08-17,1500,4.25,4.25,4.25,4.25
BCRX,1994-08-18,6800,4.625,4.625,4.625,4.25
BCRX,1994-08-19,0,4.625,4.625,4.625,4.625
BCRX,1994-08-22,7000,4.5,4.625,4.625,4.5
BCRX,1994-08-23,40000,4.25,4.625,4.625,4.125
BCRX,1994-08-24,600,4.5,4.5,4.5,4.5
BCRX,1994-08-25,1500,4.125,4.5,4.5,4.125
BCRX,1994-08-26,7400,4.5,4.5,4.5,4.125
BCRX,1994-08-29,55100,4.25,4.125,4.25,3.875
BCRX,1994-08-30,21200,4.125,3.875,4.125,3.875
BCRX,1994-08-31,7900,4.125,4.125,4.125,4.0
BCRX,1994-09-01,9300,4.125,4.125,4.125,4.0625
BCRX,1994-09-02,61700,3.9375,4.0625,4.125,3.75
BCRX,1994-09-06,14600,3.75,3.75,4.0,3.75
BCRX,1994-09-07,52800,3.875,3.75,4.0,3.75
BCRX,1994-09-08,78000,4.125,4.0,4.125,3.75
BCRX,1994-09-09,64000,4.25,4.125,4.25,4.0
BCRX,1994-09-12,64800,4.1875,4.5,4.5,4.0
BCRX,1994-09-13,66800,4.5,4.375,4.5,4.125
BCRX,1994-09-14,53700,4.125,4.625,4.625,4.125
BCRX,1994-09-15,29400,4.625,4.5,4.75,4.25
BCRX,1994-09-16,33100,4.5625,4.875,4.875,4.5
BCRX,1994-09-19,8100,4.875,4.875,4.875,4.5
BCRX,1994-09-20,25700,5.0,4.75,5.25,4.75
BCRX,1994-09-21,18000,5.25,5.25,5.25,5.0
BCRX,1994-09-22,96100,5.75,5.25,5.75,5.25
BCRX,1994-09-23,13600,5.75,5.75,5.75,5.375
BCRX,1994-09-26,14700,5.5,5.5,5.75,5.5
BCRX,1994-09-27,15000,5.75,5.75,5.875,5.5
BCRX,1994-09-28,11500,5.875,5.625,5.875,5.625
BCRX,1994-09-29,18700,5.75,5.875,5.875,5.5
BCRX,1994-09-30,118900,5.5,5.5,5.875,5.375
BCRX,1994-10-03,8100,5.25,5.375,5.375,5.0
BCRX,1994-10-04,6700,5.5,5.25,5.5,5.25
BCRX,1994-10-05,13400,5.375,5.25,5.625,5.25
BCRX,1994-10-06,2000,5.375,5.375,5.375,5.375
BCRX,1994-10-07,17700,5.375,5.375,5.625,5.375
BCRX,1994-10-10,7600,5.25,5.5,5.5,5.25
BCRX,1994-10-11,15700,5.5,5.5,5.5,5.28125
BCRX,1994-10-12,7200,5.25,5.5,5.5,5.25
BCRX,1994-10-13,0,5.25,5.25,5.25,5.25
BCRX,1994-10-14,300,5.375,5.375,5.375,5.375
BCRX,1994-10-17,6800,5.375,5.375,5.375,5.25
BCRX,1994-10-18,700,5.375,5.125,5.375,5.125
BCRX,1994-10-19,9500,5.5,5.125,5.5,5.125
BCRX,1994-10-20,25700,5.875,5.5,5.875,5.5
BCRX,1994-10-21,93700,5.75,5.5,5.875,5.5
BCRX,1994-10-24,19600,6.0,5.875,6.0,5.75
BCRX,1994-10-25,36500,6.0,6.0,6.0,5.625
BCRX,1994-10-26,7300,6.0,6.125,6.125,5.75
BCRX,1994-10-27,4000,6.0,5.75,6.0,5.75
BCRX,1994-10-28,8400,5.75,5.875,5.875,5.625
BCRX,1994-10-31,12700,5.75,5.5,5.75,5.5
BCRX,1994-11-01,15300,5.4375,5.625,5.625,5.4375
BCRX,1994-11-02,6900,5.625,5.375,5.625,5.375
BCRX,1994-11-03,4500,5.625,5.625,5.625,5.5
BCRX,1994-11-04,3500,5.5,5.75,5.75,5.5
BCRX,1994-11-07,9300,5.375,5.375,5.5,5.375
BCRX,1994-11-08,3100,5.5,5.4375,5.5,5.375
BCRX,1994-11-09,10200,5.625,5.5,5.75,5.375
BCRX,1994-11-10,700,5.375,5.625,5.625,5.375
BCRX,1994-11-11,9800,5.375,5.375,5.75,5.375
BCRX,1994-11-14,500,5.75,5.75,5.75,5.75
BCRX,1994-11-15,1200,5.75,5.75,5.75,5.75
BCRX,1994-11-16,2300,5.625,5.375,5.625,5.375
BCRX,1994-11-17,100,5.625,5.625,5.625,5.625
BCRX,1994-11-18,2300,5.375,5.375,5.625,5.375
BCRX,1994-11-21,12700,5.5,5.625,5.625,5.125
BCRX,1994-11-22,25300,5.375,5.5,5.5,5.25
BCRX,1994-11-23,600,5.375,5.125,5.375,5.125
BCRX,1994-11-25,100,5.375,5.375,5.375,5.375
