date,open,close
2020-05-11,5.09,5.06
2020-05-12,5.09,4.9
2020-05-13,4.86,4.71
2020-05-14,4.54,4.76
2020-05-15,4.73,4.71
2020-05-18,5.0,5.17
2020-05-19,5.09,5.01
2020-05-20,5.11,5.17
2020-05-21,5.07,5.06
2020-05-22,5.11,5.03
2020-05-26,5.32,5.44
2020-05-27,5.88,5.83
2020-05-28,6.04,5.9
2020-05-29,5.68,5.66
2020-06-01,5.83,5.99
2020-06-02,6.04,5.95
2020-06-03,6.09,6.27
2020-06-04,6.17,6.23
2020-06-05,6.61,6.6
2020-06-08,6.79,6.72
2020-06-09,6.37,6.43
2020-06-10,6.41,6.23
2020-06-11,5.82,5.64
2020-06-12,5.99,5.92
2020-06-15,5.7,5.9
2020-06-16,6.25,6.12
2020-06-17,6.04,5.89
2020-06-18,5.82,5.82
2020-06-19,5.88,5.65
2020-06-22,5.72,5.72
2020-06-23,5.83,5.76
2020-06-24,5.65,5.5
2020-06-25,5.5,5.65
2020-06-26,5.58,5.38
2020-06-29,5.55,5.61
2020-06-30,5.56,5.66
2020-07-01,5.67,5.62
2020-07-02,5.9,5.8
2020-07-06,5.82,5.83
2020-07-07,5.77,5.65
2020-07-08,5.68,5.77
2020-07-09,5.76,5.6
2020-07-10,5.82,6.01
2020-07-13,6.05,5.91
2020-07-14,5.91,5.98
2020-07-15,6.1,6.08
2020-07-16,5.91,5.9
2020-07-17,5.78,5.78
2020-07-20,5.79,5.83
2020-07-21,5.88,5.88
2020-07-22,5.9,5.93
2020-07-23,5.9,5.85
2020-07-24,5.85,5.76
2020-07-27,5.7,5.69
2020-07-28,5.7,5.76
2020-07-29,5.47,5.51
2020-07-30,5.18,5.28
2020-07-31,5.38,5.24
2020-08-03,5.31,5.38
2020-08-04,5.39,5.46
2020-08-05,5.56,5.58
2020-08-06,5.5,5.54
2020-08-07,5.37,5.54
2020-08-10,5.51,5.58
2020-08-11,5.77,5.75
2020-08-12,5.85,5.74
2020-08-13,5.69,5.62
2020-08-14,5.63,5.65
2020-08-17,5.73,5.61
2020-08-18,5.72,5.65
2020-08-19,5.7,5.67
2020-08-20,5.58,5.62
2020-08-21,5.55,5.61
2020-08-24,5.6,5.74
2020-08-25,5.79,5.7
2020-08-26,5.75,5.78
2020-08-27,5.82,5.78
2020-08-28,5.91,5.95
2020-08-31,5.93,5.82
2020-09-01,5.69,5.6
2020-09-02,5.5,5.53
2020-09-03,5.68,5.52
2020-09-04,5.65,5.68
2020-09-08,5.4,5.36
2020-09-09,5.37,5.39
2020-09-10,5.44,5.3
2020-09-11,5.23,5.25
2020-09-14,5.29,5.29
2020-09-15,5.27,5.22
2020-09-16,5.21,5.29
2020-09-17,5.14,5.19
2020-09-18,5.08,5.02
2020-09-21,4.75,4.74
2020-09-22,4.76,4.68
2020-09-23,4.82,4.64
2020-09-24,4.78,4.75
2020-09-25,4.62,4.7
2020-09-28,4.93,4.99
2020-09-29,4.99,4.96
2020-09-30,5.06,5.01
2020-10-01,5.02,5.0
2020-10-02,4.94,5.08
2020-10-05,5.07,5.13
2020-10-06,5.34,5.28
2020-10-07,5.46,5.39
2020-10-08,5.51,5.54
2020-10-09,5.6,5.55
2020-10-12,5.48,5.55
2020-10-13,5.35,5.25
2020-10-14,5.3,5.23
2020-10-15,5.09,5.19
2020-10-16,5.21,5.26
2020-10-19,5.28,5.29
2020-10-20,5.34,5.37
2020-10-21,5.4,5.36
