date,open,close
2020-05-12,2.68,2.57
2020-05-13,2.58,2.44
2020-05-14,2.4,2.6
2020-05-15,2.51,2.56
2020-05-18,2.68,2.8
2020-05-19,2.77,2.62
2020-05-20,2.67,2.76
2020-05-21,2.75,2.69
2020-05-22,2.69,2.57
2020-05-26,2.73,2.74
2020-05-27,2.76,2.84
2020-05-28,2.87,2.67
2020-05-29,2.67,2.58
2020-06-01,2.6,2.68
2020-06-02,2.71,2.61
2020-06-03,2.66,2.81
2020-06-04,2.81,3.09
2020-06-05,3.25,3.17
2020-06-08,3.3,3.29
2020-06-09,3.18,3.17
2020-06-10,3.14,3.14
2020-06-11,2.97,2.87
2020-06-12,3.04,2.94
2020-06-15,2.75,3.04
2020-06-16,3.15,3.01
2020-06-17,3.0,2.92
2020-06-18,2.85,2.84
2020-06-19,2.89,2.7
2020-06-22,2.72,2.79
2020-06-23,2.84,2.8
2020-06-24,2.79,2.7
2020-06-25,2.71,2.93
2020-06-26,2.93,2.63
2020-06-29,2.71,2.75
2020-06-30,2.75,2.74
2020-07-01,2.74,2.63
2020-07-02,2.71,2.62
2020-07-06,2.67,2.62
2020-07-07,2.63,2.49
2020-07-08,2.49,2.6
2020-07-09,2.59,2.58
2020-07-10,2.57,2.72
2020-07-13,2.75,2.75
2020-07-14,2.74,2.81
2020-07-15,2.86,2.9
2020-07-16,2.89,2.86
2020-07-17,2.81,2.83
2020-07-20,2.8,2.78
2020-07-21,2.72,2.85
2020-07-22,2.82,2.84
2020-07-23,2.8,2.82
2020-07-24,2.79,2.76
2020-07-27,2.73,2.84
2020-07-28,2.81,2.73
2020-07-29,2.75,2.68
2020-07-30,2.63,2.76
2020-07-31,2.73,2.77
2020-08-03,2.75,2.75
2020-08-04,2.77,2.79
2020-08-05,2.83,2.9
2020-08-06,2.89,2.82
2020-08-07,2.81,2.89
2020-08-10,2.9,2.87
2020-08-11,2.9,2.83
2020-08-12,2.89,2.81
2020-08-13,2.78,2.75
2020-08-14,2.73,2.69
2020-08-17,2.71,2.66
2020-08-18,2.65,2.58
2020-08-19,2.57,2.54
2020-08-20,2.54,2.47
2020-08-21,2.46,2.43
2020-08-24,2.47,2.51
2020-08-25,2.55,2.45
2020-08-26,2.45,2.43
2020-08-27,2.41,2.5
2020-08-28,2.52,2.61
2020-08-31,2.58,2.52
2020-09-01,2.49,2.56
2020-09-02,2.56,2.6
2020-09-03,2.59,2.56
2020-09-04,2.57,2.56
2020-09-08,2.52,2.48
2020-09-09,2.49,2.49
2020-09-10,2.49,2.44
2020-09-11,2.47,2.37
2020-09-14,2.4,2.43
2020-09-15,2.45,2.37
2020-09-16,2.39,2.46
2020-09-17,2.46,2.47
2020-09-18,2.5,2.49
2020-09-21,2.42,2.35
2020-09-22,2.33,2.33
2020-09-23,2.33,2.31
2020-09-24,2.29,2.24
2020-09-25,2.25,2.34
2020-09-28,2.35,2.4
2020-09-29,2.4,2.39
2020-09-30,2.42,2.4
2020-10-01,2.39,2.51
2020-10-02,2.46,2.59
2020-10-05,2.58,2.71
2020-10-06,2.73,2.65
2020-10-07,2.68,2.67
2020-10-08,2.72,2.75
2020-10-09,2.77,2.68
2020-10-12,2.67,2.86
2020-10-13,2.83,2.72
2020-10-14,2.69,2.64
2020-10-15,2.63,2.74
2020-10-16,2.71,2.84
2020-10-19,2.84,2.75
2020-10-20,2.78,2.77
2020-10-21,2.75,2.71
2020-10-22,2.72,2.69
2020-10-23,2.71,2.65
2020-10-26,2.59,2.54
2020-10-27,2.54,2.51
2020-10-28,2.52,2.68
2020-10-29,2.66,2.92
2020-10-30,2.9,2.95
2020-11-02,2.96,2.87
2020-11-03,2.95,2.9
2020-11-04,2.82,2.94
2020-11-05,2.94,3.27
2020-11-06,3.27,3.16
2020-11-09,3.32,3.51
2020-11-10,3.46,3.51
2020-11-11,3.51,3.51
2020-11-12,3.46,3.53
2020-11-13,3.53,3.62
2020-11-16,3.68,3.75
2020-11-17,3.75,3.75
2020-11-18,3.75,3.63
2020-11-19,3.61,3.67
2020-11-20,3.6,3.84
2020-11-23,3.84,3.77
2020-11-24,3.79,4.04
2020-11-25,4.04,4.11
2020-11-27,4.24,4.15
2020-11-30,4.11,4.14
2020-12-01,4.21,4.09
2020-12-02,4.02,4.22
2020-12-03,4.2,4.16
2020-12-04,4.17,4.46
2020-12-07,4.47,4.34
2020-12-08,4.31,4.36
2020-12-09,4.41,4.26
2020-12-10,4.23,4.33
2020-12-11,4.27,4.29
2020-12-14,4.32,4.22
2020-12-15,4.27,4.43
2020-12-16,4.43,4.34
2020-12-17,4.37,4.34
2020-12-18,4.37,4.24
2020-12-21,4.21,4.19
2020-12-22,4.17,4.13
2020-12-23,4.1,4.08
2020-12-24,4.11,4.15
2020-12-28,4.17,4.12
2020-12-29,4.11,3.97
2020-12-30,4.09,3.92
2020-12-31,3.95,4.0
2021-01-04,4.01,3.84
2021-01-05,3.83,3.91
2021-01-06,3.98,4.12
2021-01-07,4.12,4.1
2021-01-08,4.09,3.97
2021-01-11,3.94,3.95
2021-01-12,3.95,4.01
2021-01-13,3.99,3.93
2021-01-14,3.89,3.86
2021-01-15,3.79,3.8
2021-01-19,3.85,3.88
2021-01-20,3.87,3.88
2021-01-21,3.89,3.83
2021-01-22,3.83,3.86
2021-01-25,3.82,3.86
2021-01-26,3.86,3.9
2021-01-27,3.82,3.72
2021-01-28,3.78,3.66
2021-01-29,3.66,3.55
2021-02-01,3.61,3.59
2021-02-02,3.62,3.78
2021-02-03,3.78,4.05
2021-02-04,4.01,4.1
2021-02-05,4.15,4.04
2021-02-08,4.08,4.05
2021-02-09,4.03,4.06
2021-02-10,4.09,4.27
2021-02-11,4.32,4.43
2021-02-12,4.41,4.67
2021-02-16,4.71,4.69
2021-02-17,4.69,4.69
2021-02-18,4.65,4.67
2021-02-19,4.67,4.81
2021-02-22,4.84,4.89
2021-02-23,4.87,4.91
2021-02-24,4.7,4.67
2021-02-25,4.62,4.46
2021-02-26,4.24,4.48
2021-03-01,4.55,4.46
2021-03-02,4.46,4.37
2021-03-03,4.4,4.36
2021-03-04,4.35,4.32
2021-03-05,4.38,4.35
2021-03-08,4.39,4.57
2021-03-09,4.56,4.55
2021-03-10,4.58,4.48
2021-03-11,4.5,4.58
2021-03-12,4.62,4.57
2021-03-15,4.53,4.48
2021-03-16,4.5,4.41
2021-03-17,4.37,4.57
2021-03-18,4.61,4.6
2021-03-19,4.59,4.48
2021-03-22,4.46,4.42
2021-03-23,4.37,4.3
2021-03-24,4.35,4.21
2021-03-25,4.21,4.29
2021-03-26,4.32,4.51
2021-03-29,4.49,4.47
