date,open,close
2020-09-17,16.5,16.3
2020-09-18,16.5,16.75
2020-09-21,16.65,16.45
2020-09-22,16.3,16.26
2020-09-23,16.1,16.36
2020-09-24,16.5,16.57
2020-09-25,16.65,16.59
2020-09-28,16.55,17.0
2020-09-29,16.9,16.79
2020-09-30,16.75,16.78
2020-10-01,16.83,16.68
2020-10-02,16.55,16.85
2020-10-05,16.83,16.96
2020-10-06,16.85,16.84
2020-10-07,16.91,16.8
2020-10-08,16.87,16.8
2020-10-09,16.97,16.76
2020-10-12,16.91,16.9
2020-10-13,16.96,16.76
2020-10-14,16.8,16.72
2020-10-15,16.69,16.79
2020-10-16,16.82,17.02
2020-10-19,17.06,16.61
2020-10-20,16.68,16.73
2020-10-21,16.79,16.6
2020-10-22,16.53,16.58
2020-10-23,16.65,16.77
2020-10-26,16.75,16.74
2020-10-27,16.66,16.75
2020-10-28,16.7,16.39
2020-10-29,16.5,16.62
2020-10-30,16.7,16.5
2020-11-02,16.58,16.48
2020-11-03,16.55,16.26
2020-11-04,16.21,16.19
2020-11-05,16.3,16.5
2020-11-06,16.41,16.47
2020-11-09,16.63,16.74
2020-11-10,16.71,16.98
2020-11-11,16.98,17.03
2020-11-12,17.06,17.0
2020-11-13,16.93,17.03
2020-11-16,17.18,17.36
2020-11-17,17.3,17.79
2020-11-18,17.8,17.39
2020-11-19,17.46,17.53
2020-11-20,17.51,17.5
2020-11-23,17.55,17.46
2020-11-24,17.54,17.7
2020-11-25,17.84,18.09
2020-11-27,18.09,17.94
2020-11-30,17.87,17.63
2020-12-01,17.7,18.26
2020-12-02,18.25,18.33
2020-12-03,18.33,18.35
2020-12-04,18.39,18.34
2020-12-07,18.67,18.59
2020-12-08,18.59,18.55
2020-12-09,18.64,18.65
2020-12-10,18.55,18.79
2020-12-11,18.87,19.0
2020-12-14,19.15,18.62
2020-12-15,19.05,19.16
2020-12-16,19.3,19.62
2020-12-17,19.67,19.77
2020-12-18,19.88,19.5
2020-12-21,19.5,19.26
2020-12-22,19.23,19.52
2020-12-23,19.57,19.51
2020-12-24,19.6,19.7
2020-12-28,19.69,19.6
2020-12-29,19.71,19.62
2020-12-30,19.34,19.41
2020-12-31,19.4,19.58
2021-01-04,19.68,19.26
2021-01-05,19.12,19.26
2021-01-06,19.39,19.31
2021-01-07,19.3,18.78
2021-01-08,18.68,18.83
2021-01-11,18.64,18.77
2021-01-12,18.77,18.76
2021-01-13,18.76,18.79
2021-01-14,18.95,18.44
2021-01-15,18.3,18.58
2021-01-19,18.58,18.09
2021-01-20,18.12,18.28
2021-01-21,18.23,18.4
2021-01-22,18.23,18.16
2021-01-25,18.46,18.75
2021-01-26,19.04,18.53
2021-01-27,18.36,18.16
2021-01-28,18.27,18.38
2021-01-29,18.27,18.03
2021-02-01,18.03,18.26
2021-02-02,18.39,18.35
2021-02-03,18.24,18.3
2021-02-04,18.14,18.35
2021-02-05,18.31,18.32
2021-02-08,18.3,18.2
2021-02-09,18.21,18.24
2021-02-10,18.32,18.41
2021-02-11,18.43,18.56
2021-02-12,18.45,18.94
2021-02-16,18.91,18.61
2021-02-17,18.51,18.7
2021-02-18,18.7,18.73
2021-02-19,18.64,19.03
2021-02-22,18.92,18.74
2021-02-23,18.84,19.15
2021-02-24,19.28,18.89
2021-02-25,19.08,18.5
2021-02-26,18.5,18.09
2021-03-01,18.31,18.66
2021-03-02,18.56,18.35
2021-03-03,18.37,18.32
2021-03-04,18.25,18.24
2021-03-05,18.45,18.17
2021-03-08,18.18,17.82
2021-03-09,17.89,17.82
2021-03-10,17.8,18.17
2021-03-11,18.17,18.19
2021-03-12,18.28,18.25
2021-03-15,18.15,18.55
2021-03-16,18.7,18.59
2021-03-17,18.56,18.35
2021-03-18,18.32,18.4
2021-03-19,18.34,18.64
2021-03-22,18.67,18.18
2021-03-23,18.1,18.01
2021-03-24,17.9,18.49
2021-03-25,18.49,18.21
2021-03-26,18.16,18.49
2021-03-29,18.44,18.45
2021-03-30,18.1,18.18
2021-03-31,18.2,18.3
2021-04-01,18.34,18.4
2021-04-05,18.4,18.62
2021-04-06,18.62,18.8
2021-04-07,18.8,18.77
2021-04-08,18.84,18.61
2021-04-09,18.62,18.57
2021-04-12,18.5,18.65
2021-04-13,18.7,18.92
2021-04-14,18.92,18.83
2021-04-15,18.72,18.89
2021-04-16,18.86,19.22
2021-04-19,19.19,19.31
2021-04-20,19.23,19.3
2021-04-21,19.25,19.44
2021-04-22,19.47,19.46
2021-04-23,19.55,19.56
2021-04-26,19.5,19.55
2021-04-27,19.52,19.55
2021-04-28,19.61,19.56
2021-04-29,19.66,20.36
2021-04-30,20.34,20.18
2021-05-03,20.35,20.21
2021-05-04,20.19,20.29
2021-05-05,20.35,20.1
2021-05-06,20.07,20.05
2021-05-07,19.93,20.26
