date,open,close
2020-05-11,24.32,23.92
2020-05-12,24.09,23.29
2020-05-13,22.68,21.24
2020-05-14,20.75,21.24
2020-05-15,21.01,21.27
2020-05-18,22.55,22.99
2020-05-19,22.92,22.46
2020-05-20,22.74,23.09
2020-05-21,23.06,22.84
2020-05-22,22.82,23.1
2020-05-26,24.45,24.73
2020-05-27,25.5,25.18
2020-05-28,25.51,24.57
2020-05-29,24.22,23.59
2020-06-01,23.57,23.95
2020-06-02,24.27,24.57
2020-06-03,25.09,26.29
2020-06-04,26.2,26.66
2020-06-05,28.38,27.4
2020-06-08,28.42,29.23
2020-06-09,27.57,27.01
2020-06-10,27.16,26.3
2020-06-11,24.91,23.62
2020-06-12,25.11,24.84
2020-06-15,23.57,24.52
2020-06-16,26.11,25.44
2020-06-17,25.59,25.06
2020-06-18,24.65,25.26
2020-06-19,25.69,25.01
2020-06-22,24.9,24.78
2020-06-23,25.04,25.46
2020-06-24,24.96,23.6
2020-06-25,23.25,24.37
2020-06-26,24.09,24.25
2020-06-29,23.75,24.13
2020-06-30,23.96,24.09
2020-07-01,23.95,23.31
2020-07-02,23.81,23.19
2020-07-06,23.6,23.2
2020-07-07,23.0,22.05
2020-07-08,22.11,21.82
2020-07-09,21.75,21.25
2020-07-10,21.12,21.71
2020-07-13,21.95,21.9
2020-07-14,21.84,22.53
2020-07-15,23.14,23.62
2020-07-16,23.37,23.43
2020-07-17,23.41,23.11
2020-07-20,22.97,23.0
2020-07-21,23.25,23.18
2020-07-22,23.04,23.63
2020-07-23,23.5,23.28
2020-07-24,23.37,22.64
2020-07-27,22.61,22.87
2020-07-28,22.99,23.52
2020-07-29,23.72,24.16
2020-07-30,23.93,24.19
2020-07-31,24.07,24.07
2020-08-03,23.96,23.68
2020-08-04,23.61,23.54
2020-08-05,23.79,24.03
2020-08-06,23.96,24.0
2020-08-07,23.89,23.93
2020-08-10,24.14,24.74
2020-08-11,25.28,25.46
2020-08-12,25.78,25.41
2020-08-13,25.04,24.31
2020-08-14,24.15,24.45
2020-08-17,24.3,24.2
2020-08-18,24.3,24.08
2020-08-19,24.0,23.75
2020-08-20,23.64,23.29
2020-08-21,23.05,23.41
2020-08-24,23.52,24.06
2020-08-25,24.32,23.78
2020-08-26,23.67,23.51
2020-08-27,23.41,23.8
2020-08-28,24.04,24.09
2020-08-31,24.0,23.77
2020-09-01,24.0,24.31
2020-09-02,24.51,24.72
2020-09-03,24.8,24.31
2020-09-04,24.63,24.28
2020-09-08,24.14,23.89
2020-09-09,23.93,24.05
2020-09-10,24.29,23.9
2020-09-11,23.88,22.89
2020-09-14,22.97,23.59
2020-09-15,23.61,23.36
2020-09-16,23.62,23.68
2020-09-17,23.46,23.65
2020-09-18,23.72,23.5
2020-09-21,23.1,22.5
2020-09-22,22.6,22.55
2020-09-23,22.56,21.69
2020-09-24,21.81,21.59
2020-09-25,21.56,22.3
2020-09-28,22.78,23.17
2020-09-29,22.45,22.18
2020-09-30,22.2,21.97
2020-10-01,22.06,22.37
2020-10-02,21.84,22.56
2020-10-05,22.85,22.94
2020-10-06,23.0,22.83
2020-10-07,22.95,22.72
2020-10-08,22.92,24.21
2020-10-09,24.2,23.36
2020-10-12,23.34,23.5
2020-10-13,23.42,23.17
2020-10-14,23.1,23.01
2020-10-15,23.01,23.12
2020-10-16,23.04,23.04
2020-10-19,23.17,22.55
2020-10-20,22.79,22.31
2020-10-21,22.23,22.14
2020-10-22,22.04,22.09
2020-10-23,22.27,22.44
2020-10-26,22.25,21.68
2020-10-27,21.76,21.77
2020-10-28,21.46,21.03
2020-10-29,21.25,22.04
2020-10-30,22.08,21.7
2020-11-02,21.92,22.21
2020-11-03,22.55,22.69
2020-11-04,22.42,22.27
2020-11-05,22.52,22.46
2020-11-06,22.62,21.8
2020-11-09,23.97,24.64
2020-11-10,24.87,26.05
2020-11-11,26.06,25.39
2020-11-12,25.03,24.54
2020-11-13,24.69,25.21
2020-11-16,25.91,25.98
2020-11-17,25.77,25.74
2020-11-18,25.92,25.61
2020-11-19,25.5,25.72
2020-11-20,25.63,25.73
2020-11-23,25.99,26.21
2020-11-24,26.97,27.88
2020-11-25,27.8,27.16
2020-11-27,27.21,26.83
2020-11-30,26.67,25.98
2020-12-01,26.31,26.87
2020-12-02,27.17,27.9
