date,open,close
2020-10-05,12.0,11.78
2020-10-06,12.06,11.78
2020-10-07,11.88,11.6
2020-10-08,11.62,11.37
2020-10-09,11.63,11.4
2020-10-12,11.69,11.46
2020-10-13,11.5,11.8
2020-10-14,12.5,11.78
2020-10-15,12.2,12.13
2020-10-16,12.05,11.62
2020-10-19,11.74,11.48
2020-10-20,11.37,11.51
2020-10-21,11.94,11.47
2020-10-22,11.41,11.43
2020-10-23,11.3,11.39
2020-10-26,11.1,11.28
2020-10-27,11.39,11.4
2020-10-28,11.39,11.3
2020-10-29,11.15,11.44
2020-10-30,11.21,11.27
2020-11-02,11.36,11.35
2020-11-03,11.33,11.5
2020-11-04,11.47,11.5
2020-11-05,11.45,11.45
2020-11-06,11.57,11.42
2020-11-09,11.77,11.5
2020-11-10,11.53,11.5
2020-11-11,11.45,11.69
2020-11-12,11.65,11.65
2020-11-13,11.74,11.54
2020-11-16,11.7,11.43
2020-11-17,11.6,11.46
2020-11-18,11.42,11.4
2020-11-19,11.5,11.5
2020-11-20,11.44,11.5
2020-11-23,11.45,11.48
2020-11-24,11.65,11.57
2020-11-25,11.95,12.25
2020-11-27,12.99,12.2
2020-11-30,12.81,12.8
2020-12-01,12.79,12.8
2020-12-02,12.66,12.4
2020-12-03,12.3,12.4
2020-12-04,12.34,12.53
2020-12-07,13.05,12.87
2020-12-08,12.63,12.7
2020-12-09,13.01,13.49
2020-12-10,13.99,13.2
2020-12-11,14.0,13.1
2020-12-14,13.18,12.99
2020-12-15,12.82,13.29
2020-12-16,13.13,13.2
2020-12-17,13.33,13.85
2020-12-18,14.35,13.92
2020-12-21,13.9,13.5
2020-12-22,14.48,13.3
2020-12-23,13.72,13.57
2020-12-24,13.8,14.0
2020-12-28,14.45,13.99
2020-12-29,14.2,13.74
2020-12-30,13.5,13.3
2020-12-31,13.23,13.27
2021-01-04,13.25,13.28
2021-01-05,13.5,13.31
2021-01-06,13.5,13.3
2021-01-07,13.86,13.81
2021-01-08,14.16,13.57
2021-01-11,13.44,13.43
2021-01-12,13.48,13.95
2021-01-13,14.56,14.27
2021-01-14,14.24,14.39
2021-01-15,14.25,14.31
2021-01-19,14.39,14.24
2021-01-20,14.08,14.2
2021-01-21,14.1,14.55
2021-01-22,14.5,14.5
2021-01-25,14.33,14.7
2021-01-26,14.53,14.25
2021-01-27,13.79,13.16
2021-01-28,13.28,13.79
2021-01-29,13.87,13.47
2021-02-01,13.66,13.79
2021-02-02,13.61,13.85
2021-02-03,16.1,13.1
2021-02-04,13.25,13.28
2021-02-05,12.84,12.38
2021-02-08,12.69,12.14
2021-02-09,12.09,11.71
2021-02-10,11.9,11.94
2021-02-11,11.81,12.06
2021-02-12,11.93,12.07
2021-02-16,12.0,11.81
2021-02-17,11.51,12.0
2021-02-18,11.66,11.85
2021-02-19,12.0,11.88
2021-02-22,11.76,11.78
2021-02-23,11.79,11.3
2021-02-24,11.38,11.16
2021-02-25,11.16,11.11
2021-02-26,10.84,10.56
2021-03-01,10.75,10.95
2021-03-02,10.8,10.79
2021-03-03,10.79,10.39
2021-03-04,10.2,10.42
2021-03-05,10.55,10.76
2021-03-08,10.8,10.8
2021-03-09,10.81,11.0
2021-03-10,10.93,11.32
2021-03-11,11.27,11.2
2021-03-12,11.05,11.23
2021-03-15,11.12,11.17
2021-03-16,11.09,11.05
2021-03-17,10.93,11.07
2021-03-18,11.0,10.79
2021-03-19,10.78,10.64
2021-03-22,10.61,10.58
2021-03-23,10.56,10.52
2021-03-24,10.43,10.18
2021-03-25,10.01,10.16
2021-03-26,10.15,10.27
2021-03-29,10.21,10.11
2021-03-30,10.11,10.1
2021-03-31,10.1,10.15
2021-04-01,10.15,10.24
2021-04-05,10.32,10.17
2021-04-06,10.2,10.24
2021-04-07,10.28,10.27
2021-04-08,10.29,10.23
2021-04-09,10.23,10.22
2021-04-12,10.2,10.1
2021-04-13,10.12,10.15
2021-04-14,10.11,10.11
2021-04-15,10.14,10.14
2021-04-16,10.11,10.11
2021-04-19,10.1,10.16
2021-04-20,10.15,10.14
2021-04-21,10.16,10.16
2021-04-22,10.19,10.19
2021-04-23,10.16,10.21
2021-04-26,10.22,10.37
2021-04-27,10.28,10.37
2021-04-28,10.41,10.26
2021-04-29,10.35,10.29
2021-04-30,10.34,10.26
2021-05-03,10.27,10.24
2021-05-04,10.25,10.29
2021-05-05,10.35,10.36
2021-05-06,10.33,10.44
2021-05-07,10.44,10.4
2021-05-10,10.32,10.37
2021-05-11,10.1,10.0
2021-05-12,10.0,9.95
2021-05-13,9.95,9.96
2021-05-14,9.97,9.95
2021-05-17,9.94,9.91
2021-05-18,9.98,9.91
2021-05-19,9.9,9.94
2021-05-20,9.98,9.92
2021-05-21,9.9,9.96
2021-05-24,9.95,9.95
2021-05-25,9.95,10.0
2021-05-26,10.0,9.99
2021-05-27,9.98,9.98
2021-05-28,9.95,9.94
2021-06-01,9.95,9.98
2021-06-02,10.0,9.92
2021-06-03,9.93,9.98
2021-06-04,9.98,9.97
2021-06-07,9.94,9.98
2021-06-08,10.03,9.99
2021-06-09,10.01,10.05
2021-06-10,10.07,10.09
2021-06-11,10.06,10.09
2021-06-14,10.13,10.04
2021-06-15,10.02,10.0
2021-06-16,10.01,9.98
2021-06-17,10.0,9.99
2021-06-18,9.98,10.0
2021-06-21,10.0,10.0
2021-06-22,10.0,9.98
2021-06-23,9.95,9.98
2021-06-24,10.05,9.95
2021-06-25,9.97,9.97
2021-06-28,9.96,9.99
2021-06-29,9.97,9.97
2021-06-30,9.99,9.96
2021-07-01,9.96,9.96
2021-07-02,9.96,9.99
2021-07-06,10.0,9.99
2021-07-07,9.98,9.98
2021-07-08,9.96,9.97
2021-07-09,9.99,9.99
2021-07-12,9.96,9.98
2021-07-13,10.0,9.98
2021-07-14,9.99,9.98
2021-07-15,9.97,9.97
2021-07-16,9.96,9.97
2021-07-19,9.96,9.97
2021-07-20,9.96,9.97
2021-07-21,9.98,9.98
2021-07-22,9.97,9.98
2021-07-23,9.96,9.98
2021-07-26,9.92,9.59
2021-07-27,9.58,9.1
2021-07-28,9.1,9.36
2021-07-29,9.38,9.16
2021-07-30,9.13,9.26
2021-08-02,9.77,10.06
2021-08-03,10.0,9.54
2021-08-04,9.62,9.1
2021-08-05,9.07,8.9
2021-08-06,8.92,8.84
2021-08-09,8.75,9.05
2021-08-10,9.06,8.9
2021-08-11,8.92,8.95
2021-08-12,8.95,9.29
2021-08-13,9.41,10.07
2021-08-16,10.11,9.62
2021-08-17,9.56,9.57
2021-08-18,9.57,9.5
2021-08-19,9.57,9.52
2021-08-20,9.59,9.99
2021-08-23,10.01,10.5
2021-08-24,10.54,10.74
2021-08-25,10.8,10.73
2021-08-26,10.73,10.84
2021-08-27,10.96,11.6
2021-08-30,11.71,10.85
2021-08-31,10.85,11.6
2021-09-01,11.6,11.55
2021-09-02,11.43,11.78
2021-09-03,11.68,11.87
2021-09-07,11.83,10.87
2021-09-08,10.8,10.99
2021-09-09,10.82,11.3
2021-09-10,11.31,11.81
2021-09-13,11.62,11.36
2021-09-14,11.18,11.29
2021-09-15,11.16,11.36
2021-09-16,11.3,11.52
2021-09-17,11.5,11.43
2021-09-20,11.11,11.33
2021-09-21,11.29,11.5
2021-09-22,11.44,11.75
2021-09-23,11.79,11.47
2021-09-24,11.37,11.46
2021-09-27,11.34,11.34
2021-09-28,11.16,10.9
2021-09-29,10.87,10.26
2021-09-30,10.24,10.51
2021-10-01,10.51,10.57
2021-10-04,10.54,10.45
2021-10-05,10.36,10.55
2021-10-06,10.39,10.27
2021-10-07,10.36,10.14
2021-10-08,10.13,10.11
2021-10-11,10.11,10.09
2021-10-12,10.16,10.2
2021-10-13,10.2,10.31
2021-10-14,10.37,10.51
2021-10-15,10.58,10.35
2021-10-18,10.32,10.24
2021-10-19,10.29,10.57
2021-10-20,10.59,11.4
2021-10-21,11.3,11.61
2021-10-22,11.62,11.8
2021-10-25,11.84,11.75
2021-10-26,11.82,11.81
2021-10-27,11.86,11.86
2021-10-28,11.89,12.13
2021-10-29,12.07,11.98
2021-11-01,11.99,12.15
2021-11-02,12.24,12.2
2021-11-03,12.18,12.09
2021-11-04,12.1,12.11
2021-11-05,12.21,12.25
2021-11-08,12.18,12.3
2021-11-09,12.27,12.0
2021-11-10,11.93,11.64
2021-11-11,11.5,12.47
2021-11-12,12.37,12.52
2021-11-15,12.68,12.88
