date,open,close
2020-05-11,14.07,13.85
2020-05-12,14.1,13.19
2020-05-13,13.0,12.26
2020-05-14,11.67,12.27
2020-05-15,12.12,12.78
2020-05-18,14.1,14.72
2020-05-19,14.61,14.11
2020-05-20,14.62,14.15
2020-05-21,13.9,14.6
2020-05-22,14.92,14.46
2020-05-26,15.92,16.28
2020-05-27,18.17,17.24
2020-05-28,17.34,15.93
2020-05-29,15.23,15.74
2020-06-01,15.99,16.8
2020-06-02,17.33,16.87
2020-06-03,16.72,17.25
2020-06-04,17.36,18.48
2020-06-05,22.29,21.51
2020-06-08,24.57,24.91
2020-06-09,23.88,23.04
2020-06-10,22.2,20.59
2020-06-11,17.3,17.44
2020-06-12,19.81,19.98
2020-06-15,18.14,19.44
2020-06-16,21.82,20.42
2020-06-17,19.32,19.09
2020-06-18,17.96,18.82
2020-06-19,19.3,17.83
2020-06-22,17.36,17.23
2020-06-23,17.5,18.0
2020-06-24,17.03,16.0
2020-06-25,15.22,16.0
2020-06-26,16.21,15.78
2020-06-29,15.52,16.78
2020-06-30,16.55,16.42
2020-07-01,16.94,16.36
2020-07-02,17.05,15.88
2020-07-06,16.04,15.61
2020-07-07,15.23,14.57
2020-07-08,14.54,15.32
2020-07-09,15.87,14.58
2020-07-10,14.48,16.16
2020-07-13,16.48,15.28
2020-07-14,14.97,15.04
2020-07-15,16.13,17.48
2020-07-16,16.44,15.78
2020-07-17,15.64,15.47
2020-07-20,15.56,15.0
2020-07-21,15.27,15.19
2020-07-22,15.1,15.14
2020-07-23,15.01,14.8
2020-07-24,14.59,14.8
2020-07-27,14.6,13.75
2020-07-28,13.81,14.33
2020-07-29,14.47,14.65
2020-07-30,14.23,14.34
2020-07-31,14.22,13.88
2020-08-03,13.48,13.07
2020-08-04,13.1,13.74
2020-08-05,14.22,14.02
2020-08-06,13.45,13.78
2020-08-07,13.62,14.22
2020-08-10,14.37,15.44
2020-08-11,16.49,15.82
2020-08-12,16.2,15.19
2020-08-13,15.0,15.22
2020-08-14,15.02,15.47
2020-08-17,15.4,14.68
2020-08-18,14.68,14.41
2020-08-19,14.42,14.6
2020-08-20,14.35,14.54
2020-08-21,14.47,14.65
2020-08-24,15.02,16.14
2020-08-25,16.29,15.89
2020-08-26,15.71,15.28
2020-08-27,15.67,16.12
2020-08-28,16.58,17.21
2020-08-31,17.33,16.48
2020-09-01,16.09,16.51
2020-09-02,16.6,16.71
2020-09-03,17.62,17.58
2020-09-04,18.4,18.53
2020-09-08,17.9,18.29
2020-09-09,18.13,17.66
2020-09-10,17.81,17.88
2020-09-11,18.24,17.69
2020-09-14,17.94,17.85
2020-09-15,17.21,15.93
2020-09-16,16.1,16.46
2020-09-17,15.8,16.24
2020-09-18,15.96,15.31
2020-09-21,14.75,14.29
2020-09-22,14.41,14.41
2020-09-23,14.55,14.13
2020-09-24,14.07,13.74
2020-09-25,14.55,15.07
2020-09-28,15.54,15.31
2020-09-29,15.25,15.07
2020-09-30,15.42,15.18
2020-10-01,15.44,15.03
2020-10-02,14.26,15.16
2020-10-05,15.11,14.96
2020-10-06,15.26,15.19
2020-10-07,15.48,15.99
2020-10-08,16.16,15.61
2020-10-09,15.72,15.69
2020-10-12,15.45,15.21
2020-10-13,14.71,14.03
2020-10-14,14.33,13.97
2020-10-15,13.72,14.02
2020-10-16,14.05,14.08
2020-10-19,14.21,14.15
2020-10-20,14.42,14.61
2020-10-21,14.6,14.48
2020-10-22,14.53,15.19
2020-10-23,15.19,15.36
2020-10-26,14.75,14.03
2020-10-27,14.04,13.76
2020-10-28,13.24,12.3
2020-10-29,12.33,12.98
2020-10-30,12.78,13.71
2020-11-02,13.49,13.55
2020-11-03,13.59,13.71
