date,open,close
2020-12-14,35.01,33.59
2020-12-15,33.71,35.01
2020-12-16,34.95,38.78
2020-12-17,39.0,39.25
2020-12-18,37.98,35.55
2020-12-21,35.71,36.81
2020-12-22,36.86,37.55
2020-12-23,37.5,40.18
2020-12-24,40.2,37.82
2020-12-28,38.2,37.54
2020-12-29,37.67,33.9
2020-12-30,34.11,34.96
2020-12-31,34.9,33.72
2021-01-04,33.78,33.0
2021-01-05,32.5,32.37
2021-01-06,32.25,32.62
2021-01-07,32.97,32.67
2021-01-08,32.67,35.13
2021-01-11,34.93,35.04
2021-01-12,34.95,34.6
2021-01-13,34.6,33.32
2021-01-14,33.5,34.33
2021-01-15,35.41,36.34
2021-01-19,36.67,37.2
2021-01-20,37.63,36.6
2021-01-21,36.6,37.23
2021-01-22,37.26,37.33
2021-01-25,37.21,36.8
2021-01-26,36.93,36.31
2021-01-27,35.52,33.13
2021-01-28,33.6,34.54
2021-01-29,34.54,34.42
2021-02-01,34.89,34.99
2021-02-02,35.49,35.04
2021-02-03,35.06,35.72
2021-02-04,35.79,35.98
2021-02-05,36.13,35.73
2021-02-08,35.69,37.61
2021-02-09,37.86,38.95
2021-02-10,39.3,38.2
2021-02-11,38.28,39.0
2021-02-12,39.18,38.87
2021-02-16,39.3,38.95
2021-02-17,38.09,38.66
2021-02-18,37.91,37.2
2021-02-19,37.21,35.84
2021-02-22,35.67,36.36
2021-02-23,35.74,36.26
2021-02-24,36.0,36.06
2021-02-25,35.64,32.97
2021-02-26,33.76,34.65
2021-03-01,35.2,35.97
2021-03-02,36.42,35.49
2021-03-03,35.32,33.91
2021-03-04,33.64,30.52
2021-03-05,30.6,26.37
2021-03-08,26.55,25.72
2021-03-09,26.47,25.95
2021-03-10,26.48,26.69
2021-03-11,27.41,27.0
2021-03-12,27.0,27.44
2021-03-15,27.6,30.41
2021-03-16,30.94,31.01
2021-03-17,30.51,31.51
2021-03-18,30.92,30.44
2021-03-19,30.29,30.94
2021-03-22,30.94,30.51
2021-03-23,28.94,27.78
2021-03-24,27.8,25.62
2021-03-25,27.89,28.56
2021-03-26,28.99,28.17
2021-03-29,28.0,25.58
2021-03-30,25.51,26.4
2021-03-31,25.85,27.3
2021-04-01,27.41,27.45
2021-04-05,27.89,27.6
2021-04-06,27.46,27.08
2021-04-07,26.73,26.89
2021-04-08,27.15,26.28
2021-04-09,26.28,26.96
2021-04-12,26.82,27.25
2021-04-13,27.28,27.68
2021-04-14,27.69,28.03
2021-04-15,28.39,28.06
2021-04-16,28.15,28.06
2021-04-19,27.73,28.07
2021-04-20,27.86,27.33
2021-04-21,27.16,28.11
2021-04-22,28.15,29.73
2021-04-23,29.95,31.11
2021-04-26,31.1,32.54
2021-04-27,32.66,32.93
2021-04-28,32.72,32.72
2021-04-29,32.87,33.31
2021-04-30,32.76,31.81
2021-05-03,32.16,31.73
2021-05-04,31.42,30.09
2021-05-05,30.26,31.39
2021-05-06,31.19,29.38
2021-05-07,28.31,29.47
2021-05-10,29.38,29.34
2021-05-11,28.4,28.29
2021-05-12,27.85,27.05
2021-05-13,27.32,25.63
2021-05-14,25.86,25.76
2021-05-17,25.84,24.79
2021-05-18,24.65,25.91
2021-05-19,25.44,25.57
2021-05-20,25.67,26.4
2021-05-21,26.6,26.61
2021-05-24,26.78,25.85
2021-05-25,26.04,26.24
2021-05-26,26.54,26.75
2021-05-27,26.82,26.39
2021-05-28,26.36,26.31
2021-06-01,26.44,26.15
2021-06-02,26.0,26.12
2021-06-03,25.65,25.68
2021-06-04,25.66,26.23
2021-06-07,26.27,24.83
2021-06-08,25.14,25.59
2021-06-09,25.92,26.32
2021-06-10,26.38,27.16
2021-06-11,26.43,26.92
2021-06-14,27.08,27.09
2021-06-15,26.99,26.7
2021-06-16,26.63,26.9
2021-06-17,27.02,27.53
2021-06-18,27.53,27.61
2021-06-21,27.61,27.2
2021-06-22,27.2,27.16
2021-06-23,27.25,26.37
2021-06-24,26.37,27.02
2021-06-25,26.88,28.32
2021-06-28,28.38,27.96
2021-06-29,28.14,28.11
2021-06-30,28.14,28.33
2021-07-01,28.49,27.89
2021-07-02,27.82,27.26
2021-07-06,27.49,26.98
2021-07-07,26.99,26.15
2021-07-08,25.8,25.86
2021-07-09,26.23,26.98
2021-07-12,26.86,27.52
2021-07-13,27.37,25.92
2021-07-14,25.82,24.99
2021-07-15,25.04,24.46
2021-07-16,24.48,24.59
2021-07-19,24.16,24.56
2021-07-20,24.76,24.91
2021-07-21,24.92,25.42
2021-07-22,25.37,25.71
2021-07-23,26.09,26.45
2021-07-26,26.27,26.55
2021-07-27,26.37,26.32
2021-07-28,26.46,26.47
2021-07-29,26.61,27.41
2021-07-30,27.22,27.21
2021-08-02,27.21,26.13
2021-08-03,26.09,26.31
2021-08-04,26.02,27.92
2021-08-05,27.81,27.99
2021-08-06,27.99,28.57
2021-08-09,28.54,28.16
2021-08-10,27.14,27.91
2021-08-11,28.0,28.08
2021-08-12,28.14,29.17
2021-08-13,29.19,28.91
2021-08-16,28.58,28.11
2021-08-17,27.99,27.42
2021-08-18,27.53,28.4
2021-08-19,28.33,28.44
2021-08-20,28.24,29.57
2021-08-23,29.23,29.34
2021-08-24,29.5,30.68
2021-08-25,30.19,31.08
2021-08-26,31.03,31.54
2021-08-27,31.44,32.83
2021-08-30,33.05,32.91
2021-08-31,33.06,33.57
2021-09-01,33.51,33.98
2021-09-02,33.97,36.32
2021-09-03,34.54,37.77
2021-09-07,37.84,38.41
2021-09-08,38.29,35.14
2021-09-09,32.25,33.96
2021-09-10,34.0,34.96
2021-09-13,34.92,36.18
2021-09-14,35.83,33.92
2021-09-15,33.78,35.1
2021-09-16,34.29,35.45
2021-09-17,35.68,34.72
2021-09-20,33.57,34.41
2021-09-21,34.6,36.82
2021-09-22,36.84,36.0
2021-09-23,36.07,36.03
2021-09-24,35.34,36.0
2021-09-27,36.0,35.22
2021-09-28,35.0,32.64
2021-09-29,32.7,32.52
2021-09-30,32.86,33.1
2021-10-01,32.99,34.9
2021-10-04,34.62,31.99
2021-10-05,32.03,33.38
2021-10-06,32.99,33.64
2021-10-07,34.18,34.18
2021-10-08,34.3,33.65
2021-10-11,33.49,33.51
2021-10-12,33.4,35.2
2021-10-13,35.64,37.76
2021-10-14,37.79,37.75
2021-10-15,37.38,37.84
2021-10-18,37.77,36.6
2021-10-19,36.9,37.96
2021-10-20,37.97,38.25
2021-10-21,38.17,38.57
2021-10-22,38.45,38.13
2021-10-25,38.74,39.71
2021-10-26,39.95,39.84
2021-10-27,39.83,39.27
2021-10-28,39.79,41.19
2021-10-29,40.79,41.31
2021-11-01,42.0,43.5
2021-11-02,43.75,43.99
2021-11-03,43.74,44.09
2021-11-04,44.41,45.21
2021-11-05,45.02,42.9
2021-11-08,43.17,42.06
2021-11-09,42.02,41.72
2021-11-10,41.05,39.75
2021-11-11,39.95,39.38
2021-11-12,40.12,38.96
2021-11-15,39.09,38.04
2021-11-16,36.11,38.7
2021-11-17,38.7,36.01
2021-11-18,31.77,30.73
2021-11-19,30.42,30.48
2021-11-22,30.66,28.79
2021-11-23,28.67,28.42
2021-11-24,28.29,28.5
2021-11-26,28.01,27.9
2021-11-29,28.03,28.23
2021-11-30,28.23,26.93
2021-12-01,27.41,26.67
2021-12-02,26.54,27.08
2021-12-03,27.09,26.1
2021-12-06,26.09,26.48
2021-12-07,27.0,27.68
2021-12-08,27.76,28.75
2021-12-09,28.61,27.9
2021-12-10,27.93,27.76
2021-12-13,27.89,28.34
2021-12-14,27.92,27.56
2021-12-15,27.65,27.59
2021-12-16,28.0,26.49
2021-12-17,26.13,27.48
2021-12-20,26.95,27.51
2021-12-21,27.86,28.58
2021-12-22,28.05,29.0
2021-12-23,28.97,29.37
