date,open,close
2020-12-07,9.8,9.8
2020-12-08,9.8,9.84
2020-12-09,9.85,9.86
2020-12-10,9.91,9.88
2020-12-11,9.93,9.9
2020-12-14,9.94,9.89
2020-12-15,9.92,9.89
2020-12-16,9.91,9.91
2020-12-17,9.96,9.91
2020-12-18,9.92,9.93
2020-12-21,9.94,9.9
2020-12-22,9.91,9.93
2020-12-23,9.95,9.95
2020-12-24,10.0,9.95
2020-12-28,10.01,10.0
2020-12-29,10.0,9.99
2020-12-30,10.0,10.0
2020-12-31,9.98,9.95
2021-01-04,9.96,9.98
2021-01-05,9.99,9.96
2021-01-06,10.03,10.02
2021-01-07,10.06,10.05
2021-01-08,10.1,10.06
2021-01-11,10.13,10.13
2021-01-12,10.16,10.2
2021-01-13,10.2,10.18
2021-01-14,10.25,10.18
2021-01-15,10.19,10.15
2021-01-19,10.15,10.2
2021-01-20,10.2,10.24
2021-01-21,10.24,10.25
2021-01-22,10.22,10.37
2021-01-25,10.42,10.43
2021-01-26,10.4,10.37
2021-01-27,10.3,10.31
2021-01-28,10.31,10.34
2021-01-29,10.34,10.26
2021-02-01,10.3,10.35
2021-02-02,10.35,10.32
2021-02-03,10.35,10.33
2021-02-04,10.35,10.3
2021-02-05,10.32,10.34
2021-02-08,10.39,10.36
2021-02-09,10.35,10.35
2021-02-10,10.38,10.28
2021-02-11,10.39,10.32
2021-02-12,10.37,10.33
2021-02-16,10.33,10.32
2021-02-17,10.35,10.35
2021-02-18,10.35,10.35
2021-02-19,10.43,10.44
2021-02-22,10.46,10.39
2021-02-23,10.25,10.3
2021-02-24,10.15,10.42
2021-02-25,10.51,10.4
2021-02-26,10.33,10.4
2021-03-01,10.42,10.35
2021-03-02,10.38,10.13
2021-03-03,10.23,10.05
2021-03-04,10.02,10.0
2021-03-05,11.38,11.12
2021-03-08,11.42,11.0
2021-03-09,11.26,11.52
2021-03-10,11.96,11.39
2021-03-11,11.4,12.35
2021-03-12,11.89,11.93
2021-03-15,11.85,11.5
2021-03-16,11.36,10.94
2021-03-17,10.82,11.24
2021-03-18,11.01,10.9
2021-03-19,10.96,11.07
2021-03-22,11.05,10.88
2021-03-23,10.86,10.53
2021-03-24,10.55,10.19
2021-03-25,9.95,10.35
2021-03-26,10.49,10.64
2021-03-29,10.9,10.84
2021-03-30,10.9,10.55
2021-03-31,10.55,10.83
2021-04-01,10.78,10.58
2021-04-05,10.74,10.45
2021-04-06,10.45,10.41
2021-04-07,10.41,10.45
2021-04-08,10.4,10.4
2021-04-09,10.4,10.34
2021-04-12,10.62,10.83
2021-04-13,10.86,10.97
2021-04-14,11.05,10.4
2021-04-15,10.4,10.18
2021-04-16,10.21,10.12
2021-04-19,10.08,10.2
2021-04-20,10.23,10.1
2021-04-21,10.1,10.08
2021-04-22,10.1,10.09
2021-04-23,10.07,10.02
2021-04-26,10.02,10.03
2021-04-27,10.04,10.05
2021-04-28,10.08,10.07
2021-04-29,10.05,10.04
2021-04-30,10.03,10.1
2021-05-03,10.15,10.02
2021-05-04,10.0,9.97
2021-05-05,9.96,10.0
2021-05-06,10.0,9.95
2021-05-07,9.98,9.95
2021-05-10,9.94,9.88
2021-05-11,9.79,9.95
2021-05-12,9.9,9.96
2021-05-13,9.9,9.9
2021-05-14,9.92,9.95
2021-05-17,9.91,9.92
2021-05-18,9.91,9.92
2021-05-19,9.89,9.94
2021-05-20,9.94,9.85
2021-05-21,9.88,9.89
2021-05-24,9.89,9.87
2021-05-25,9.88,9.92
2021-05-26,9.95,9.91
2021-05-27,9.91,9.92
2021-05-28,9.9,9.93
2021-06-01,9.93,9.94
2021-06-02,9.95,9.91
2021-06-03,9.91,9.93
2021-06-04,9.93,9.93
2021-06-07,9.87,9.9
2021-06-08,9.9,9.94
2021-06-09,9.98,9.98
2021-06-10,9.98,10.0
2021-06-11,10.0,10.01
2021-06-14,10.01,9.98
2021-06-15,9.97,9.93
2021-06-16,9.92,9.95
2021-06-17,9.93,9.96
2021-06-18,9.95,9.99
2021-06-21,9.95,9.93
2021-06-22,9.92,9.94
2021-06-23,9.94,9.94
2021-06-24,9.93,9.95
2021-06-25,9.95,9.94
2021-06-28,9.93,9.94
2021-06-29,9.96,9.95
2021-06-30,9.93,9.95
2021-07-01,9.93,9.94
2021-07-02,9.94,9.95
2021-07-06,9.93,9.93
2021-07-07,9.93,9.92
2021-07-08,9.92,9.92
2021-07-09,9.94,9.94
2021-07-12,9.95,9.95
2021-07-13,9.95,9.94
2021-07-14,9.94,9.94
2021-07-15,9.92,9.93
2021-07-16,9.94,9.9
2021-07-19,9.9,9.92
2021-07-20,9.91,9.92
2021-07-21,9.91,9.92
2021-07-22,9.95,9.92
2021-07-23,9.92,9.93
2021-07-26,9.93,9.94
2021-07-27,9.96,9.94
2021-07-28,9.92,9.93
2021-07-29,9.92,9.92
2021-07-30,9.91,9.92
2021-08-02,9.93,9.94
2021-08-03,9.96,9.95
2021-08-04,9.94,9.96
2021-08-05,9.95,9.97
2021-08-06,9.95,9.97
2021-08-09,9.99,9.96
2021-08-10,10.0,9.98
2021-08-11,9.98,10.0
2021-08-12,9.98,9.97
2021-08-13,9.98,9.97
2021-08-16,9.97,9.98
2021-08-17,9.98,9.98
2021-08-18,9.97,9.98
2021-08-19,9.97,9.98
2021-08-20,9.73,9.69
2021-08-23,9.74,9.94
2021-08-24,9.87,9.76
2021-08-25,9.82,10.02
2021-08-26,9.97,11.34
2021-08-27,10.55,10.5
2021-08-30,10.21,10.39
2021-08-31,10.9,10.77
2021-09-01,10.84,10.4
2021-09-02,10.5,11.03
2021-09-03,11.14,11.49
2021-09-07,11.95,11.75
2021-09-08,11.6,12.17
2021-09-09,12.2,13.07
2021-09-10,13.1,13.2
2021-09-13,13.38,13.28
2021-09-14,13.49,12.55
2021-09-15,12.75,12.98
2021-09-16,13.04,14.52
2021-09-17,15.06,13.56
2021-09-20,12.99,12.31
2021-09-21,12.28,12.31
2021-09-22,13.19,12.13
2021-09-23,12.25,11.23
2021-09-24,10.99,11.25
2021-09-27,11.03,10.19
2021-09-28,10.19,10.33
2021-09-29,10.42,11.2
2021-09-30,11.31,10.34
2021-10-01,10.81,9.74
2021-10-04,9.86,9.67
2021-10-05,9.67,10.26
2021-10-06,10.47,9.86
2021-10-07,9.98,8.91
2021-10-08,9.07,7.89
2021-10-11,7.19,6.14
2021-10-12,6.33,5.41
2021-10-13,5.54,5.53
2021-10-14,5.78,6.07
2021-10-15,6.4,6.99
2021-10-18,6.78,7.9
2021-10-19,8.11,7.45
2021-10-20,7.5,8.73
2021-10-21,8.62,8.31
2021-10-22,8.18,8.0
2021-10-25,7.97,8.92
2021-10-26,9.25,8.76
2021-10-27,8.45,7.9
2021-10-28,8.25,7.69
2021-10-29,7.86,7.86
2021-11-01,7.9,9.85
2021-11-02,8.7,8.99
2021-11-03,8.71,8.93
2021-11-04,9.1,8.51
2021-11-05,8.66,8.87
2021-11-08,9.34,9.28
2021-11-09,9.49,9.31
2021-11-10,9.43,8.74
2021-11-11,8.76,8.17
2021-11-12,8.2,8.42
2021-11-15,8.85,8.68
2021-11-16,8.49,8.28
2021-11-17,8.22,8.15
2021-11-18,8.15,7.78
2021-11-19,7.83,8.23
2021-11-22,8.27,8.29
2021-11-23,8.16,8.01
2021-11-24,8.05,7.8
2021-11-26,7.71,7.5
2021-11-29,7.85,7.6
2021-11-30,7.54,7.89
2021-12-01,7.95,7.69
