date,open,close
2020-05-12,5.11,4.97
2020-05-13,5.17,4.98
2020-05-14,4.7,4.78
2020-05-15,4.8,4.78
2020-05-18,4.99,5.17
2020-05-19,4.9,4.83
2020-05-20,4.89,4.94
2020-05-21,4.9,4.8
2020-05-22,4.82,4.78
2020-05-26,5.23,5.26
2020-05-27,5.46,5.47
2020-05-28,5.58,5.54
2020-05-29,5.42,5.35
2020-06-01,5.51,5.63
2020-06-02,5.83,5.86
2020-06-03,6.05,6.22
2020-06-04,6.1,6.2
2020-06-05,6.66,6.61
2020-06-08,6.77,7.07
2020-06-09,7.16,6.97
2020-06-10,6.84,6.49
2020-06-11,5.99,5.69
2020-06-12,6.04,6.01
2020-06-15,5.77,6.04
2020-06-16,6.32,6.12
2020-06-17,6.17,6.02
2020-06-18,6.02,6.09
2020-06-19,6.11,5.89
2020-06-22,6.17,6.18
2020-06-23,6.3,6.19
2020-06-24,6.06,5.86
2020-06-25,5.8,5.9
2020-06-26,5.92,5.9
2020-06-29,6.07,6.12
2020-06-30,6.04,6.11
2020-07-01,5.96,5.92
2020-07-02,6.05,6.0
2020-07-06,6.15,6.17
2020-07-07,6.09,5.97
2020-07-08,5.97,6.02
2020-07-09,5.99,5.83
2020-07-10,5.89,5.97
2020-07-13,6.17,6.13
2020-07-14,6.16,6.34
2020-07-15,6.46,6.5
2020-07-16,6.44,6.44
2020-07-17,6.37,6.37
2020-07-20,6.41,6.4
2020-07-21,6.4,6.38
2020-07-22,6.3,6.44
2020-07-23,6.53,6.48
2020-07-24,6.52,6.48
2020-07-27,6.51,6.58
2020-07-28,6.46,6.42
2020-07-29,6.42,6.54
2020-07-30,6.31,6.31
2020-07-31,6.22,5.9
2020-08-03,6.09,6.21
2020-08-04,6.34,6.37
2020-08-05,6.51,6.64
2020-08-06,6.54,6.54
2020-08-07,6.39,6.46
2020-08-10,6.52,6.72
2020-08-11,6.91,6.86
2020-08-12,6.91,6.82
2020-08-13,6.88,6.8
2020-08-14,6.7,6.7
2020-08-17,6.77,6.68
2020-08-18,6.76,6.67
2020-08-19,6.76,6.7
2020-08-20,6.57,6.62
2020-08-21,6.61,6.65
2020-08-24,6.77,6.81
2020-08-25,6.9,6.72
2020-08-26,6.77,6.88
2020-08-27,6.9,6.82
2020-08-28,6.91,6.93
2020-08-31,6.97,6.87
2020-09-01,6.71,6.95
2020-09-02,7.04,7.17
2020-09-03,7.1,6.96
2020-09-04,7.1,7.18
2020-09-08,7.14,7.25
2020-09-09,7.24,7.37
2020-09-10,7.27,7.25
2020-09-11,7.25,7.24
2020-09-14,7.01,7.04
2020-09-15,7.07,6.93
2020-09-16,6.92,7.11
2020-09-17,7.09,7.2
2020-09-18,7.01,7.01
2020-09-21,6.54,6.51
2020-09-22,6.5,6.57
2020-09-23,6.68,6.52
2020-09-24,6.55,6.62
2020-09-25,6.44,6.57
2020-09-28,6.76,6.76
2020-09-29,6.78,6.83
2020-09-30,6.74,6.8
2020-10-01,6.81,6.78
2020-10-02,6.52,6.78
2020-10-05,6.97,7.02
2020-10-06,7.02,6.95
2020-10-07,7.07,7.1
2020-10-08,7.14,7.17
2020-10-09,7.35,7.31
2020-10-12,7.3,7.31
2020-10-13,7.28,7.3
2020-10-14,7.37,7.32
2020-10-15,7.06,7.24
2020-10-16,7.4,7.42
2020-10-19,7.38,7.36
2020-10-20,7.5,7.47
2020-10-21,7.41,7.41
2020-10-22,7.41,7.39
2020-10-23,7.46,7.48
2020-10-26,7.36,7.28
2020-10-27,7.09,7.01
2020-10-28,6.77,6.74
2020-10-29,6.66,6.77
2020-10-30,6.77,6.76
2020-11-02,6.93,7.04
2020-11-03,7.25,7.44
2020-11-04,7.51,7.46
2020-11-05,7.89,7.93
2020-11-06,8.22,8.1
2020-11-09,8.55,8.46
2020-11-10,8.33,8.27
2020-11-11,8.49,8.53
2020-11-12,8.38,8.35
2020-11-13,8.69,8.77
2020-11-16,9.09,9.1
2020-11-17,9.06,9.03
2020-11-18,9.31,9.26
2020-11-19,9.2,9.17
2020-11-20,9.18,9.16
2020-11-23,9.31,9.39
2020-11-24,9.63,9.79
2020-11-25,9.82,9.77
2020-11-27,9.59,9.58
2020-11-30,9.71,9.46
2020-12-01,9.66,9.72
2020-12-02,9.5,9.64
2020-12-03,9.74,9.63
2020-12-04,9.8,9.94
2020-12-07,9.73,9.6
2020-12-08,9.5,9.61
2020-12-09,9.58,9.65
2020-12-10,9.4,9.5
2020-12-11,9.49,9.5
2020-12-14,9.67,9.53
