date,open,close
2023-08-15,20.31,19.77
2023-08-16,20.3,19.76
2023-08-17,20.02,19.02
2023-08-18,18.13,18.42
2023-08-21,18.44,18.86
2023-08-22,19.19,18.87
2023-08-23,18.85,19.54
2023-08-24,19.69,18.61
2023-08-25,18.94,18.77
2023-08-28,19.18,18.68
2023-08-29,19.19,20.14
2023-08-30,21.97,20.11
2023-08-31,20.6,19.94
2023-09-01,20.34,19.85
2023-09-05,19.95,19.8
2023-09-06,19.93,19.99
2023-09-07,19.77,20.74
2023-09-08,20.52,20.84
2023-09-11,21.03,20.72
2023-09-12,21.75,20.81
2023-09-13,21.01,20.6
2023-09-14,21.02,21.34
2023-09-15,21.46,21.19
2023-09-18,21.38,21.2
2023-09-19,21.38,20.47
2023-09-20,20.64,20.04
2023-09-21,19.62,19.49
2023-09-22,19.66,18.62
2023-09-25,18.49,18.9
2023-09-26,18.65,18.45
2023-09-27,19.0,18.73
2023-09-28,18.77,19.51
2023-09-29,19.99,19.63
2023-10-02,20.16,19.68
2023-10-03,19.64,19.18
2023-10-04,19.43,19.39
2023-10-05,19.63,19.78
2023-10-06,18.26,19.27
2023-10-09,18.78,19.52
2023-10-10,19.54,19.69
2023-10-11,19.7,19.33
2023-10-12,19.34,18.81
2023-10-13,19.01,18.37
2023-10-16,19.01,18.79
2023-10-17,18.72,19.33
2023-10-18,19.27,18.65
2023-10-19,18.74,18.47
2023-10-20,18.86,18.88
2023-10-23,19.0,19.45
2023-10-24,20.05,20.09
2023-10-25,20.25,19.56
2023-10-26,19.46,19.03
2023-10-27,19.23,18.19
2023-10-30,18.54,18.96
2023-10-31,19.01,19.78
2023-11-01,19.96,19.98
2023-11-02,20.79,21.21
2023-11-03,21.22,22.05
2023-11-06,22.23,22.25
2023-11-07,22.25,22.65
2023-11-08,21.56,21.55
2023-11-09,21.73,21.88
2023-11-10,21.82,21.96
2023-11-13,21.78,21.97
2023-11-14,22.19,22.0
2023-11-15,22.14,22.88
2023-11-16,22.79,22.89
2023-11-17,22.95,23.22
2023-11-20,23.42,23.82
2023-11-21,23.81,23.84
2023-11-22,23.96,24.02
2023-11-24,24.08,24.22
2023-11-27,24.2,24.26
2023-11-28,24.37,24.88
2023-11-29,24.94,24.83
2023-11-30,24.7,24.58
2023-12-01,24.91,25.6
2023-12-04,26.36,26.0
2023-12-05,26.05,26.07
2023-12-06,26.23,25.35
2023-12-07,22.42,23.04
2023-12-08,23.22,24.32
2023-12-11,23.83,23.4
2023-12-12,23.71,23.61
2023-12-13,23.65,25.24
2023-12-14,25.58,25.77
2023-12-15,25.68,25.19
2023-12-18,24.91,25.97
2023-12-19,26.16,26.8
2023-12-20,27.0,26.91
2023-12-21,27.21,27.48
2023-12-22,27.86,28.53
2023-12-26,28.62,28.28
2023-12-27,28.86,29.84
2023-12-28,29.37,30.08
2023-12-29,30.18,28.89
2024-01-02,29.07,26.44
2024-01-03,24.7,25.72
2024-01-04,25.99,26.27
2024-01-05,23.3,23.46
2024-01-08,24.01,24.23
2024-01-09,24.15,23.19
2024-01-10,22.83,23.17
2024-01-11,24.2,21.88
2024-01-12,21.17,20.3
2024-01-16,19.95,20.79
2024-01-17,20.46,20.91
2024-01-18,20.89,19.54
2024-01-19,19.52,19.46
2024-01-22,19.43,19.89
2024-01-23,19.25,19.46
2024-01-24,19.96,19.22
2024-01-25,19.3,19.19
2024-01-26,19.96,19.85
2024-01-29,20.17,20.59
2024-01-30,20.87,20.54
2024-01-31,20.5,20.43
2024-02-01,20.59,20.56
2024-02-02,20.48,20.75
2024-02-05,20.76,19.15
2024-02-06,19.29,19.45
2024-02-07,18.52,18.82
2024-02-08,19.43,20.22
2024-02-09,20.7,20.66
2024-02-12,20.39,21.25
2024-02-13,20.11,20.5
2024-02-14,21.69,22.57
2024-02-15,23.25,23.05
2024-02-16,24.24,23.32
2024-02-20,23.49,22.64
2024-02-21,21.49,21.3
2024-02-22,21.66,22.35
2024-02-23,22.1,21.87
2024-02-26,22.19,23.66
2024-02-27,24.0,23.86
2024-02-28,23.9,23.87
2024-02-29,24.13,24.32
2024-03-01,24.32,24.64
2024-03-04,25.88,26.78
2024-03-05,26.78,25.9
2024-03-06,25.22,26.02
2024-03-07,26.23,26.6
2024-03-08,26.89,27.29
2024-03-11,28.38,27.3
2024-03-12,27.6,27.65
2024-03-13,27.32,27.33
2024-03-14,26.75,25.4
2024-03-15,24.32,26.01
2024-03-18,25.9,26.11
2024-03-19,24.7,25.31
2024-03-20,25.38,27.59
2024-03-21,27.81,28.1
2024-03-22,27.93,28.01
2024-03-25,28.63,29.41
2024-03-26,29.61,29.18
2024-03-27,29.69,28.7
2024-03-28,28.97,29.64
2024-04-01,29.75,28.71
2024-04-02,27.35,28.14
2024-04-03,28.03,28.79
2024-04-04,27.02,25.82
2024-04-05,25.38,25.07
2024-04-08,26.07,26.14
2024-04-09,26.12,25.46
2024-04-10,25.12,26.16
2024-04-11,26.26,26.96
2024-04-12,26.94,26.03
2024-04-15,26.25,23.96
2024-04-16,23.95,23.36
2024-04-17,23.7,22.91
2024-04-18,23.21,23.38
2024-04-19,24.08,22.71
2024-04-22,23.32,24.04
2024-04-23,24.02,24.86
2024-04-24,24.98,24.23
2024-04-25,23.64,24.29
2024-04-26,24.15,25.37
2024-04-29,24.96,24.01
2024-04-30,23.75,22.59
2024-05-01,22.2,23.26
2024-05-02,23.95,25.07
2024-05-03,25.71,24.91
2024-05-06,22.92,22.95
2024-05-07,23.12,21.96
2024-05-08,21.58,21.75
2024-05-09,21.68,21.67
2024-05-10,22.08,20.68
2024-05-13,20.98,20.63
2024-05-14,20.34,20.96
2024-05-15,21.59,21.96
2024-05-16,21.87,20.79
2024-05-17,21.41,21.64
2024-05-20,21.77,22.75
2024-05-21,23.05,22.92
2024-05-22,23.01,23.24
2024-05-23,23.33,22.84
2024-05-24,23.11,23.66
2024-05-28,23.66,24.41
2024-05-29,24.09,23.94
2024-05-30,24.32,23.86
2024-05-31,24.28,22.79
2024-06-03,23.29,23.27
2024-06-04,23.34,23.94
2024-06-05,24.1,24.16
2024-06-06,22.52,22.66
2024-06-07,22.68,21.69
2024-06-10,21.53,22.28
2024-06-11,21.66,21.79
2024-06-12,22.39,22.67
2024-06-13,22.65,22.09
2024-06-14,22.07,21.86
2024-06-17,21.59,21.98
2024-06-18,21.53,21.32
2024-06-20,21.51,21.24
2024-06-21,20.6,20.4
2024-06-24,19.84,19.4
2024-06-25,19.89,20.25
2024-06-26,20.09,19.72
2024-06-27,20.01,20.52
2024-06-28,20.61,20.38
2024-07-01,20.7,21.06
2024-07-02,21.02,20.93
2024-07-03,20.75,20.82
2024-07-05,18.62,19.18
2024-07-08,19.4,19.07
2024-07-09,19.29,19.08
2024-07-10,19.23,19.09
2024-07-11,19.4,18.73
2024-07-12,18.83,19.04
2024-07-15,19.78,20.03
2024-07-16,20.13,20.25
2024-07-17,20.2,19.94
2024-07-18,20.14,18.69
2024-07-19,18.96,20.3
2024-07-22,20.44,21.02
2024-07-23,20.89,20.66
2024-07-24,20.84,19.8
2024-07-25,19.45,18.78
2024-07-26,19.67,19.52
2024-07-29,20.2,19.14
2024-07-30,19.26,18.43
2024-07-31,19.0,18.45
2024-08-01,18.73,17.49
2024-08-02,17.59,17.04
2024-08-05,13.26,15.9
2024-08-06,16.36,16.3
2024-08-07,15.55,14.1
2024-08-08,14.6,15.03
2024-08-09,15.05,15.37
2024-08-12,15.31,15.19
2024-08-13,15.3,15.61
2024-08-14,15.82,15.58
2024-08-15,15.72,15.7
2024-08-16,15.82,16.23
2024-08-19,16.22,16.3
2024-08-20,16.6,15.85
2024-08-21,15.85,16.5
2024-08-22,16.44,16.0
2024-08-23,16.25,16.81
2024-08-26,16.79,16.51
2024-08-27,16.4,16.14
2024-08-28,15.94,15.58
2024-08-29,15.8,15.45
2024-08-30,15.56,15.12
2024-09-03,15.12,14.1
2024-09-04,13.93,13.65
2024-09-05,13.54,13.36
2024-09-06,12.64,11.34
2024-09-09,11.64,11.92
2024-09-10,11.99,12.17
2024-09-11,11.91,12.13
2024-09-12,12.25,12.45
2024-09-13,12.44,12.45
2024-09-16,12.2,12.36
2024-09-17,12.59,12.45
2024-09-18,12.37,12.5
2024-09-19,12.98,12.86
2024-09-20,12.93,12.98
2024-09-23,13.08,13.01
2024-09-24,13.06,13.11
2024-09-25,13.06,12.89
2024-09-26,13.13,13.56
2024-09-27,13.67,14.07
2024-09-30,13.73,13.4
2024-10-01,13.47,12.49
2024-10-02,12.42,12.5
2024-10-03,12.34,12.41
2024-10-04,12.69,12.88
2024-10-07,12.89,12.76
2024-10-08,12.7,12.75
2024-10-09,12.77,12.72
2024-10-10,12.72,12.6
2024-10-11,12.7,13.22
2024-10-14,13.5,14.18
2024-10-15,14.16,14.23
2024-10-16,14.67,15.01
2024-10-17,13.8,13.57
2024-10-18,13.81,14.45
2024-10-21,14.2,14.15
2024-10-22,13.93,14.01
2024-10-23,13.8,13.3
2024-10-24,13.75,13.88
2024-10-25,13.91,13.69
2024-10-28,14.11,14.27
2024-10-29,14.54,14.44
2024-10-30,14.11,14.08
2024-10-31,13.84,12.41
2024-11-01,12.4,12.49
2024-11-04,12.39,12.71
2024-11-05,12.71,13.08
2024-11-06,14.36,15.91
2024-11-07,15.53,16.12
2024-11-08,16.31,16.96
2024-11-11,18.39,19.7
2024-11-12,18.97,19.39
2024-11-13,19.82,17.48
2024-11-14,15.78,15.07
2024-11-15,15.3,16.26
2024-11-18,16.19,16.97
2024-11-19,16.84,16.99
2024-11-20,17.22,16.88
2024-11-21,17.22,15.99
2024-11-22,16.05,16.56
2024-11-25,16.85,16.97
2024-11-26,16.4,16.23
2024-11-27,16.74,17.07
2024-11-29,17.25,16.54
2024-12-02,16.92,16.91
2024-12-03,16.7,17.25
2024-12-04,17.45,18.06
2024-12-05,18.48,17.54
2024-12-06,17.92,18.4
2024-12-09,18.33,16.9
2024-12-10,17.32,16.51
2024-12-11,17.01,17.06
2024-12-12,15.9,15.75
2024-12-13,15.86,15.68
2024-12-16,15.94,15.94
2024-12-17,16.09,15.81
2024-12-18,15.69,14.26
2024-12-19,14.91,14.09
2024-12-20,13.72,14.35
2024-12-23,14.16,13.85
2024-12-24,14.07,14.33
2024-12-26,14.2,14.15
2024-12-27,14.13,13.79
2024-12-30,13.58,13.32
2024-12-31,13.62,13.04
2025-01-02,13.38,13.43
2025-01-03,13.53,13.91
2025-01-06,14.22,14.39
2025-01-07,14.37,13.46
2025-01-08,12.63,12.44
2025-01-10,12.35,12.42
2025-01-13,11.88,12.07
2025-01-14,12.55,12.27
2025-01-15,12.71,13.02
2025-01-16,13.01,13.26
2025-01-17,13.57,13.62
2025-01-21,13.79,13.66
2025-01-22,13.52,13.8
2025-01-23,13.59,13.86
2025-01-24,14.05,13.91
2025-01-27,13.38,13.08
2025-01-28,13.22,13.27
2025-01-29,13.32,13.66
2025-01-30,13.79,14.01
2025-01-31,14.12,13.75
2025-02-03,13.0,13.51
2025-02-04,13.49,13.37
2025-02-05,13.51,13.12
2025-02-06,12.3,11.9
2025-02-07,12.04,12.05
2025-02-10,12.31,12.32
2025-02-11,12.26,11.84
2025-02-12,11.75,12.13
2025-02-13,12.5,12.89
2025-02-14,12.75,12.25
2025-02-18,12.42,11.9
2025-02-19,11.99,11.67
2025-02-20,11.75,11.59
2025-02-21,12.01,10.71
2025-02-24,10.9,10.4
2025-02-25,10.07,9.73
2025-02-26,9.76,9.78
2025-02-27,10.04,9.62
2025-02-28,9.5,9.93
2025-03-03,10.43,9.52
2025-03-04,9.34,9.79
2025-03-05,9.96,10.17
2025-03-06,9.38,9.36
2025-03-07,9.39,9.5
2025-03-10,9.05,7.94
2025-03-11,8.24,8.49
2025-03-12,8.69,8.51
2025-03-13,8.38,7.89
2025-03-14,8.16,8.17
2025-03-17,8.14,8.39
2025-03-18,8.29,8.12
2025-03-19,8.27,8.46
2025-03-20,8.33,8.53
2025-03-21,8.38,8.53
2025-03-24,8.89,8.9
2025-03-25,8.9,8.91
2025-03-26,8.91,8.55
2025-03-27,8.5,8.34
2025-03-28,8.23,7.73
2025-03-31,7.52,7.67
2025-04-01,7.7,7.77
2025-04-02,7.62,8.08
2025-04-03,7.19,7.22
2025-04-04,7.01,6.76
2025-04-07,6.21,6.7
2025-04-08,6.96,6.47
2025-04-09,6.47,7.24
2025-04-10,7.0,6.97
2025-04-11,7.02,7.22
2025-04-14,7.38,7.32
2025-04-15,7.37,7.32
2025-04-16,7.16,7.19
2025-04-17,7.25,7.31
2025-04-21,7.33,7.35
2025-04-22,7.46,7.7
2025-04-23,7.93,7.83
2025-04-24,7.8,8.11
2025-04-25,8.18,8.29
2025-04-28,8.29,8.18
2025-04-29,8.21,8.23
2025-04-30,8.03,8.12
2025-05-01,7.66,7.45
2025-05-02,7.56,7.58
2025-05-05,7.5,7.43
2025-05-06,7.3,7.35
2025-05-07,7.43,7.32
2025-05-08,7.61,7.65
2025-05-09,7.66,7.49
