date,open,close
2020-05-11,7.5,7.07
2020-05-12,7.26,6.66
2020-05-13,6.66,6.16
2020-05-14,5.92,6.27
2020-05-15,6.18,6.31
2020-05-18,6.75,7.45
2020-05-19,7.51,7.08
2020-05-20,7.36,7.89
2020-05-21,7.79,7.7
2020-05-22,7.74,7.81
2020-05-26,8.47,8.13
2020-05-27,8.5,8.72
2020-05-28,8.91,8.56
2020-05-29,8.41,8.21
2020-06-01,8.26,8.11
2020-06-02,8.3,8.81
2020-06-03,9.37,9.55
2020-06-04,9.61,9.56
2020-06-05,9.95,9.55
2020-06-08,9.91,9.75
2020-06-09,9.42,9.05
2020-06-10,9.0,8.49
2020-06-11,7.85,7.32
2020-06-12,7.81,7.99
2020-06-15,7.5,8.5
2020-06-16,9.21,8.9
2020-06-17,8.9,8.45
2020-06-18,8.2,8.1
2020-06-19,8.28,7.84
2020-06-22,7.76,7.74
2020-06-23,7.86,8.03
2020-06-24,7.85,7.6
2020-06-25,7.64,7.84
2020-06-26,7.67,7.49
2020-06-29,7.58,7.77
2020-06-30,7.72,7.68
2020-07-01,7.71,7.25
2020-07-02,7.52,7.4
2020-07-06,7.71,7.8
2020-07-07,7.64,7.71
2020-07-08,7.73,7.88
2020-07-09,7.89,7.76
2020-07-10,7.72,8.0
2020-07-13,8.21,8.01
2020-07-14,8.1,8.39
2020-07-15,8.61,8.7
2020-07-16,8.75,8.88
2020-07-17,8.88,8.88
2020-07-20,8.82,8.83
2020-07-21,8.98,9.27
2020-07-22,9.2,9.15
2020-07-23,9.13,8.88
2020-07-24,8.8,8.82
2020-07-27,8.88,8.92
2020-07-28,8.87,8.73
2020-07-29,8.83,8.68
2020-07-30,8.44,8.32
2020-07-31,8.23,8.01
2020-08-03,8.18,8.21
2020-08-04,8.18,8.3
2020-08-05,8.41,8.34
2020-08-06,8.29,8.42
2020-08-07,8.38,8.3
2020-08-10,8.37,8.85
2020-08-11,9.05,8.89
2020-08-12,9.07,8.73
2020-08-13,8.7,8.3
2020-08-14,8.28,8.18
2020-08-17,8.24,8.32
2020-08-18,8.39,8.18
2020-08-19,8.24,8.08
2020-08-20,8.02,8.0
2020-08-21,7.9,7.72
2020-08-24,7.81,8.09
2020-08-25,8.13,8.14
2020-08-26,8.01,8.05
2020-08-27,8.04,8.05
2020-08-28,8.07,8.2
2020-08-31,8.26,8.01
2020-09-01,7.95,8.32
2020-09-02,8.36,8.39
2020-09-03,8.39,8.0
2020-09-04,8.07,8.13
2020-09-08,7.92,7.8
2020-09-09,7.8,7.6
2020-09-10,7.6,7.95
2020-09-11,8.11,8.14
2020-09-14,8.25,8.65
2020-09-15,8.68,8.77
2020-09-16,8.87,9.23
2020-09-17,9.04,9.24
2020-09-18,9.24,8.75
2020-09-21,8.37,7.99
2020-09-22,8.07,7.93
2020-09-23,7.85,7.86
2020-09-24,7.84,7.52
2020-09-25,7.43,7.36
2020-09-28,7.64,7.73
2020-09-29,7.81,7.78
2020-09-30,7.78,7.85
2020-10-01,7.9,8.09
2020-10-02,7.87,8.28
2020-10-05,8.38,8.53
2020-10-06,8.65,8.0
2020-10-07,8.2,8.57
2020-10-08,8.64,8.91
2020-10-09,9.02,9.23
2020-10-12,9.16,8.81
2020-10-13,8.63,8.56
2020-10-14,8.57,8.71
2020-10-15,8.39,8.86
2020-10-16,8.92,9.0
2020-10-19,9.05,9.26
2020-10-20,9.36,9.71
2020-10-21,9.61,9.33
2020-10-22,9.39,10.06
2020-10-23,10.21,10.0
2020-10-26,9.72,9.79
2020-10-27,10.06,9.8
2020-10-28,9.1,9.38
2020-10-29,9.26,9.29
2020-10-30,9.1,8.81
2020-11-02,9.18,9.28
2020-11-03,9.58,9.69
2020-11-04,9.41,9.17
2020-11-05,9.32,9.68
2020-11-06,9.75,9.45
2020-11-09,10.49,11.01
2020-11-10,11.06,11.43
2020-11-11,11.39,11.23
2020-11-12,11.06,10.74
2020-11-13,10.91,11.3
2020-11-16,11.41,12.18
2020-11-17,11.9,11.99
2020-11-18,11.99,12.06
2020-11-19,12.08,11.92
2020-11-20,11.92,12.22
2020-11-23,12.58,12.84
2020-11-24,13.0,13.34
2020-11-25,13.24,12.8
2020-11-27,12.8,12.89
2020-11-30,12.83,12.64
2020-12-01,12.84,12.85
2020-12-02,12.83,12.83
2020-12-03,12.82,13.04
2020-12-04,13.27,13.32
2020-12-07,13.01,13.12
2020-12-08,12.93,13.19
2020-12-09,13.39,12.99
2020-12-10,12.91,13.4
2020-12-11,13.13,13.39
2020-12-14,13.45,13.25
2020-12-15,13.43,13.45
2020-12-16,13.39,13.4
2020-12-17,13.95,14.38
2020-12-18,14.2,14.33
2020-12-21,14.04,13.87
2020-12-22,13.82,13.34
2020-12-23,13.48,13.64
2020-12-24,13.65,13.63
2020-12-28,13.73,13.66
2020-12-29,13.73,13.37
2020-12-30,13.39,13.82
2020-12-31,13.87,13.99
2021-01-04,14.27,13.88
2021-01-05,13.9,14.54
2021-01-06,14.77,14.96
2021-01-07,15.0,14.69
2021-01-08,14.86,14.41
2021-01-11,14.03,14.53
2021-01-12,14.5,14.68
2021-01-13,14.77,14.54
2021-01-14,14.64,14.6
2021-01-15,15.0,14.03
2021-01-19,14.24,14.4
2021-01-20,14.48,14.06
2021-01-21,14.1,13.68
2021-01-22,13.32,13.55
2021-01-25,13.39,13.41
2021-01-26,13.55,12.9
2021-01-27,12.48,12.53
2021-01-28,12.74,12.9
2021-01-29,12.99,12.33
2021-02-01,12.48,13.32
2021-02-02,13.5,13.38
2021-02-03,13.43,13.22
2021-02-04,13.21,13.57
2021-02-05,13.82,13.67
2021-02-08,13.23,13.7
2021-02-09,14.27,14.14
2021-02-10,14.31,13.99
2021-02-11,13.95,14.28
2021-02-12,14.25,14.42
2021-02-16,14.59,14.24
2021-02-17,14.21,14.03
2021-02-18,13.94,13.53
2021-02-19,13.67,14.01
2021-02-22,13.7,13.88
2021-02-23,13.68,13.55
2021-02-24,13.5,14.24
2021-02-25,14.09,13.59
2021-02-26,13.5,13.24
2021-03-01,13.69,14.04
2021-03-02,14.01,14.4
2021-03-03,14.47,14.82
2021-03-04,14.65,14.0
2021-03-05,14.2,14.11
2021-03-08,14.02,14.23
2021-03-09,14.43,14.94
2021-03-10,15.01,15.43
2021-03-11,15.65,16.75
2021-03-12,16.43,16.8
2021-03-15,16.67,16.76
2021-03-16,16.58,16.54
2021-03-17,16.3,16.46
2021-03-18,16.28,15.46
2021-03-19,15.51,15.82
2021-03-22,16.68,15.79
2021-03-23,15.52,14.87
2021-03-24,15.13,14.41
2021-03-25,14.04,14.86
2021-03-26,15.14,15.09
2021-03-29,14.94,14.28
2021-03-30,14.22,14.72
2021-03-31,14.89,14.7
2021-04-01,14.91,14.88
2021-04-05,15.14,14.92
2021-04-06,14.94,14.72
2021-04-07,14.76,14.63
2021-04-08,14.72,15.0
2021-04-09,14.97,14.89
2021-04-12,14.83,14.86
2021-04-13,14.73,14.61
2021-04-14,14.72,15.07
2021-04-15,15.28,15.38
2021-04-16,15.63,15.67
2021-04-19,15.53,15.15
2021-04-20,15.1,14.59
2021-04-21,14.61,15.32
2021-04-22,15.33,14.98
2021-04-23,15.33,15.79
2021-04-26,15.93,16.36
2021-04-27,16.26,16.26
2021-04-28,16.51,15.87
2021-04-29,16.6,15.86
2021-04-30,15.45,15.51
2021-05-03,15.7,15.42
2021-05-04,15.3,16.62
2021-05-05,16.6,17.25
2021-05-06,17.3,17.06
2021-05-07,16.96,17.17
2021-05-10,17.4,16.91
2021-05-11,16.5,17.75
2021-05-12,17.72,16.67
2021-05-13,16.82,16.59
2021-05-14,16.86,16.93
2021-05-17,16.82,17.22
2021-05-18,17.36,17.56
2021-05-19,17.02,17.03
2021-05-20,17.09,16.86
2021-05-21,17.13,17.06
2021-05-24,17.05,17.13
2021-05-25,17.05,17.11
2021-05-26,17.05,17.6
2021-05-27,17.8,18.22
2021-05-28,18.18,17.86
2021-06-01,18.27,18.25
2021-06-02,18.14,17.98
2021-06-03,17.77,18.04
2021-06-04,18.15,17.88
2021-06-07,18.0,18.95
2021-06-08,18.81,19.73
2021-06-09,19.73,20.08
2021-06-10,20.0,19.76
2021-06-11,20.09,20.07
2021-06-14,19.92,19.74
2021-06-15,19.64,19.99
2021-06-16,19.98,20.17
2021-06-17,20.08,19.59
2021-06-18,19.01,18.61
2021-06-21,19.02,19.42
2021-06-22,19.17,19.52
2021-06-23,19.66,19.66
2021-06-24,19.66,19.84
2021-06-25,19.9,19.37
2021-06-28,19.32,18.69
2021-06-29,18.78,18.97
2021-06-30,18.77,18.95
2021-07-01,19.27,19.49
2021-07-02,19.47,19.4
2021-07-06,19.45,18.75
2021-07-07,18.73,18.71
2021-07-08,18.0,18.49
2021-07-09,19.0,18.82
2021-07-12,18.57,19.39
2021-07-13,19.15,19.05
2021-07-14,19.28,18.7
