date,open,close
2020-05-11,2.16,2.18
2020-05-12,2.18,2.11
2020-05-13,2.09,1.93
2020-05-14,1.93,1.93
2020-05-15,1.9,1.95
2020-05-18,2.04,2.04
2020-05-19,2.04,1.99
2020-05-20,2.05,2.11
2020-05-21,2.1,2.16
2020-05-22,2.17,2.12
2020-05-26,2.19,2.23
2020-05-27,2.28,2.42
2020-05-28,2.48,2.41
2020-05-29,2.4,2.4
2020-06-01,2.38,2.46
2020-06-02,2.48,2.75
2020-06-03,2.81,2.93
2020-06-04,2.91,2.86
2020-06-05,2.99,3.02
2020-06-08,3.09,3.14
2020-06-09,3.02,2.91
2020-06-10,2.9,2.76
2020-06-11,2.59,2.61
2020-06-12,2.81,2.85
2020-06-15,2.74,2.69
2020-06-16,2.9,2.84
2020-06-17,2.88,2.84
2020-06-18,2.79,2.92
2020-06-19,3.01,2.86
2020-06-22,2.87,2.93
2020-06-23,2.95,2.88
2020-06-24,2.85,2.77
2020-06-25,2.71,2.88
2020-06-26,2.84,2.74
2020-06-29,2.77,2.84
2020-06-30,2.81,2.88
2020-07-01,2.87,2.75
2020-07-02,2.8,2.82
2020-07-06,2.9,2.87
2020-07-07,2.85,2.78
2020-07-08,2.78,2.75
2020-07-09,2.76,2.65
2020-07-10,2.69,2.64
2020-07-13,2.67,2.73
2020-07-14,2.72,2.75
2020-07-15,2.85,2.89
2020-07-16,2.9,2.9
2020-07-17,2.95,2.84
2020-07-20,2.84,2.8
2020-07-21,2.87,2.83
2020-07-22,2.83,2.83
2020-07-23,2.83,2.81
2020-07-24,2.81,2.83
2020-07-27,3.0,3.17
2020-07-28,3.14,3.09
2020-07-29,3.11,3.16
2020-07-30,3.11,3.13
2020-07-31,3.1,3.06
2020-08-03,3.06,3.12
2020-08-04,3.09,3.18
2020-08-05,3.2,3.28
2020-08-06,3.25,3.29
2020-08-07,3.24,3.3
2020-08-10,3.35,3.36
2020-08-11,3.42,3.38
2020-08-12,3.4,3.34
2020-08-13,3.34,3.36
2020-08-14,3.37,3.41
2020-08-17,3.46,3.55
2020-08-18,3.55,3.46
2020-08-19,3.45,3.38
2020-08-20,3.38,3.49
2020-08-21,3.47,3.46
2020-08-24,3.51,3.5
2020-08-25,3.49,3.54
2020-08-26,3.53,3.5
2020-08-27,3.47,3.41
2020-08-28,3.43,3.39
2020-08-31,3.38,3.21
2020-09-01,3.25,3.29
2020-09-02,3.3,3.28
2020-09-03,3.29,3.14
2020-09-04,3.18,3.18
2020-09-08,3.14,3.12
2020-09-09,3.17,3.22
2020-09-10,3.2,3.5
2020-09-11,3.56,3.79
2020-09-14,3.85,3.94
2020-09-15,4.03,3.99
2020-09-16,3.95,3.99
2020-09-17,3.93,3.9
2020-09-18,3.9,3.83
2020-09-21,3.71,3.65
2020-09-22,3.67,3.67
2020-09-23,3.67,3.53
2020-09-24,3.49,3.56
2020-09-25,3.54,3.59
2020-09-28,3.64,3.72
2020-09-29,3.72,3.62
2020-09-30,3.62,3.8
2020-10-01,3.82,3.72
2020-10-02,3.64,3.77
2020-10-05,3.91,3.97
2020-10-06,4.03,3.84
2020-10-07,3.92,3.88
2020-10-08,3.94,4.09
2020-10-09,4.1,4.05
2020-10-12,4.05,3.98
2020-10-13,3.97,3.89
2020-10-14,3.88,3.99
2020-10-15,3.91,4.13
2020-10-16,4.14,4.1
2020-10-19,4.13,4.05
2020-10-20,4.04,4.2
2020-10-21,4.2,4.23
2020-10-22,4.26,4.22
2020-10-23,4.24,4.19
2020-10-26,4.12,4.09
2020-10-27,4.08,3.98
2020-10-28,4.01,3.92
2020-10-29,3.9,3.98
2020-10-30,3.93,4.15
2020-11-02,4.15,4.16
2020-11-03,4.23,4.26
2020-11-04,4.27,4.01
2020-11-05,4.07,4.13
2020-11-06,4.18,4.02
2020-11-09,4.2,4.29
2020-11-10,4.25,4.56
2020-11-11,4.58,4.51
2020-11-12,4.47,4.36
2020-11-13,4.41,4.44
2020-11-16,4.54,4.5
2020-11-17,4.45,4.65
2020-11-18,4.69,4.83
2020-11-19,4.8,4.68
2020-11-20,4.61,4.62
2020-11-23,4.67,4.62
2020-11-24,4.69,4.88
2020-11-25,4.75,4.7
2020-11-27,4.71,4.68
2020-11-30,4.73,4.6
2020-12-01,4.7,5.02
2020-12-02,5.0,4.98
2020-12-03,5.01,5.31
2020-12-04,5.4,5.6
2020-12-07,5.55,5.63
2020-12-08,5.61,5.55
2020-12-09,5.56,5.32
2020-12-10,5.28,5.5
2020-12-11,5.49,5.37
2020-12-14,5.31,5.24
2020-12-15,5.28,5.3
2020-12-16,5.3,5.3
2020-12-17,5.27,5.38
2020-12-18,5.39,5.17
2020-12-21,5.03,5.13
2020-12-22,5.11,5.01
2020-12-23,4.99,5.13
2020-12-24,5.16,5.14
2020-12-28,5.1,5.1
2020-12-29,5.1,5.09
2020-12-30,5.12,5.18
2020-12-31,5.13,5.17
2021-01-04,5.16,5.16
2021-01-05,5.17,5.34
2021-01-06,5.59,5.84
2021-01-07,5.9,5.74
2021-01-08,5.78,5.76
2021-01-11,5.6,5.64
2021-01-12,5.61,5.81
2021-01-13,5.79,5.7
2021-01-14,5.72,6.18
2021-01-15,6.07,6.39
2021-01-19,6.41,6.68
2021-01-20,6.63,6.67
2021-01-21,6.7,6.46
2021-01-22,6.39,6.24
2021-01-25,6.19,6.2
2021-01-26,6.26,6.21
2021-01-27,6.0,5.83
2021-01-28,5.82,6.07
2021-01-29,6.05,5.73
2021-02-01,5.87,5.97
2021-02-02,6.11,6.26
2021-02-03,6.35,6.4
2021-02-04,6.45,6.41
2021-02-05,6.43,6.43
2021-02-08,6.44,6.43
2021-02-09,6.43,6.39
2021-02-10,6.4,6.38
2021-02-11,6.4,6.67
2021-02-12,6.69,6.68
2021-02-16,6.72,6.51
2021-02-17,6.5,6.41
2021-02-18,6.35,6.12
2021-02-19,6.19,6.33
2021-02-22,6.27,6.33
2021-02-23,6.29,6.49
2021-02-24,6.54,6.9
2021-02-25,6.86,6.54
2021-02-26,6.51,6.61
2021-03-01,6.76,6.84
2021-03-02,6.9,6.95
2021-03-03,7.02,7.24
2021-03-04,7.24,6.77
2021-03-05,6.91,6.85
2021-03-08,6.91,6.93
2021-03-09,6.98,7.01
2021-03-10,7.05,6.99
2021-03-11,7.07,7.38
2021-03-12,7.35,7.29
2021-03-15,7.36,6.94
2021-03-16,6.91,7.08
2021-03-17,7.03,7.13
2021-03-18,7.11,6.89
2021-03-19,6.89,6.7
2021-03-22,6.73,6.67
2021-03-23,6.6,6.38
2021-03-24,6.45,6.36
2021-03-25,6.3,6.56
2021-03-26,6.75,6.71
2021-03-29,6.75,6.7
2021-03-30,6.78,7.19
2021-03-31,7.26,6.97
2021-04-01,7.02,6.85
2021-04-05,6.96,7.17
2021-04-06,7.17,6.97
2021-04-07,7.01,7.1
2021-04-08,7.1,7.12
2021-04-09,7.16,7.14
2021-04-12,7.16,7.02
2021-04-13,6.98,6.91
2021-04-14,6.92,7.31
2021-04-15,7.33,7.47
2021-04-16,7.53,7.52
2021-04-19,7.5,7.34
2021-04-20,7.29,7.35
2021-04-21,7.28,7.45
2021-04-22,7.48,7.3
2021-04-23,7.4,7.58
2021-04-26,7.67,7.64
2021-04-27,7.68,7.7
2021-04-28,7.76,7.64
2021-04-29,7.9,8.07
2021-04-30,8.0,7.89
2021-05-03,8.07,8.12
2021-05-04,8.08,8.23
2021-05-05,8.33,8.31
2021-05-06,8.33,8.59
2021-05-07,8.67,8.62
2021-05-10,8.69,8.48
2021-05-11,8.4,8.59
2021-05-12,8.56,7.88
2021-05-13,7.9,8.09
2021-05-14,8.2,8.34
2021-05-17,8.26,8.52
2021-05-18,8.52,8.36
2021-05-19,8.17,8.15
2021-05-20,8.2,8.32
2021-05-21,8.39,8.24
2021-05-24,8.27,8.35
2021-05-25,8.38,8.0
2021-05-26,8.02,8.01
2021-05-27,8.15,8.1
2021-05-28,8.14,8.28
2021-06-01,8.43,8.89
2021-06-02,8.89,8.36
2021-06-03,8.34,8.2
2021-06-04,8.21,8.23
2021-06-07,8.37,8.43
2021-06-08,8.44,8.52
2021-06-09,8.5,8.38
2021-06-10,8.46,8.29
2021-06-11,8.35,8.31
2021-06-14,8.25,8.05
2021-06-15,8.02,8.03
2021-06-16,8.01,7.96
2021-06-17,7.91,7.6
2021-06-18,7.52,7.45
2021-06-21,7.6,7.73
2021-06-22,7.73,7.82
2021-06-23,7.88,7.92
2021-06-24,8.17,8.61
2021-06-25,8.8,8.66
2021-06-28,8.82,8.58
2021-06-29,8.625,8.42
2021-06-30,8.37,8.4
2021-07-01,8.47,8.35
2021-07-02,8.34,8.33
2021-07-06,8.34,8.14
2021-07-07,8.19,8.31
2021-07-08,8.08,8.14
2021-07-09,8.25,8.4
2021-07-12,8.35,8.31
2021-07-13,8.29,7.88
2021-07-14,8.0,7.86
2021-07-15,7.8,7.97
2021-07-16,8.04,7.87
2021-07-19,7.61,7.62
2021-07-20,7.66,7.86
2021-07-21,7.91,8.22
2021-07-22,8.2,8.1
2021-07-23,8.15,8.08
2021-07-26,8.085,8.21
2021-07-27,8.1,8.02
2021-07-28,8.05,8.4
2021-07-29,8.46,8.55
2021-07-30,8.465,8.13
2021-08-02,8.31,8.04
2021-08-03,8.02,8.27
2021-08-04,8.1,8.11
2021-08-05,8.2,8.05
2021-08-06,8.12,7.94
2021-08-09,7.93,7.95
2021-08-10,7.97,7.95
2021-08-11,8.04,8.15
2021-08-12,8.15,7.99
2021-08-13,8.015,8.08
2021-08-16,7.99,8.0
2021-08-17,7.95,7.86
2021-08-18,7.84,7.88
2021-08-19,7.71,7.67
2021-08-20,7.64,7.71
2021-08-23,7.8,7.92
2021-08-24,7.96,8.06
2021-08-25,8.06,8.21
2021-08-26,8.21,8.02
2021-08-27,8.05,8.25
2021-08-30,8.19,8.14
2021-08-31,8.12,8.2
2021-09-01,8.24,8.05
2021-09-02,8.06,8.04
2021-09-03,8.01,8.06
2021-09-07,8.04,7.85
2021-09-08,7.8,7.68
2021-09-09,7.71,7.63
2021-09-10,7.68,7.7
2021-09-13,7.83,7.62
2021-09-14,7.68,7.63
2021-09-15,7.6,7.59
2021-09-16,7.56,7.51
2021-09-17,7.5,7.24
2021-09-20,7.05,7.03
2021-09-21,7.095,7.08
2021-09-22,7.0,7.28
2021-09-23,7.305,7.5
2021-09-24,7.41,7.32
2021-09-27,7.35,7.51
2021-09-28,7.41,7.29
2021-09-29,7.31,7.11
2021-09-30,7.15,7.17
2021-10-01,7.19,7.17
2021-10-04,7.12,7.02
2021-10-05,7.02,6.8
2021-10-06,6.75,6.72
2021-10-07,6.8,6.65
2021-10-08,6.6,6.52
2021-10-11,6.52,6.66
2021-10-12,6.65,6.85
2021-10-13,6.87,6.81
2021-10-14,6.9,7.08
2021-10-15,7.15,7.16
2021-10-18,7.12,7.17
2021-10-19,7.18,7.06
2021-10-20,7.06,7.17
2021-10-21,7.14,6.9
2021-10-22,6.93,6.71
2021-10-25,6.74,6.8
2021-10-26,6.84,6.82
2021-10-27,6.8,6.76
2021-10-28,6.59,6.6
2021-10-29,6.52,6.43
2021-11-01,6.41,6.33
2021-11-02,6.35,6.4
2021-11-03,6.39,6.29
2021-11-04,6.34,6.13
2021-11-05,6.18,6.34
2021-11-08,6.92,6.97
2021-11-09,6.9,6.68
2021-11-10,6.64,6.5
2021-11-11,6.51,6.6
2021-11-12,6.61,6.57
2021-11-15,6.58,6.54
2021-11-16,6.55,6.43
2021-11-17,6.44,6.32
2021-11-18,6.31,6.22
2021-11-19,6.16,6.16
2021-11-22,6.19,6.12
2021-11-23,6.17,6.29
2021-11-24,6.25,6.15
2021-11-26,5.87,5.85
2021-11-29,5.88,6.32
2021-11-30,6.21,6.15
2021-12-01,6.38,6.14
2021-12-02,6.155,6.21
2021-12-03,6.21,6.03
2021-12-06,6.04,6.05
2021-12-07,6.14,6.13
2021-12-08,6.15,6.13
2021-12-09,6.07,5.98
2021-12-10,6.05,6.03
2021-12-13,6.04,5.98
2021-12-14,5.93,6.11
2021-12-15,6.12,6.17
2021-12-16,6.22,6.29
2021-12-17,6.23,6.48
2021-12-20,6.34,6.27
2021-12-21,6.35,6.62
2021-12-22,6.59,6.64
2021-12-23,6.63,6.7
2021-12-27,6.72,6.76
2021-12-28,6.72,6.74
2021-12-29,6.74,6.64
2021-12-30,6.64,6.81
2021-12-31,6.83,6.78
2022-01-03,6.82,6.68
2022-01-04,6.685,6.67
2022-01-05,6.68,6.62
2022-01-06,6.68,6.6
2022-01-07,6.59,6.55
2022-01-10,6.5,6.37
2022-01-11,6.42,6.48
2022-01-12,6.49,6.77
2022-01-13,6.8,6.73
2022-01-14,6.71,6.82
2022-01-18,6.76,6.7
2022-01-19,6.74,6.58
2022-01-20,6.6,6.29
2022-01-21,6.24,5.85
2022-01-24,5.7,5.73
2022-01-25,5.64,5.96
2022-01-26,6.04,5.98
2022-01-27,6.05,5.95
2022-01-28,5.87,6.1
2022-01-31,6.06,6.12
2022-02-01,6.13,6.22
2022-02-02,6.22,6.26
2022-02-03,6.16,6.05
2022-02-04,6.03,5.98
2022-02-07,6.02,5.86
2022-02-08,5.91,5.88
2022-02-09,5.9,6.08
2022-02-10,6.01,5.59
2022-02-11,5.57,5.6
2022-02-14,5.59,5.41
2022-02-15,5.48,5.69
2022-02-16,5.68,5.71
2022-02-17,5.6,5.63
2022-02-18,5.61,5.58
2022-02-22,5.5,5.49
2022-02-23,5.4,5.13
2022-02-24,4.96,5.04
2022-02-25,5.07,5.14
2022-02-28,5.06,5.1
2022-03-01,5.05,4.98
2022-03-02,5.1,5.09
2022-03-03,5.18,5.1
2022-03-04,5.0,4.74
2022-03-07,4.71,4.43
2022-03-08,4.49,4.76
2022-03-09,4.91,4.96
2022-03-10,4.87,4.73
2022-03-11,4.83,4.78
2022-03-14,4.85,4.72
2022-03-15,4.71,4.92
2022-03-16,4.98,5.09
2022-03-17,5.1,5.18
2022-03-18,5.15,5.27
2022-03-21,5.36,5.2
2022-03-22,5.26,5.26
2022-03-23,5.21,5.2
2022-03-24,5.24,5.27
2022-03-25,5.22,5.33
2022-03-28,5.26,5.21
2022-03-29,5.27,5.44
2022-03-30,5.37,5.32
2022-03-31,5.28,5.29
2022-04-01,5.365,5.29
2022-04-04,5.45,5.27
2022-04-05,5.18,5.07
2022-04-06,5.0,4.85
2022-04-07,4.87,4.75
2022-04-08,4.75,4.53
2022-04-11,4.48,4.52
2022-04-12,4.61,4.54
2022-04-13,4.63,4.74
2022-04-14,4.72,4.63
2022-04-18,4.62,4.6
2022-04-19,4.6,4.77
2022-04-20,4.89,4.89
2022-04-21,4.91,4.58
2022-04-22,4.6,4.4
2022-04-25,4.38,4.4
2022-04-26,4.34,4.14
2022-04-27,4.2,4.29
2022-04-28,4.55,4.54
2022-04-29,4.48,4.4
2022-05-02,4.38,4.36
2022-05-03,4.4,4.47
2022-05-04,4.46,4.58
2022-05-05,4.46,4.27
2022-05-06,4.27,4.19
2022-05-09,4.14,3.99
2022-05-10,4.07,4.02
2022-05-11,4.03,3.96
2022-05-12,3.9,4.0
2022-05-13,4.06,4.12
2022-05-16,4.08,4.37
2022-05-17,4.44,4.49
2022-05-18,4.39,4.3
2022-05-19,4.26,4.4
2022-05-20,4.7,4.41
2022-05-23,4.43,4.36
2022-05-24,4.31,4.21
2022-05-25,4.15,4.31
2022-05-26,4.34,4.41
2022-05-27,4.44,4.57
2022-05-31,4.62,4.67
2022-06-01,4.64,4.46
2022-06-02,4.45,4.39
2022-06-03,4.35,4.36
2022-06-06,4.4,4.39
2022-06-07,4.31,4.35
2022-06-08,4.3,4.27
2022-06-09,4.26,4.1
2022-06-10,4.01,3.85
2022-06-13,3.77,3.63
2022-06-14,3.67,3.57
2022-06-15,3.6,3.55
2022-06-16,3.46,3.32
2022-06-17,3.33,3.46
2022-06-21,3.58,3.63
2022-06-22,3.57,3.62
2022-06-23,3.64,3.73
2022-06-24,3.8,3.89
2022-06-27,3.88,3.92
2022-06-28,3.94,3.91
2022-06-29,3.87,3.87
2022-06-30,3.77,3.92
2022-07-01,3.88,3.86
2022-07-05,3.74,3.94
2022-07-06,3.87,3.88
2022-07-07,3.94,3.93
2022-07-08,3.93,3.9
2022-07-11,3.85,3.77
2022-07-12,3.76,3.87
2022-07-13,3.82,3.87
2022-07-14,3.79,3.77
2022-07-15,3.83,3.9
2022-07-18,3.93,3.88
2022-07-19,3.93,3.98
2022-07-20,3.95,3.91
2022-07-21,3.9,3.99
2022-07-22,4.04,3.98
2022-07-25,3.99,4.04
2022-07-26,3.99,3.88
2022-07-27,3.9,3.96
2022-07-28,3.97,3.99
2022-07-29,4.0,4.01
2022-08-01,3.97,4.12
2022-08-02,4.11,4.07
2022-08-03,4.09,4.31
2022-08-04,4.29,4.3
2022-08-05,4.21,4.35
2022-08-08,4.42,4.42
2022-08-09,4.4,4.29
2022-08-10,4.41,4.52
2022-08-11,4.59,4.53
2022-08-12,4.57,4.66
2022-08-15,4.59,4.53
2022-08-16,4.53,4.55
2022-08-17,4.45,4.47
2022-08-18,4.42,4.38
2022-08-19,4.33,4.27
2022-08-22,4.2,4.15
2022-08-23,4.16,4.21
2022-08-24,4.2,4.15
2022-08-25,4.17,4.21
2022-08-26,4.26,4.03
2022-08-29,3.99,3.93
2022-08-30,3.96,3.84
2022-08-31,3.86,3.74
2022-09-01,3.75,3.78
2022-09-02,3.84,3.93
2022-09-06,3.89,3.8
2022-09-07,3.76,3.84
2022-09-08,3.8,3.82
2022-09-09,3.88,3.96
2022-09-12,4.01,4.04
2022-09-13,3.92,3.88
2022-09-14,3.9,3.82
2022-09-15,3.8,3.65
2022-09-16,3.63,3.64
2022-09-19,3.6,3.71
2022-09-20,3.64,3.56
2022-09-21,3.64,3.6
2022-09-22,3.57,3.5
2022-09-23,3.44,3.44
2022-09-26,3.4,3.3
2022-09-27,3.34,3.28
2022-09-28,3.28,3.4
2022-09-29,3.34,3.4
2022-09-30,3.42,3.43
2022-10-03,3.44,3.48
2022-10-04,3.56,3.73
2022-10-05,3.65,3.61
2022-10-06,3.58,3.59
2022-10-07,3.55,3.54
2022-10-10,3.55,3.43
2022-10-11,3.4,3.38
2022-10-12,3.38,3.39
2022-10-13,3.31,3.35
2022-10-14,3.35,3.2
2022-10-17,3.27,3.44
2022-10-18,3.55,3.46
2022-10-19,3.42,3.35
2022-10-20,3.36,3.38
2022-10-21,3.36,3.5
2022-10-24,3.5,3.52
2022-10-25,3.48,3.61
2022-10-26,3.6,3.7
2022-10-27,3.5,3.53
2022-10-28,3.5,3.76
2022-10-31,3.66,3.86
2022-11-01,3.92,3.93
2022-11-02,3.9,3.71
2022-11-03,3.69,3.74
2022-11-04,3.83,4.04
2022-11-07,4.08,4.03
2022-11-08,4.06,4.1
2022-11-09,4.05,4.02
2022-11-10,4.22,4.38
2022-11-11,4.42,4.57
2022-11-14,4.55,4.48
2022-11-15,4.6,4.49
2022-11-16,4.46,4.59
2022-11-17,4.46,4.5
2022-11-18,4.55,4.5
2022-11-21,4.43,4.4
2022-11-22,4.45,4.47
2022-11-23,4.46,4.57
2022-11-25,4.54,4.54
2022-11-28,4.5,4.43
2022-11-29,4.46,4.39
2022-11-30,4.4,4.57
2022-12-01,4.57,4.49
2022-12-02,4.42,4.38
2022-12-05,4.34,4.19
2022-12-06,4.23,4.24
2022-12-07,4.22,4.2
2022-12-08,4.19,4.21
2022-12-09,4.21,4.17
2022-12-12,4.15,4.14
2022-12-13,4.33,4.18
2022-12-14,4.15,4.18
2022-12-15,4.08,4.02
2022-12-16,4.0,4.03
2022-12-19,4.03,4.06
2022-12-20,4.07,4.08
2022-12-21,4.12,4.19
2022-12-22,4.14,4.13
2022-12-23,4.11,4.24
2022-12-27,4.22,4.16
2022-12-28,4.15,4.11
2022-12-29,4.12,4.15
2022-12-30,4.1,4.05
2023-01-03,4.16,4.12
2023-01-04,4.18,4.38
2023-01-05,4.33,4.39
2023-01-06,4.45,4.59
2023-01-09,4.61,4.48
2023-01-10,4.44,4.51
2023-01-11,4.54,4.94
2023-01-12,4.98,5.04
2023-01-13,5.0,4.98
2023-01-17,5.0,4.99
2023-01-18,5.02,4.88
2023-01-19,4.88,4.85
2023-01-20,4.87,4.99
2023-01-23,5.01,4.99
2023-01-24,4.95,5.02
2023-01-25,4.99,5.08
2023-01-26,5.15,5.32
2023-01-27,5.35,5.37
2023-01-30,5.32,5.29
2023-01-31,5.3,5.34
2023-02-01,5.34,5.51
2023-02-02,5.55,5.52
2023-02-03,5.37,5.43
2023-02-06,5.35,5.35
2023-02-07,5.34,5.28
2023-02-08,5.27,5.26
2023-02-09,5.31,5.26
2023-02-10,5.22,5.2
2023-02-13,5.07,5.26
2023-02-14,5.2,5.25
2023-02-15,5.21,5.31
2023-02-16,5.26,5.18
2023-02-17,5.16,5.14
2023-02-21,5.09,4.97
2023-02-22,4.97,4.93
2023-02-23,4.93,4.93
2023-02-24,4.81,4.85
2023-02-27,4.9,4.9
2023-02-28,4.95,4.98
2023-03-01,4.99,5.19
2023-03-02,5.18,5.43
2023-03-03,5.41,5.67
2023-03-06,5.67,5.55
2023-03-07,5.56,5.32
2023-03-08,5.32,5.38
2023-03-09,5.39,5.23
2023-03-10,5.2,5.02
2023-03-13,4.92,5.0
2023-03-14,5.19,5.09
2023-03-15,4.94,4.87
2023-03-16,4.82,4.98
2023-03-17,4.89,4.83
2023-03-20,4.91,4.86
2023-03-21,4.94,5.01
2023-03-22,5.0,5.05
2023-03-23,5.06,5.07
2023-03-24,5.04,5.02
2023-03-27,5.03,5.03
2023-03-28,5.0,5.15
2023-03-29,5.2,5.38
2023-03-30,5.4,5.42
2023-03-31,5.44,5.53
2023-04-03,5.55,5.41
2023-04-04,5.44,5.4
2023-04-05,5.32,5.25
2023-04-06,5.24,5.24
2023-04-10,5.19,5.41
2023-04-11,5.4,5.52
2023-04-12,5.55,5.66
2023-04-13,5.7,6.0
2023-04-14,6.0,5.98
2023-04-17,5.98,6.02
2023-04-18,6.04,5.93
2023-04-19,5.9,5.9
2023-04-20,5.83,5.86
2023-04-21,5.85,5.78
2023-04-24,5.78,5.8
2023-04-25,5.74,5.81
2023-04-26,5.81,5.79
2023-04-27,5.8,5.89
2023-04-28,5.81,6.0
2023-05-01,5.94,6.08
2023-05-02,6.12,6.38
2023-05-03,6.32,6.31
2023-05-04,6.49,6.35
2023-05-05,6.33,6.61
2023-05-08,6.6,6.55
2023-05-09,6.5,6.74
2023-05-10,6.82,6.63
2023-05-11,6.57,6.66
2023-05-12,6.68,6.61
2023-05-15,6.55,6.58
2023-05-16,6.55,6.61
2023-05-17,6.62,6.63
2023-05-18,6.61,6.59
2023-05-19,6.59,6.5
2023-05-22,6.45,6.34
2023-05-23,6.29,6.17
2023-05-24,6.2,6.17
2023-05-25,6.2,6.23
2023-05-26,6.29,6.3
2023-05-30,6.32,6.02
2023-05-31,6.0,6.0
2023-06-01,6.06,6.07
2023-06-02,6.145,6.37
2023-06-05,6.38,6.4
2023-06-06,6.36,6.72
2023-06-07,6.75,6.87
2023-06-08,6.85,6.87
2023-06-09,6.88,6.96
2023-06-12,6.95,6.9
2023-06-13,6.91,7.14
2023-06-14,7.17,7.26
2023-06-15,7.19,7.3
2023-06-16,7.27,7.2
2023-06-20,7.14,7.02
2023-06-21,7.01,7.01
2023-06-22,6.96,6.88
2023-06-23,6.85,6.9
2023-06-26,6.92,6.89
2023-06-27,6.9,7.04
2023-06-28,6.99,6.96
2023-06-29,6.95,6.99
2023-06-30,7.07,7.08
2023-07-03,7.09,7.08
