date,open,close
2020-05-11,29.19,29.84
2020-05-12,29.85,28.12
2020-05-13,27.85,26.58
2020-05-14,25.96,26.41
2020-05-15,26.16,25.34
2020-05-18,26.5,27.99
2020-05-19,28.0,27.57
2020-05-20,28.1,28.06
2020-05-21,27.75,28.24
2020-05-22,28.33,27.72
2020-05-26,28.84,29.94
2020-05-27,30.92,30.31
2020-05-28,30.64,30.2
2020-05-29,29.55,29.36
2020-06-01,29.37,30.33
2020-06-02,30.72,30.72
2020-06-03,31.24,32.54
2020-06-04,32.62,32.21
2020-06-05,34.15,33.31
2020-06-08,34.02,34.94
2020-06-09,33.7,33.64
2020-06-10,33.5,31.8
2020-06-11,29.59,30.01
2020-06-12,31.28,31.07
2020-06-15,29.75,31.14
2020-06-16,32.55,32.32
2020-06-17,32.46,31.26
2020-06-18,30.73,30.82
2020-06-19,31.49,30.23
2020-06-22,30.01,30.5
2020-06-23,30.97,30.69
2020-06-24,30.19,29.65
2020-06-25,29.51,30.76
2020-06-26,30.61,30.19
2020-06-29,30.38,30.63
2020-06-30,30.49,30.66
2020-07-01,30.57,30.91
2020-07-02,31.6,31.28
2020-07-06,32.01,31.21
2020-07-07,30.74,29.85
2020-07-08,29.77,29.48
2020-07-09,29.31,29.58
2020-07-10,29.56,29.96
2020-07-13,30.13,30.0
2020-07-14,30.02,29.86
2020-07-15,30.32,30.21
2020-07-16,30.01,29.6
2020-07-17,29.71,29.73
2020-07-20,29.65,28.79
2020-07-21,28.96,28.96
2020-07-22,28.7,29.26
2020-07-23,29.02,29.12
2020-07-24,29.13,28.67
2020-07-27,28.47,28.76
2020-07-28,28.66,29.44
2020-07-29,29.67,29.39
2020-07-30,28.72,28.98
2020-07-31,28.96,29.14
2020-08-03,29.14,28.79
2020-08-04,28.63,29.2
2020-08-05,29.36,28.7
2020-08-06,28.55,29.18
2020-08-07,28.8,28.94
2020-08-10,28.88,29.81
2020-08-11,30.21,29.85
2020-08-12,29.86,29.47
2020-08-13,29.25,28.95
2020-08-14,28.84,28.86
2020-08-17,28.87,28.52
2020-08-18,28.51,28.3
2020-08-19,28.23,27.94
2020-08-20,27.75,27.98
2020-08-21,27.91,27.7
2020-08-24,27.65,28.34
2020-08-25,28.38,28.27
2020-08-26,28.24,27.75
2020-08-27,27.83,28.36
2020-08-28,28.45,28.18
2020-08-31,28.1,27.92
2020-09-01,27.71,27.47
2020-09-02,27.35,27.47
2020-09-03,27.57,27.98
2020-09-04,28.14,27.82
2020-09-08,27.58,27.23
2020-09-09,27.41,27.1
2020-09-10,27.01,27.0
2020-09-11,27.07,26.74
2020-09-14,26.96,26.96
2020-09-15,26.96,27.04
2020-09-16,27.17,27.52
2020-09-17,27.21,26.74
2020-09-18,26.7,25.74
2020-09-21,25.27,25.18
2020-09-22,25.11,25.32
2020-09-23,25.12,24.1
2020-09-24,24.03,24.03
2020-09-25,23.83,24.59
2020-09-28,25.09,25.47
2020-09-29,25.09,24.92
2020-09-30,25.6,25.1
2020-10-01,25.11,25.72
2020-10-02,25.24,26.43
2020-10-05,26.66,26.43
2020-10-06,26.5,26.33
2020-10-07,26.42,25.99
2020-10-08,26.22,26.24
2020-10-09,26.24,25.66
2020-10-12,25.49,25.8
2020-10-13,25.54,24.93
2020-10-14,24.76,24.79
2020-10-15,24.6,24.89
2020-10-16,24.77,24.32
2020-10-19,24.36,24.22
2020-10-20,24.5,24.5
2020-10-21,24.3,24.37
