date,open,close
2020-05-11,5.52,5.31
2020-05-12,5.31,5.46
2020-05-13,5.46,5.03
2020-05-14,4.9,5.08
2020-05-15,5.08,5.55
2020-05-18,5.84,5.99
2020-05-19,6.06,6.03
2020-05-20,6.12,6.29
2020-05-21,6.28,6.46
2020-05-22,6.42,6.54
2020-05-26,6.55,6.83
2020-05-27,6.99,7.0
2020-05-28,7.04,6.98
2020-05-29,6.97,7.1
2020-06-01,7.19,7.19
2020-06-02,7.35,7.49
2020-06-03,7.66,8.25
2020-06-04,8.26,8.41
2020-06-05,9.02,9.53
2020-06-08,9.52,8.97
2020-06-09,8.8,9.07
2020-06-10,8.99,8.57
2020-06-11,8.04,7.75
2020-06-12,8.33,8.21
2020-06-15,7.9,8.52
2020-06-16,8.89,8.73
2020-06-17,8.77,8.3
2020-06-18,8.15,8.16
2020-06-19,8.32,7.89
2020-06-22,7.89,7.68
2020-06-23,7.75,7.81
2020-06-24,7.64,7.36
2020-06-25,7.26,7.41
2020-06-26,7.4,7.15
2020-06-29,7.16,7.32
2020-06-30,7.36,7.18
2020-07-01,7.29,7.54
2020-07-02,7.77,7.72
2020-07-06,7.97,8.01
2020-07-07,7.96,8.06
2020-07-08,8.14,8.05
2020-07-09,7.99,7.81
2020-07-10,7.82,7.7
2020-07-13,7.82,7.25
2020-07-14,7.24,7.35
2020-07-15,7.67,8.03
2020-07-16,8.02,7.66
2020-07-17,7.68,7.71
2020-07-20,7.65,7.85
2020-07-21,7.89,8.21
2020-07-22,8.15,8.36
2020-07-23,8.39,8.28
2020-07-24,8.16,8.11
2020-07-27,8.1,8.0
2020-07-28,8.03,7.9
2020-07-29,7.87,7.88
2020-07-30,7.76,7.8
2020-07-31,7.75,7.71
2020-08-03,7.77,7.65
2020-08-04,7.73,7.83
2020-08-05,7.95,8.28
2020-08-06,8.33,8.54
2020-08-07,8.52,8.63
2020-08-10,8.65,8.9
2020-08-11,9.0,9.02
2020-08-12,9.05,8.91
2020-08-13,8.84,8.99
2020-08-14,9.01,8.99
2020-08-17,9.04,8.55
2020-08-18,8.45,8.62
2020-08-19,8.69,8.51
2020-08-20,8.5,8.28
2020-08-21,7.9,8.44
2020-08-24,8.41,8.72
2020-08-25,8.8,8.52
2020-08-26,8.53,8.5
2020-08-27,8.62,8.35
2020-08-28,8.36,8.62
2020-08-31,8.68,8.55
2020-09-01,8.51,8.74
2020-09-02,8.8,8.86
2020-09-03,8.87,8.94
2020-09-04,9.02,8.7
2020-09-08,8.59,8.27
2020-09-09,8.36,8.01
2020-09-10,8.08,7.81
2020-09-11,7.8,7.68
2020-09-14,7.78,7.85
2020-09-15,7.96,7.9
2020-09-16,7.93,7.98
2020-09-17,7.88,7.92
2020-09-18,7.94,7.42
2020-09-21,7.28,6.91
2020-09-22,6.98,6.45
2020-09-23,6.52,6.33
2020-09-24,6.31,6.43
2020-09-25,6.37,6.35
2020-09-28,6.5,6.43
2020-09-29,6.42,6.18
2020-09-30,6.19,6.36
2020-10-01,6.39,6.78
2020-10-02,6.61,6.87
2020-10-05,6.92,6.72
2020-10-06,6.72,7.03
2020-10-07,7.06,7.01
2020-10-08,7.1,6.95
2020-10-09,7.0,6.84
2020-10-12,6.89,7.0
2020-10-13,7.0,6.69
2020-10-14,6.63,6.74
2020-10-15,6.65,6.69
2020-10-16,6.74,6.84
2020-10-19,6.89,6.87
2020-10-20,6.89,6.99
2020-10-21,6.95,6.94
2020-10-22,6.96,7.01
2020-10-23,7.07,7.33
2020-10-26,7.19,7.29
2020-10-27,7.35,7.06
2020-10-28,6.89,6.81
2020-10-29,6.79,6.83
2020-10-30,6.74,6.8
2020-11-02,6.8,6.86
2020-11-03,6.91,7.09
2020-11-04,7.11,7.15
2020-11-05,7.27,7.89
2020-11-06,7.82,8.11
2020-11-09,9.06,9.35
2020-11-10,9.4,9.46
2020-11-11,9.47,9.64
2020-11-12,9.57,8.73
2020-11-13,8.81,9.16
2020-11-16,9.59,10.24
2020-11-17,10.08,10.4
2020-11-18,10.49,10.76
2020-11-19,10.75,10.8
2020-11-20,10.78,10.71
2020-11-23,10.9,10.74
2020-11-24,10.84,11.22
2020-11-25,11.16,11.16
2020-11-27,11.1,11.22
2020-11-30,11.1,11.04
2020-12-01,11.18,11.37
2020-12-02,11.25,11.66
2020-12-03,11.67,11.88
2020-12-04,11.84,12.18
2020-12-07,12.0,12.18
2020-12-08,12.07,11.89
2020-12-09,11.84,11.91
2020-12-10,11.86,12.97
2020-12-11,12.71,12.79
2020-12-14,12.92,13.01
2020-12-15,13.17,13.17
2020-12-16,13.19,12.99
2020-12-17,13.0,12.99
2020-12-18,12.89,12.38
2020-12-21,12.09,12.04
2020-12-22,12.1,11.85
2020-12-23,11.94,12.14
2020-12-24,12.01,12.07
2020-12-28,12.18,12.12
2020-12-29,12.16,12.32
2020-12-30,12.38,12.53
2020-12-31,12.49,12.81
2021-01-04,12.83,12.79
2021-01-05,12.66,12.93
2021-01-06,12.96,12.04
2021-01-07,12.04,11.8
2021-01-08,11.92,12.09
2021-01-11,12.11,12.34
2021-01-12,12.4,12.35
2021-01-13,11.49,11.76
2021-01-14,11.73,12.18
2021-01-15,12.03,11.45
2021-01-19,11.5,11.51
2021-01-20,11.67,11.44
2021-01-21,11.48,11.4
2021-01-22,11.2,10.98
2021-01-25,10.95,10.89
2021-01-26,11.04,10.94
2021-01-27,10.84,10.56
2021-01-28,10.76,10.46
2021-01-29,10.38,10.14
2021-02-01,10.28,11.1
2021-02-02,11.34,11.24
2021-02-03,11.39,11.27
2021-02-04,11.26,10.98
2021-02-05,11.11,11.36
2021-02-08,11.4,11.86
2021-02-09,11.87,12.02
2021-02-10,12.09,12.07
2021-02-11,12.13,12.27
2021-02-12,12.34,12.13
2021-02-16,12.22,12.82
2021-02-17,12.83,13.53
2021-02-18,13.4,13.75
2021-02-19,13.75,13.79
2021-02-22,13.8,13.82
2021-02-23,14.0,13.85
2021-02-24,13.72,13.73
2021-02-25,13.61,12.18
2021-02-26,12.25,11.9
2021-03-01,12.14,13.03
2021-03-02,12.95,13.14
2021-03-03,13.01,12.68
2021-03-04,12.78,12.4
2021-03-05,12.74,12.89
2021-03-08,12.9,12.13
2021-03-09,12.24,12.57
2021-03-10,12.61,12.79
2021-03-11,13.62,14.74
2021-03-12,14.81,15.29
2021-03-15,15.22,15.54
2021-03-16,16.94,16.95
2021-03-17,16.59,17.56
2021-03-18,17.28,16.64
2021-03-19,16.64,16.74
2021-03-22,16.69,15.11
2021-03-23,14.95,14.31
2021-03-24,14.44,13.44
2021-03-25,13.2,13.68
2021-03-26,13.81,13.39
2021-03-29,13.29,13.36
2021-03-30,13.24,13.29
2021-03-31,13.45,13.63
2021-04-01,13.95,14.25
2021-04-05,14.49,14.08
2021-04-06,14.0,14.02
2021-04-07,14.1,13.34
2021-04-08,13.57,13.71
2021-04-09,13.58,13.88
2021-04-12,13.83,13.13
2021-04-13,13.2,13.19
2021-04-14,13.3,12.99
2021-04-15,13.07,12.7
2021-04-16,12.8,12.99
2021-04-19,12.79,12.7
2021-04-20,12.69,12.61
2021-04-21,12.6,13.27
2021-04-22,13.33,13.54
2021-04-23,13.64,13.65
2021-04-26,13.68,13.81
2021-04-27,13.92,14.01
2021-04-28,13.9,14.0
2021-04-29,14.23,13.79
2021-04-30,13.56,13.24
2021-05-03,13.39,13.36
2021-05-04,13.22,12.77
2021-05-05,12.99,13.05
2021-05-06,13.05,12.77
2021-05-07,12.84,13.33
2021-05-10,13.17,12.84
2021-05-11,12.44,13.01
2021-05-12,12.73,12.36
2021-05-13,12.33,12.7
2021-05-14,12.91,13.03
2021-05-17,12.92,12.69
2021-05-18,12.67,12.62
2021-05-19,12.33,12.55
2021-05-20,12.85,12.7
2021-05-21,12.74,13.11
2021-05-24,13.26,13.85
2021-05-25,13.87,13.36
2021-05-26,13.49,14.17
2021-05-27,14.2,14.28
2021-05-28,14.28,14.62
2021-06-01,14.82,14.42
2021-06-02,14.5,14.21
2021-06-03,14.0,13.75
2021-06-04,13.79,13.88
2021-06-07,13.81,13.83
2021-06-08,13.91,13.95
2021-06-09,13.82,13.92
2021-06-10,13.95,14.18
2021-06-11,14.23,13.99
2021-06-14,13.96,13.78
2021-06-15,13.68,13.6
2021-06-16,13.6,13.43
2021-06-17,13.4,13.48
2021-06-18,13.45,13.45
2021-06-21,13.56,13.67
2021-06-22,13.58,13.48
2021-06-23,13.41,13.74
2021-06-24,13.9,14.05
2021-06-25,13.92,13.73
2021-06-28,13.77,13.28
2021-06-29,13.19,13.08
2021-06-30,13.12,13.21
2021-07-01,13.35,13.34
2021-07-02,13.42,13.43
2021-07-06,13.34,13.15
2021-07-07,13.15,12.89
2021-07-08,12.51,12.59
2021-07-09,12.77,12.95
2021-07-12,12.88,13.11
2021-07-13,12.99,13.35
2021-07-14,13.47,12.91
2021-07-15,12.82,12.88
2021-07-16,12.93,12.72
2021-07-19,12.42,12.55
2021-07-20,12.63,12.79
2021-07-21,12.91,13.5
2021-07-22,13.52,13.53
2021-07-23,13.53,12.88
2021-07-26,12.81,13.12
2021-07-27,13.04,12.68
2021-07-28,12.77,12.61
2021-07-29,12.71,12.86
2021-07-30,12.83,12.61
2021-08-02,12.72,12.61
2021-08-03,12.62,12.52
2021-08-04,12.36,12.4
2021-08-05,12.44,12.98
2021-08-06,12.94,12.87
2021-08-09,12.74,12.81
2021-08-10,12.88,12.8
2021-08-11,12.76,12.85
2021-08-12,12.9,13.25
2021-08-13,13.2,12.65
2021-08-16,12.53,12.5
2021-08-17,12.44,11.55
2021-08-18,11.53,10.96
2021-08-19,12.09,11.24
2021-08-20,11.05,11.3
2021-08-23,11.26,11.52
2021-08-24,11.64,11.92
2021-08-25,12.03,12.25
2021-08-26,12.16,12.08
2021-08-27,12.11,12.35
2021-08-30,12.34,12.27
2021-08-31,12.37,11.99
2021-09-01,12.03,11.99
2021-09-02,12.01,11.39
2021-09-03,11.33,11.34
2021-09-07,11.28,11.58
2021-09-08,11.54,11.15
2021-09-09,11.04,11.22
2021-09-10,11.46,11.29
2021-09-13,11.49,11.51
2021-09-14,11.53,11.6
2021-09-15,11.5,11.59
2021-09-16,11.53,11.74
2021-09-17,11.77,11.5
2021-09-20,11.12,11.59
2021-09-21,11.79,11.37
2021-09-22,11.38,11.46
2021-09-23,11.5,11.93
2021-09-24,11.83,12.65
2021-09-27,12.7,12.51
2021-09-28,12.41,12.11
2021-09-29,12.09,11.84
2021-09-30,11.86,12.03
2021-10-01,12.12,12.45
2021-10-04,12.4,12.05
2021-10-05,12.1,12.19
2021-10-06,12.03,12.35
2021-10-07,12.52,12.62
2021-10-08,12.63,12.83
2021-10-11,12.76,12.88
2021-10-12,12.9,12.95
2021-10-13,12.98,13.02
2021-10-14,13.16,13.07
2021-10-15,13.18,13.12
2021-10-18,12.99,12.87
2021-10-19,12.87,12.3
2021-10-20,12.34,12.4
2021-10-21,12.42,11.89
2021-10-22,11.86,11.43
2021-10-25,11.4,11.41
2021-10-26,11.52,11.28
2021-10-27,11.18,11.2
2021-10-28,11.24,11.27
2021-10-29,11.19,11.12
2021-11-01,11.13,11.15
2021-11-02,11.11,11.35
2021-11-03,11.32,11.75
2021-11-04,11.9,11.55
2021-11-05,11.83,12.27
2021-11-08,12.35,12.55
2021-11-09,12.45,12.42
2021-11-10,12.39,12.41
2021-11-11,12.48,12.26
2021-11-12,12.23,11.65
2021-11-15,11.69,11.49
2021-11-16,11.48,11.13
2021-11-17,11.84,11.39
2021-11-18,11.75,12.45
2021-11-19,12.41,12.25
2021-11-22,12.33,11.77
2021-11-23,11.85,11.72
2021-11-24,11.63,11.65
2021-11-26,11.15,10.58
2021-11-29,10.71,9.59
2021-11-30,9.4,8.65
2021-12-01,8.95,8.42
2021-12-02,8.47,8.6
2021-12-03,8.67,8.35
2021-12-06,8.52,9.06
2021-12-07,9.3,9.42
2021-12-08,9.39,9.67
2021-12-09,9.51,9.59
2021-12-10,9.71,9.5
2021-12-13,9.46,9.19
2021-12-14,9.0,8.94
2021-12-15,8.89,8.62
2021-12-16,8.7,8.47
2021-12-17,8.37,9.13
2021-12-20,8.78,9.3
2021-12-21,9.48,9.72
2021-12-22,9.76,9.72
2021-12-23,9.78,9.81
2021-12-27,9.73,9.79
2021-12-28,9.74,10.08
2021-12-29,10.01,9.99
2021-12-30,10.02,9.84
2021-12-31,9.75,9.79
2022-01-03,9.96,10.3
2022-01-04,10.51,10.18
2022-01-05,10.17,9.73
2022-01-06,9.7,9.88
2022-01-07,9.83,9.67
2022-01-10,9.64,9.73
2022-01-11,9.71,9.76
2022-01-12,9.74,9.73
2022-01-13,9.87,9.73
2022-01-14,9.59,9.94
2022-01-18,9.94,9.74
2022-01-19,9.73,9.6
2022-01-20,9.48,9.22
2022-01-21,9.04,9.38
2022-01-24,9.22,9.89
2022-01-25,10.19,10.47
2022-01-26,10.79,10.68
2022-01-27,10.71,10.72
2022-01-28,10.83,11.3
2022-01-31,11.3,11.86
2022-02-01,11.81,11.82
2022-02-02,11.87,11.8
2022-02-03,11.65,11.7
2022-02-04,11.62,11.99
2022-02-07,12.0,11.86
2022-02-08,11.84,12.15
2022-02-09,12.25,12.16
2022-02-10,11.95,12.12
2022-02-11,12.27,11.96
2022-02-14,11.9,12.29
2022-02-15,12.47,12.55
