date,open,close
2020-07-01,25.0,25.35
2020-07-02,25.3,27.1
2020-07-06,27.75,27.39
2020-07-07,26.3,26.6
2020-07-08,26.89,26.49
2020-07-09,26.35,25.88
2020-07-10,25.88,26.25
2020-07-13,26.25,25.48
2020-07-14,25.4,25.39
2020-07-15,25.44,25.5
2020-07-16,25.49,25.59
2020-07-17,25.65,25.71
2020-07-20,25.71,26.11
2020-07-21,26.2,25.67
2020-07-22,25.6,25.69
2020-07-23,25.58,25.46
2020-07-24,25.25,25.14
2020-07-27,25.24,25.29
2020-07-28,25.35,25.21
2020-07-29,25.1,25.28
2020-07-30,25.02,24.67
2020-07-31,24.72,25.5
2020-08-03,25.49,25.56
2020-08-04,25.55,26.54
2020-08-05,26.5,27.04
2020-08-06,26.41,25.05
2020-08-07,24.9,26.05
2020-08-10,25.81,24.7
2020-08-11,24.76,24.75
2020-08-12,24.79,25.87
2020-08-13,25.54,24.89
2020-08-14,24.77,25.36
2020-08-17,25.28,25.15
2020-08-18,25.12,25.1
2020-08-19,25.15,25.8
2020-08-20,25.6,26.04
2020-08-21,25.9,25.47
2020-08-24,25.52,25.72
2020-08-25,25.56,25.44
2020-08-26,25.58,25.28
2020-08-27,25.26,25.45
2020-08-28,25.45,25.3
2020-08-31,25.2,25.36
2020-09-01,25.25,25.63
2020-09-02,25.61,25.94
2020-09-03,25.71,24.45
2020-09-04,24.53,24.66
2020-09-08,24.52,24.62
2020-09-09,24.74,25.06
2020-09-10,25.25,25.15
2020-09-11,25.38,25.1
2020-09-14,25.3,25.17
2020-09-15,25.34,25.25
2020-09-16,25.27,25.51
2020-09-17,25.3,24.73
2020-09-18,24.76,24.8
2020-09-21,24.28,24.06
2020-09-22,24.0,23.9
2020-09-23,23.85,24.1
2020-09-24,24.03,24.53
2020-09-25,24.42,24.55
2020-09-28,24.72,25.26
2020-09-29,25.17,25.24
2020-09-30,25.3,25.66
2020-10-01,25.86,25.39
2020-10-02,25.2,25.54
2020-10-05,25.7,26.38
2020-10-06,25.98,25.91
2020-10-07,26.09,25.92
2020-10-08,26.51,28.13
2020-10-09,27.8,28.16
2020-10-12,28.4,27.6
2020-10-13,27.55,27.3
2020-10-14,27.31,27.46
2020-10-15,27.48,27.52
2020-10-16,27.65,27.37
2020-10-19,27.44,26.78
2020-10-20,26.78,26.52
2020-10-21,26.65,26.85
2020-10-22,26.91,26.66
2020-10-23,26.75,26.78
2020-10-26,26.58,26.76
2020-10-27,26.79,26.35
2020-10-28,25.91,25.68
2020-10-29,26.02,25.88
2020-10-30,25.8,25.84
2020-11-02,26.19,26.05
2020-11-03,26.17,26.78
2020-11-04,26.94,28.13
2020-11-05,28.6,26.53
2020-11-06,26.75,26.13
2020-11-09,27.84,25.88
2020-11-10,26.09,26.14
2020-11-11,26.27,26.6
2020-11-12,26.72,27.02
2020-11-13,27.3,27.4
2020-11-16,26.12,28.05
2020-11-17,28.05,27.93
2020-11-18,27.96,27.0
2020-11-19,26.84,27.61
2020-11-20,27.6,27.39
2020-11-23,27.46,27.13
2020-11-24,27.27,26.72
2020-11-25,26.62,26.94
2020-11-27,26.89,26.68
2020-11-30,26.73,26.81
2020-12-01,26.93,27.03
2020-12-02,27.18,26.92
2020-12-03,26.93,26.79
2020-12-04,26.89,27.05
2020-12-07,27.08,27.0
2020-12-08,26.78,26.71
2020-12-09,26.93,26.03
2020-12-10,25.92,25.72
2020-12-11,25.64,25.55
2020-12-14,25.82,25.76
2020-12-15,25.9,26.0
2020-12-16,26.1,26.97
2020-12-17,27.11,27.28
2020-12-18,27.39,27.35
2020-12-21,27.19,27.26
2020-12-22,27.27,26.96
2020-12-23,26.91,26.69
2020-12-24,26.52,26.49
2020-12-28,26.9,26.25
2020-12-29,26.35,25.87
2020-12-30,25.93,25.41
2020-12-31,25.31,24.9
2021-01-04,24.7,24.32
2021-01-05,24.44,24.03
