date,open,close
2020-05-11,5.31,4.96
2020-05-12,4.91,4.5
2020-05-13,4.37,4.29
2020-05-14,4.04,4.36
2020-05-15,4.37,4.38
2020-05-18,4.81,5.2
2020-05-19,5.13,5.36
2020-05-20,5.5,5.55
2020-05-21,5.52,5.77
2020-05-22,5.79,5.69
2020-05-26,6.1,6.05
2020-05-27,6.36,6.57
2020-05-28,6.67,5.97
2020-05-29,5.79,5.99
2020-06-01,6.0,6.01
2020-06-02,6.14,6.05
2020-06-03,6.29,6.63
2020-06-04,6.6,6.84
2020-06-05,7.6,7.38
2020-06-08,7.74,7.93
2020-06-09,7.62,7.16
2020-06-10,7.31,6.68
2020-06-11,6.04,5.93
2020-06-12,6.42,6.43
2020-06-15,6.0,6.09
2020-06-16,6.61,6.54
2020-06-17,6.54,6.03
2020-06-18,5.88,5.9
2020-06-19,5.99,5.66
2020-06-22,5.82,5.68
2020-06-23,5.78,5.57
2020-06-24,5.44,5.38
2020-06-25,5.28,5.18
2020-06-26,5.12,5.05
2020-06-29,5.15,5.36
2020-06-30,5.32,5.53
2020-07-01,5.53,5.46
2020-07-02,5.65,5.35
2020-07-06,5.49,5.45
2020-07-07,5.35,5.16
2020-07-08,5.11,5.17
2020-07-09,5.1,4.92
2020-07-10,4.92,5.21
2020-07-13,5.32,5.21
2020-07-14,5.19,5.03
2020-07-15,5.2,5.49
2020-07-16,5.38,5.3
2020-07-17,5.3,5.07
2020-07-20,5.01,4.9
2020-07-21,4.94,5.12
2020-07-22,5.03,5.13
2020-07-23,5.1,5.02
2020-07-24,4.58,4.8
2020-07-27,4.77,4.71
2020-07-28,4.64,4.8
2020-07-29,4.84,4.85
2020-07-30,4.72,4.76
2020-07-31,4.71,4.62
2020-08-03,4.67,4.53
2020-08-04,4.5,4.81
2020-08-05,4.87,4.81
2020-08-06,4.84,4.87
2020-08-07,4.77,5.34
2020-08-10,5.36,5.56
2020-08-11,5.72,5.66
2020-08-12,5.75,5.69
2020-08-13,5.62,5.38
2020-08-14,5.33,5.45
2020-08-17,5.42,5.28
2020-08-18,5.26,5.07
2020-08-19,5.08,5.13
2020-08-20,5.09,5.18
2020-08-21,5.14,4.96
2020-08-24,4.98,5.26
2020-08-25,5.28,5.37
2020-08-26,5.35,5.31
2020-08-27,5.33,5.47
2020-08-28,5.54,5.63
2020-08-31,5.57,5.3
2020-09-01,5.3,5.28
2020-09-02,5.26,5.38
2020-09-03,5.42,5.45
2020-09-04,5.56,5.79
2020-09-08,5.69,5.51
2020-09-09,5.56,5.4
2020-09-10,5.4,5.29
2020-09-11,5.3,5.3
2020-09-14,5.39,5.76
2020-09-15,5.8,5.84
2020-09-16,5.84,5.83
2020-09-17,5.71,5.62
2020-09-18,5.64,5.33
2020-09-21,5.14,4.86
2020-09-22,4.87,4.78
2020-09-23,4.8,4.6
2020-09-24,4.61,4.69
2020-09-25,4.67,4.96
2020-09-28,5.07,5.24
2020-09-29,5.26,5.05
2020-09-30,5.09,5.07
2020-10-01,5.06,5.26
2020-10-02,5.09,5.28
2020-10-05,5.34,5.26
2020-10-06,5.35,5.3
2020-10-07,5.37,5.32
2020-10-08,5.37,5.51
2020-10-09,5.58,5.38
2020-10-12,5.37,5.33
2020-10-13,5.26,5.05
2020-10-14,5.04,4.96
2020-10-15,4.88,5.04
2020-10-16,5.04,4.92
2020-10-19,4.89,4.77
2020-10-20,4.84,4.96
2020-10-21,4.96,5.02
2020-10-22,5.04,5.26
2020-10-23,5.3,5.31
2020-10-26,5.2,5.03
2020-10-27,5.17,4.95
2020-10-28,4.94,4.78
2020-10-29,4.74,4.98
2020-10-30,4.94,4.94
2020-11-02,5.0,5.03
2020-11-03,5.13,5.27
2020-11-04,5.17,4.96
2020-11-05,4.95,5.16
2020-11-06,5.12,4.88
2020-11-09,5.49,6.89
2020-11-10,6.91,6.72
2020-11-11,6.69,6.3
2020-11-12,6.13,6.01
2020-11-13,6.1,6.65
2020-11-16,7.01,6.9
2020-11-17,6.73,7.21
2020-11-18,7.22,7.21
2020-11-19,7.28,7.35
2020-11-20,7.28,7.19
2020-11-23,7.32,7.52
2020-11-24,7.82,8.07
2020-11-25,7.96,7.97
2020-11-27,7.93,7.94
2020-11-30,7.92,7.52
2020-12-01,7.77,7.82
2020-12-02,7.77,8.0
2020-12-03,8.09,8.42
2020-12-04,8.51,8.72
2020-12-07,8.6,8.48
2020-12-08,8.37,8.43
2020-12-09,8.5,8.62
2020-12-10,8.76,8.37
2020-12-11,8.28,8.23
2020-12-14,8.37,8.11
2020-12-15,8.35,8.4
2020-12-16,8.39,8.37
2020-12-17,8.39,8.28
2020-12-18,8.25,8.14
2020-12-21,7.88,8.11
2020-12-22,8.16,8.11
2020-12-23,8.17,8.35
2020-12-24,8.41,8.41
2020-12-28,8.49,8.51
2020-12-29,8.5,8.35
2020-12-30,8.39,8.28
2020-12-31,8.26,8.25
2021-01-04,8.28,8.02
2021-01-05,8.01,8.27
2021-01-06,8.45,8.63
2021-01-07,8.72,8.5
2021-01-08,8.51,8.57
2021-01-11,8.4,8.26
2021-01-12,8.45,8.57
2021-01-13,8.52,8.8
2021-01-14,8.93,8.87
2021-01-15,8.68,8.75
2021-01-19,8.89,8.84
2021-01-20,8.83,9.04
2021-01-21,8.94,8.83
2021-01-22,8.72,8.88
2021-01-25,8.73,8.71
2021-01-26,8.82,8.59
2021-01-27,8.35,8.33
2021-01-28,8.43,8.81
2021-01-29,8.74,8.2
2021-02-01,8.25,8.28
2021-02-02,8.38,8.59
2021-02-03,8.55,8.69
2021-02-04,8.72,8.91
2021-02-05,9.01,8.82
2021-02-08,8.87,8.9
2021-02-09,8.87,8.57
2021-02-10,8.62,8.88
2021-02-11,8.9,8.92
2021-02-12,8.88,8.99
2021-02-16,9.01,9.47
2021-02-17,9.4,9.57
2021-02-18,9.51,9.68
2021-02-19,9.74,9.95
2021-02-22,9.94,9.74
2021-02-23,9.73,9.81
2021-02-24,9.91,10.22
2021-02-25,10.31,9.36
2021-02-26,9.36,10.12
2021-03-01,10.5,9.73
2021-03-02,9.72,9.4
2021-03-03,9.51,9.81
2021-03-04,9.79,9.75
2021-03-05,9.9,9.98
2021-03-08,10.14,10.17
2021-03-09,10.25,10.18
2021-03-10,10.21,10.5
2021-03-11,10.48,10.65
2021-03-12,10.72,10.8
2021-03-15,10.78,11.31
2021-03-16,11.32,11.14
2021-03-17,11.09,11.42
2021-03-18,11.36,11.25
2021-03-19,11.12,10.86
2021-03-22,10.75,10.58
2021-03-23,10.48,10.01
2021-03-24,10.16,10.17
2021-03-25,10.04,10.54
2021-03-26,10.69,10.64
2021-03-29,10.54,10.33
2021-03-30,10.38,10.56
2021-03-31,10.52,10.3
2021-04-01,10.36,10.5
2021-04-05,10.66,10.45
2021-04-06,10.46,10.47
2021-04-07,10.47,10.49
2021-04-08,10.46,10.29
2021-04-09,10.36,10.11
2021-04-12,10.09,10.06
2021-04-13,10.03,10.04
2021-04-14,10.11,10.1
2021-04-15,10.17,9.96
2021-04-16,10.11,9.98
2021-04-19,9.92,9.8
2021-04-20,9.7,9.58
2021-04-21,9.52,9.75
2021-04-22,9.77,9.64
2021-04-23,9.64,10.1
2021-04-26,10.25,10.17
2021-04-27,10.13,10.34
2021-04-28,10.43,10.5
2021-04-29,10.63,10.62
2021-04-30,10.47,10.42
2021-05-03,10.53,10.64
2021-05-04,10.56,10.09
2021-05-05,10.16,10.03
2021-05-06,10.06,9.73
2021-05-07,9.79,10.11
2021-05-10,10.17,9.76
2021-05-11,9.53,9.66
2021-05-12,9.57,9.32
2021-05-13,9.49,9.6
2021-05-14,9.71,10.06
2021-05-17,9.97,9.98
2021-05-18,9.99,9.78
2021-05-19,9.59,9.55
2021-05-20,9.58,9.51
2021-05-21,9.57,9.41
2021-05-24,9.44,9.54
2021-05-25,9.63,9.41
2021-05-26,9.46,9.67
2021-05-27,9.77,9.69
2021-05-28,9.8,9.68
2021-06-01,9.77,10.13
2021-06-02,10.22,10.33
2021-06-03,10.23,10.07
2021-06-04,10.08,10.17
2021-06-07,10.23,10.46
2021-06-08,10.45,10.68
2021-06-09,10.74,10.46
2021-06-10,10.51,10.33
2021-06-11,10.31,10.39
2021-06-14,10.46,10.36
2021-06-15,10.31,10.4
