date,open,close
2020-05-11,4.23,4.09
2020-05-12,4.1,3.75
2020-05-13,3.87,3.75
2020-05-14,3.7,4.2
2020-05-15,4.19,4.55
2020-05-18,4.85,4.86
2020-05-19,7.0,6.51
2020-05-20,6.08,6.04
2020-05-21,6.11,5.66
2020-05-22,5.4,5.13
2020-05-26,5.26,5.21
2020-05-27,5.29,4.94
2020-05-28,4.85,4.84
2020-05-29,5.16,6.12
2020-06-01,5.98,7.92
2020-06-02,7.53,7.18
2020-06-03,7.4,6.86
2020-06-04,6.72,6.48
2020-06-05,6.57,6.09
2020-06-08,6.15,6.09
2020-06-09,6.22,5.88
2020-06-10,5.95,5.96
2020-06-11,5.86,5.41
2020-06-12,5.54,5.71
2020-06-15,6.38,6.42
2020-06-16,6.46,6.17
2020-06-17,6.17,6.01
2020-06-18,5.98,6.13
2020-06-19,6.46,6.54
2020-06-22,6.7,6.66
2020-06-23,6.69,7.34
2020-06-24,7.45,7.66
2020-06-25,7.83,8.21
2020-06-26,8.75,9.1
2020-06-29,9.36,8.49
2020-06-30,8.12,8.87
2020-07-01,8.8,8.31
2020-07-02,8.31,8.67
2020-07-06,8.7,8.47
2020-07-07,8.46,8.82
2020-07-08,9.01,9.42
2020-07-09,9.46,9.18
2020-07-10,9.11,8.66
2020-07-13,8.72,8.51
2020-07-14,8.72,9.19
2020-07-15,9.09,9.36
2020-07-16,9.65,9.49
2020-07-17,9.5,11.37
2020-07-20,11.75,11.7
2020-07-21,11.58,10.22
2020-07-22,10.0,10.15
2020-07-23,10.25,10.12
2020-07-24,9.84,8.88
2020-07-27,9.08,9.34
2020-07-28,9.25,8.61
2020-07-29,8.62,7.97
2020-07-30,7.78,8.39
2020-07-31,8.36,8.11
2020-08-03,8.2,8.96
2020-08-04,9.0,9.01
2020-08-05,9.17,8.99
2020-08-06,8.9,8.82
2020-08-07,8.15,7.78
2020-08-10,7.9,7.79
2020-08-11,7.64,7.08
2020-08-12,7.24,6.89
2020-08-13,7.01,6.81
2020-08-14,6.82,6.72
2020-08-17,6.73,7.1
2020-08-18,7.16,6.62
2020-08-19,6.61,6.49
2020-08-20,6.43,6.7
2020-08-21,6.7,6.49
2020-08-24,6.37,6.01
2020-08-25,5.94,6.32
2020-08-26,6.27,6.24
2020-08-27,6.19,6.0
2020-08-28,5.99,5.74
2020-08-31,5.95,5.98
2020-09-01,5.92,5.57
2020-09-02,5.47,5.66
