date,open,close
2020-05-11,9.17,8.92
2020-05-12,8.92,8.91
2020-05-13,9.11,8.72
2020-05-14,8.69,8.91
2020-05-15,9.3,9.33
2020-05-18,9.57,8.81
2020-05-19,9.22,9.54
2020-05-20,9.73,9.4
2020-05-21,9.23,9.04
2020-05-22,9.15,9.0
2020-05-26,9.0,8.49
2020-05-27,8.23,8.59
2020-05-28,8.78,8.42
2020-05-29,8.59,8.4
2020-06-01,8.41,8.6
2020-06-02,8.62,8.28
2020-06-03,8.05,8.02
2020-06-04,8.18,8.27
2020-06-05,7.99,8.36
2020-06-08,8.44,8.51
2020-06-09,8.66,8.67
2020-06-10,8.8,8.87
2020-06-11,8.78,8.25
2020-06-12,8.4,8.33
2020-06-15,8.06,8.51
2020-06-16,8.57,8.31
2020-06-17,8.31,8.32
2020-06-18,8.25,8.15
2020-06-19,8.3,8.61
2020-06-22,8.83,9.14
2020-06-23,9.33,9.31
2020-06-24,9.2,9.03
2020-06-25,9.07,9.2
2020-06-26,9.12,9.28
2020-06-29,9.33,9.55
2020-06-30,9.5,9.7
2020-07-01,9.63,9.58
2020-07-02,9.42,9.62
2020-07-06,9.77,9.9
2020-07-07,9.89,10.4
2020-07-08,10.65,10.89
2020-07-09,11.02,10.63
2020-07-10,11.0,11.15
2020-07-13,11.44,10.76
2020-07-14,10.8,11.18
2020-07-15,11.09,11.2
2020-07-16,11.1,10.93
2020-07-17,11.14,11.24
2020-07-20,11.43,11.69
2020-07-21,12.0,11.85
2020-07-22,12.06,11.9
2020-07-23,11.88,11.5
2020-07-24,11.66,11.98
2020-07-27,12.53,12.33
2020-07-28,12.07,12.27
2020-07-29,12.3,12.14
2020-07-30,11.75,11.95
2020-07-31,12.53,12.59
2020-08-03,12.58,12.14
2020-08-04,12.18,12.66
2020-08-05,12.95,12.71
2020-08-06,12.92,12.52
2020-08-07,12.26,12.1
2020-08-10,12.16,11.88
2020-08-11,11.25,10.89
2020-08-12,11.3,10.89
2020-08-13,11.02,11.3
2020-08-14,11.27,11.09
2020-08-17,11.5,11.88
2020-08-18,12.19,11.84
2020-08-19,11.69,11.36
2020-08-20,11.3,11.44
2020-08-21,11.25,10.92
2020-08-24,11.08,10.86
2020-08-25,10.76,10.75
2020-08-26,10.61,11.13
2020-08-27,11.36,10.93
2020-08-28,11.14,11.35
2020-08-31,11.41,11.42
2020-09-01,11.7,11.09
2020-09-02,10.97,10.96
2020-09-03,10.88,11.08
2020-09-04,11.07,10.94
2020-09-08,10.59,10.63
2020-09-09,10.82,11.03
2020-09-10,11.17,10.92
2020-09-11,11.01,10.64
2020-09-14,10.81,11.23
2020-09-15,11.3,11.2
2020-09-16,11.38,11.34
2020-09-17,11.0,11.78
2020-09-18,11.85,11.81
2020-09-21,11.55,11.15
2020-09-22,11.29,10.67
2020-09-23,10.45,9.75
2020-09-24,9.6,10.02
2020-09-25,9.85,10.11
2020-09-28,10.26,10.28
2020-09-29,10.38,10.54
2020-09-30,10.43,10.55
2020-10-01,10.68,10.64
2020-10-02,10.51,10.52
2020-10-05,10.58,11.12
2020-10-06,11.19,11.18
2020-10-07,11.26,10.85
2020-10-08,10.93,11.2
2020-10-09,11.56,12.41
2020-10-12,12.4,13.01
2020-10-13,12.7,13.07
2020-10-14,13.25,13.74
2020-10-15,13.4,14.15
2020-10-16,14.15,13.53
2020-10-19,13.79,13.34
2020-10-20,13.4,13.42
2020-10-21,13.6,13.62
2020-10-22,13.41,13.47
2020-10-23,13.47,13.26
2020-10-26,13.09,12.98
2020-10-27,13.0,13.24
2020-10-28,12.77,11.98
2020-10-29,11.88,12.18
2020-10-30,12.61,12.53
2020-11-02,12.74,12.69
2020-11-03,12.95,13.06
2020-11-04,13.07,12.82
2020-11-05,13.29,14.26
2020-11-06,14.42,14.35
2020-11-09,13.39,13.16
2020-11-10,13.23,13.31
2020-11-11,13.0,13.29
2020-11-12,13.4,13.55
2020-11-13,13.85,13.56
2020-11-16,13.44,13.55
2020-11-17,13.51,13.31
2020-11-18,13.21,12.83
2020-11-19,12.54,12.73
2020-11-20,12.93,12.81
2020-11-23,12.61,12.21
2020-11-24,11.83,11.96
2020-11-25,12.16,12.0
2020-11-27,11.88,11.96
2020-11-30,11.89,11.8
2020-12-01,12.3,13.03
2020-12-02,13.15,12.95
2020-12-03,13.09,12.66
2020-12-04,12.64,12.7
2020-12-07,12.64,13.22
2020-12-08,13.33,13.13
2020-12-09,12.99,12.91
2020-12-10,13.05,13.26
2020-12-11,13.31,12.86
2020-12-14,12.84,12.43
2020-12-15,12.81,12.8
2020-12-16,12.92,12.79
2020-12-17,13.11,13.29
2020-12-18,13.27,12.83
2020-12-21,12.84,12.97
2020-12-22,12.99,12.41
2020-12-23,12.48,13.15
2020-12-24,13.16,13.29
2020-12-28,13.5,13.21
2020-12-29,13.25,13.09
2020-12-30,13.1,13.64
2020-12-31,13.72,13.27
2021-01-04,13.81,14.23
2021-01-05,14.46,14.18
2021-01-06,14.05,14.14
2021-01-07,14.06,14.22
2021-01-08,13.8,13.17
2021-01-11,12.86,12.5
2021-01-12,12.48,12.24
2021-01-13,12.27,12.11
2021-01-14,12.16,11.99
2021-01-15,11.91,11.26
2021-01-19,11.38,11.32
