date,open,close
2020-06-03,9.8,9.7
2020-06-04,10.0,9.72
2020-06-05,9.72,9.72
2020-06-08,9.75,9.75
2020-06-09,9.75,9.73
2020-06-10,9.75,9.75
2020-06-11,9.76,9.76
2020-06-12,9.76,9.76
2020-06-15,9.75,9.75
2020-06-16,9.87,9.87
2020-06-17,9.87,9.87
2020-06-18,9.87,9.87
2020-06-19,9.95,9.81
2020-06-22,9.86,9.83
2020-06-23,10.03,9.85
2020-06-24,9.86,11.4
2020-06-25,11.8,10.9
2020-06-26,10.95,10.62
2020-06-29,11.0,11.12
2020-06-30,11.4,10.73
2020-07-01,11.0,10.86
2020-07-02,11.07,11.05
2020-07-06,11.2,11.05
2020-07-07,11.12,10.82
2020-07-08,10.92,10.7
2020-07-09,10.81,11.0
2020-07-10,11.11,10.99
2020-07-13,11.05,10.85
2020-07-14,10.78,10.6
2020-07-15,10.52,10.68
2020-07-16,10.58,10.65
2020-07-17,10.6,10.6
2020-07-20,10.7,10.62
2020-07-21,10.84,10.55
2020-07-22,10.5,10.5
2020-07-23,10.45,10.36
2020-07-24,10.44,10.35
2020-07-27,10.65,10.45
2020-07-28,10.35,10.4
2020-07-29,10.45,10.39
2020-07-30,10.27,10.25
2020-07-31,10.25,10.25
2020-08-03,10.25,10.13
2020-08-04,10.12,10.2
2020-08-05,10.25,10.15
2020-08-06,10.23,10.25
2020-08-07,10.25,10.29
2020-08-10,10.29,10.23
2020-08-11,10.26,10.25
2020-08-12,10.25,10.23
2020-08-13,10.2,10.29
2020-08-14,10.38,10.22
2020-08-17,10.25,10.18
2020-08-18,10.15,10.09
2020-08-19,10.15,10.15
2020-08-20,10.07,10.09
2020-08-21,10.07,10.06
2020-08-24,10.01,10.06
2020-08-25,9.99,10.08
2020-08-26,10.08,10.07
2020-08-27,10.04,10.1
2020-08-28,10.15,10.1
2020-08-31,10.14,10.06
2020-09-01,10.19,10.3
2020-09-02,10.37,10.34
2020-09-03,10.3,10.28
2020-09-04,10.55,10.21
2020-09-08,10.34,10.2
2020-09-09,10.31,10.21
2020-09-10,10.3,10.51
2020-09-11,10.63,10.4
2020-09-14,10.5,10.39
2020-09-15,10.4,10.3
2020-09-16,10.39,10.31
2020-09-17,10.29,10.18
2020-09-18,10.22,10.2
2020-09-21,10.17,10.12
2020-09-22,10.2,10.06
2020-09-23,10.08,10.02
2020-09-24,10.06,10.02
2020-09-25,10.02,10.02
2020-09-28,10.04,10.0
2020-09-29,10.01,10.07
2020-09-30,10.09,10.01
2020-10-01,10.02,10.02
2020-10-02,10.0,10.0
2020-10-05,10.02,10.0
2020-10-06,10.0,9.95
2020-10-07,9.95,9.97
