date,open,close
2020-05-11,8.49,8.44
2020-05-12,8.66,8.54
2020-05-13,8.5,8.29
2020-05-14,7.98,8.13
2020-05-15,8.24,8.42
2020-05-18,8.48,8.64
2020-05-19,8.6,8.59
2020-05-20,8.65,8.65
2020-05-21,8.66,8.63
2020-05-22,8.7,8.88
2020-05-26,8.89,8.81
2020-05-27,8.72,8.78
2020-05-28,8.95,8.96
2020-05-29,9.13,9.14
2020-06-01,9.2,9.27
2020-06-02,9.31,9.54
2020-06-03,9.57,9.84
2020-06-04,9.65,9.67
2020-06-05,9.64,9.62
2020-06-08,9.4,9.48
2020-06-09,9.34,9.34
2020-06-10,9.41,9.46
2020-06-11,9.18,8.76
2020-06-12,9.1,8.94
2020-06-15,8.86,9.03
2020-06-16,9.21,9.17
2020-06-17,9.23,9.26
2020-06-18,9.13,9.14
2020-06-19,9.22,9.06
2020-06-22,9.17,9.2
2020-06-23,9.27,9.19
2020-06-24,9.09,9.03
2020-06-25,9.03,9.51
2020-06-26,9.31,9.27
2020-06-29,9.25,9.24
2020-06-30,9.12,9.3
2020-07-01,9.24,9.29
2020-07-02,9.3,9.31
2020-07-06,9.74,9.93
2020-07-07,9.52,9.44
2020-07-08,9.54,9.54
2020-07-09,9.46,9.38
2020-07-10,9.46,9.41
2020-07-13,9.54,9.31
2020-07-14,9.56,9.59
2020-07-15,9.83,9.67
2020-07-16,9.67,9.62
2020-07-17,10.66,10.89
2020-07-20,11.14,11.59
2020-07-21,11.67,11.72
2020-07-22,11.59,11.81
2020-07-23,11.83,11.61
2020-07-24,11.44,11.39
2020-07-27,11.55,11.69
2020-07-28,11.55,11.47
2020-07-29,11.46,11.58
2020-07-30,11.41,11.54
2020-07-31,11.68,11.55
2020-08-03,11.62,11.77
2020-08-04,11.62,11.74
2020-08-05,11.7,11.69
2020-08-06,11.6,11.71
2020-08-07,11.6,11.63
2020-08-10,11.65,11.63
2020-08-11,11.67,11.69
2020-08-12,11.75,11.93
2020-08-13,11.87,11.88
2020-08-14,11.62,11.56
2020-08-17,11.67,11.63
2020-08-18,11.63,11.68
2020-08-19,11.82,11.6
2020-08-20,11.44,11.53
2020-08-21,11.32,11.4
2020-08-24,11.54,11.56
2020-08-25,11.67,11.69
2020-08-26,11.87,12.01
2020-08-27,12.02,11.85
2020-08-28,11.81,11.71
2020-08-31,11.74,11.65
2020-09-01,11.71,11.52
2020-09-02,11.7,11.68
2020-09-03,11.49,11.13
2020-09-04,11.26,11.26
2020-09-08,10.92,10.86
2020-09-09,11.11,11.14
2020-09-10,11.06,10.85
2020-09-11,10.97,10.9
2020-09-14,10.95,10.87
2020-09-15,11.05,10.93
2020-09-16,11.0,10.87
2020-09-17,10.91,11.03
