date,open,close
2020-05-11,4.72,4.81
2020-05-12,4.83,4.49
2020-05-13,4.51,4.24
2020-05-14,4.06,4.34
2020-05-15,4.23,4.39
2020-05-18,4.73,4.84
2020-05-19,4.86,5.33
2020-05-20,5.8,5.72
2020-05-21,5.75,5.59
2020-05-22,5.65,5.68
2020-05-26,6.03,5.91
2020-05-27,6.1,6.18
2020-05-28,6.24,6.14
2020-05-29,6.01,6.21
2020-06-01,6.26,6.37
2020-06-02,6.56,6.7
2020-06-03,6.85,6.82
2020-06-04,7.09,6.62
2020-06-05,7.0,7.0
2020-06-08,7.5,7.87
2020-06-09,7.55,7.31
2020-06-10,7.33,7.08
2020-06-11,5.99,5.96
2020-06-12,6.61,6.2
2020-06-15,5.58,6.11
2020-06-16,6.55,6.5
2020-06-17,6.41,6.2
2020-06-18,6.09,6.07
2020-06-19,6.11,5.87
2020-06-22,5.85,5.89
2020-06-23,6.02,6.22
2020-06-24,6.04,5.74
2020-06-25,5.58,5.63
2020-06-26,5.55,4.95
2020-06-29,4.9,5.19
2020-06-30,5.12,5.16
2020-07-01,5.27,5.27
2020-07-02,5.43,5.33
2020-07-06,5.47,5.28
2020-07-07,5.18,4.82
2020-07-08,4.82,4.72
2020-07-09,4.81,4.66
2020-07-10,5.11,5.98
2020-07-13,7.03,5.7
2020-07-14,5.55,5.47
2020-07-15,6.0,6.21
2020-07-16,6.02,6.08
2020-07-17,6.07,5.76
2020-07-20,5.72,5.74
2020-07-21,5.7,5.78
2020-07-22,6.02,6.3
2020-07-23,6.21,5.95
2020-07-24,5.78,5.66
2020-07-27,5.67,5.67
2020-07-28,5.6,5.64
2020-07-29,5.64,5.83
2020-07-30,5.7,5.86
2020-07-31,5.77,5.68
2020-08-03,5.61,6.08
2020-08-04,6.06,6.4
2020-08-05,6.46,6.7
2020-08-06,6.67,6.93
2020-08-07,6.82,6.94
2020-08-10,7.07,7.12
2020-08-11,7.36,7.52
2020-08-12,7.7,7.31
2020-08-13,7.34,7.42
2020-08-14,7.32,7.42
2020-08-17,7.39,7.3
2020-08-18,7.28,7.27
2020-08-19,7.24,7.4
2020-08-20,7.22,7.23
2020-08-21,7.19,7.4
2020-08-24,7.5,7.49
2020-08-25,7.5,7.4
2020-08-26,7.43,7.32
2020-08-27,7.33,8.07
2020-08-28,8.17,8.28
2020-08-31,8.23,7.76
2020-09-01,7.68,7.88
2020-09-02,7.87,8.16
2020-09-03,8.1,7.2
2020-09-04,7.41,7.38
2020-09-08,7.1,7.08
2020-09-09,7.48,7.6
2020-09-10,7.61,7.61
2020-09-11,7.71,7.49
2020-09-14,7.66,7.96
2020-09-15,7.99,8.51
2020-09-16,8.54,8.34
2020-09-17,8.12,8.28
2020-09-18,8.38,8.37
2020-09-21,8.11,8.07
2020-09-22,8.13,8.34
2020-09-23,8.3,8.12
2020-09-24,8.0,8.13
2020-09-25,8.18,8.26
2020-09-28,8.45,8.73
2020-09-29,8.69,8.27
2020-09-30,8.32,8.25
2020-10-01,8.43,8.5
2020-10-02,8.04,8.55
2020-10-05,8.6,8.65
