date,open,close
2020-05-11,21.28,21.32
2020-05-12,21.28,21.07
2020-05-13,21.2,20.85
2020-05-14,20.53,20.77
2020-05-15,20.55,20.55
2020-05-18,21.01,21.3
2020-05-19,21.31,21.27
2020-05-20,21.5,21.53
2020-05-21,20.98,20.72
2020-05-22,19.81,19.66
2020-05-26,20.05,19.94
2020-05-27,19.91,19.66
2020-05-28,19.79,19.74
2020-05-29,19.61,19.84
2020-06-01,20.27,20.48
2020-06-02,20.98,21.15
2020-06-03,21.5,21.57
2020-06-04,21.38,21.39
2020-06-05,22.03,22.09
2020-06-08,22.1,22.22
2020-06-09,22.29,22.32
2020-06-10,22.28,22.31
2020-06-11,21.59,21.25
2020-06-12,21.84,21.72
2020-06-15,20.86,21.09
2020-06-16,21.49,21.1
2020-06-17,21.25,21.36
2020-06-18,21.31,21.41
2020-06-19,21.69,21.37
2020-06-22,21.58,21.7
2020-06-23,21.9,21.8
2020-06-24,21.7,21.61
2020-06-25,21.5,21.68
2020-06-26,21.59,21.5
2020-06-29,21.36,21.4
2020-06-30,21.4,21.37
2020-07-01,21.42,21.5
2020-07-02,22.05,22.06
2020-07-06,22.86,22.89
2020-07-07,22.4,22.34
2020-07-08,22.31,22.55
2020-07-09,22.32,22.13
2020-07-10,21.96,21.89
2020-07-13,21.95,21.96
2020-07-14,21.83,22.1
2020-07-15,22.0,21.89
2020-07-16,21.56,21.61
2020-07-17,21.74,21.67
2020-07-20,21.57,21.65
2020-07-21,21.99,21.73
2020-07-22,21.57,21.48
2020-07-23,21.46,21.32
2020-07-24,21.15,21.26
2020-07-27,21.19,21.22
2020-07-28,21.22,21.15
2020-07-29,21.31,21.28
2020-07-30,21.17,21.23
2020-07-31,21.16,21.11
2020-08-03,21.15,21.17
2020-08-04,21.6,21.67
2020-08-05,21.74,21.6
2020-08-06,21.5,21.53
2020-08-07,21.27,21.3
2020-08-10,21.45,21.53
2020-08-11,21.85,21.71
2020-08-12,22.19,22.23
2020-08-13,22.18,22.28
2020-08-14,22.22,22.28
2020-08-17,22.35,22.44
2020-08-18,22.3,22.35
2020-08-19,22.29,22.17
2020-08-20,21.79,21.97
2020-08-21,22.3,22.27
2020-08-24,22.67,22.66
2020-08-25,22.68,22.76
2020-08-26,22.65,22.68
2020-08-27,22.53,22.46
2020-08-28,22.87,22.91
2020-08-31,22.82,22.7
2020-09-01,22.74,22.82
2020-09-02,22.8,22.91
2020-09-03,22.75,22.64
2020-09-04,22.51,22.52
2020-09-08,22.25,22.27
2020-09-09,22.59,22.6
2020-09-10,22.46,22.19
2020-09-11,22.5,22.42
2020-09-14,22.52,22.6
2020-09-15,22.92,22.83
2020-09-16,22.81,22.74
2020-09-17,22.46,22.65
2020-09-18,22.58,22.56
2020-09-21,22.15,22.15
2020-09-22,22.02,21.85
2020-09-23,21.93,21.78
2020-09-24,21.58,21.71
2020-09-25,21.68,21.76
2020-09-28,21.76,21.82
2020-09-29,21.67,21.78
2020-09-30,21.79,21.92
2020-10-01,22.04,22.16
2020-10-02,21.91,22.04
2020-10-05,22.1,22.3
2020-10-06,22.38,22.26
2020-10-07,22.5,22.47
2020-10-08,22.38,22.5
2020-10-09,22.31,22.4
2020-10-12,22.54,22.46
2020-10-13,22.45,22.4
2020-10-14,22.39,22.28
2020-10-15,21.93,21.94
2020-10-16,22.02,21.9
2020-10-19,22.01,21.87
2020-10-20,21.91,21.98
2020-10-21,21.98,21.97
2020-10-22,22.14,22.12
2020-10-23,22.17,22.22
2020-10-26,22.09,22.13
2020-10-27,21.92,21.94
2020-10-28,21.76,21.68
2020-10-29,21.78,21.78
2020-10-30,21.57,21.5
2020-11-02,21.68,21.74
2020-11-03,22.09,22.17
2020-11-04,22.53,22.78
2020-11-05,23.09,23.06
2020-11-06,22.81,22.85
2020-11-09,23.63,23.37
2020-11-10,23.75,23.88
2020-11-11,23.89,23.93
2020-11-12,23.7,23.55
2020-11-13,23.7,23.84
2020-11-16,24.1,24.18
2020-11-17,24.22,24.39
2020-11-18,24.44,24.28
2020-11-19,24.3,24.32
2020-11-20,24.44,24.45
2020-11-23,24.13,24.05
2020-11-24,24.42,24.47
