date,open,close
2020-05-11,1.47,1.36
2020-05-12,1.39,1.42
2020-05-13,1.45,1.39
2020-05-14,1.36,1.47
2020-05-15,1.54,1.63
2020-05-18,1.8,1.77
2020-05-19,1.78,1.89
2020-05-20,2.02,1.99
2020-05-21,1.98,1.94
2020-05-22,1.95,1.95
2020-05-26,1.97,1.83
2020-05-27,1.79,1.89
2020-05-28,1.93,1.83
2020-05-29,1.92,1.92
2020-06-01,2.0,2.1
2020-06-02,2.12,2.05
2020-06-03,1.98,1.95
2020-06-04,2.02,2.06
2020-06-05,1.96,2.03
2020-06-08,2.03,2.02
2020-06-09,2.02,2.01
2020-06-10,2.02,2.11
2020-06-11,2.1,1.93
2020-06-12,1.97,1.96
2020-06-15,1.87,1.95
2020-06-16,1.96,1.9
2020-06-17,1.91,1.87
2020-06-18,1.84,1.8
2020-06-19,1.86,1.8
2020-06-22,1.87,1.9
2020-06-23,1.93,2.06
2020-06-24,2.04,2.02
2020-06-25,2.05,2.12
2020-06-26,2.11,2.14
2020-06-29,2.17,2.19
2020-06-30,2.19,2.28
2020-07-01,2.29,2.24
2020-07-02,2.23,2.23
2020-07-06,2.28,2.28
2020-07-07,2.27,2.37
2020-07-08,2.41,2.43
2020-07-09,2.5,2.49
2020-07-10,2.52,2.61
2020-07-13,2.75,2.74
2020-07-14,2.71,2.8
2020-07-15,2.81,2.89
2020-07-16,2.85,2.78
2020-07-17,2.8,2.88
2020-07-20,2.97,3.3
2020-07-21,3.7,3.68
2020-07-22,3.98,4.18
2020-07-23,4.03,4.04
2020-07-24,4.03,4.2
2020-07-27,4.63,4.48
2020-07-28,4.38,4.5
2020-07-29,4.51,4.36
2020-07-30,4.09,4.13
2020-07-31,4.29,4.32
2020-08-03,4.32,4.29
2020-08-04,4.33,4.62
2020-08-05,4.75,4.34
2020-08-06,4.47,4.22
2020-08-07,4.05,4.1
2020-08-10,4.19,4.06
2020-08-11,3.73,3.67
2020-08-12,3.87,3.76
2020-08-13,3.86,3.93
2020-08-14,3.9,3.9
2020-08-17,4.09,4.01
2020-08-18,4.08,3.92
2020-08-19,3.85,3.76
2020-08-20,3.73,3.86
2020-08-21,3.76,3.65
2020-08-24,3.67,3.59
2020-08-25,3.58,3.65
2020-08-26,3.63,3.8
2020-08-27,3.93,3.77
2020-08-28,3.92,4.1
2020-08-31,4.15,4.16
2020-09-01,4.25,4.11
2020-09-02,4.01,4.02
2020-09-03,3.98,4.05
2020-09-04,4.0,4.09
2020-09-08,3.93,4.01
2020-09-09,4.01,4.17
2020-09-10,4.24,4.12
2020-09-11,4.08,4.06
2020-09-14,4.1,4.24
2020-09-15,4.27,4.23
2020-09-16,4.34,4.29
2020-09-17,4.18,4.28
2020-09-18,4.28,4.11
2020-09-21,3.93,3.72
2020-09-22,3.72,3.66
2020-09-23,3.52,3.22
2020-09-24,3.18,3.44
2020-09-25,3.4,3.41
2020-09-28,3.5,3.46
2020-09-29,3.52,3.59
2020-09-30,3.57,3.51
2020-10-01,3.51,3.56
2020-10-02,3.44,3.39
2020-10-05,3.41,3.47
2020-10-06,3.5,3.29
2020-10-07,3.34,3.35
2020-10-08,3.4,3.42
2020-10-09,3.49,3.62
2020-10-12,3.65,3.64
2020-10-13,3.56,3.6
2020-10-14,3.65,3.69
2020-10-15,3.52,3.59
2020-10-16,3.6,3.45
2020-10-19,3.5,3.37
2020-10-20,3.4,3.53
2020-10-21,3.57,3.62
2020-10-22,3.56,3.55
2020-10-23,3.56,3.54
2020-10-26,3.48,3.41
2020-10-27,3.4,3.45
2020-10-28,3.28,3.07
2020-10-29,3.01,3.15
2020-10-30,3.2,3.18
2020-11-02,3.2,3.32
2020-11-03,3.4,3.41
2020-11-04,3.4,3.28
2020-11-05,3.62,4.02
2020-11-06,4.15,4.16
2020-11-09,3.66,3.79
2020-11-10,3.82,3.64
2020-11-11,3.55,3.57
2020-11-12,3.6,3.66
2020-11-13,3.73,3.7
2020-11-16,3.69,3.64
2020-11-17,3.63,3.56
2020-11-18,3.5,3.4
