date,open,close
2020-05-11,3.29,3.21
2020-05-12,3.3,3.32
2020-05-13,3.31,3.02
2020-05-14,3.01,2.92
2020-05-15,2.91,2.9
2020-05-18,2.99,3.185
2020-05-19,3.18,3.11
2020-05-20,3.2,3.26
2020-05-21,3.24,3.24
2020-05-22,3.26,3.32
2020-05-26,3.47,3.35
2020-05-27,3.47,3.57
2020-05-28,3.6,3.47
2020-05-29,3.4,3.3
2020-06-01,3.32,3.57
2020-06-02,3.77,3.9
2020-06-03,4.02,4.11
2020-06-04,4.1,4.11
2020-06-05,4.73,5.1
2020-06-08,5.2,5.07
2020-06-09,5.06,4.74
2020-06-10,4.75,4.61
2020-06-11,4.5,4.22
2020-06-12,4.4,4.5
2020-06-15,4.22,4.28
2020-06-16,4.55,4.6
2020-06-17,4.71,4.37
2020-06-18,4.25,4.33
2020-06-19,4.39,4.25
2020-06-22,4.26,4.4
2020-06-23,4.45,4.41
2020-06-24,4.36,4.22
2020-06-25,4.17,4.26
2020-06-26,4.22,4.13
2020-06-29,4.2,4.305
2020-06-30,4.26,4.34
2020-07-01,4.37,4.135
2020-07-02,4.24,4.12
2020-07-06,4.25,4.19
2020-07-07,4.16,3.87
2020-07-08,3.93,4.07
2020-07-09,4.08,4.02
2020-07-10,4.0,4.065
2020-07-13,4.15,3.9
2020-07-14,3.91,4.11
2020-07-15,4.36,4.47
2020-07-16,4.46,4.54
2020-07-17,4.55,4.47
2020-07-20,4.45,4.4
2020-07-21,4.5,4.55
2020-07-22,4.52,4.61
2020-07-23,4.58,4.62
2020-07-24,4.6,4.45
2020-07-27,4.46,4.54
2020-07-28,4.52,4.34
2020-07-29,4.36,4.595
2020-07-30,4.45,4.5
2020-07-31,4.46,4.55
2020-08-03,4.59,4.585
2020-08-04,4.57,4.75
2020-08-05,5.08,5.02
2020-08-06,5.11,4.97
2020-08-07,4.92,4.99
2020-08-10,5.0,4.81
2020-08-11,4.89,4.99
2020-08-12,5.05,4.87
2020-08-13,4.85,4.81
2020-08-14,4.77,4.68
2020-08-17,4.5,4.52
2020-08-18,4.5,4.56
2020-08-19,4.56,4.53
2020-08-20,4.47,4.49
2020-08-21,4.48,4.44
