date,open,close
2020-05-11,25.86,26.3
2020-05-12,26.62,24.52
2020-05-13,24.89,24.01
2020-05-14,23.28,23.82
2020-05-15,24.01,24.41
2020-05-18,25.99,26.36
2020-05-19,26.13,24.86
2020-05-20,25.51,24.34
2020-05-21,24.44,25.97
2020-05-22,25.8,25.37
2020-05-26,26.93,27.43
2020-05-27,28.58,28.51
2020-05-28,29.04,26.5
2020-05-29,26.26,26.78
2020-06-01,26.74,25.79
2020-06-02,26.18,27.35
2020-06-03,28.02,29.93
2020-06-04,29.65,29.68
2020-06-05,31.52,31.79
2020-06-08,32.56,31.76
2020-06-09,31.5,30.74
2020-06-10,31.17,30.05
2020-06-11,28.66,27.54
2020-06-12,28.9,28.14
2020-06-15,26.72,28.07
2020-06-16,30.22,29.47
2020-06-17,29.61,29.92
2020-06-18,29.42,30.68
2020-06-19,31.65,30.57
2020-06-22,30.32,31.55
2020-06-23,32.24,31.66
2020-06-24,31.09,30.44
2020-06-25,29.77,30.38
2020-06-26,30.0,28.8
2020-06-29,29.32,30.32
2020-06-30,30.4,30.52
2020-07-01,30.53,30.68
2020-07-02,31.44,30.62
2020-07-06,31.62,30.35
2020-07-07,30.13,29.15
2020-07-08,29.1,29.51
2020-07-09,29.36,27.87
2020-07-10,27.86,28.82
2020-07-13,29.31,28.79
2020-07-14,28.54,28.9
2020-07-15,29.81,30.49
2020-07-16,30.36,30.79
2020-07-17,30.86,30.13
2020-07-20,29.9,29.79
2020-07-21,30.2,31.07
2020-07-22,30.7,31.88
2020-07-23,31.98,32.03
2020-07-24,31.89,31.33
2020-07-27,31.3,32.29
2020-07-28,31.99,31.38
2020-07-29,31.65,32.15
2020-07-30,31.54,31.04
2020-07-31,31.08,31.99
2020-08-03,31.99,32.97
2020-08-04,32.99,33.67
2020-08-05,34.19,33.92
2020-08-06,33.01,33.25
2020-08-07,33.77,33.3
2020-08-10,33.47,35.17
2020-08-11,35.0,35.2
2020-08-12,35.64,35.53
2020-08-13,35.68,35.97
2020-08-14,35.76,35.72
2020-08-17,36.35,35.35
2020-08-18,35.11,35.68
2020-08-19,35.72,36.3
2020-08-20,35.72,36.74
2020-08-21,36.64,36.6
2020-08-24,37.07,37.28
2020-08-25,37.53,37.52
2020-08-26,37.5,38.23
2020-08-27,38.5,38.2
2020-08-28,38.52,37.19
2020-08-31,37.33,37.57
2020-09-01,37.43,39.66
2020-09-02,39.75,39.42
2020-09-03,39.53,39.22
2020-09-04,39.89,39.37
2020-09-08,38.66,38.42
2020-09-09,38.49,38.3
2020-09-10,38.87,38.27
2020-09-11,38.34,37.38
2020-09-14,37.73,37.23
2020-09-15,37.6,37.44
2020-09-16,37.72,38.2
2020-09-17,37.59,38.45
2020-09-18,39.55,38.35
2020-09-21,37.2,37.35
2020-09-22,37.51,39.11
2020-09-23,39.26,37.63
2020-09-24,37.38,36.64
2020-09-25,36.64,36.85
2020-09-28,37.24,38.24
2020-09-29,38.13,38.63
2020-09-30,38.68,38.24
2020-10-01,38.64,39.45
2020-10-02,38.52,39.68
2020-10-05,40.0,40.87
2020-10-06,41.22,39.33
2020-10-07,40.05,41.07
2020-10-08,41.39,39.6
2020-10-09,40.36,40.07
2020-10-12,40.36,39.93
2020-10-13,39.5,40.97
2020-10-14,41.17,40.81
2020-10-15,40.13,41.34
2020-10-16,41.37,40.81
2020-10-19,41.12,41.24
2020-10-20,41.71,41.95
2020-10-21,42.04,41.77
2020-10-22,42.0,42.59
2020-10-23,42.95,43.13
2020-10-26,42.48,42.24
2020-10-27,42.01,42.17
2020-10-28,41.18,41.75
2020-10-29,41.65,41.52
2020-10-30,41.49,40.33
2020-11-02,40.72,41.61
2020-11-03,42.25,42.5
2020-11-04,41.93,43.69
2020-11-05,43.8,45.2
2020-11-06,45.76,44.77
2020-11-09,48.55,48.27
2020-11-10,48.31,46.5
2020-11-11,46.86,45.67
2020-11-12,45.45,45.81
2020-11-13,45.79,44.14
2020-11-16,44.89,43.0
2020-11-17,42.69,41.98
2020-11-18,41.34,42.02
2020-11-19,42.0,42.25
2020-11-20,41.98,43.47
2020-11-23,44.12,44.92
2020-11-24,45.29,45.09
2020-11-25,45.1,44.28
2020-11-27,44.31,43.93
2020-11-30,43.88,42.81
2020-12-01,43.54,42.73
2020-12-02,42.76,42.65
2020-12-03,42.63,42.81
2020-12-04,43.0,42.76
2020-12-07,42.47,43.22
2020-12-08,42.88,44.0
2020-12-09,44.17,46.36
2020-12-10,46.1,45.73
2020-12-11,45.5,44.61
