date,open,close
2021-05-26,34.0,35.1
2021-05-27,33.4,33.31
2021-05-28,33.29,34.34
2021-06-01,34.75,33.82
2021-06-02,33.82,32.54
2021-06-03,32.21,31.28
2021-06-04,31.12,31.86
2021-06-07,31.51,30.67
2021-06-08,30.3,29.59
2021-06-09,29.4,29.09
2021-06-10,29.25,28.11
2021-06-11,27.63,30.45
2021-06-14,29.96,31.12
2021-06-15,31.11,30.86
2021-06-16,30.88,31.35
2021-06-17,31.43,32.44
2021-06-18,32.07,33.85
2021-06-21,35.02,36.1
2021-06-22,36.67,37.12
2021-06-23,37.96,37.25
2021-06-24,37.54,39.4
2021-06-25,39.65,38.08
2021-06-28,38.61,37.77
2021-06-29,37.82,36.23
2021-06-30,35.98,36.74
2021-07-01,36.39,34.7
2021-07-02,34.8,35.08
2021-07-06,34.57,34.99
2021-07-07,35.4,34.9
2021-07-08,34.01,33.64
2021-07-09,33.7,34.53
2021-07-12,34.46,33.75
2021-07-13,34.15,32.1
2021-07-14,32.1,31.54
2021-07-15,31.45,30.74
2021-07-16,30.76,30.56
2021-07-19,30.0,30.33
2021-07-20,30.25,31.55
2021-07-21,31.56,31.3
2021-07-22,31.52,32.73
2021-07-23,32.75,32.99
2021-07-26,32.99,32.53
2021-07-27,31.94,31.63
2021-07-28,31.63,31.78
2021-07-29,31.4,31.83
2021-07-30,32.09,31.76
2021-08-02,32.03,32.05
2021-08-03,32.5,31.7
2021-08-04,31.62,31.67
2021-08-05,31.8,32.34
2021-08-06,31.62,34.34
2021-08-09,34.25,35.81
2021-08-10,35.99,37.28
2021-08-11,38.95,37.2
2021-08-12,37.37,38.92
2021-08-13,39.0,40.05
2021-08-16,39.93,40.95
2021-08-17,41.43,38.24
2021-08-18,38.39,38.13
2021-08-19,37.92,38.89
2021-08-20,38.84,39.59
2021-08-23,39.66,40.0
2021-08-24,40.43,39.99
2021-08-25,39.66,39.01
2021-08-26,38.87,38.56
2021-08-27,38.5,40.73
2021-08-30,41.27,43.96
2021-08-31,44.34,43.91
2021-09-01,44.84,47.01
2021-09-02,47.1,48.12
2021-09-03,48.12,47.54
2021-09-07,47.8,48.09
2021-09-08,48.22,46.21
2021-09-09,46.17,48.01
2021-09-10,48.1,47.74
2021-09-13,48.53,45.63
2021-09-14,45.38,45.31
2021-09-15,45.01,46.82
2021-09-16,46.76,49.44
2021-09-17,49.25,46.17
2021-09-20,44.42,44.29
2021-09-21,44.33,46.25
2021-09-22,46.88,46.11
2021-09-23,46.55,47.94
2021-09-24,47.55,47.35
2021-09-27,46.81,47.05
2021-09-28,46.1,44.73
2021-09-29,44.68,43.64
2021-09-30,43.96,43.84
2021-10-01,44.2,46.52
2021-10-04,46.33,44.87
2021-10-05,45.07,45.12
2021-10-06,44.51,45.28
2021-10-07,45.82,48.19
2021-10-08,48.24,48.69
2021-10-11,48.67,48.71
2021-10-12,48.71,47.04
2021-10-13,47.14,52.63
2021-10-14,54.0,53.96
2021-10-15,55.0,51.85
2021-10-18,51.24,48.37
2021-10-19,48.43,47.69
2021-10-20,47.79,47.44
2021-10-21,47.57,46.87
2021-10-22,46.56,47.88
2021-10-25,48.04,47.95
2021-10-26,48.26,47.65
2021-10-27,47.44,45.74
2021-10-28,45.83,46.7
2021-10-29,46.31,47.44
2021-11-01,47.59,47.31
2021-11-02,47.44,46.53
2021-11-03,46.62,44.45
2021-11-04,44.52,43.01
2021-11-05,43.48,42.39
2021-11-08,42.74,45.36
2021-11-09,45.46,44.35
2021-11-10,47.14,45.11
2021-11-11,44.0,43.97
2021-11-12,43.75,44.76
2021-11-15,44.43,43.41
2021-11-16,43.32,45.26
2021-11-17,45.36,44.0
2021-11-18,44.08,43.66
2021-11-19,43.41,41.71
2021-11-22,41.28,37.33
2021-11-23,36.94,37.3
2021-11-24,37.31,41.88
2021-11-26,39.87,41.53
2021-11-29,42.15,42.33
2021-11-30,42.51,40.64
2021-12-01,41.33,38.83
2021-12-02,38.5,40.63
2021-12-03,40.9,39.34
2021-12-06,38.84,41.35
2021-12-07,41.83,41.66
2021-12-08,41.6,41.36
2021-12-09,40.99,40.02
2021-12-10,39.96,39.99
2021-12-13,39.99,37.06
2021-12-14,36.69,35.03
2021-12-15,34.88,35.96
2021-12-16,35.96,33.53
2021-12-17,33.15,33.64
2021-12-20,32.19,33.07
2021-12-21,33.63,35.16
2021-12-22,34.91,35.34
2021-12-23,35.54,36.53
