date,open,close
2020-05-11,25.43,25.71
2020-05-12,25.95,24.69
2020-05-13,24.41,23.44
2020-05-14,22.77,24.55
2020-05-15,23.92,25.42
2020-05-18,26.8,27.0
2020-05-19,26.84,27.63
2020-05-20,28.12,28.32
2020-05-21,28.33,29.32
2020-05-22,26.76,26.83
2020-05-26,28.42,28.22
2020-05-27,29.48,29.44
2020-05-28,29.81,28.58
2020-05-29,28.21,27.7
2020-06-01,27.77,29.2
2020-06-02,29.61,29.14
2020-06-03,29.77,31.1
2020-06-04,30.98,32.51
2020-06-05,34.5,33.4
2020-06-08,34.51,35.12
2020-06-09,33.93,34.12
2020-06-10,33.86,32.44
2020-06-11,29.9,29.31
2020-06-12,30.73,29.56
2020-06-15,27.85,29.22
2020-06-16,31.04,30.03
2020-06-17,30.03,29.04
2020-06-18,28.57,29.25
2020-06-19,29.8,28.09
2020-06-22,27.74,29.52
2020-06-23,30.08,30.14
2020-06-24,29.68,28.79
2020-06-25,28.69,29.35
2020-06-26,28.94,27.1
2020-06-29,27.67,29.43
2020-06-30,29.16,29.16
2020-07-01,28.98,28.86
2020-07-02,29.73,29.4
2020-07-06,30.1,29.62
2020-07-07,29.09,28.52
2020-07-08,28.48,28.86
2020-07-09,28.65,27.99
2020-07-10,28.5,28.84
2020-07-13,29.16,27.99
2020-07-14,27.47,27.52
2020-07-15,28.53,29.15
2020-07-16,28.93,28.89
2020-07-17,28.96,27.72
2020-07-20,27.58,27.55
2020-07-21,29.33,30.22
2020-07-22,30.0,29.69
2020-07-23,29.42,30.94
2020-07-24,31.0,29.82
2020-07-27,29.65,29.87
2020-07-28,29.92,30.11
2020-07-29,30.32,30.97
2020-07-30,30.45,30.61
2020-07-31,30.65,29.39
2020-08-03,29.36,27.24
2020-08-04,27.26,27.56
2020-08-05,28.26,27.66
2020-08-06,27.5,26.96
2020-08-07,27.12,27.48
2020-08-10,30.02,29.63
2020-08-11,30.03,30.3
2020-08-12,30.73,30.15
2020-08-13,29.68,29.24
2020-08-14,28.85,28.73
2020-08-17,28.98,28.4
2020-08-18,28.22,27.2
2020-08-19,27.22,27.5
2020-08-20,27.1,27.19
2020-08-21,28.86,27.57
2020-08-24,27.18,29.17
2020-08-25,29.85,29.66
2020-08-26,30.0,29.14
2020-08-27,29.33,29.77
2020-08-28,29.75,30.39
2020-08-31,30.35,30.33
2020-09-01,30.09,30.74
2020-09-02,30.87,32.41
2020-09-03,32.24,31.85
2020-09-04,32.25,32.27
2020-09-08,32.27,32.73
2020-09-09,32.68,33.66
2020-09-10,34.0,33.13
2020-09-11,33.5,34.2
2020-09-14,34.54,35.87
2020-09-15,36.04,35.84
2020-09-16,36.05,36.54
2020-09-17,36.08,35.95
2020-09-18,36.37,35.79
2020-09-21,34.47,34.44
2020-09-22,34.48,34.58
2020-09-23,35.81,33.11
2020-09-24,32.86,32.87
2020-09-25,32.61,32.8
2020-09-28,33.33,32.39
2020-09-29,32.41,32.11
2020-09-30,32.25,33.03
2020-10-01,33.08,34.11
2020-10-02,33.2,35.63
2020-10-05,35.9,37.2
2020-10-06,37.45,36.55
2020-10-07,37.72,37.54
2020-10-08,37.49,38.34
2020-10-09,38.42,38.03
2020-10-12,38.13,37.59
2020-10-13,39.21,38.2
2020-10-14,38.05,38.14
2020-10-15,37.56,38.35
2020-10-16,38.37,38.09
2020-10-19,38.3,37.86
2020-10-20,38.35,38.37
2020-10-21,38.48,38.73
2020-10-22,38.94,38.89
2020-10-23,39.43,39.77
2020-10-26,38.95,38.06
2020-10-27,38.46,38.29
2020-10-28,37.08,36.35
2020-10-29,36.16,36.99
2020-10-30,37.01,36.88
2020-11-02,37.23,37.34
2020-11-03,38.0,38.76
2020-11-04,37.97,36.9
2020-11-05,37.31,37.98
2020-11-06,37.96,37.06
2020-11-09,40.3,39.71
2020-11-10,39.82,39.16
2020-11-11,39.24,37.32
2020-11-12,37.46,36.5
2020-11-13,36.84,37.24
2020-11-16,38.85,39.72
2020-11-17,39.61,40.02
2020-11-18,40.24,39.94
2020-11-19,39.73,41.33
2020-11-20,41.67,39.28
2020-11-23,38.51,38.26
2020-11-24,38.87,38.93
2020-11-25,38.92,38.35
2020-11-27,38.35,38.13
2020-11-30,38.38,37.4
2020-12-01,37.7,39.0
2020-12-02,38.99,39.44
2020-12-03,39.96,40.84
2020-12-04,40.72,41.67
2020-12-07,41.67,41.4
2020-12-08,41.19,42.75
2020-12-09,43.0,42.99
2020-12-10,42.4,42.27
2020-12-11,41.92,42.03
2020-12-14,42.63,40.99
2020-12-15,41.2,42.18
2020-12-16,42.11,40.79
2020-12-17,40.72,41.1
2020-12-18,41.14,39.04
2020-12-21,38.25,39.96
2020-12-22,40.23,39.24
2020-12-23,40.01,40.11
2020-12-24,40.0,39.49
2020-12-28,39.71,40.36
2020-12-29,40.37,40.33
2020-12-30,40.31,40.48
2020-12-31,40.3,40.44
2021-01-04,40.39,39.1
2021-01-05,39.15,40.33
2021-01-06,41.16,43.6
2021-01-07,45.2,43.94
2021-01-08,44.16,43.89
2021-01-11,43.11,46.44
2021-01-12,46.47,47.27
2021-01-13,46.86,46.28
2021-01-14,46.35,47.32
2021-01-15,48.47,47.85
2021-01-19,47.97,47.1
2021-01-20,47.12,47.72
2021-01-21,47.82,47.83
2021-01-22,47.65,47.55
2021-01-25,47.49,47.22
2021-01-26,47.58,46.44
2021-01-27,45.5,43.18
2021-01-28,43.09,43.84
2021-01-29,43.81,43.82
2021-02-01,43.96,44.68
2021-02-02,45.4,45.4
2021-02-03,45.52,45.71
2021-02-04,46.41,47.97
2021-02-05,49.89,48.98
2021-02-08,48.96,50.4
2021-02-09,50.24,51.12
2021-02-10,51.34,51.12
2021-02-11,51.15,52.04
2021-02-12,51.81,52.13
2021-02-16,52.3,51.9
2021-02-17,52.0,50.55
2021-02-18,51.1,51.79
2021-02-19,51.98,51.86
2021-02-22,53.82,53.98
2021-02-23,53.64,52.93
2021-02-24,53.14,54.75
2021-02-25,54.38,52.73
2021-02-26,49.56,48.09
2021-03-01,49.21,51.65
2021-03-02,50.99,50.2
2021-03-03,50.66,51.34
2021-03-04,51.15,50.69
2021-03-05,51.47,52.11
2021-03-08,53.0,56.88
2021-03-09,57.22,55.79
2021-03-10,56.0,56.67
2021-03-11,56.68,56.43
2021-03-12,56.43,57.46
2021-03-15,57.36,59.06
2021-03-16,58.87,57.77
2021-03-17,57.82,58.01
2021-03-18,58.5,56.63
2021-03-19,56.43,58.54
2021-03-22,57.89,58.05
2021-03-23,57.33,55.59
2021-03-24,56.32,53.61
2021-03-25,53.1,56.15
2021-03-26,57.31,57.57
2021-03-29,57.5,55.95
2021-03-30,56.38,57.31
2021-03-31,57.02,56.25
2021-04-01,56.9,56.75
2021-04-05,57.25,55.48
2021-04-06,55.88,56.21
2021-04-07,56.22,56.11
2021-04-08,56.57,56.86
2021-04-09,57.09,58.35
2021-04-12,58.2,59.73
2021-04-13,59.31,58.25
2021-04-14,58.29,58.62
2021-04-15,58.94,58.75
2021-04-16,59.2,58.75
2021-04-19,58.75,58.05
2021-04-20,57.48,56.71
