date,open,close
2020-05-11,7.54,7.25
2020-05-12,7.28,6.78
2020-05-13,6.72,6.26
2020-05-14,6.1,6.45
2020-05-15,6.4,6.33
2020-05-18,6.74,7.13
2020-05-19,7.03,6.68
2020-05-20,6.83,7.12
2020-05-21,7.12,7.16
2020-05-22,7.17,7.02
2020-05-26,7.46,7.57
2020-05-27,8.0,8.06
2020-05-28,8.18,7.76
2020-05-29,7.47,7.41
2020-06-01,7.48,7.57
2020-06-02,7.67,7.55
2020-06-03,7.82,8.1
2020-06-04,8.09,8.4
2020-06-05,9.19,9.06
2020-06-08,9.35,9.51
2020-06-09,9.06,9.09
2020-06-10,8.94,8.27
2020-06-11,7.75,7.41
2020-06-12,7.91,7.68
2020-06-15,7.03,7.72
2020-06-16,8.13,8.08
2020-06-17,8.11,7.66
2020-06-18,7.54,7.72
2020-06-19,7.83,7.62
2020-06-22,7.47,7.58
2020-06-23,7.77,7.46
2020-06-24,7.31,7.09
2020-06-25,7.03,7.4
2020-06-26,7.2,6.92
2020-06-29,7.06,7.32
2020-06-30,7.23,7.5
2020-07-01,7.53,7.09
2020-07-02,7.38,7.05
2020-07-06,7.3,7.16
2020-07-07,7.04,6.9
2020-07-08,6.86,6.9
2020-07-09,6.84,6.64
2020-07-10,6.66,7.02
2020-07-13,7.13,7.14
2020-07-14,7.06,7.05
2020-07-15,7.3,7.55
2020-07-16,7.42,7.55
2020-07-17,7.97,7.48
2020-07-20,7.41,7.26
2020-07-21,7.35,7.64
2020-07-22,7.51,7.53
2020-07-23,7.47,7.72
2020-07-24,7.78,7.67
2020-07-27,7.63,7.53
2020-07-28,7.44,7.42
2020-07-29,7.39,7.73
2020-07-30,7.45,7.5
2020-07-31,7.49,7.41
2020-08-03,7.43,7.39
2020-08-04,7.32,7.35
2020-08-05,7.46,7.51
2020-08-06,7.42,7.46
2020-08-07,7.4,7.87
2020-08-10,7.9,8.02
2020-08-11,8.25,8.19
2020-08-12,8.38,8.09
2020-08-13,7.98,7.91
2020-08-14,7.81,7.98
2020-08-17,7.92,7.86
2020-08-18,7.88,7.55
2020-08-19,7.6,7.63
2020-08-20,7.5,7.34
2020-08-21,7.3,7.35
2020-08-24,7.43,7.64
2020-08-25,7.72,7.64
2020-08-26,7.65,7.52
2020-08-27,7.51,7.66
2020-08-28,7.75,7.64
2020-08-31,7.58,7.5
2020-09-01,7.43,7.48
2020-09-02,7.46,7.55
