date,open,close
2020-05-11,11.6,12.07
2020-05-12,12.2,12.155
2020-05-13,12.17,11.65
2020-05-14,11.4,11.14
2020-05-15,11.15,11.6
2020-05-18,12.46,12.61
2020-05-19,12.46,12.26
2020-05-20,12.52,12.62
2020-05-21,12.65,12.51
2020-05-22,12.51,12.68
2020-05-26,13.0,12.18
2020-05-27,12.35,12.45
2020-05-28,12.6,12.19
2020-05-29,12.2,12.475
2020-06-01,12.48,12.68
2020-06-02,12.73,13.14
2020-06-03,13.2,12.85
2020-06-04,12.83,12.81
2020-06-05,13.09,12.89
2020-06-08,12.84,11.73
2020-06-09,11.67,12.46
2020-06-10,13.0,11.81
2020-06-11,11.56,11.07
2020-06-12,11.42,10.93
2020-06-15,10.76,11.14
2020-06-16,12.65,13.07
2020-06-17,13.02,13.155
2020-06-18,12.94,14.01
2020-06-19,14.13,15.25
2020-06-22,15.06,15.4
2020-06-23,15.55,15.56
2020-06-24,15.41,14.93
2020-06-25,14.92,15.69
2020-06-26,15.55,15.25
2020-06-29,15.42,15.54
2020-06-30,15.33,15.08
2020-07-01,15.2,15.55
2020-07-02,15.8,15.55
2020-07-06,15.8,15.6
2020-07-07,15.5,15.89
2020-07-08,16.0,15.78
2020-07-09,15.85,15.83
2020-07-10,15.76,15.53
2020-07-13,15.71,15.04
2020-07-14,15.0,15.04
2020-07-15,15.39,15.74
2020-07-16,15.58,15.36
2020-07-17,15.08,15.21
2020-07-20,15.16,15.18
2020-07-21,15.24,14.77
2020-07-22,14.75,14.74
2020-07-23,14.77,14.73
2020-07-24,14.54,14.55
2020-07-27,14.58,15.21
2020-07-28,15.14,14.55
2020-07-29,14.59,14.52
2020-07-30,14.36,14.68
2020-07-31,14.65,14.45
2020-08-03,14.53,14.93
2020-08-04,14.84,14.79
2020-08-05,15.05,15.1
2020-08-06,15.19,15.35
2020-08-07,15.35,15.41
2020-08-10,15.03,15.23
2020-08-11,15.74,14.59
2020-08-12,14.44,14.62
2020-08-13,14.63,14.68
2020-08-14,14.58,14.4
2020-08-17,14.7,14.91
2020-08-18,14.94,14.69
2020-08-19,14.71,14.8
2020-08-20,14.65,14.66
2020-08-21,14.61,14.6
2020-08-24,14.7,14.37
2020-08-25,14.35,14.615
2020-08-26,14.56,14.2
2020-08-27,14.26,14.36
2020-08-28,14.49,14.76
2020-08-31,14.86,14.6
2020-09-01,14.62,14.08
2020-09-02,14.11,14.27
2020-09-03,14.28,13.55
2020-09-04,13.67,13.61
2020-09-08,13.37,13.5
2020-09-09,13.7,13.95
2020-09-10,13.93,13.31
2020-09-11,13.47,12.89
2020-09-14,13.11,13.77
2020-09-15,13.94,13.91
2020-09-16,13.95,13.98
2020-09-17,13.9,13.92
2020-09-18,14.06,14.6
2020-09-21,14.31,13.48
2020-09-22,13.47,13.79
2020-09-23,13.82,13.32
2020-09-24,13.23,13.8
2020-09-25,13.76,13.795
2020-09-28,13.95,13.9
2020-09-29,13.96,14.08
2020-09-30,14.11,14.12
2020-10-01,14.22,14.08
2020-10-02,13.79,13.47
2020-10-05,13.54,14.36
2020-10-06,14.6,14.38
