date,open,close
2020-05-12,7.73,7.37
2020-05-13,7.48,7.62
2020-05-14,7.48,7.23
2020-05-15,7.34,7.55
2020-05-18,7.8,7.61
2020-05-19,8.11,7.86
2020-05-20,8.01,7.93
2020-05-21,8.08,8.12
2020-05-22,8.0,8.07
2020-05-26,8.25,8.54
2020-05-27,8.77,9.09
2020-05-28,9.18,9.09
2020-05-29,8.84,9.13
2020-06-01,9.42,9.24
2020-06-02,9.03,9.08
2020-06-03,8.16,7.99
2020-06-04,7.92,7.95
2020-06-05,8.16,8.16
2020-06-08,8.42,8.99
2020-06-09,8.84,8.8
2020-06-10,8.54,8.24
2020-06-11,7.9,7.51
2020-06-12,7.99,7.95
2020-06-15,7.7,8.08
2020-06-16,8.31,7.92
2020-06-17,7.87,7.62
2020-06-18,7.63,7.87
2020-06-19,7.83,7.6
2020-06-22,7.53,7.38
2020-06-23,7.45,7.51
2020-06-24,7.43,7.49
2020-06-25,7.37,7.37
2020-06-26,7.25,7.0
2020-06-29,7.05,7.11
2020-06-30,6.98,6.98
2020-07-01,7.01,7.43
2020-07-02,7.38,6.97
2020-07-06,7.18,7.43
2020-07-07,7.5,7.1
2020-07-08,7.19,7.4
2020-07-09,7.46,7.23
2020-07-10,7.29,7.55
2020-07-13,7.6,7.39
2020-07-14,7.37,7.56
2020-07-15,7.65,7.76
2020-07-16,7.75,7.61
2020-07-17,7.67,7.65
2020-07-20,7.7,7.64
2020-07-21,7.66,7.49
2020-07-22,7.48,7.55
2020-07-23,7.5,7.68
2020-07-24,7.67,7.68
2020-07-27,7.7,7.78
2020-07-28,7.82,7.92
2020-07-29,8.07,8.31
2020-07-30,8.11,8.04
2020-07-31,8.04,8.0
2020-08-03,7.99,7.93
2020-08-04,8.0,8.16
2020-08-05,8.25,8.28
2020-08-06,8.29,8.16
2020-08-07,8.11,8.2
2020-08-10,8.25,8.2
2020-08-11,8.39,8.42
2020-08-12,8.49,8.65
2020-08-13,8.54,8.46
2020-08-14,8.34,8.63
2020-08-17,8.66,8.68
2020-08-18,8.62,8.54
2020-08-19,8.48,8.36
2020-08-20,8.26,8.37
2020-08-21,8.25,8.35
2020-08-24,8.3,8.35
2020-08-25,8.44,8.37
2020-08-26,8.44,8.27
2020-08-27,8.18,7.77
2020-08-28,7.85,7.83
2020-08-31,7.95,7.96
2020-09-01,7.96,7.78
2020-09-02,7.72,7.5
2020-09-03,7.4,7.37
2020-09-04,7.37,7.62
2020-09-08,7.45,7.74
2020-09-09,7.9,7.84
2020-09-10,7.29,7.35
2020-09-11,7.43,7.49
2020-09-14,7.55,7.78
2020-09-15,7.78,7.41
