date,open,close
2021-09-22,43.5,47.55
2021-09-23,47.56,47.54
2021-09-24,46.7,46.75
2021-09-27,47.34,44.05
2021-09-28,43.02,42.73
2021-09-29,42.47,42.27
2021-09-30,42.27,42.69
2021-10-01,42.74,41.89
2021-10-04,41.71,40.88
2021-10-05,40.61,40.21
2021-10-06,39.75,39.26
2021-10-07,40.0,41.29
2021-10-08,41.41,42.58
2021-10-11,42.51,42.15
2021-10-12,42.3,42.26
2021-10-13,42.55,41.27
2021-10-14,41.7,41.68
2021-10-15,41.7,41.45
2021-10-18,41.5,40.75
2021-10-19,41.35,42.93
2021-10-20,42.59,45.17
2021-10-21,44.92,45.05
2021-10-22,44.7,46.92
2021-10-25,47.0,46.66
2021-10-26,46.66,43.65
2021-10-27,43.72,44.48
2021-10-28,44.6,46.38
2021-10-29,46.48,50.25
2021-11-01,50.03,48.2
2021-11-02,47.4,50.07
2021-11-03,44.09,43.06
2021-11-04,44.98,39.59
2021-11-05,39.5,38.29
2021-11-08,38.55,40.72
2021-11-09,40.3,39.01
2021-11-10,39.01,37.95
2021-11-11,38.15,38.41
2021-11-12,38.4,37.72
2021-11-15,38.0,34.7
2021-11-16,34.7,38.97
2021-11-17,38.81,38.73
2021-11-18,38.58,38.66
2021-11-19,38.36,38.31
2021-11-22,37.92,36.0
2021-11-23,35.82,34.36
2021-11-24,34.36,35.04
2021-11-26,34.67,35.55
2021-11-29,35.71,35.64
2021-11-30,35.63,35.22
2021-12-01,35.62,30.85
2021-12-02,31.28,32.3
2021-12-03,32.2,28.46
2021-12-06,28.51,26.62
2021-12-07,27.6,28.49
2021-12-08,28.41,29.03
2021-12-09,28.62,27.37
2021-12-10,27.35,26.64
2021-12-13,26.64,25.8
2021-12-14,25.46,24.16
2021-12-15,24.16,27.03
2021-12-16,27.03,26.11
2021-12-17,25.53,27.02
2021-12-20,26.51,26.58
2021-12-21,26.82,29.45
2021-12-22,29.4,27.25
2021-12-23,27.25,27.94
2021-12-27,27.91,27.05
2021-12-28,27.0,25.05
2021-12-29,24.9,25.1
2021-12-30,25.1,26.15
2021-12-31,26.13,26.26
2022-01-03,26.4,25.62
2022-01-04,25.47,24.1
2022-01-05,23.96,21.75
2022-01-06,21.49,22.11
2022-01-07,22.13,22.8
2022-01-10,22.68,23.5
2022-01-11,23.59,24.49
2022-01-12,24.68,24.05
2022-01-13,24.08,22.55
2022-01-14,22.1,23.1
2022-01-18,22.89,22.7
2022-01-19,22.6,21.92
2022-01-20,22.2,22.11
2022-01-21,21.9,20.7
2022-01-24,20.19,21.04
2022-01-25,20.5,20.61
2022-01-26,21.26,21.46
2022-01-27,21.71,20.6
2022-01-28,20.76,20.32
2022-01-31,20.48,21.75
2022-02-01,22.14,22.53
2022-02-02,22.88,21.31
2022-02-03,21.09,19.01
2022-02-04,19.74,20.84
2022-02-07,20.84,22.08
2022-02-08,22.03,22.53
2022-02-09,22.96,23.49
2022-02-10,22.76,22.46
2022-02-11,20.4,18.41
2022-02-14,18.72,20.41
2022-02-15,20.5,22.15
2022-02-16,22.14,21.85
2022-02-17,22.38,19.25
2022-02-18,18.91,18.97
2022-02-22,18.63,18.6
2022-02-23,18.16,16.75
2022-02-24,15.6,17.63
2022-02-25,17.63,17.97
2022-02-28,17.95,18.32
2022-03-01,18.42,19.19
2022-03-02,19.5,18.93
2022-03-03,19.16,17.64
2022-03-04,17.47,17.02
2022-03-07,17.0,15.9
2022-03-08,15.97,16.37
2022-03-09,17.11,18.23
2022-03-10,17.73,17.87
2022-03-11,18.22,17.21
2022-03-14,17.04,16.9
2022-03-15,17.11,16.93
2022-03-16,17.7,18.52
2022-03-17,18.26,19.15
2022-03-18,19.2,20.06
2022-03-21,20.02,20.04
2022-03-22,19.93,20.11
2022-03-23,19.99,20.52
2022-03-24,19.5,19.56
2022-03-25,19.78,20.1
2022-03-28,19.95,20.61
2022-03-29,20.55,20.78
2022-03-30,20.56,19.94
2022-03-31,19.78,17.92
2022-04-01,18.22,17.96
2022-04-04,18.23,19.69
2022-04-05,19.63,18.58
2022-04-06,18.53,17.64
2022-04-07,17.58,17.02
2022-04-08,16.83,16.44
2022-04-11,16.14,17.71
2022-04-12,18.2,18.38
2022-04-13,18.15,19.07
2022-04-14,19.21,19.12
2022-04-18,18.94,18.19
2022-04-19,18.0,19.61
2022-04-20,19.83,18.36
2022-04-21,19.0,17.86
2022-04-22,17.83,17.78
2022-04-25,17.75,18.82
2022-04-26,18.8,17.42
2022-04-27,17.4,17.6
2022-04-28,17.94,18.94
2022-04-29,18.83,18.17
2022-05-02,18.22,18.11
2022-05-03,18.08,16.96
2022-05-04,15.01,16.82
2022-05-05,16.54,15.99
2022-05-06,15.45,15.77
2022-05-09,15.28,14.07
2022-05-10,14.36,14.48
2022-05-11,14.25,13.5
2022-05-12,13.1,14.54
2022-05-13,14.96,16.19
2022-05-16,15.9,15.32
2022-05-17,15.83,15.56
2022-05-18,15.22,15.14
2022-05-19,15.0,15.8
2022-05-20,16.21,15.88
2022-05-23,15.46,15.69
2022-05-24,15.16,13.86
2022-05-25,13.95,14.16
2022-05-26,14.12,14.52
2022-05-27,14.76,16.09
2022-05-31,15.84,15.76
2022-06-01,15.45,15.32
2022-06-02,15.24,16.25
2022-06-03,15.95,15.36
2022-06-06,15.6,15.48
2022-06-07,14.74,15.08
2022-06-08,15.14,15.65
2022-06-09,15.48,14.32
2022-06-10,13.27,12.35
2022-06-13,11.62,11.34
2022-06-14,11.38,11.0
2022-06-15,11.06,11.19
2022-06-16,10.74,10.88
2022-06-17,10.96,11.3
2022-06-21,11.78,11.45
2022-06-22,11.28,11.17
2022-06-23,11.31,12.03
2022-06-24,12.27,13.5
2022-06-27,13.47,13.46
2022-06-28,13.36,13.08
2022-06-29,13.02,13.08
2022-06-30,12.76,13.15
2022-07-01,13.2,13.47
2022-07-05,13.21,14.77
2022-07-06,14.85,14.86
2022-07-07,14.72,15.22
2022-07-08,14.9,15.28
2022-07-11,15.24,14.89
2022-07-12,14.15,13.12
2022-07-13,12.8,12.77
2022-07-14,12.52,11.99
2022-07-15,11.85,12.25
2022-07-18,12.51,12.64
2022-07-19,12.9,12.83
2022-07-20,12.95,13.75
2022-07-21,13.66,13.81
2022-07-22,13.62,13.03
2022-07-25,12.89,12.51
2022-07-26,12.27,11.72
2022-07-27,11.95,12.5
2022-07-28,12.4,12.83
2022-07-29,12.59,13.11
2022-08-01,12.9,13.47
2022-08-02,13.22,13.95
2022-08-03,14.4,15.12
2022-08-04,14.43,15.4
2022-08-05,14.98,15.31
2022-08-08,15.48,15.9
2022-08-09,15.47,15.01
2022-08-10,15.73,16.45
2022-08-11,16.5,16.33
2022-08-12,16.5,16.83
2022-08-15,16.8,16.37
2022-08-16,16.18,16.38
2022-08-17,15.93,15.77
2022-08-18,15.65,15.65
2022-08-19,15.25,14.39
2022-08-22,14.1,13.63
2022-08-23,13.66,13.99
2022-08-24,14.02,14.16
2022-08-25,14.14,14.57
2022-08-26,14.57,13.99
2022-08-29,13.74,13.48
2022-08-30,13.66,13.5
2022-08-31,13.8,13.61
2022-09-01,13.44,13.38
2022-09-02,13.61,13.3
2022-09-06,13.33,13.4
2022-09-07,13.35,13.36
2022-09-08,13.18,13.87
2022-09-09,14.06,14.47
2022-09-12,14.59,15.12
2022-09-13,14.22,14.41
2022-09-14,15.02,15.84
2022-09-15,15.61,15.61
2022-09-16,15.0,14.78
2022-09-19,14.79,14.85
2022-09-20,14.52,14.54
2022-09-21,14.6,14.04
2022-09-22,14.21,13.39
