date,open,close
2020-05-12,13.08,13.0
2020-05-13,12.8,12.4
2020-05-14,12.24,12.76
2020-05-15,12.32,12.68
2020-05-18,13.08,13.24
2020-05-19,13.28,13.2
2020-05-20,13.12,13.4
2020-05-21,13.4,13.52
2020-05-22,13.6,13.56
2020-05-26,13.88,14.68
2020-05-27,15.2,15.32
2020-05-28,15.52,14.88
2020-05-29,14.6,14.84
2020-06-01,14.96,15.04
2020-06-02,15.12,15.0
2020-06-03,15.24,15.68
2020-06-04,15.68,15.64
2020-06-05,16.0,16.08
2020-06-08,16.36,18.0
2020-06-09,17.8,17.64
2020-06-10,17.44,16.96
2020-06-11,15.6,16.0
2020-06-12,16.6,16.48
2020-06-15,16.44,16.8
2020-06-16,16.52,16.7
2020-06-17,16.7,15.06
2020-06-18,14.71,15.01
2020-06-19,15.28,14.05
2020-06-22,14.0,14.27
2020-06-23,14.3,14.09
2020-06-24,14.02,13.77
2020-06-25,13.6,13.81
2020-06-26,13.66,13.88
2020-06-29,13.94,13.87
2020-06-30,13.69,14.0
2020-07-01,13.96,13.93
2020-07-02,14.25,14.24
2020-07-06,14.5,14.44
2020-07-07,14.26,14.08
2020-07-08,14.06,14.0
2020-07-09,13.87,13.31
2020-07-10,13.25,13.64
2020-07-13,13.68,13.76
2020-07-14,13.67,14.18
2020-07-15,14.4,14.59
2020-07-16,14.46,14.58
2020-07-17,14.65,14.75
2020-07-20,14.7,15.02
2020-07-21,15.1,15.5
2020-07-22,15.4,15.82
2020-07-23,15.74,15.88
2020-07-24,15.9,15.75
2020-07-27,15.7,15.78
2020-07-28,15.75,15.8
2020-07-29,15.79,16.02
2020-07-30,15.8,15.89
2020-07-31,15.84,15.9
2020-08-03,15.78,15.89
2020-08-04,15.88,15.84
2020-08-05,15.91,16.12
2020-08-06,16.14,16.04
2020-08-07,16.0,16.46
2020-08-10,16.56,17.07
2020-08-11,16.15,16.05
2020-08-12,16.16,16.33
2020-08-13,16.3,16.2
2020-08-14,16.05,16.14
2020-08-17,16.22,16.05
2020-08-18,16.0,15.86
2020-08-19,15.9,15.77
2020-08-20,15.64,15.75
2020-08-21,15.77,15.8
2020-08-24,16.0,16.36
2020-08-25,16.45,16.04
2020-08-26,15.95,15.87
2020-08-27,15.79,15.98
2020-08-28,16.18,16.07
2020-08-31,16.0,16.02
2020-09-01,16.0,16.04
2020-09-02,16.03,15.97
2020-09-03,16.0,15.82
2020-09-04,16.0,16.12
2020-09-08,16.04,15.88
2020-09-09,16.0,16.02
2020-09-10,16.03,16.06
2020-09-11,16.07,16.18
2020-09-14,16.26,16.35
2020-09-15,15.9,15.96
2020-09-16,15.9,15.91
2020-09-17,15.75,15.9
2020-09-18,15.83,15.79
2020-09-21,15.63,15.73
2020-09-22,15.71,15.7
2020-09-23,15.71,15.48
2020-09-24,15.42,15.53
2020-09-25,15.42,15.78
2020-09-28,15.86,16.06
2020-09-29,16.06,15.86
2020-09-30,15.83,15.86
2020-10-01,16.0,16.21
2020-10-02,16.0,16.46
2020-10-05,16.5,16.36
2020-10-06,16.36,16.19
2020-10-07,16.25,16.29
2020-10-08,16.29,16.38
2020-10-09,16.4,16.21
2020-10-12,16.21,15.93
2020-10-13,15.91,15.83
2020-10-14,15.83,15.78
2020-10-15,15.56,15.85
2020-10-16,15.85,15.79
2020-10-19,15.8,15.56
2020-10-20,15.7,15.55
2020-10-21,15.53,15.39
2020-10-22,15.4,15.54
2020-10-23,15.6,15.67
2020-10-26,15.48,15.11
2020-10-27,15.04,14.65
2020-10-28,14.29,14.5
2020-10-29,14.28,14.71
2020-10-30,14.63,14.6
2020-11-02,14.87,14.96
