date,open,close
2020-05-12,3.26,3.28
2020-05-13,3.39,3.22
2020-05-14,3.15,3.36
2020-05-15,3.51,3.96
2020-05-18,4.4,4.26
2020-05-19,4.32,4.2
2020-05-20,4.21,4.33
2020-05-21,4.21,4.26
2020-05-22,4.28,4.2
2020-05-26,4.25,3.97
2020-05-27,3.83,4.19
2020-05-28,4.29,4.17
2020-05-29,4.36,4.49
2020-06-01,4.62,4.8
2020-06-02,4.86,4.63
2020-06-03,4.48,4.31
2020-06-04,4.43,4.58
2020-06-05,4.26,4.51
2020-06-08,4.55,4.57
2020-06-09,4.58,4.56
2020-06-10,4.64,4.79
2020-06-11,4.79,4.39
2020-06-12,4.53,4.41
2020-06-15,4.23,4.58
2020-06-16,4.59,4.39
2020-06-17,4.4,4.37
2020-06-18,4.35,4.21
2020-06-19,4.34,4.24
2020-06-22,4.37,4.63
2020-06-23,4.74,4.95
2020-06-24,4.85,4.7
2020-06-25,4.77,4.81
2020-06-26,4.78,4.75
2020-06-29,4.8,4.76
2020-06-30,4.74,5.09
2020-07-01,5.09,4.93
2020-07-02,4.91,4.89
2020-07-06,5.06,4.84
2020-07-07,4.79,4.89
2020-07-08,5.01,5.05
2020-07-09,5.13,5.07
2020-07-10,5.14,5.03
2020-07-13,5.2,4.94
2020-07-14,4.92,5.12
2020-07-15,5.12,5.16
2020-07-16,5.11,5.01
2020-07-17,5.1,5.2
2020-07-20,5.32,5.85
2020-07-21,6.31,6.37
2020-07-22,6.69,6.74
2020-07-23,6.65,6.41
2020-07-24,6.42,6.53
2020-07-27,7.01,7.24
2020-07-28,7.03,7.0
2020-07-29,7.04,6.9
2020-07-30,6.56,6.49
2020-07-31,6.66,6.72
2020-08-03,6.79,6.65
2020-08-04,6.64,7.0
2020-08-05,7.32,7.05
2020-08-06,7.24,6.93
2020-08-07,6.73,6.66
2020-08-10,6.78,6.72
2020-08-11,6.3,5.97
2020-08-12,6.24,6.06
2020-08-13,6.19,6.39
2020-08-14,6.15,6.38
2020-08-17,6.66,6.66
2020-08-18,6.87,6.52
2020-08-19,6.45,6.37
2020-08-20,6.37,6.54
2020-08-21,6.36,6.27
2020-08-24,6.31,6.13
2020-08-25,6.16,6.29
2020-08-26,6.21,6.6
2020-08-27,6.67,6.55
2020-08-28,6.81,7.11
2020-08-31,7.15,7.27
2020-09-01,7.4,7.2
2020-09-02,7.04,7.04
2020-09-03,6.94,7.02
2020-09-04,6.93,6.93
2020-09-08,6.67,6.73
2020-09-09,6.86,7.08
2020-09-10,7.35,7.14
2020-09-11,7.14,6.92
2020-09-14,7.1,7.5
2020-09-15,7.61,7.58
2020-09-16,7.65,7.77
