date,open,close
2020-05-11,5.18,5.12
2020-05-12,5.15,4.98
2020-05-13,5.0,4.72
2020-05-14,4.64,4.89
2020-05-15,4.8,4.9
2020-05-18,5.12,5.31
2020-05-19,5.27,5.3
2020-05-20,5.38,5.49
2020-05-21,5.45,5.63
2020-05-22,5.68,5.65
2020-05-26,5.91,5.84
2020-05-27,6.01,6.03
2020-05-28,6.05,5.85
2020-05-29,5.75,5.71
2020-06-01,5.73,5.87
2020-06-02,5.96,5.9
2020-06-03,5.99,6.19
2020-06-04,6.2,6.57
2020-06-05,7.23,7.34
2020-06-08,7.53,7.53
2020-06-09,7.22,7.24
2020-06-10,7.33,6.81
2020-06-11,6.07,6.13
2020-06-12,6.56,6.46
2020-06-15,6.18,6.5
2020-06-16,6.87,6.55
2020-06-17,6.56,6.33
2020-06-18,6.26,6.33
2020-06-19,6.65,6.23
2020-06-22,6.27,6.28
2020-06-23,6.33,6.15
2020-06-24,6.06,5.95
2020-06-25,5.86,6.03
2020-06-26,6.04,5.91
2020-06-29,5.91,6.01
2020-06-30,5.98,6.08
2020-07-01,6.1,5.98
2020-07-02,6.1,6.05
2020-07-06,6.14,6.19
2020-07-07,6.14,6.12
2020-07-08,6.13,6.09
2020-07-09,6.09,5.84
2020-07-10,5.8,6.1
2020-07-13,6.15,6.06
2020-07-14,6.18,6.36
2020-07-15,6.54,6.74
2020-07-16,6.66,6.86
2020-07-17,6.9,6.8
2020-07-20,6.8,6.66
2020-07-21,6.71,6.68
2020-07-22,6.64,6.84
2020-07-23,6.87,6.98
2020-07-24,6.9,6.88
2020-07-27,6.92,6.93
2020-07-28,6.9,7.01
2020-07-29,7.05,6.92
2020-07-30,6.76,6.74
2020-07-31,6.89,6.61
2020-08-03,6.65,6.69
2020-08-04,6.91,6.86
2020-08-05,6.86,6.96
2020-08-06,6.93,6.93
2020-08-07,6.87,6.86
2020-08-10,6.91,7.09
2020-08-11,7.21,7.23
2020-08-12,7.33,7.11
2020-08-13,7.03,7.03
2020-08-14,6.97,7.04
2020-08-17,7.05,6.98
2020-08-18,6.98,6.89
2020-08-19,6.89,6.87
2020-08-20,6.77,6.84
2020-08-21,6.78,6.66
2020-08-24,6.73,6.98
2020-08-25,7.01,6.94
2020-08-26,6.94,6.82
2020-08-27,6.83,6.91
2020-08-28,6.93,6.94
2020-08-31,6.9,6.82
2020-09-01,6.77,6.83
2020-09-02,6.81,6.95
2020-09-03,6.92,6.82
2020-09-04,6.86,6.9
2020-09-08,6.83,7.03
2020-09-09,7.07,6.97
2020-09-10,6.99,6.91
2020-09-11,6.94,7.0
2020-09-14,7.01,7.12
2020-09-15,7.15,7.04
2020-09-16,7.05,7.02
2020-09-17,7.04,7.28
2020-09-18,7.31,7.23
2020-09-21,7.09,6.87
2020-09-22,6.9,6.78
2020-09-23,6.81,6.64
2020-09-24,6.6,6.66
2020-09-25,6.61,6.51
2020-09-28,6.59,6.69
2020-09-29,6.69,6.6
2020-09-30,6.61,6.66
2020-10-01,6.71,6.75
2020-10-02,6.62,6.89
2020-10-05,6.95,7.02
2020-10-06,7.06,6.98
2020-10-07,7.11,7.23
2020-10-08,7.29,7.35
2020-10-09,7.36,7.25
2020-10-12,7.36,7.67
2020-10-13,7.82,7.76
2020-10-14,7.73,7.57
2020-10-15,7.42,7.62
2020-10-16,7.71,7.67
2020-10-19,7.68,7.59
2020-10-20,7.62,7.74
2020-10-21,7.77,7.85
2020-10-22,7.93,8.21
2020-10-23,8.3,8.16
