date,open,close
2024-11-07,20.05,20.18
2024-11-08,20.35,20.48
2024-11-11,20.71,20.67
2024-11-12,20.67,20.54
2024-11-13,20.59,20.56
2024-11-14,20.56,20.28
2024-11-15,20.2,20.0
2024-11-18,20.1,20.11
2024-11-19,20.0,20.26
2024-11-20,20.3,20.29
2024-11-21,20.46,20.5
2024-11-22,20.52,20.64
2024-11-25,20.81,20.63
2024-11-26,20.66,20.79
2024-11-27,20.8,20.6
2024-11-29,20.67,20.73
2024-12-02,20.81,20.78
2024-12-03,20.77,20.83
2024-12-04,20.94,21.07
2024-12-05,21.08,21.01
2024-12-06,21.07,21.11
2024-12-09,21.14,20.81
2024-12-10,20.82,20.72
2024-12-11,20.86,20.99
2024-12-12,20.98,20.89
2024-12-13,20.95,20.87
2024-12-16,20.94,21.06
2024-12-17,21.03,20.87
2024-12-18,20.81,20.07
2024-12-19,20.38,20.09
2024-12-20,19.98,20.31
2024-12-23,20.37,20.41
2024-12-24,20.46,20.67
2024-12-26,20.66,20.62
2024-12-27,20.51,20.36
2024-12-30,20.05,20.1
2024-12-31,20.16,19.96
2025-01-02,20.12,19.91
2025-01-03,20.03,20.25
2025-01-06,20.44,20.36
2025-01-07,20.38,20.05
2025-01-08,20.03,20.08
2025-01-10,19.93,19.74
2025-01-13,19.56,19.73
2025-01-14,19.89,19.85
2025-01-15,20.24,20.35
2025-01-16,20.4,20.41
2025-01-17,20.62,20.63
2025-01-21,20.78,20.98
2025-01-22,21.21,21.25
2025-01-23,21.23,21.3
2025-01-24,21.28,21.19
2025-01-27,20.54,20.49
2025-01-28,20.57,20.76
2025-01-29,20.76,20.66
2025-01-30,20.88,20.93
2025-01-31,20.98,20.83
2025-02-03,20.39,20.62
2025-02-04,20.69,20.78
2025-02-05,20.76,20.87
2025-02-06,20.92,21.0
2025-02-07,21.05,20.88
2025-02-10,21.01,21.07
2025-02-11,21.02,20.95
2025-02-12,20.71,20.86
2025-02-13,20.89,21.03
2025-02-14,21.04,21.1
2025-02-18,21.19,21.27
2025-02-19,21.24,21.1
2025-02-20,21.06,20.72
2025-02-21,20.8,20.08
2025-02-24,20.1,19.76
2025-02-25,19.71,19.51
2025-02-26,19.72,19.73
2025-02-27,19.88,19.24
2025-02-28,19.25,19.53
2025-03-03,19.71,19.11
2025-03-04,18.86,18.94
2025-03-05,18.96,19.26
2025-03-06,18.92,18.67
2025-03-07,18.57,18.68
2025-03-10,18.22,17.87
2025-03-11,17.78,17.9
2025-03-12,18.33,18.23
2025-03-13,18.21,17.9
2025-03-14,18.14,18.43
2025-03-17,18.46,18.66
2025-03-18,18.51,18.33
2025-03-19,18.4,18.64
2025-03-20,18.46,18.58
2025-03-21,18.39,18.65
2025-03-24,19.01,19.17
2025-03-25,19.24,19.32
2025-03-26,19.29,18.85
2025-03-27,18.74,18.66
2025-03-28,18.58,18.14
2025-03-31,17.84,18.18
2025-04-01,18.12,18.39
2025-04-02,18.12,18.64
2025-04-03,17.71,17.48
2025-04-04,16.85,16.29
2025-04-07,15.58,16.33
2025-04-08,17.05,16.15
2025-04-09,16.04,18.07
2025-04-10,17.63,17.31
2025-04-11,17.29,17.67
2025-04-14,18.11,17.86
2025-04-15,17.89,17.89
2025-04-16,17.61,17.5
2025-04-17,17.63,17.46
2025-04-21,17.3,17.01
2025-04-22,17.29,17.53
2025-04-23,18.17,17.94
2025-04-24,17.98,18.54
2025-04-25,18.56,18.83
2025-04-28,18.89,18.84
2025-04-29,18.84,19.08
2025-04-30,18.73,19.03
2025-05-01,19.28,19.25
2025-05-02,19.56,19.68
2025-05-05,19.49,19.64
2025-05-06,19.31,19.4
2025-05-07,19.45,19.51
2025-05-08,19.75,19.85
2025-05-09,19.89,19.81
