date,open,close
2020-05-12,22.8,23.0
2020-05-13,23.0,21.6
2020-05-14,21.2,21.3
2020-05-15,21.0,21.7
2020-05-18,22.6,24.4
2020-05-19,24.6,24.1
2020-05-20,25.4,25.2
2020-05-21,25.4,25.0
2020-05-22,24.8,25.0
2020-05-26,25.6,25.6
2020-05-27,26.0,24.5
2020-05-28,24.8,23.6
2020-05-29,23.8,25.5
2020-06-01,25.0,25.1
2020-06-02,25.4,24.8
2020-06-03,25.0,27.0
2020-06-04,27.0,25.6
2020-06-05,27.0,30.2
2020-06-08,31.8,35.4
2020-06-09,34.2,32.0
2020-06-10,32.4,27.8
2020-06-11,21.06,20.58
2020-06-12,22.11,21.75
2020-06-15,21.04,24.17
2020-06-16,25.78,27.23
2020-06-17,28.32,21.52
2020-06-18,21.71,20.89
2020-06-19,21.02,21.59
2020-06-22,21.84,20.06
2020-06-23,20.62,21.25
2020-06-24,20.5,19.89
2020-06-25,19.4,20.22
2020-06-26,20.25,18.69
2020-06-29,18.93,19.08
2020-06-30,18.94,18.12
2020-07-01,18.22,17.52
2020-07-02,17.94,17.98
2020-07-06,18.28,18.11
2020-07-07,17.68,17.03
2020-07-08,17.01,17.34
2020-07-09,17.24,16.19
2020-07-10,16.09,16.92
2020-07-13,17.05,16.44
2020-07-14,16.44,16.31
2020-07-15,16.98,17.67
2020-07-16,17.46,17.67
2020-07-17,17.56,16.78
2020-07-20,16.66,16.21
2020-07-21,16.34,16.67
2020-07-22,16.49,16.82
2020-07-23,16.64,16.43
2020-07-24,16.31,16.05
2020-07-27,16.09,15.27
2020-07-28,15.25,15.19
2020-07-29,15.2,15.69
2020-07-30,15.51,15.44
2020-07-31,15.41,15.35
2020-08-03,15.31,15.9
2020-08-04,15.99,16.46
2020-08-05,16.57,16.54
2020-08-06,16.44,16.45
2020-08-07,22.06,25.77
2020-08-10,25.08,24.91
2020-08-11,25.3,25.4
2020-08-12,25.61,23.71
2020-08-13,23.92,24.01
2020-08-14,23.79,24.0
2020-08-17,23.89,23.87
2020-08-18,23.91,28.88
2020-08-19,28.6,29.98
2020-08-20,29.49,28.89
2020-08-21,28.44,28.04
2020-08-24,28.4,32.58
2020-08-25,32.17,32.17
2020-08-26,32.25,31.88
2020-08-27,32.05,31.63
2020-08-28,31.82,32.84
2020-08-31,32.75,31.83
2020-09-01,31.54,32.0
2020-09-02,32.21,34.43
2020-09-03,33.99,31.2
2020-09-04,31.91,33.05
2020-09-08,31.83,31.62
2020-09-09,32.37,34.41
2020-09-10,33.96,33.18
2020-09-11,33.43,32.39
2020-09-14,32.47,28.48
2020-09-15,29.06,27.53
2020-09-16,27.47,27.02
2020-09-17,26.34,25.39
2020-09-18,25.62,26.05
2020-09-21,25.1,25.36
2020-09-22,25.86,25.95
2020-09-23,26.0,23.09
2020-09-24,22.73,21.79
2020-09-25,21.75,22.93
2020-09-28,23.49,23.82
2020-09-29,23.74,21.57
2020-09-30,21.93,20.4
2020-10-01,20.59,21.23
2020-10-02,20.23,21.42
2020-10-05,21.7,22.06
2020-10-06,22.19,20.3
2020-10-07,20.58,20.94
2020-10-08,21.23,21.21
2020-10-09,21.47,21.14
2020-10-12,21.26,21.3
2020-10-13,21.05,21.11
2020-10-14,20.98,20.97
2020-10-15,20.36,20.14
2020-10-16,20.1,20.24
2020-10-19,20.52,19.43
2020-10-20,19.49,19.36
2020-10-21,19.3,19.25
2020-10-22,19.36,19.94
