date,open,close
2020-05-11,7.03,6.96
2020-05-12,6.99,6.59
2020-05-13,6.53,6.14
2020-05-14,6.0,6.43
2020-05-15,6.35,6.38
2020-05-18,6.71,7.08
2020-05-19,7.02,7.01
2020-05-20,7.18,7.13
2020-05-21,7.1,7.08
2020-05-22,7.09,7.13
2020-05-26,7.49,8.03
2020-05-27,8.35,8.43
2020-05-28,8.51,7.83
2020-05-29,7.67,7.61
2020-06-01,7.67,7.94
2020-06-02,8.08,8.45
2020-06-03,8.73,8.72
2020-06-04,8.77,8.94
2020-06-05,9.4,9.89
2020-06-08,10.18,10.45
2020-06-09,10.01,9.81
2020-06-10,9.77,9.51
2020-06-11,8.55,8.56
2020-06-12,9.2,9.42
2020-06-15,8.86,8.97
2020-06-16,9.44,9.05
2020-06-17,9.01,8.69
2020-06-18,8.55,8.6
2020-06-19,8.75,8.54
2020-06-22,8.58,8.55
2020-06-23,8.74,8.82
2020-06-24,8.63,8.52
2020-06-25,8.43,8.78
2020-06-26,8.76,8.07
2020-06-29,8.23,9.02
2020-06-30,8.93,8.95
2020-07-01,8.86,8.59
2020-07-02,8.93,8.84
2020-07-06,9.17,9.01
2020-07-07,8.89,8.81
2020-07-08,8.78,8.83
2020-07-09,8.87,8.55
2020-07-10,8.55,9.26
2020-07-13,9.32,9.04
2020-07-14,9.08,9.31
2020-07-15,9.54,10.04
2020-07-16,9.75,9.77
2020-07-17,9.78,9.64
2020-07-20,9.59,9.64
2020-07-21,9.88,9.7
2020-07-22,9.51,9.58
2020-07-23,9.52,9.66
2020-07-24,9.6,9.69
2020-07-27,9.67,10.13
2020-07-28,10.02,10.02
2020-07-29,10.1,10.22
2020-07-30,9.95,9.71
2020-07-31,9.84,9.01
2020-08-03,8.96,8.8
2020-08-04,8.73,8.93
2020-08-05,9.06,9.28
2020-08-06,9.25,9.26
2020-08-07,9.16,9.46
2020-08-10,9.62,9.86
2020-08-11,10.09,10.09
2020-08-12,10.29,9.84
2020-08-13,9.8,9.92
2020-08-14,9.9,9.89
2020-08-17,9.95,10.0
2020-08-18,10.0,9.73
2020-08-19,9.69,9.5
2020-08-20,9.47,9.46
2020-08-21,9.46,9.45
2020-08-24,9.56,9.85
2020-08-25,9.91,9.65
2020-08-26,9.73,9.8
2020-08-27,9.87,9.7
2020-08-28,9.8,9.86
2020-08-31,9.86,9.6
2020-09-01,9.52,9.67
2020-09-02,9.77,9.82
2020-09-03,9.75,9.57
2020-09-04,9.71,9.59
2020-09-08,9.42,9.54
2020-09-09,9.6,9.5
2020-09-10,9.57,9.42
2020-09-11,9.43,9.45
2020-09-14,9.54,9.77
2020-09-15,9.78,9.62
2020-09-16,9.61,9.27
2020-09-17,9.17,8.96
2020-09-18,9.02,8.59
2020-09-21,8.42,8.02
2020-09-22,8.06,7.73
2020-09-23,7.76,7.64
2020-09-24,7.55,7.46
2020-09-25,7.46,7.42
2020-09-28,7.55,7.73
2020-09-29,7.68,7.63
2020-09-30,7.68,7.67
2020-10-01,8.09,8.32
2020-10-02,8.0,8.36
2020-10-05,8.44,8.86
2020-10-06,8.92,8.85
2020-10-07,8.94,9.53
2020-10-08,9.58,9.62
2020-10-09,9.66,9.62
2020-10-12,9.64,9.7
2020-10-13,9.54,9.62
2020-10-14,9.71,9.58
2020-10-15,9.36,9.78
2020-10-16,9.8,9.77
2020-10-19,9.87,9.72
2020-10-20,9.85,9.84
2020-10-21,9.87,9.95
2020-10-22,9.98,10.46
2020-10-23,10.55,11.0
2020-10-26,10.82,10.35
2020-10-27,10.31,9.99
2020-10-28,9.63,9.53
2020-10-29,9.49,9.93
2020-10-30,9.6,8.28
2020-11-02,8.51,8.63
2020-11-03,8.81,9.1
2020-11-04,9.1,8.84
2020-11-05,8.97,9.28
2020-11-06,9.22,8.76
2020-11-09,9.37,9.61
2020-11-10,9.75,10.45
2020-11-11,10.45,9.81
2020-11-12,9.64,9.67
2020-11-13,9.81,9.99
2020-11-16,10.39,10.46
2020-11-17,10.22,10.6
2020-11-18,10.69,10.65
2020-11-19,10.7,10.76
2020-11-20,10.62,10.36
2020-11-23,10.57,10.69
2020-11-24,11.0,11.38
2020-11-25,11.17,11.02
2020-11-27,11.1,10.95
2020-11-30,10.87,10.42
2020-12-01,10.66,10.72
2020-12-02,10.59,10.4
2020-12-03,10.49,10.51
2020-12-04,10.68,11.09
2020-12-07,10.97,10.72
2020-12-08,10.64,10.82
2020-12-09,10.86,10.75
2020-12-10,10.61,10.63
2020-12-11,10.5,10.4
2020-12-14,10.65,10.5
2020-12-15,10.6,10.9
2020-12-16,10.95,10.7
2020-12-17,10.75,10.78
2020-12-18,10.77,10.44
2020-12-21,10.19,10.29
2020-12-22,10.39,10.01
2020-12-23,10.11,10.48
2020-12-24,10.46,10.36
2020-12-28,10.45,10.31
2020-12-29,10.09,10.31
2020-12-30,10.29,10.63
2020-12-31,10.66,10.91
2021-01-04,10.85,10.17
2021-01-05,10.11,10.64
2021-01-06,10.74,10.78
2021-01-07,10.86,10.74
2021-01-08,11.32,11.46
2021-01-11,11.15,11.42
2021-01-12,11.5,11.97
2021-01-13,11.86,11.66
2021-01-14,11.81,11.85
2021-01-15,11.68,11.49
2021-01-19,11.6,11.33
2021-01-20,11.37,11.43
2021-01-21,11.43,11.58
2021-01-22,11.5,11.45
2021-01-25,11.4,11.17
2021-01-26,11.3,11.03
2021-01-27,10.82,10.51
2021-01-28,10.54,10.69
2021-01-29,10.64,10.55
2021-02-01,10.63,10.9
2021-02-02,11.15,11.27
2021-02-03,11.36,11.59
2021-02-04,11.73,11.76
2021-02-05,11.88,12.56
2021-02-08,12.67,12.73
2021-02-09,12.74,13.49
2021-02-10,13.52,13.99
2021-02-11,14.08,14.31
2021-02-12,14.24,14.07
2021-02-16,14.32,14.2
2021-02-17,14.16,14.12
2021-02-18,13.98,13.68
2021-02-19,13.8,13.89
2021-02-22,13.41,16.82
2021-02-23,16.3,17.01
2021-02-24,17.2,16.9
2021-02-25,16.94,16.51
2021-02-26,16.5,16.81
2021-03-01,17.26,17.35
2021-03-02,17.37,18.1
2021-03-03,18.24,18.79
2021-03-04,18.98,18.21
2021-03-05,18.54,18.26
2021-03-08,18.48,18.55
2021-03-09,18.76,18.05
2021-03-10,18.21,18.08
2021-03-11,18.0,17.97
2021-03-12,18.05,18.17
2021-03-15,18.35,17.72
2021-03-16,17.53,17.28
2021-03-17,17.3,17.9
2021-03-18,17.8,17.47
2021-03-19,17.36,17.22
2021-03-22,17.12,17.09
2021-03-23,16.83,16.56
2021-03-24,16.7,16.31
2021-03-25,15.95,16.87
2021-03-26,17.1,17.12
2021-03-29,17.46,16.98
2021-03-30,17.21,17.6
2021-03-31,17.52,17.57
2021-04-01,17.59,17.36
2021-04-05,17.59,17.69
2021-04-06,17.7,17.93
2021-04-07,17.98,17.72
2021-04-08,17.72,17.89
2021-04-09,17.69,17.92
2021-04-12,17.91,17.85
2021-04-13,17.82,17.59
2021-04-14,17.58,17.74
2021-04-15,17.78,17.9
2021-04-16,17.61,17.73
2021-04-19,17.57,17.92
2021-04-20,17.76,17.28
2021-04-21,17.19,17.85
2021-04-22,17.96,17.65
2021-04-23,17.89,18.28
2021-04-26,18.47,17.92
2021-04-27,17.94,17.95
2021-04-28,18.1,18.08
2021-04-29,18.1,17.74
2021-04-30,18.09,17.21
2021-05-03,17.4,17.74
2021-05-04,17.71,18.28
