date,open,close
2021-03-12,17.0,17.0
2021-03-15,17.16,17.07
2021-03-16,17.2,16.9
2021-03-17,16.99,16.74
2021-03-18,16.8,17.09
2021-03-19,17.05,17.0
2021-03-22,17.02,16.88
2021-03-23,16.8,17.0
2021-03-24,17.11,16.73
2021-03-25,16.64,16.0
2021-03-26,15.88,16.02
2021-03-29,15.7,16.0
2021-03-30,16.05,16.49
2021-03-31,16.5,16.88
2021-04-01,16.75,16.95
2021-04-05,17.01,17.04
2021-04-06,17.0,16.99
2021-04-07,17.05,16.74
2021-04-08,16.61,17.01
2021-04-09,17.0,16.89
2021-04-12,16.75,16.36
2021-04-13,16.36,16.18
2021-04-14,16.16,16.19
2021-04-15,16.17,16.34
2021-04-16,16.22,16.37
2021-04-19,16.26,16.4
2021-04-20,16.32,16.23
2021-04-21,16.2,16.64
2021-04-22,16.99,17.08
2021-04-23,17.46,17.48
2021-04-26,17.67,18.1
2021-04-27,18.05,19.16
2021-04-28,19.3,19.2
2021-04-29,19.33,20.05
2021-04-30,20.05,19.98
2021-05-03,20.33,19.98
2021-05-04,19.98,19.39
2021-05-05,23.0,24.11
2021-05-06,24.63,23.73
2021-05-07,23.76,23.43
2021-05-10,23.38,23.62
2021-05-11,22.78,23.75
2021-05-12,23.67,22.82
2021-05-13,22.82,22.87
2021-05-14,22.87,24.54
2021-05-17,24.21,24.14
2021-05-18,24.19,23.74
2021-05-19,23.64,23.75
2021-05-20,23.82,24.37
2021-05-21,24.62,24.14
2021-05-24,24.5,24.6
2021-05-25,24.94,24.64
2021-05-26,24.66,25.1
2021-05-27,25.25,25.3
2021-05-28,25.4,25.47
2021-06-01,25.88,26.0
2021-06-02,26.07,25.1
2021-06-03,25.0,24.6
2021-06-04,24.6,24.43
2021-06-07,24.7,23.87
2021-06-08,23.81,24.41
2021-06-09,24.5,24.1
2021-06-10,24.04,23.67
2021-06-11,23.85,23.15
2021-06-14,23.16,23.84
2021-06-15,23.82,23.42
2021-06-16,23.39,24.21
2021-06-17,24.27,24.25
2021-06-18,24.25,23.68
2021-06-21,23.8,24.69
2021-06-22,24.82,24.49
2021-06-23,24.48,24.66
2021-06-24,24.67,25.02
2021-06-25,25.07,24.73
2021-06-28,24.77,24.5
2021-06-29,24.92,25.56
2021-06-30,25.32,26.02
2021-07-01,26.1,26.41
2021-07-02,26.48,25.6
2021-07-06,25.72,24.92
2021-07-07,24.7,24.49
2021-07-08,24.1,24.13
2021-07-09,24.31,24.3
2021-07-12,24.17,24.2
2021-07-13,24.01,23.51
2021-07-14,23.39,22.86
2021-07-15,22.76,22.69
2021-07-16,23.01,22.6
2021-07-19,22.16,23.01
2021-07-20,23.1,23.62
2021-07-21,24.02,23.97
2021-07-22,23.91,23.88
2021-07-23,23.96,24.19
2021-07-26,24.27,23.92
2021-07-27,23.98,24.34
2021-07-28,24.25,23.76
2021-07-29,23.83,24.26
2021-07-30,24.3,24.09
2021-08-02,24.3,22.65
2021-08-03,22.74,23.97
2021-08-04,23.6,23.29
2021-08-05,23.25,22.7
2021-08-06,23.0,22.79
2021-08-09,22.66,22.04
2021-08-10,21.99,21.98
2021-08-11,21.9,21.57
2021-08-12,21.56,21.95
2021-08-13,21.97,22.54
2021-08-16,22.35,22.11
2021-08-17,21.87,21.06
2021-08-18,20.91,21.05
2021-08-19,20.9,20.41
2021-08-20,20.37,20.39
2021-08-23,20.5,20.7
2021-08-24,20.68,21.58
2021-08-25,21.53,21.47
2021-08-26,21.4,21.18
2021-08-27,21.14,21.39
2021-08-30,21.41,21.51
2021-08-31,21.46,20.95
2021-09-01,21.0,21.18
2021-09-02,21.17,21.23
2021-09-03,21.11,21.54
2021-09-07,21.59,21.85
2021-09-08,21.95,21.1
2021-09-09,21.04,21.59
2021-09-10,21.71,20.89
2021-09-13,20.96,20.34
2021-09-14,20.48,19.72
2021-09-15,19.72,20.0
2021-09-16,20.45,21.56
2021-09-17,21.51,21.39
2021-09-20,20.82,21.85
2021-09-21,21.83,22.39
2021-09-22,22.45,22.6
2021-09-23,22.83,22.81
2021-09-24,22.71,22.64
2021-09-27,22.62,22.95
2021-09-28,22.89,22.3
2021-09-29,22.44,23.16
2021-09-30,23.33,22.24
2021-10-01,22.23,21.65
2021-10-04,21.76,21.46
2021-10-05,21.44,22.18
2021-10-06,22.15,21.7
2021-10-07,21.82,22.2
2021-10-08,22.26,22.14
2021-10-11,22.0,22.14
2021-10-12,22.29,21.65
2021-10-13,21.54,21.66
2021-10-14,21.95,22.54
2021-10-15,22.74,22.88
2021-10-18,22.89,22.97
2021-10-19,22.9,22.51
2021-10-20,22.37,22.78
2021-10-21,22.77,23.0
2021-10-22,23.0,23.96
2021-10-25,23.94,24.83
2021-10-26,24.98,24.5
2021-10-27,24.08,22.73
2021-10-28,22.89,23.23
2021-10-29,23.18,23.19
2021-11-01,23.27,23.24
2021-11-02,23.31,24.2
2021-11-03,24.1,23.41
2021-11-04,23.59,24.33
2021-11-05,24.35,24.4
2021-11-08,24.47,24.88
2021-11-09,24.89,24.99
2021-11-10,24.91,25.26
2021-11-11,25.2,24.77
2021-11-12,24.95,25.49
2021-11-15,25.58,25.84
2021-11-16,25.94,27.55
2021-11-17,27.27,27.51
2021-11-18,27.6,27.22
2021-11-19,27.3,27.24
2021-11-22,27.25,25.99
2021-11-23,25.85,24.99
2021-11-24,24.76,25.7
2021-11-26,25.19,25.1
2021-11-29,25.2,24.76
2021-11-30,24.56,24.48
2021-12-01,24.34,23.97
2021-12-02,24.13,24.52
2021-12-03,24.51,24.48
2021-12-06,24.82,24.24
2021-12-07,24.59,25.33
2021-12-08,25.42,25.63
2021-12-09,25.58,24.98
2021-12-10,25.07,25.37
2021-12-13,25.07,25.14
2021-12-14,24.84,24.63
2021-12-15,24.49,25.13
2021-12-16,25.19,24.68
2021-12-17,24.38,24.27
2021-12-20,22.98,22.53
2021-12-21,23.21,24.26
2021-12-22,24.16,24.22
2021-12-23,24.3,24.56
2021-12-27,24.4,25.09
2021-12-28,25.06,24.91
2021-12-29,24.93,24.95
2021-12-30,25.15,25.35
2021-12-31,25.47,26.23
2022-01-03,26.22,25.12
2022-01-04,25.2,24.55
2022-01-05,24.38,23.11
2022-01-06,22.92,22.99
2022-01-07,22.73,22.16
2022-01-10,21.79,22.56
2022-01-11,22.54,22.99
2022-01-12,23.13,23.38
2022-01-13,23.64,23.0
2022-01-14,22.68,22.15
2022-01-18,21.66,21.82
2022-01-19,22.0,21.66
2022-01-20,21.82,20.96
2022-01-21,21.0,21.13
2022-01-24,19.14,19.81
2022-01-25,19.41,19.19
2022-01-26,19.5,18.12
2022-01-27,17.61,17.83
2022-01-28,17.71,18.63
2022-01-31,18.7,19.69
2022-02-01,19.8,19.95
2022-02-02,20.13,19.67
2022-02-03,19.07,18.99
2022-02-04,18.86,19.31
2022-02-07,19.3,18.84
2022-02-08,18.68,19.0
2022-02-09,19.24,19.2
2022-02-10,18.87,18.79
2022-02-11,18.8,17.77
2022-02-14,17.68,17.99
2022-02-15,18.28,18.94
2022-02-16,18.71,18.65
2022-02-17,19.04,17.75
2022-02-18,17.48,17.61
2022-02-22,17.4,17.37
2022-02-23,17.51,16.72
2022-02-24,16.14,17.4
2022-02-25,17.36,17.78
2022-02-28,17.54,17.89
2022-03-01,17.88,17.6
2022-03-02,18.13,17.72
2022-03-03,17.62,17.1
2022-03-04,16.91,16.65
2022-03-07,16.6,16.25
2022-03-08,16.23,16.76
2022-03-09,17.18,17.62
2022-03-10,17.26,17.35
2022-03-11,17.57,16.8
2022-03-14,16.86,16.01
2022-03-15,16.05,16.35
2022-03-16,16.58,17.13
2022-03-17,16.99,17.59
2022-03-18,17.59,17.56
2022-03-21,17.68,17.59
2022-03-22,17.73,17.9
2022-03-23,17.79,17.32
2022-03-24,17.37,16.67
2022-03-25,16.78,16.31
2022-03-28,16.28,16.69
2022-03-29,17.05,17.39
2022-03-30,17.19,17.41
2022-03-31,17.28,16.62
2022-04-01,16.69,16.84
2022-04-04,16.92,17.28
2022-04-05,17.37,17.01
2022-04-06,16.7,16.41
2022-04-07,16.38,16.49
2022-04-08,16.49,16.67
2022-04-11,16.43,16.65
2022-04-12,16.98,16.79
2022-04-13,16.7,17.31
2022-04-14,17.2,16.84
2022-04-18,16.65,16.28
2022-04-19,16.33,16.71
2022-04-20,16.83,16.69
2022-04-21,16.95,16.31
