date,open,close
2020-05-11,8.51,8.22
2020-05-12,8.3,7.86
2020-05-13,7.81,7.39
2020-05-14,7.19,7.71
2020-05-15,7.59,7.5
2020-05-18,7.94,8.26
2020-05-19,8.17,7.88
2020-05-20,8.04,8.21
2020-05-21,8.13,8.17
2020-05-22,8.23,8.1
2020-05-26,8.48,8.99
2020-05-27,9.48,9.52
2020-05-28,9.67,9.11
2020-05-29,8.91,8.89
2020-06-01,8.92,9.1
2020-06-02,9.27,9.2
2020-06-03,9.49,9.9
2020-06-04,9.83,10.47
2020-06-05,11.38,10.99
2020-06-08,11.36,11.35
2020-06-09,10.94,11.0
2020-06-10,10.87,10.4
2020-06-11,9.81,9.48
2020-06-12,10.01,9.88
2020-06-15,9.47,10.12
2020-06-16,10.42,10.28
2020-06-17,10.34,10.12
2020-06-18,9.98,10.17
2020-06-19,10.32,10.29
2020-06-22,10.16,10.12
2020-06-23,10.3,10.2
2020-06-24,10.03,9.54
2020-06-25,9.5,9.89
2020-06-26,9.61,8.8
2020-06-29,9.04,8.87
2020-06-30,8.78,9.04
2020-07-01,9.02,8.63
2020-07-02,8.93,8.6
2020-07-06,8.83,8.77
2020-07-07,8.63,8.39
2020-07-08,8.36,8.44
2020-07-09,8.35,8.06
2020-07-10,8.08,8.51
2020-07-13,8.71,8.67
2020-07-14,8.67,8.63
2020-07-15,8.87,9.11
2020-07-16,8.97,9.07
2020-07-17,9.02,8.92
2020-07-20,8.79,8.73
2020-07-21,8.83,9.22
2020-07-22,9.14,9.23
2020-07-23,9.46,9.7
2020-07-24,9.78,9.6
2020-07-27,9.6,9.27
2020-07-28,9.22,9.13
2020-07-29,9.09,9.45
2020-07-30,9.22,9.31
2020-07-31,9.21,9.27
2020-08-03,9.3,9.27
2020-08-04,9.3,9.17
2020-08-05,9.25,9.39
2020-08-06,9.3,9.3
2020-08-07,9.23,9.66
2020-08-10,9.7,9.87
2020-08-11,10.09,10.09
2020-08-12,10.29,9.97
2020-08-13,9.81,9.77
2020-08-14,9.73,9.9
2020-08-17,9.87,9.78
2020-08-18,9.78,9.53
2020-08-19,9.54,9.52
2020-08-20,9.45,9.2
2020-08-21,9.22,9.11
2020-08-24,9.2,9.55
2020-08-25,9.69,9.58
2020-08-26,9.58,9.41
2020-08-27,9.39,9.64
2020-08-28,9.71,9.57
2020-08-31,9.55,9.41
2020-09-01,9.32,9.44
2020-09-02,9.42,9.69
2020-09-03,9.76,9.65
2020-09-04,9.87,9.94
2020-09-08,9.74,9.71
2020-09-09,9.86,9.79
2020-09-10,9.89,9.58
2020-09-11,9.59,9.68
2020-09-14,9.77,10.12
2020-09-15,10.07,10.0
2020-09-16,9.86,9.89
2020-09-17,9.7,9.79
2020-09-18,9.74,9.69
2020-09-21,9.45,9.16
2020-09-22,9.18,8.89
2020-09-23,8.94,8.69
2020-09-24,8.72,8.67
2020-09-25,8.55,8.82
2020-09-28,9.06,9.12
2020-09-29,9.08,9.05
2020-09-30,9.08,9.17
2020-10-01,9.29,9.15
2020-10-02,8.99,9.33
2020-10-05,9.43,9.67
2020-10-06,9.77,9.54
2020-10-07,9.68,9.88
2020-10-08,9.95,10.03
2020-10-09,10.06,9.85
2020-10-12,9.84,9.95
2020-10-13,9.92,9.56
2020-10-14,9.58,9.46
2020-10-15,9.38,9.66
2020-10-16,9.62,9.67
2020-10-19,9.7,9.52
2020-10-20,9.69,9.88
2020-10-21,9.84,9.69
2020-10-22,9.89,10.38
2020-10-23,10.5,10.47
2020-10-26,10.39,10.28
2020-10-27,10.21,9.94
2020-10-28,9.75,9.83
2020-10-29,9.82,10.13
2020-10-30,10.07,10.44
2020-11-02,10.6,10.81
2020-11-03,11.01,11.09
2020-11-04,10.66,10.08
2020-11-05,10.13,10.57
2020-11-06,10.68,10.15
2020-11-09,11.02,11.95
2020-11-10,11.97,12.13
2020-11-11,12.13,11.64
2020-11-12,11.47,11.29
2020-11-13,11.45,11.59
2020-11-16,12.11,12.03
2020-11-17,11.79,12.02
2020-11-18,12.16,11.87
2020-11-19,11.77,11.95
2020-11-20,11.87,11.75
2020-11-23,11.97,12.18
2020-11-24,12.47,12.93
2020-11-25,12.71,12.69
2020-11-27,12.76,12.46
2020-11-30,12.4,12.08
2020-12-01,12.49,12.5
2020-12-02,12.39,12.83
2020-12-03,12.89,12.98
2020-12-04,13.08,13.11
2020-12-07,13.02,13.01
2020-12-08,12.83,12.9
2020-12-09,13.02,12.91
2020-12-10,12.75,13.03
2020-12-11,12.84,12.93
2020-12-14,12.9,12.51
2020-12-15,12.71,12.59
2020-12-16,12.65,12.52
2020-12-17,12.32,12.34
2020-12-18,12.34,12.39
2020-12-21,12.38,12.26
2020-12-22,12.32,12.13
2020-12-23,12.2,12.45
2020-12-24,12.47,12.35
2020-12-28,12.43,12.46
2020-12-29,12.44,12.32
2020-12-30,12.35,12.56
2020-12-31,12.53,12.63
2021-01-04,12.75,12.56
2021-01-05,12.71,12.84
2021-01-06,13.24,14.1
2021-01-07,14.32,14.44
2021-01-08,14.4,14.43
2021-01-11,14.29,14.73
2021-01-12,14.81,14.9
2021-01-13,14.84,14.87
2021-01-14,14.99,15.0
2021-01-15,14.71,14.76
2021-01-19,14.82,14.88
2021-01-20,14.85,14.68
2021-01-21,14.76,14.51
2021-01-22,14.06,13.84
2021-01-25,13.61,13.48
2021-01-26,13.54,13.52
2021-01-27,13.24,13.28
2021-01-28,13.52,13.57
2021-01-29,13.54,13.22
2021-02-01,13.28,13.22
2021-02-02,13.45,13.53
2021-02-03,13.48,13.62
2021-02-04,13.74,14.12
2021-02-05,14.26,14.07
2021-02-08,14.15,14.22
2021-02-09,14.21,14.28
2021-02-10,14.31,14.32
2021-02-11,14.33,14.31
2021-02-12,14.32,14.45
2021-02-16,14.68,15.05
2021-02-17,15.06,14.97
2021-02-18,14.79,14.8
2021-02-19,14.9,15.3
2021-02-22,15.28,15.57
2021-02-23,15.66,15.72
2021-02-24,15.76,16.22
2021-02-25,16.38,15.7
2021-02-26,15.54,15.34
2021-03-01,15.71,15.83
2021-03-02,15.78,15.74
2021-03-03,15.9,15.93
2021-03-04,16.15,15.78
2021-03-05,16.13,16.23
2021-03-08,16.39,16.61
2021-03-09,16.33,16.06
2021-03-10,16.06,16.35
2021-03-11,16.11,16.32
2021-03-12,16.59,16.7
2021-03-15,16.66,16.5
2021-03-16,16.34,16.09
2021-03-17,16.09,16.1
2021-03-18,16.33,16.35
2021-03-19,16.06,15.98
2021-03-22,15.97,15.74
2021-03-23,15.59,15.3
2021-03-24,15.64,15.32
2021-03-25,15.26,15.83
2021-03-26,16.02,16.08
2021-03-29,15.8,15.61
2021-03-30,15.82,16.01
2021-03-31,15.88,15.72
2021-04-01,15.76,15.98
2021-04-05,16.27,16.11
2021-04-06,16.02,16.1
2021-04-07,16.14,16.14
2021-04-08,16.02,16.05
2021-04-09,16.24,16.27
2021-04-12,16.31,16.48
2021-04-13,16.23,16.14
2021-04-14,16.16,16.36
2021-04-15,16.31,16.1
2021-04-16,16.29,16.18
2021-04-19,16.22,15.87
2021-04-20,15.67,15.17
2021-04-21,15.11,15.5
2021-04-22,15.41,14.46
2021-04-23,14.4,14.9
2021-04-26,15.0,15.2
2021-04-27,15.22,15.2
2021-04-28,15.23,15.3
2021-04-29,15.5,15.5
