date,open,close
2020-05-11,2.5,2.36
2020-05-12,2.37,2.25
2020-05-13,2.25,2.18
2020-05-14,2.12,2.05
2020-05-15,2.03,2.23
2020-05-18,2.33,2.43
2020-05-19,2.42,2.42
2020-05-20,2.49,2.5
2020-05-21,2.51,2.5
2020-05-22,2.47,2.5
2020-05-26,2.5,2.54
2020-05-27,2.55,2.61
2020-05-28,2.63,2.56
2020-05-29,2.69,2.7
2020-06-01,2.7,2.81
2020-06-02,2.84,2.96
2020-06-03,3.0,3.0
2020-06-04,2.96,3.01
2020-06-05,3.13,3.1
2020-06-08,3.19,3.08
2020-06-09,3.02,3.05
2020-06-10,3.07,3.1
2020-06-11,2.95,2.74
2020-06-12,2.88,2.83
2020-06-15,2.74,2.87
2020-06-16,2.99,2.89
2020-06-17,2.91,2.82
2020-06-18,2.8,2.79
2020-06-19,2.85,2.78
2020-06-22,2.78,2.87
2020-06-23,2.91,2.98
2020-06-24,2.95,2.87
2020-06-25,2.84,2.9
2020-06-26,2.88,2.8
2020-06-29,2.83,2.8
2020-06-30,2.78,3.03
2020-07-01,3.04,2.92
2020-07-02,2.97,2.97
2020-07-06,3.0,3.01
2020-07-07,2.99,2.99
2020-07-08,3.01,3.2
2020-07-09,3.26,3.31
2020-07-10,3.32,3.39
2020-07-13,3.5,3.34
2020-07-14,3.33,3.32
2020-07-15,3.4,3.34
2020-07-16,3.3,3.28
2020-07-17,3.31,3.31
2020-07-20,3.39,3.45
2020-07-21,3.53,3.53
2020-07-22,3.5,3.53
2020-07-23,3.51,3.44
2020-07-24,3.36,3.39
2020-07-27,3.43,3.36
2020-07-28,3.3,3.4
2020-07-29,3.43,3.4
2020-07-30,3.33,3.19
2020-07-31,3.2,3.16
2020-08-03,3.18,3.24
2020-08-04,3.24,3.33
2020-08-05,3.43,3.66
2020-08-06,3.57,3.59
2020-08-07,3.53,3.42
2020-08-10,3.44,3.49
2020-08-11,3.47,3.43
2020-08-12,3.67,3.82
2020-08-13,3.81,4.03
2020-08-14,4.02,3.98
2020-08-17,4.02,4.19
2020-08-18,4.22,4.07
2020-08-19,4.1,4.24
2020-08-20,4.2,4.3
2020-08-21,4.26,4.11
2020-08-24,4.19,4.05
2020-08-25,4.01,4.04
2020-08-26,4.11,4.27
2020-08-27,4.3,4.18
2020-08-28,4.18,4.4
2020-08-31,4.48,4.48
2020-09-01,4.52,4.67
2020-09-02,4.7,4.54
2020-09-03,4.49,4.33
2020-09-04,4.35,4.51
2020-09-08,4.35,4.3
2020-09-09,4.38,4.47
2020-09-10,4.52,4.39
2020-09-11,4.45,4.53
2020-09-14,4.57,4.58
2020-09-15,4.62,4.55
2020-09-16,4.61,4.61
2020-09-17,4.5,4.73
2020-09-18,4.74,4.72
2020-09-21,4.6,4.26
2020-09-22,4.26,4.28
2020-09-23,4.25,3.92
2020-09-24,3.85,3.92
2020-09-25,3.89,3.96
2020-09-28,4.0,4.1
2020-09-29,4.08,4.13
2020-09-30,4.15,4.23
2020-10-01,4.23,4.2
2020-10-02,4.11,4.18
2020-10-05,4.2,4.46
2020-10-06,4.45,4.2
2020-10-07,4.25,4.25
2020-10-08,4.25,4.4
2020-10-09,4.57,4.61
2020-10-12,4.43,4.32
2020-10-13,4.28,4.48
2020-10-14,4.52,4.6
2020-10-15,4.46,4.57
2020-10-16,4.56,4.59
2020-10-19,4.66,4.51
2020-10-20,4.58,4.83
2020-10-21,4.84,5.13
2020-10-22,5.05,5.07
2020-10-23,5.09,5.11
2020-10-26,4.97,4.94
2020-10-27,4.97,4.83
2020-10-28,4.71,4.38
2020-10-29,4.4,4.51
2020-10-30,4.48,4.53
2020-11-02,4.58,4.59
2020-11-03,4.7,4.98
2020-11-04,5.05,4.89
2020-11-05,5.05,5.14
2020-11-06,5.24,5.36
2020-11-09,5.5,5.31
2020-11-10,5.31,5.19
2020-11-11,5.15,5.17
2020-11-12,5.15,5.14
2020-11-13,5.19,5.32
2020-11-16,5.47,5.68
2020-11-17,5.65,5.74
2020-11-18,5.76,5.71
2020-11-19,5.68,5.78
2020-11-20,5.8,5.94
2020-11-23,6.0,6.06
2020-11-24,6.21,6.37
2020-11-25,6.43,6.38
2020-11-27,6.51,6.49
2020-11-30,6.6,6.33
2020-12-01,6.51,6.66
2020-12-02,6.67,6.74
2020-12-03,6.79,6.84
2020-12-04,7.08,7.31
2020-12-07,7.48,7.14
2020-12-08,7.12,6.84
2020-12-09,6.91,6.57
2020-12-10,6.66,6.79
2020-12-11,6.62,6.53
2020-12-14,6.63,6.35
2020-12-15,6.43,6.59
2020-12-16,6.73,6.66
2020-12-17,6.76,7.05
2020-12-18,6.99,6.82
2020-12-21,6.6,6.82
2020-12-22,6.82,6.61
2020-12-23,6.62,6.82
2020-12-24,6.83,6.76
2020-12-28,6.9,6.59
2020-12-29,6.67,6.75
2020-12-30,6.8,7.09
2020-12-31,7.1,7.0
2021-01-04,7.21,7.38
2021-01-05,7.35,7.53
2021-01-06,7.42,7.48
2021-01-07,7.66,7.57
