date,open,close
2022-07-18,7.8,7.5
2022-07-19,7.53,7.25
2022-07-20,7.4,7.26
2022-07-21,7.28,7.45
2022-07-22,7.55,7.41
2022-07-25,7.41,7.3
2022-07-26,7.31,7.35
2022-07-27,7.51,7.32
2022-07-28,7.2,7.0
2022-07-29,6.92,7.03
2022-08-01,7.15,7.37
2022-08-02,7.45,7.4
2022-08-03,7.41,7.3
2022-08-04,7.4,7.31
2022-08-05,7.33,7.47
2022-08-08,7.38,7.49
2022-08-09,7.38,7.11
2022-08-10,6.93,6.51
2022-08-11,6.43,6.29
2022-08-12,6.58,6.67
2022-08-15,6.24,6.35
2022-08-16,6.39,6.35
2022-08-17,6.2,6.12
2022-08-18,6.12,6.11
2022-08-19,5.99,5.98
2022-08-22,6.17,6.22
2022-08-23,6.27,6.38
2022-08-24,6.23,6.31
2022-08-25,6.16,6.32
2022-08-26,6.3,6.23
2022-08-29,6.2,6.07
2022-08-30,6.04,6.08
2022-08-31,5.93,5.98
2022-09-01,5.76,5.8
2022-09-02,5.73,5.63
2022-09-06,5.72,5.8
2022-09-07,5.78,5.85
2022-09-08,5.82,6.03
2022-09-09,6.07,6.0
2022-09-12,6.06,6.18
2022-09-13,6.1,6.01
2022-09-14,6.14,6.13
2022-09-15,6.07,6.0
2022-09-16,5.89,5.88
2022-09-19,5.83,5.91
2022-09-20,6.01,5.99
2022-09-21,6.05,5.9
2022-09-22,5.93,6.07
2022-09-23,6.04,5.93
2022-09-26,6.01,6.07
2022-09-27,6.04,5.85
2022-09-28,5.86,5.98
2022-09-29,6.08,6.11
2022-09-30,6.06,6.09
2022-10-03,6.06,6.14
2022-10-04,6.15,6.24
2022-10-05,6.23,6.33
2022-10-06,6.28,6.28
2022-10-07,6.26,6.09
2022-10-10,6.04,5.96
2022-10-11,6.07,6.04
2022-10-12,5.96,5.97
2022-10-13,5.99,6.09
2022-10-14,6.13,6.04
2022-10-17,6.03,6.06
2022-10-18,6.05,6.09
2022-10-19,6.01,5.98
2022-10-20,6.01,6.02
2022-10-21,6.04,6.1
2022-10-24,6.14,6.18
2022-10-25,6.2,6.18
2022-10-26,6.18,6.17
2022-10-27,6.13,6.13
2022-10-28,6.16,6.25
2022-10-31,6.17,6.12
2022-11-01,6.13,6.14
2022-11-02,6.06,6.04
2022-11-03,6.07,6.11
2022-11-04,6.15,6.26
2022-11-07,6.33,6.42
2022-11-08,6.32,6.33
2022-11-09,6.42,6.42
2022-11-10,6.36,6.52
2022-11-11,6.38,6.5
2022-11-14,6.55,6.61
2022-11-15,6.64,6.69
2022-11-16,6.79,6.8
2022-11-17,6.73,6.85
2022-11-18,6.78,6.82
2022-11-21,6.76,6.84
2022-11-22,6.84,6.89
2022-11-23,6.83,6.94
2022-11-25,6.88,6.98
2022-11-28,6.9,6.91
2022-11-29,6.83,6.76
2022-11-30,6.73,6.89
2022-12-01,7.0,7.08
2022-12-02,7.01,7.15
2022-12-05,7.07,7.15
2022-12-06,7.15,7.7
2022-12-07,7.43,7.31
2022-12-08,7.56,7.67
2022-12-09,7.76,7.72
2022-12-12,7.75,7.78
2022-12-13,7.87,7.87
2022-12-14,7.85,7.85
2022-12-15,7.85,7.74
2022-12-16,7.65,7.58
2022-12-19,7.64,7.63
2022-12-20,7.6,7.68
2022-12-21,7.68,7.78
2022-12-22,7.81,7.9
2022-12-23,7.91,8.0
2022-12-27,7.97,7.95
2022-12-28,7.91,7.91
2022-12-29,7.91,8.06
2022-12-30,7.99,8.0
2023-01-03,7.81,7.93
2023-01-04,7.85,7.84
2023-01-05,7.7,7.57
2023-01-06,7.64,7.79
2023-01-09,7.85,7.84
2023-01-10,7.74,7.75
2023-01-11,7.75,7.72
2023-01-12,7.69,7.85
2023-01-13,7.85,7.99
2023-01-17,8.1,8.15
2023-01-18,8.05,7.91
2023-01-19,7.84,7.88
2023-01-20,7.9,8.02
2023-01-23,7.91,7.88
2023-01-24,7.77,7.86
2023-01-25,7.84,7.91
2023-01-26,7.99,7.98
2023-01-27,8.02,8.03
2023-01-30,8.03,8.0
2023-01-31,8.02,8.1
2023-02-01,7.98,7.96
2023-02-02,7.89,7.95
2023-02-03,7.91,8.08
2023-02-06,8.18,8.12
2023-02-07,8.09,8.18
2023-02-08,8.09,8.12
2023-02-09,8.11,8.09
2023-02-10,8.06,8.02
2023-02-13,8.07,8.17
2023-02-14,8.12,8.11
2023-02-15,7.99,8.1
2023-02-16,8.01,8.05
2023-02-17,8.15,8.27
2023-02-21,8.27,8.22
2023-02-22,8.17,8.14
2023-02-23,8.08,8.08
2023-02-24,7.94,7.95
2023-02-27,7.92,7.92
2023-02-28,7.87,7.88
2023-03-01,7.94,7.92
2023-03-02,7.64,7.63
2023-03-03,7.69,7.77
2023-03-06,7.7,7.85
2023-03-07,7.83,7.78
2023-03-08,7.81,7.79
2023-03-09,7.77,7.74
2023-03-10,7.79,7.68
2023-03-13,7.71,7.6
2023-03-14,7.73,7.85
2023-03-15,7.81,7.84
2023-03-16,7.87,8.0
2023-03-17,7.88,7.88
2023-03-20,7.91,7.93
2023-03-21,7.96,8.18
2023-03-22,8.18,8.19
2023-03-23,8.21,8.37
2023-03-24,8.24,8.17
2023-03-27,8.14,8.22
2023-03-28,8.06,8.11
2023-03-29,8.14,8.09
2023-03-30,8.1,8.08
2023-03-31,8.14,8.14
2023-04-03,8.19,8.17
2023-04-04,8.34,8.49
2023-04-05,8.64,8.63
2023-04-06,8.81,8.97
2023-04-10,8.95,8.85
2023-04-11,8.76,8.77
2023-04-12,8.77,8.83
2023-04-13,8.79,8.75
2023-04-14,8.76,8.82
2023-04-17,8.75,8.68
2023-04-18,8.64,8.75
