date,open,close
2020-05-11,2.32,2.28
2020-05-12,2.3,2.34
2020-05-13,2.31,2.06
2020-05-14,2.01,2.14
2020-05-15,2.09,2.07
2020-05-18,2.26,2.35
2020-05-19,2.36,2.5
2020-05-20,2.7,2.62
2020-05-21,2.62,2.64
2020-05-22,2.64,2.58
2020-05-26,2.75,3.01
2020-05-27,3.15,3.32
2020-05-28,3.59,3.41
2020-05-29,3.41,3.36
2020-06-01,3.41,3.52
2020-06-02,3.6,3.78
2020-06-03,3.93,3.83
2020-06-04,3.79,4.27
2020-06-05,4.65,5.11
2020-06-08,5.45,5.4
2020-06-09,4.9,4.92
2020-06-10,4.66,4.75
2020-06-11,3.51,3.61
2020-06-12,4.3,4.13
2020-06-15,3.76,4.27
2020-06-16,4.71,4.14
2020-06-17,4.13,3.88
2020-06-18,3.78,3.86
2020-06-19,3.98,3.71
2020-06-22,3.65,3.76
2020-06-23,3.86,3.79
2020-06-24,3.65,3.23
2020-06-25,3.1,3.57
2020-06-26,3.46,3.3
2020-06-29,3.27,3.53
2020-06-30,3.44,3.47
2020-07-01,3.51,3.58
2020-07-02,3.65,3.48
2020-07-06,3.54,3.64
2020-07-07,3.54,3.43
2020-07-08,3.44,3.35
2020-07-09,3.3,3.18
2020-07-10,3.2,3.43
2020-07-13,3.43,3.26
2020-07-14,3.2,3.41
2020-07-15,3.53,3.56
2020-07-16,3.5,3.57
2020-07-17,3.57,3.41
2020-07-20,3.49,3.52
2020-07-21,3.59,3.92
2020-07-22,3.76,3.82
2020-07-23,4.41,4.85
2020-07-24,4.7,4.66
2020-07-27,4.62,4.45
2020-07-28,4.35,4.3
2020-07-29,4.33,4.42
2020-07-30,4.34,4.26
2020-07-31,4.26,4.19
2020-08-03,4.24,4.24
2020-08-04,4.23,4.35
2020-08-05,4.46,4.61
2020-08-06,4.61,4.46
2020-08-07,4.58,4.61
2020-08-10,4.65,4.92
2020-08-11,5.02,4.81
2020-08-12,4.4,4.37
2020-08-13,4.35,4.27
2020-08-14,4.22,4.26
2020-08-17,4.26,4.25
2020-08-18,4.2,4.19
2020-08-19,4.19,4.09
2020-08-20,4.02,3.93
2020-08-21,3.92,3.58
2020-08-24,3.71,3.83
2020-08-25,3.89,3.84
2020-08-26,3.81,3.66
2020-08-27,3.65,3.64
2020-08-28,3.66,3.78
2020-08-31,3.76,3.58
2020-09-01,3.58,3.61
2020-09-02,3.59,3.45
2020-09-03,3.45,3.47
2020-09-04,3.56,3.52
2020-09-08,3.47,3.24
2020-09-09,3.34,3.21
2020-09-10,3.2,3.06
2020-09-11,3.09,3.02
2020-09-14,3.03,3.22
2020-09-15,3.25,3.19
2020-09-16,3.22,3.09
2020-09-17,3.05,3.09
2020-09-18,3.09,3.06
2020-09-21,2.97,2.79
2020-09-22,2.83,2.78
2020-09-23,2.83,2.51
2020-09-24,2.52,2.46
2020-09-25,2.42,2.37
2020-09-28,2.45,2.52
2020-09-29,2.55,2.43
2020-09-30,2.43,2.41
2020-10-01,2.42,2.35
2020-10-02,2.2,2.38
2020-10-05,2.44,2.56
2020-10-06,2.7,2.5
2020-10-07,2.51,2.58
2020-10-08,2.64,2.81
2020-10-09,2.86,2.75
2020-10-12,2.79,2.78
2020-10-13,2.72,2.68
2020-10-14,2.7,2.84
2020-10-15,2.75,2.82
2020-10-16,2.77,2.61
2020-10-19,2.62,2.58
2020-10-20,2.6,2.66
2020-10-21,2.66,2.61
2020-10-22,2.98,2.71
2020-10-23,2.71,2.77
2020-10-26,2.73,2.54
2020-10-27,2.56,2.53
2020-10-28,2.41,2.35
2020-10-29,2.3,2.41
2020-10-30,2.39,2.48
2020-11-02,2.53,2.65
2020-11-03,2.72,2.64
2020-11-04,2.59,2.6
2020-11-05,2.62,2.66
2020-11-06,2.63,2.56
2020-11-09,2.87,3.14
2020-11-10,3.24,3.22
2020-11-11,3.25,2.99
2020-11-12,2.94,2.85
2020-11-13,2.86,2.98
2020-11-16,3.15,3.2
2020-11-17,3.15,3.38
2020-11-18,3.44,3.42
2020-11-19,3.42,3.38
2020-11-20,3.34,3.29
2020-11-23,3.41,3.77
2020-11-24,4.0,4.07
2020-11-25,3.96,4.09
2020-11-27,4.05,4.13
2020-11-30,4.06,3.76
2020-12-01,3.89,3.86
2020-12-02,3.78,4.03
2020-12-03,4.06,3.95
2020-12-04,4.04,4.29
2020-12-07,4.28,4.32
2020-12-08,4.27,4.19
2020-12-09,4.27,4.08
2020-12-10,4.04,4.4
2020-12-11,4.32,4.19
2020-12-14,4.3,4.18
2020-12-15,4.18,4.37
2020-12-16,4.36,4.29
2020-12-17,4.29,4.3
2020-12-18,4.28,4.23
2020-12-21,4.05,4.08
2020-12-22,4.07,4.03
2020-12-23,4.08,4.2
2020-12-24,4.23,4.13
2020-12-28,4.2,4.12
2020-12-29,4.16,4.12
2020-12-30,4.12,4.18
2020-12-31,4.2,4.2
2021-01-04,4.24,4.24
2021-01-05,4.22,4.57
2021-01-06,4.65,4.77
2021-01-07,4.84,4.73
2021-01-08,4.79,4.79
2021-01-11,4.6,4.66
2021-01-12,4.67,5.0
2021-01-13,5.08,4.77
2021-01-14,4.85,4.96
2021-01-15,4.9,4.67
2021-01-19,4.79,4.8
2021-01-20,4.85,4.71
2021-01-21,4.64,4.4
2021-01-22,4.26,4.51
2021-01-25,4.38,4.34
2021-01-26,4.4,4.35
2021-01-27,4.2,4.17
2021-01-28,4.25,4.25
2021-01-29,4.16,4.12
2021-02-01,4.15,4.24
2021-02-02,4.38,4.21
2021-02-03,4.23,4.5
2021-02-04,4.53,4.65
2021-02-05,4.75,4.6
2021-02-08,4.68,4.79
2021-02-09,4.73,4.73
2021-02-10,4.75,4.81
2021-02-11,4.74,4.68
2021-02-12,4.57,4.61
2021-02-16,4.83,4.93
2021-02-17,4.96,4.97
2021-02-18,4.9,4.8
2021-02-19,4.82,4.95
2021-02-22,4.96,5.33
2021-02-23,5.24,4.76
2021-02-24,4.82,4.97
2021-02-25,5.0,4.86
2021-02-26,4.82,4.9
2021-03-01,5.07,5.27
2021-03-02,5.26,4.99
2021-03-03,5.04,5.06
2021-03-04,5.15,5.33
2021-03-05,5.52,5.85
2021-03-08,5.9,6.18
2021-03-09,6.19,6.21
2021-03-10,6.15,6.68
2021-03-11,6.76,6.46
2021-03-12,6.47,6.16
2021-03-15,6.12,6.28
2021-03-16,6.14,5.73
2021-03-17,5.65,5.86
2021-03-18,5.78,5.36
2021-03-19,5.31,5.45
2021-03-22,5.41,5.32
2021-03-23,5.14,4.88
2021-03-24,5.05,4.93
2021-03-25,4.8,4.96
2021-03-26,5.14,5.08
2021-03-29,4.98,4.85
2021-03-30,4.78,4.84
2021-03-31,4.84,5.05
2021-04-01,5.1,5.28
2021-04-05,5.27,4.98
2021-04-06,5.02,5.04
2021-04-07,5.09,5.04
2021-04-08,5.0,4.92
2021-04-09,4.93,4.84
2021-04-12,4.94,4.78
2021-04-13,4.76,4.68
2021-04-14,4.74,4.97
2021-04-15,5.01,4.85
2021-04-16,4.9,4.77
2021-04-19,4.75,4.75
2021-04-20,4.72,4.36
2021-04-21,4.28,4.49
2021-04-22,4.51,4.39
2021-04-23,4.4,4.47
2021-04-26,4.45,4.52
2021-04-27,4.52,4.19
2021-04-28,4.12,4.43
2021-04-29,4.55,4.44
2021-04-30,4.34,4.29
2021-05-03,4.38,4.44
2021-05-04,4.46,4.49
2021-05-05,4.52,4.76
2021-05-06,4.75,4.87
2021-05-07,4.77,5.08
2021-05-10,5.13,4.85
2021-05-11,4.65,4.95
2021-05-12,4.97,4.79
2021-05-13,4.73,4.97
2021-05-14,5.05,5.13
2021-05-17,5.08,5.29
2021-05-18,5.26,5.1
2021-05-19,4.95,5.01
2021-05-20,5.01,4.93
2021-05-21,5.02,5.07
2021-05-24,5.13,5.08
2021-05-25,5.07,4.81
2021-05-26,4.83,4.97
2021-05-27,5.02,5.2
2021-05-28,5.48,5.23
2021-06-01,5.39,5.5
2021-06-02,5.67,6.05
2021-06-03,6.0,6.16
