date,open,close
2020-05-11,10.08,9.73
2020-05-12,9.79,9.48
2020-05-13,9.45,9.08
2020-05-14,8.96,9.17
2020-05-15,9.04,9.11
2020-05-18,9.43,9.99
2020-05-19,9.93,10.04
2020-05-20,10.1,10.28
2020-05-21,10.25,10.36
2020-05-22,9.4,9.17
2020-05-26,9.45,9.42
2020-05-27,9.55,9.76
2020-05-28,9.76,9.59
2020-05-29,9.52,9.71
2020-06-01,9.67,9.76
2020-06-02,9.87,9.95
2020-06-03,10.03,10.34
2020-06-04,10.2,10.48
2020-06-05,11.15,11.11
2020-06-08,11.46,11.59
2020-06-09,11.2,11.02
2020-06-10,10.91,10.7
2020-06-11,10.06,9.75
2020-06-12,10.19,10.15
2020-06-15,9.89,10.21
2020-06-16,10.61,10.41
2020-06-17,10.44,10.04
2020-06-18,9.94,10.14
2020-06-19,10.34,9.82
2020-06-22,9.79,9.71
2020-06-23,9.86,9.67
2020-06-24,9.56,9.27
2020-06-25,9.19,9.47
2020-06-26,9.4,9.5
2020-06-29,9.58,9.58
2020-06-30,9.54,9.73
2020-07-01,9.72,9.42
2020-07-02,9.59,9.41
2020-07-06,9.6,9.59
2020-07-07,9.48,9.07
2020-07-08,9.13,9.21
2020-07-09,9.21,8.98
2020-07-10,9.0,9.26
2020-07-13,9.38,9.44
2020-07-14,9.39,9.51
2020-07-15,9.78,9.64
2020-07-16,9.58,9.72
2020-07-17,9.76,9.67
2020-07-20,9.6,9.55
2020-07-21,9.6,9.66
2020-07-22,9.62,9.75
2020-07-23,9.76,9.82
2020-07-24,9.8,9.62
2020-07-27,9.57,9.75
2020-07-28,9.71,9.48
2020-07-29,9.5,9.71
2020-07-30,9.59,9.62
2020-07-31,9.6,9.87
2020-08-03,9.87,9.89
2020-08-04,9.89,9.96
2020-08-05,10.05,9.96
2020-08-06,9.87,10.11
2020-08-07,10.09,10.09
2020-08-10,10.11,10.21
2020-08-11,10.38,10.16
2020-08-12,10.28,10.14
2020-08-13,10.01,9.61
2020-08-14,9.55,9.67
2020-08-17,9.71,9.46
2020-08-18,9.4,9.45
2020-08-19,9.51,9.42
2020-08-20,9.33,9.26
2020-08-21,9.24,9.33
2020-08-24,9.4,9.62
2020-08-25,9.63,9.33
2020-08-26,10.1,9.67
2020-08-27,9.67,9.57
2020-08-28,9.59,9.83
2020-08-31,9.81,9.67
2020-09-01,9.67,9.47
2020-09-02,9.51,9.83
2020-09-03,9.85,9.52
2020-09-04,9.6,9.59
2020-09-08,9.35,9.43
2020-09-09,9.58,9.46
2020-09-10,9.48,9.22
2020-09-11,9.27,9.24
2020-09-14,9.32,9.37
2020-09-15,9.31,9.28
2020-09-16,9.36,9.47
2020-09-17,9.36,9.63
2020-09-18,9.61,9.5
2020-09-21,9.3,9.23
2020-09-22,9.28,9.31
2020-09-23,9.31,9.07
2020-09-24,9.02,9.13
2020-09-25,9.06,9.11
2020-09-28,9.26,9.48
2020-09-29,9.49,9.38
2020-09-30,9.4,9.37
2020-10-01,9.43,9.23
2020-10-02,9.05,9.42
2020-10-05,9.51,9.77
2020-10-06,9.81,9.56
2020-10-07,9.66,9.77
2020-10-08,9.8,9.99
2020-10-09,10.05,9.81
2020-10-12,9.83,9.93
2020-10-13,9.84,9.78
2020-10-14,9.78,9.76
2020-10-15,9.67,9.88
2020-10-16,9.96,9.48
2020-10-19,9.53,9.35
2020-10-20,9.4,9.34
2020-10-21,9.35,9.32
2020-10-22,9.32,9.46
2020-10-23,9.51,9.48
2020-10-26,9.36,9.06
2020-10-27,9.0,8.8
2020-10-28,8.57,8.37
2020-10-29,8.39,8.53
2020-10-30,8.44,8.64
2020-11-02,8.79,8.91
2020-11-03,9.04,9.32
2020-11-04,9.29,8.82
2020-11-05,8.97,9.28
2020-11-06,9.25,9.19
2020-11-09,9.55,9.73
2020-11-10,9.77,9.91
2020-11-11,9.92,9.95
2020-11-12,9.89,9.67
2020-11-13,9.77,10.14
2020-11-16,10.48,10.63
2020-11-17,10.44,10.48
2020-11-18,10.53,10.5
2020-11-19,10.47,10.49
2020-11-20,10.48,10.47
2020-11-23,10.59,11.07
2020-11-24,11.24,11.53
2020-11-25,11.44,11.24
2020-11-27,11.2,11.22
2020-11-30,11.28,11.04
2020-12-01,11.14,11.2
2020-12-02,11.11,11.52
2020-12-03,11.52,11.61
2020-12-04,11.71,12.34
2020-12-07,12.24,12.08
2020-12-08,11.9,12.1
2020-12-09,12.04,12.13
2020-12-10,11.97,12.12
2020-12-11,11.98,11.99
2020-12-14,11.97,11.87
2020-12-15,11.98,12.17
2020-12-16,12.2,12.16
2020-12-17,12.16,12.18
2020-12-18,12.16,12.12
2020-12-21,11.85,11.67
2020-12-22,11.75,11.61
2020-12-23,11.66,11.75
2020-12-24,11.83,11.76
2020-12-28,11.77,11.79
2020-12-29,11.84,11.67
2020-12-30,11.66,11.68
2020-12-31,11.67,11.85
2021-01-04,11.9,11.57
2021-01-05,11.57,11.78
2021-01-06,11.96,12.04
2021-01-07,12.16,11.97
2021-01-08,11.98,11.88
2021-01-11,11.7,11.97
2021-01-12,12.02,12.14
2021-01-13,12.16,12.17
2021-01-14,12.24,12.48
2021-01-15,12.65,12.54
2021-01-19,12.59,12.31
2021-01-20,12.3,12.34
2021-01-21,12.34,12.26
2021-01-22,12.09,12.14
2021-01-25,12.08,12.3
2021-01-26,12.35,12.22
2021-01-27,12.0,13.07
2021-01-28,13.1,12.56
2021-01-29,12.51,12.34
2021-02-01,12.43,12.38
2021-02-02,12.5,12.35
2021-02-03,12.3,12.72
2021-02-04,12.74,12.96
2021-02-05,12.99,13.14
2021-02-08,13.11,13.5
2021-02-09,13.57,13.6
2021-02-10,13.88,13.96
2021-02-11,13.91,14.19
2021-02-12,14.22,14.38
2021-02-16,14.43,14.3
2021-02-17,14.27,14.0
2021-02-18,13.91,13.94
2021-02-19,14.08,14.13
2021-02-22,14.05,14.47
2021-02-23,14.5,14.47
2021-02-24,14.52,14.84
2021-02-25,14.77,14.49
2021-02-26,14.5,14.56
2021-03-01,14.83,14.6
2021-03-02,14.61,14.5
2021-03-03,14.97,14.56
2021-03-04,14.52,14.04
2021-03-05,14.12,14.4
2021-03-08,14.45,14.81
2021-03-09,14.64,14.86
2021-03-10,15.05,15.15
