date,open,close
2023-02-09,23.75,21.05
2023-02-10,21.42,22.2
2023-02-13,21.68,22.43
2023-02-14,22.42,21.41
2023-02-15,21.0,22.25
2023-02-16,21.89,21.47
2023-02-17,21.71,22.1
2023-02-21,22.1,21.17
2023-02-22,20.98,21.03
2023-02-23,21.07,20.57
2023-02-24,20.1,19.0
2023-02-27,19.08,18.24
2023-02-28,18.0,18.72
2023-03-01,18.72,18.25
2023-03-02,17.81,19.13
2023-03-03,19.24,19.08
2023-03-06,19.17,18.99
2023-03-07,18.99,18.47
2023-03-08,18.23,19.04
2023-03-09,19.0,19.02
2023-03-10,18.97,19.0
2023-03-13,19.0,18.24
2023-03-14,18.31,17.39
2023-03-15,17.01,15.24
2023-03-16,16.0,13.69
2023-03-17,14.01,13.85
2023-03-20,13.95,11.65
2023-03-21,12.28,12.82
2023-03-22,13.0,12.84
2023-03-23,13.2,14.1
2023-03-24,14.28,16.23
2023-03-27,16.09,15.26
2023-03-28,15.26,15.21
2023-03-29,15.32,15.06
2023-03-30,15.19,16.98
2023-03-31,17.06,15.47
2023-04-03,15.55,14.59
2023-04-04,14.59,13.01
2023-04-05,13.2,13.22
2023-04-06,13.05,12.17
2023-04-10,12.25,12.52
2023-04-11,12.64,12.11
2023-04-12,11.86,11.52
2023-04-13,11.62,11.72
2023-04-14,11.92,11.93
2023-04-17,12.27,12.57
2023-04-18,12.46,12.44
2023-04-19,12.43,12.0
2023-04-20,11.86,12.17
2023-04-21,12.23,10.96
2023-04-24,10.95,8.68
2023-04-25,8.5,8.49
2023-04-26,8.58,8.55
2023-04-27,8.32,9.41
2023-04-28,9.69,9.02
2023-05-01,8.91,10.34
2023-05-02,10.42,9.7
2023-05-03,10.1,9.66
2023-05-04,9.6,9.66
2023-05-05,9.56,9.52
2023-05-08,9.6,9.41
2023-05-09,9.46,8.66
2023-05-10,8.9,8.72
2023-05-11,8.73,8.89
2023-05-12,8.76,8.1
2023-05-15,8.14,7.39
2023-05-16,7.5,8.1
2023-05-17,8.04,8.36
2023-05-18,8.49,8.36
2023-05-19,8.47,8.73
2023-05-22,8.98,9.64
2023-05-23,9.85,9.37
2023-05-24,9.69,8.11
2023-05-25,8.17,7.98
2023-05-26,7.97,8.01
2023-05-30,8.0,7.95
2023-05-31,7.8,7.55
2023-06-01,7.61,8.03
2023-06-02,8.21,8.56
2023-06-05,8.61,8.13
