date,open,close
2020-05-12,10.19,9.83
2020-05-13,9.68,9.45
2020-05-14,9.13,10.04
2020-05-15,9.88,10.06
2020-05-18,10.63,11.78
2020-05-19,11.64,11.55
2020-05-20,11.71,11.54
2020-05-21,11.39,11.43
2020-05-22,11.43,11.23
2020-05-26,12.22,12.17
2020-05-27,12.57,12.52
2020-05-28,12.64,12.03
2020-05-29,11.81,11.94
2020-06-01,11.86,12.25
2020-06-02,12.43,12.28
2020-06-03,12.5,12.61
2020-06-04,12.57,13.06
2020-06-05,14.16,14.01
2020-06-08,14.48,14.82
2020-06-09,14.24,14.45
2020-06-10,14.26,13.29
2020-06-11,12.06,12.17
2020-06-12,12.82,12.64
2020-06-15,12.0,12.45
2020-06-16,13.17,12.81
2020-06-17,12.87,12.31
2020-06-18,12.1,12.2
2020-06-19,12.36,11.67
2020-06-22,11.52,11.29
2020-06-23,11.47,11.24
2020-06-24,11.0,10.98
2020-06-25,10.78,10.86
2020-06-26,10.74,10.74
2020-06-29,10.73,10.96
2020-06-30,10.97,10.79
2020-07-01,10.9,10.89
2020-07-02,11.2,10.95
2020-07-06,11.24,11.21
2020-07-07,11.02,10.84
2020-07-08,10.8,10.73
2020-07-09,10.68,10.51
2020-07-10,10.46,10.84
2020-07-13,10.96,10.82
2020-07-14,10.7,10.61
2020-07-15,11.06,11.62
2020-07-16,11.33,11.25
2020-07-17,11.26,11.01
2020-07-20,10.94,10.6
2020-07-21,10.75,10.89
2020-07-22,10.75,10.87
2020-07-23,10.73,10.73
2020-07-24,10.5,10.5
2020-07-27,10.5,10.32
2020-07-28,10.28,10.52
2020-07-29,10.77,11.02
2020-07-30,10.78,10.84
2020-07-31,10.76,10.78
2020-08-03,10.67,10.31
2020-08-04,10.23,10.91
2020-08-05,11.06,10.89
2020-08-06,10.79,10.76
2020-08-07,10.67,11.5
2020-08-10,11.6,11.88
2020-08-11,12.24,11.67
2020-08-12,11.79,11.57
2020-08-13,11.49,11.27
2020-08-14,11.2,11.25
2020-08-17,11.27,10.89
2020-08-18,10.87,10.78
2020-08-19,10.73,10.79
2020-08-20,10.69,10.74
2020-08-21,10.77,10.6
2020-08-24,10.65,11.09
2020-08-25,11.21,11.3
2020-08-26,11.23,11.01
2020-08-27,11.04,11.33
2020-08-28,11.46,11.69
2020-08-31,11.64,11.23
2020-09-01,11.08,11.28
2020-09-02,11.26,11.42
2020-09-03,11.51,11.57
2020-09-04,11.75,11.94
2020-09-08,11.79,11.64
2020-09-09,11.7,11.65
2020-09-10,11.64,11.4
2020-09-11,11.42,11.13
2020-09-14,11.26,11.92
2020-09-15,11.88,12.02
2020-09-16,12.12,12.06
2020-09-17,11.86,11.65
2020-09-18,11.59,11.15
2020-09-21,10.92,10.49
2020-09-22,10.53,10.4
2020-09-23,10.37,10.24
2020-09-24,10.18,10.19
2020-09-25,10.11,10.64
2020-09-28,10.89,10.93
2020-09-29,10.3,10.73
2020-09-30,10.74,10.79
2020-10-01,10.88,11.14
2020-10-02,10.74,11.29
2020-10-05,11.39,11.38
2020-10-06,11.5,11.3
2020-10-07,11.38,11.61
2020-10-08,11.76,11.85
2020-10-09,11.94,11.58
2020-10-12,11.58,11.49
2020-10-13,11.56,11.17
2020-10-14,11.16,10.95
2020-10-15,10.84,11.02
2020-10-16,11.01,10.95
2020-10-19,10.84,10.67
2020-10-20,10.81,10.78
2020-10-21,11.14,11.04
2020-10-22,11.08,11.48
2020-10-23,11.57,11.64
2020-10-26,11.48,11.19
2020-10-27,11.12,10.86
2020-10-28,10.62,10.45
2020-10-29,10.4,10.52
2020-10-30,10.47,10.48
2020-11-02,10.58,10.94
2020-11-03,11.17,11.38
2020-11-04,11.5,10.99
2020-11-05,11.02,10.93
2020-11-06,10.93,10.48
